repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,200,2,4,1,23589,74190,92096,131991,148657,149301,154661,38605,229559,287454,432787,480787,485199,532940,942,1296,1560,1287,1661,1569,1724,806,1067,1270,1101,1332,1277,1358
2,2,10,2,0,2,200,6,4,2,214440,303202,305503,355183,356965,359174,365003,805015,999870,1089614,1211077,1275077,1263123,1326926,4177,4501,4475,4613,4578,4946,4870,2192,2535,2496,2655,2643,2928,2823
2,2,10,2,0,2,200,10,4,2,417237,486797,508484,545735,554866,557574,571795,1565335,1760190,1865774,1987237,2051237,2039440,2103086,7271,7563,7597,7759,7736,8483,8311,3455,3723,3801,3855,3796,4102,4029
2,2,10,2,0,2,200,14,4,3,616069,683202,708215,742959,750847,764223,777929,2325655,2520510,2657934,2763397,2843397,2815464,2895246,12242,12595,12517,12805,12704,13298,13084,4691,5020,5036,5153,5091,5323,5320
2,2,10,2,0,2,200,18,4,4,798513,890849,911368,943505,966521,977350,984729,3085975,3280930,3466141,3539557,3651557,3591933,3703553,17485,17811,17565,17904,19244,18680,18332,6083,6409,6371,6465,6524,6793,6505
2,2,10,2,0,2,200,22,4,5,997423,1074252,1113781,1145770,1157881,1161367,1175990,3846295,4041209,4258304,4315717,4443717,4368106,4495870,24919,25092,24698,25341,25900,25697,25441,7398,7596,7567,7660,7704,7894,7856
2,2,10,2,0,2,200,26,4,5,1191858,1272477,1316248,1375840,1364344,1360629,1380768,4606615,4801529,5034464,5091877,5219877,5144262,5272030,30481,30501,30130,31410,30461,31198,30883,8674,8882,9073,9084,9011,9216,9178
2,2,10,2,0,2,200,30,4,6,1395706,1494297,1512652,1560354,1564301,1565278,1576636,5366935,5561847,5826622,5868037,6012037,5920444,6064186,38131,38419,38005,39120,38217,39022,38498,10407,10612,10573,11013,10677,10844,10799
2,2,10,2,0,2,200,34,4,7,1585288,1664056,1715812,1745892,1773415,1767155,1796079,6127255,6322167,6634781,6644197,6820197,6696731,6872198,42354,42812,40626,42898,41968,43351,42437,11399,11748,11628,11699,12225,12065,12090
2,2,10,2,0,2,200,38,4,8,1883493,1861052,1920053,1954504,1977687,1970370,1983814,6887575,7082477,7426941,7420357,7612357,7472567,7664321,50412,50574,47163,50876,47872,51227,47731,13561,13688,13647,13807,14113,14066,13958
2,2,10,2,0,2,200,42,4,8,2078029,2058642,2130581,2164553,2177781,2172446,2187399,7647895,7842751,8203054,8196517,8388517,8248594,8440366,53190,53772,51498,54036,52257,54250,51916,14086,14679,14457,14817,15266,14901,14958
2,2,10,2,0,2,200,46,4,9,2285256,2264318,2343753,2358847,2380236,2371899,2408746,8408215,8603008,8995143,8972677,9180677,9024910,9232831,61954,62371,59185,62414,59105,62454,59825,16560,16946,17088,17042,16805,17030,17130
2,2,10,2,0,2,200,50,4,10,2372639,2452785,2529169,2551529,2587791,2573159,2593980,9168535,9363327,9803302,9748837,9988837,9801071,10040990,63873,64164,59118,64335,59512,65027,59945,17448,17940,17296,17998,17404,18251,17884
2,2,10,2,0,2,200,54,4,11,2568593,2679406,2726035,2755777,2790262,2771066,2850243,9928855,10123648,10595462,10524997,10780997,10577230,10833150,73112,73736,67365,73860,68031,74401,68893,19962,20139,19683,20180,20061,20490,20387
2,2,10,2,0,2,200,58,4,11,2769503,2845496,2938371,2956918,3002252,2970586,3007278,10689175,10883967,11371622,11301157,11557157,11353390,11609310,74909,75238,71685,75634,71364,75932,72577,21257,21312,21194,21853,21212,21930,22282
