repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,100,2,4,1,5639,40667,62460,58696,71823,59364,73658,1956,122801,167697,179376,221376,179638,225565,627,862,946,859,988,998,1117,540,668,740,690,777,733,832
2,2,10,2,0,2,100,6,4,2,110785,165363,179262,176680,193046,176808,187395,403608,519733,574629,576308,628308,600090,656017,1946,2170,2166,2321,2506,2439,2335,1187,1350,1373,1445,1489,1535,1449
2,2,10,2,0,2,100,10,4,2,217634,268534,289144,273559,277397,272108,284653,779928,903893,958789,960468,1012468,976410,1032337,3617,4027,4090,4180,4176,4443,4374,1786,2071,2146,2227,2235,2314,2275
2,2,10,2,0,2,100,14,4,3,395830,370062,390016,366967,385242,368222,382683,1156248,1288053,1352949,1344628,1406628,1352730,1418657,5021,5171,5457,5338,5710,5465,5569,2441,2705,2690,2771,2815,2847,2885
2,2,10,2,0,2,100,18,4,4,414013,462909,491062,468319,479998,468586,483459,1532568,1672213,1757109,1728788,1810788,1729050,1814977,8076,8797,8545,8791,8772,9306,9192,3086,3393,3346,3510,3496,3518,3577
2,2,10,2,0,2,100,22,4,5,497084,561694,585555,562511,578427,564485,583260,1908888,2056373,2151269,2112948,2204948,2105370,2201297,9498,9647,9620,10025,9881,10459,10682,3786,4030,4023,4163,4158,4163,4244
2,2,10,2,0,2,100,26,4,5,596251,659225,680684,676653,693943,670126,683386,2285208,2440533,2535429,2497108,2589108,2481690,2577617,12803,13148,13048,13252,13062,13542,13389,4488,4742,4734,4828,4802,4936,4967
2,2,10,2,0,2,100,30,4,6,687128,752641,770741,759847,780004,762426,777947,2661528,2824693,2929589,2881268,2983268,2858010,2963937,14886,15046,14928,15418,15275,15583,15384,5122,5354,5297,5461,5444,5588,5540
2,2,10,2,0,2,100,34,4,7,782762,1206581,867120,856331,881101,859444,879854,3037848,3208853,3333749,3265428,3387428,3234330,3360257,17003,17597,16315,17406,16711,17863,17209,5787,5898,5825,6127,6013,6270,6199
2,2,10,2,0,2,100,38,4,8,878377,949248,967851,954284,964848,959951,966107,3414168,3593013,3665909,3649588,3719588,3610651,3682577,19517,19521,18500,19884,18621,21654,18958,6451,6654,6606,6784,6632,6959,6747
2,2,10,2,0,2,100,42,4,8,1026416,1048898,1080982,1052672,1064783,1055371,1066836,3790488,3977173,4050069,4033748,4103748,3986970,4058897,22533,22810,22183,22963,22052,23272,22212,7087,7315,7201,7415,7309,7523,7399
2,2,10,2,0,2,100,46,4,9,1127456,1151867,1166783,1155755,1185546,1157503,1167762,4166808,4361333,4452229,4417908,4503908,4363290,4453217,25861,25672,24413,26060,24691,26516,25051,7974,8148,8155,8314,8212,8311,8337
2,2,10,2,0,2,100,50,4,10,1165998,1242783,1266338,1250762,1267990,1253481,1266837,4543128,4745493,4856389,4802068,4908068,4739610,4849537,29605,29890,27459,30448,27638,30440,28929,8433,8585,8382,8792,8462,8860,8686
2,2,10,2,0,2,100,54,4,11,1271891,1346349,1366231,1351977,1364905,1356219,1368735,4919448,5129653,5250549,5186228,5302228,5115930,5235857,31810,31931,29789,32140,29486,33444,30382,9433,9620,9582,9735,9570,10133,9778
2,2,10,2,0,2,100,58,4,11,1362000,1442081,1469712,1448187,1468254,1448857,1467309,5295768,5513813,5634709,5570388,5686388,5492250,5612177,36246,36494,34516,36844,34643,37035,34469,9689,9829,9646,9941,9882,10042,9773
2,2,10,2,0,2,100,62,4,12,1465422,1547559,1567537,1547365,1599077,1549626,1567200,5672088,5897973,6028869,5954548,6080548,5868570,5998497,39330,39635,36731,39821,37170,40101,37286,10674,10921,10773,10989,10899,11113,10970
2,2,10,2,0,2,100,66,4,13,1552429,1637443,1672233,1641791,1698282,1645871,1687036,6048408,6282134,6433029,6338708,6484708,6244890,6394817,42654,42559,37964,42762,38106,43036,38589,11474,11137,10723,11243,10892,11328,11002
2,2,10,2,0,2,100,70,4,14,1655071,1742488,1763723,1745254,1830136,1749754,1812477,6424728,6666293,6827189,6722868,6878868,6621210,6781137,46163,46303,41391,46308,42002,46976,41960,12173,12303,11989,12452,12181,12819,12368
2,2,10,2,0,2,100,74,4,14,1746650,1838663,1865456,1856140,1925829,1865190,1909935,6801048,7050453,7211349,7107028,7263028,6997530,7157457,47710,48084,44051,48281,44344,48294,44351,12859,12843,12565,12960,12792,13136,12906
2,2,10,2,0,2,100,78,4,15,1904086,1976701,1999480,1978101,1964470,1985924,1964616,7177368,7434613,7605509,7491188,7657188,7373850,7543777,51344,51750,47625,51725,47284,52192,47884,13912,13997,13783,13859,13936,14180,14318
2,2,10,2,0,2,100,82,4,16,1999218,2080558,2082080,2076126,2129080,2084258,2095476,7553688,7818773,7943669,7875348,7997348,7750170,7874097,54759,54933,50131,55157,49139,55442,48827,14736,14456,13400,14595,14060,14501,14092
2,2,10,2,0,2,100,86,4,17,2096279,2182581,2189396,2159379,2239238,2183294,2209201,7930008,8202933,8345829,8259508,8397508,8126490,8268417,56994,57530,51781,57554,51453,57910,51479,15144,15369,14987,15387,14999,15410,15162
2,2,10,2,0,2,100,90,4,17,2193361,2291940,2292142,2328530,2341103,2307190,2293893,8306328,8587093,8729989,8643668,8781668,8502810,8644737,60352,60545,55115,60667,54419,60853,55364,15981,16560,16141,16566,16158,16616,16245
2,2,10,2,0,2,100,94,4,18,2232472,2364842,2367391,2409072,2440408,2391244,2394277,8682648,8971253,9124149,9027828,9175829,8879130,9031057,62563,62896,57662,63083,58427,63513,57316,16868,16925,16239,17031,17711,17161,16473
2,2,10,2,0,2,100,98,4,19,2388725,2486734,2520339,2554037,2582730,2527626,2541127,9058968,9355413,9528309,9411988,9579988,9255450,9427377,66073,66230,59816,66332,60247,66740,60554,17513,17407,16840,17526,17335,17530,17409
2,2,10,2,0,2,100,102,4,20,2481527,2588895,2626580,2648431,2666831,2621872,2648206,9435288,9739573,9922469,9796148,9974148,9631770,9813697,68433,68463,62030,68577,61130,68949,60544,18818,18284,16476,18368,17493,18422,17522
2,2,10,2,0,2,100,106,4,20,2587114,2700219,2722344,2762133,2776989,2733465,2753098,9811608,10123733,10306629,10180308,10358308,10008090,10190017,71398,71789,65189,72018,64760,72040,64821,19858,19950,19254,20449,19508,19848,19612
