repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,100,2,4,1,12142,40141,45259,70201,74223,76920,79035,19723,115555,144450,218068,241905,247138,271058,669,898,981,918,1018,1129,1213,643,662,823,743,804,843,913
2,2,10,2,0,2,100,6,4,2,113148,152160,159427,179511,181857,189502,190510,399015,496927,541661,603077,635077,632479,664225,2067,2395,2306,2451,2401,2668,2542,1246,1504,1417,1598,1546,1664,1585
2,2,10,2,0,2,100,10,4,2,207213,245784,259057,299107,297908,286594,292688,775335,873190,925774,987237,1019237,1016436,1048086,3366,3729,3681,3857,3784,4034,3894,1751,2158,2137,2327,2251,2387,2396
2,2,10,2,0,2,100,14,4,3,313052,363656,370455,385948,382910,386457,394942,1151655,1249510,1317934,1371397,1411397,1400503,1440246,4852,5199,5127,5316,5269,5616,5561,2452,2678,2675,2806,2758,2976,2950
2,2,10,2,0,2,100,18,4,4,402032,439574,456242,494951,492819,488022,496989,1527975,1625925,1718141,1755557,1811557,1784916,1840553,7816,8437,8168,8394,8047,8623,8571,3056,3504,3479,3474,3640,3650,3605
2,2,10,2,0,2,100,22,4,5,502188,537518,557153,576585,583898,584218,590996,1904295,2002207,2110301,2139717,2203717,2169089,2232926,9090,9559,9342,9121,9342,9552,9911,3725,4011,4037,4288,4035,4454,4342
2,2,10,2,0,2,100,26,4,5,592713,632491,656247,674608,685839,683690,693547,2280615,2378515,2494459,2523877,2587877,2553156,2616900,10835,11222,11059,11343,11313,11377,11669,4296,4637,4575,4716,4737,5205,4969
2,2,10,2,0,2,100,30,4,6,697326,751848,755478,775447,778384,783100,788599,2656935,2754847,2886621,2908037,2980037,2937444,3009186,13913,14070,13981,14202,14169,14856,14922,5026,5319,5226,5389,5348,5478,5535
2,2,10,2,0,2,100,34,4,7,786137,832826,862188,874028,881688,880115,896196,3033255,3131167,3286781,3292197,3380197,3321697,3409198,16191,16705,15734,16823,16476,17567,16252,5603,5964,5802,5890,5986,6186,6544
2,2,10,2,0,2,100,38,4,8,924899,926285,960524,974924,984184,978737,995231,3409575,3507477,3678941,3676357,3772357,3705567,3801345,20350,21839,20964,22042,20870,22334,21800,6663,6548,6415,6542,6528,6632,6710
2,2,10,2,0,2,100,42,4,8,1014482,1049649,1060702,1082481,1083144,1078503,1094458,3785895,3883750,4063054,4060517,4156517,4089589,4185366,23209,24649,22590,25358,24089,25094,24449,7533,7057,7431,7195,7138,7309,7295
2,2,10,2,0,2,100,46,4,9,1203223,1120165,1158880,1172183,1181894,1175090,1221459,4162215,4260129,4455264,4444677,4548677,4474077,4577830,27858,26315,24979,25182,25437,26852,25713,7944,7905,7706,8424,7812,7945,7945
2,2,10,2,0,2,100,50,4,10,1174994,1216601,1258894,1300499,1312915,1318701,1358123,4538535,4636449,4855424,4828837,4948837,4858252,4977990,29369,29497,26108,29769,27553,30210,27853,8249,8461,8867,8510,8349,8609,8397
2,2,10,2,0,2,100,54,4,11,1276214,1325155,1358843,1375378,1383957,1379409,1395998,4914855,5012769,5247584,5212997,5340997,5242389,5370150,33452,31686,30278,33777,30756,32371,30956,8881,9863,9000,9247,9023,9962,9215
2,2,10,2,0,2,100,58,4,11,1370295,1416161,1463112,1469678,1492012,1472841,1501685,5291175,5389089,5631744,5597157,5725157,5626569,5754310,36292,36572,34052,36642,34377,37238,34562,9409,9698,9640,9710,9745,9838,9716
2,2,10,2,0,2,100,62,4,12,1473169,1532560,1562972,1583610,1587316,1600740,1607731,5667495,5765407,6023901,5981317,6117317,6010687,6146680,38066,40160,37212,40383,37858,40858,38304,11001,10523,10071,10205,10272,10468,10563
2,2,10,2,0,2,100,66,4,13,1569014,1619726,1655532,1698887,1720874,1704159,1739358,6043815,6141727,6424061,6365477,6517477,6394852,6546701,43078,43769,38345,43595,38616,43936,39064,10954,11398,10663,11120,10883,11404,11007
2,2,10,2,0,2,100,70,4,14,1667327,1716671,1758743,1803412,1781365,1789365,1794099,6420135,6518075,6816221,6749637,6909637,6779041,6938638,40026,45435,40119,45886,40682,46319,39649,13232,11780,11191,12287,11440,11872,12185
2,2,10,2,0,2,100,74,4,14,1760902,1799271,1880777,1897054,1922404,1902559,1938894,6796455,6894357,7200381,7133797,7293797,7163009,7322907,49185,49701,46382,49920,46146,47186,46409,12163,12438,12740,12487,12401,13587,12503
2,2,10,2,0,2,100,78,4,15,1911464,1950086,1980360,2016234,2019983,2018086,2039621,7172775,7270675,7592539,7517957,7685957,7547241,7714936,52131,52381,47317,52821,47840,52779,47742,13158,13310,12914,13183,12925,13361,12976
2,2,10,2,0,2,100,82,4,16,1991938,2037237,2079314,2098020,2119903,2093168,2128601,7549095,7646950,7992654,7902117,8086117,7931212,8114966,55570,55876,49996,56205,48580,56267,49808,13674,13650,12961,13886,14581,14023,13897
2,2,10,2,0,2,100,86,4,17,2090809,2130201,2182249,2208705,2225450,2210495,2253071,7925415,8023207,8384742,8286277,8478277,8315511,8507430,57997,58435,50914,58763,50159,58561,50914,14390,14604,13951,14533,15300,14667,14184
2,2,10,2,0,2,100,90,4,17,2184443,2231812,2279847,2305793,2325201,2314054,2333816,8301735,8399528,8768902,8670437,8862437,8699670,8891590,59996,60437,54181,61335,53770,61152,52868,14805,15059,14396,15614,15046,15356,16079
2,2,10,2,0,2,100,94,4,18,2246984,2290882,2373686,2396953,2418385,2398203,2430422,8678055,8775847,9161062,9054597,9254597,9083831,9283750,59479,63520,57208,63986,58141,64717,56645,16997,16205,15563,16073,15906,16233,17682
2,2,10,2,0,2,100,98,4,19,2374649,2444227,2518565,2530952,2573491,2531165,2567750,9054375,9152168,9561222,9438757,9654757,9467990,9683910,66282,67062,60377,62809,57918,67438,59627,17025,17335,16068,18418,16646,17238,16826
2,2,10,2,0,2,100,102,4,20,2477038,2538480,2613179,2639271,2659997,2637042,2655681,9430695,9528487,9953382,9822917,10046917,9852150,10076070,65661,70319,63611,70679,63343,71107,64547,18815,17962,16480,17837,17387,17950,17520
2,2,10,2,0,2,100,106,4,20,2588851,2641482,2719560,2730789,2762392,2726931,2786387,9807015,9904807,10337542,10207077,10431077,10236310,10460230,70643,71285,61820,71672,61111,71982,64226,18419,18710,19103,18897,19554,18687,18208
2,2,10,2,0,2,100,110,4,21,2675029,2733560,2816786,2836173,2878847,2844150,2857328,10183335,10281127,10729702,10591237,10823237,10620470,10852390,73800,74771,67083,75006,66026,75305,64366,19023,19122,18054,18838,18798,18999,20006
2,2,10,2,0,2,100,114,4,22,2780767,2860798,2928325,2950249,2969736,2962040,2966661,10559655,10657447,11129862,10975397,11223397,11004630,11252550,77156,77269,66727,77608,66123,78145,67263,19516,20210,18486,20042,19123,20028,19141
2,2,10,2,0,2,100,118,4,23,2868740,2925776,3021301,3023944,3076007,3022185,3065783,10935975,11033767,11522022,11359557,11615557,11388790,11644710,80085,80590,68900,80902,69434,81333,68799,20713,20871,20029,20837,20170,20834,21989
2,2,10,2,0,2,100,122,4,23,2964526,3027214,3130042,3123201,3162413,3126772,3169451,11312295,11410087,11906182,11743717,11999717,11772950,12028870,81816,81842,72780,82866,73425,83132,72698,21309,21757,20271,21776,20874,21878,21686
2,2,10,2,0,2,100,126,4,24,3063953,3119219,3230669,3221904,3267982,3230951,3261485,11688615,11786407,12298342,12127877,12391877,12157111,12421030,87393,87559,79108,88241,75194,87947,79226,22951,23087,21871,22828,24599,23121,22256
2,2,10,2,0,2,100,130,4,25,3178091,3223825,3322749,3327254,3366832,3319971,3365045,12064935,12162728,12698503,12512037,12792037,12541270,12821190,88225,88737,75320,89142,76873,89654,75020,22768,23387,23311,23277,21909,23111,22534
2,2,10,2,0,2,100,134,4,26,3264841,3325982,3433004,3429466,3468589,3430095,3483062,12441255,12539047,13090662,12896197,13184197,12925431,13213350,90789,92102,81269,86871,74555,92671,79019,23210,23433,21525,24968,25625,23661,21987
2,2,10,2,0,2,100,138,4,26,3357053,3417667,3542275,3532481,3562314,3525213,3580000,12817575,12915367,13474822,13280357,13568357,13309591,13597510,88286,94104,83927,94466,82963,95262,82073,26155,24339,22716,24168,23529,24286,24500
2,2,10,2,0,2,100,142,4,27,3448443,3525554,3628955,3635488,3669265,3621154,3673207,13193895,13291688,13866983,13664517,13960517,13693751,13989670,97046,97185,85352,98226,82772,98008,82245,25196,26509,24121,26107,27094,26020,27074
2,2,10,2,0,2,100,146,4,28,3561058,3616883,3745965,3731128,3776301,3722247,3775230,13570215,13668008,14267142,14048677,14360677,14077910,14389830,99917,100481,86623,100824,84078,100923,85181,26054,26225,24521,26497,26530,26434,25195
2,2,10,2,0,2,100,150,4,29,3642428,3711796,3833760,3816634,3862549,3826562,3866662,13946535,14044328,14659302,14432837,14752837,14462071,14781990,96216,103014,89609,97166,88893,104226,86513,28276,26477,23941,28101,24709,26371,26552
2,2,10,2,0,2,100,154,4,29,3750622,3813403,3941932,3938269,3984796,3920366,3969929,14322855,14420647,15043462,14816997,15136997,14846231,15166150,106512,107073,94135,107571,93820,107177,96533,28467,28303,26213,28257,26246,28652,27137
2,2,10,2,0,2,100,158,4,30,3859135,3906034,4044737,4028518,4067983,4016006,4066055,14699175,14796967,15435623,15201157,15529157,15230390,15558310,101594,108409,95633,109319,93486,109828,95126,31981,29390,27201,29041,28526,29150,27808
2,2,10,2,0,2,100,162,4,31,3956771,4016146,4144985,4119738,4166592,4157493,4167299,15075496,15173288,15835782,15585317,15929317,15614551,15958470,111367,112162,94972,112288,94547,112854,92554,29550,29709,27219,29149,28020,30263,29628
2,2,10,2,0,2,100,166,4,32,4045696,4110834,4256617,4225421,4267255,4232884,4282483,15451815,15549608,16227942,15969477,16321477,15998710,16350631,113743,114412,98016,113968,97070,115098,97647,30616,30868,27420,30466,28373,30791,28410
2,2,10,2,0,2,100,170,4,32,4139688,4205245,4358012,4318148,4366334,4331559,4382756,15828136,15925927,16612102,16353637,16705637,16382871,16734790,108712,101989,100414,116392,100204,117217,102557,33898,37095,29254,31566,29560,31386,29448
2,2,10,2,0,2,100,174,4,33,4243727,4304960,4470650,4470671,4500533,4475191,4505799,16204455,16302247,17004262,16737797,17097797,16767031,17126950,119844,120365,103901,120223,103320,121116,100594,31326,31899,28848,31653,28994,31660,31256
2,2,10,2,0,2,100,178,4,34,4340681,4404378,4570958,4510774,4577382,4560031,4588342,16580775,16678568,17404422,17121957,17497957,17151191,17527110,121774,122952,104283,123291,103961,124233,102063,32851,33632,30152,33269,31403,33779,33319
2,2,10,2,0,2,100,182,4,35,4416777,4494379,4676451,4624289,4673604,4627680,4678781,16957095,17054888,17796582,17506117,17890117,17535350,17919271,118645,125954,107884,127322,111130,128194,113416,36868,34779,31311,34287,31645,34401,32678
2,2,10,2,0,2,100,186,4,35,4541402,4600837,4770397,4725114,4778853,4712155,4779783,17333415,17431208,18180742,17890277,18274277,17919510,18303430,127056,127914,111833,119585,109283,127636,112429,34775,34709,30547,36848,30064,34183,29573
2,2,10,2,0,2,100,190,4,36,4630160,4698670,4875689,4837757,4872831,4834075,4864040,17709735,17807527,18572902,18274437,18666437,18303671,18695590,130116,130970,112102,131742,113122,132159,107043,34913,35595,32402,35180,32885,35378,36831
2,2,10,2,0,2,100,194,4,37,4732952,4818953,4985599,4947694,4962350,4944788,4971785,18086055,18183847,18973062,18658597,19066597,18687830,19095750,124881,133907,111142,134091,109626,134107,111722,40462,38115,33621,37905,35326,37608,34691
2,2,10,2,0,2,100,198,4,38,4856972,4930902,5086112,5051303,5074282,5078840,5066454,18462375,18560168,19365222,19042757,19458757,19071990,19487910,135921,136770,114566,137335,112690,137418,113903,37914,38295,33474,38232,35451,37989,35142
2,2,10,2,0,2,100,202,4,38,4953506,5044725,5215597,5194039,5194586,5194871,5194837,18838695,18936488,19749382,19426917,19842917,19456151,19872070,138751,138719,115687,139190,116951,140480,119528,39101,39219,35738,38660,35412,38862,34607
2,2,10,2,0,2,100,206,4,39,5037103,5106736,5348746,5247049,5307837,5282979,5309333,19215015,19312808,20141542,19811078,20235077,19840310,20264231,142743,144271,125965,144241,127240,145467,126070,39754,41259,34739,40270,34333,40404,35886
2,2,10,2,0,2,100,210,4,40,5128725,5191871,5430906,5368503,5406875,5357503,5406668,19591335,19689128,20541702,20195237,20635237,20224471,20664390,143293,144870,121186,144707,121149,145867,121415,41377,41060,36764,41306,39174,41565,39379
2,2,10,2,0,2,100,214,4,41,5240214,5311393,5547180,5448970,5505141,5430768,5508962,19967655,20065447,20933863,20579397,21027397,20608631,21056550,148487,149105,125764,150514,125270,150231,130177,41232,41216,36239,40729,38761,41059,37346
2,2,10,2,0,2,100,218,4,41,5358814,5444364,5642735,5616171,5624957,5567406,5626900,20343975,20441768,21318022,20963557,21411557,20992791,21440710,140260,141260,123872,150350,124869,151482,126074,46424,46765,38847,42791,38602,43403,38595
2,2,10,2,0,2,100,222,4,42,5482106,5526679,5740496,5689188,5701158,5684415,5698826,20720295,20818087,21710183,21347717,21803718,21376950,21832871,152848,153377,130324,153581,129809,154794,131921,44075,44074,38398,43633,39543,43725,39043
2,2,10,2,0,2,100,226,4,43,5524635,5640733,5875912,5778606,5817735,5762327,5806538,21096616,21194407,22110342,21731877,22203877,21761111,22233030,146638,156465,130353,155430,129203,157297,131784,49251,45643,38301,45046,38614,45598,38469
2,2,10,2,0,2,100,230,4,44,5655177,5702473,5968853,5855019,5910249,5856860,5923884,21472935,21570727,22502503,22116037,22596037,22145271,22625190,161246,161133,135090,162075,133944,163059,135687,45409,45897,40233,45103,44548,45884,44355
2,2,10,2,0,2,100,234,4,44,5758440,5808670,6066313,5973468,6010507,5956271,6031787,21849255,21947048,22886662,22500197,22980198,22529431,23009350,151572,151932,135194,151493,134111,161928,135365,49700,50661,40609,49477,42438,45359,40919
2,2,10,2,0,2,100,238,4,45,5857407,5941661,6176006,6111740,6144071,6059274,6137378,22225575,22323367,23278822,22884358,23372357,22913590,23401510,153834,154392,136216,164575,138177,155539,135741,51308,52278,41159,47862,41389,51350,43328
2,2,10,2,0,2,100,242,4,46,5934097,6023565,6277551,6197367,6218391,6183348,6228582,22601895,22699688,23678982,23268517,23772517,23297750,23801670,156594,166969,136623,168253,139876,168974,141618,52037,47658,40601,47082,41894,46842,42434
2,2,10,2,0,2,100,246,4,47,6060810,6081311,6419887,6234734,6346727,6242142,6333935,22978215,23076008,24071142,23652677,24164677,23681910,24193830,170505,171481,144379,172200,147600,172634,146424,48084,48138,39908,48127,40924,47954,42766
2,2,10,2,0,2,100,250,4,47,6157352,6201591,6495518,6370735,6459320,6393326,6457525,23354535,23452328,24455302,24036837,24548837,24066071,24577990,161840,171267,141948,172587,144056,174049,143380,53574,49657,44640,49653,44627,50199,45401
2,2,10,2,0,2,100,254,4,48,6202107,6279589,6604489,6440670,6536490,6442665,6513971,23730855,23828647,24847463,24420997,24940997,24450231,24970150,164496,175027,146345,175209,147200,176958,149064,54937,50954,45961,50041,44746,50471,44108
2,2,10,2,0,2,100,258,4,49,6342013,6412011,6707996,6596354,6657516,6551341,6664222,24107175,24204967,25247622,24805157,25341157,24834390,25370311,177878,178366,146984,179375,147600,179592,150359,53981,52415,43139,52309,44319,51639,44010
2,2,10,2,0,2,100,262,4,50,6446038,6487264,6831087,6677030,6758000,6680325,6760855,24483495,24581288,25639782,25189317,25733317,25218551,25762470,180344,181566,146454,181220,151227,182617,147584,52983,53881,46522,53440,48328,53665,52058
2,2,10,2,0,2,100,266,4,50,6516196,6586663,6923426,6709632,6840814,6754343,6856334,24859815,24957608,26023942,25573477,26117477,25602710,26146631,181748,182880,154377,183893,151829,172754,153237,54122,54782,47228,54230,49778,59440,48059
2,2,10,2,0,2,100,270,4,51,6644611,6713231,7052330,6875743,6962696,6892932,6963374,25236135,25333928,26416102,25957637,26509637,25986871,26538790,177260,189491,157943,178428,157043,190724,161842,60755,56071,47741,60183,49781,55427,48257
2,2,10,2,0,2,100,274,4,52,6698215,6786916,7125019,6935573,7062139,6947016,7056777,25612455,25710247,26816262,26341797,26909797,26371031,26938950,186923,188251,155649,177079,155070,189662,155353,56628,56957,48393,62028,50628,58090,50967
2,2,10,2,0,2,100,278,4,53,6801698,6875725,7257391,7053003,7175755,7038883,7186658,25988775,26086568,27208422,26725957,27301958,26755190,27331111,191454,192493,156513,192650,160457,193733,158671,56901,57619,47401,57148,48321,57339,48504
2,2,10,2,0,2,100,282,4,53,6927724,7000593,7356232,7140293,7286213,7128736,7282776,26365095,26462888,27592582,27110117,27686117,27139351,27715270,172361,183943,161045,196513,167457,197870,170678,68323,63776,51385,57639,51553,57946,52644
2,2,10,2,0,2,100,286,4,54,7028469,7125640,7464954,7323141,7397172,7348211,7392448,26741415,26839208,27984743,27494278,28078277,27523510,28107431,198112,198719,164266,199032,163088,186910,163102,58963,59230,49120,58450,50684,63795,51767
2,2,10,2,0,2,100,290,4,55,7125070,7202803,7565680,7352515,7490844,7322033,7511078,27117735,27215528,28384902,27878438,28478437,27907670,28507591,199081,200696,162035,188611,164129,201578,166121,60039,60401,49838,64808,51435,58784,51260
2,2,10,2,0,2,100,294,4,56,10339476,10385817,10365595,10358477,10658756,10492620,10968220,27494055,27591848,28777063,28262597,28870598,28291831,28899750,206146,206614,170248,206661,172338,207105,172151,61389,60537,50733,59611,53288,60168,54246
2,2,10,2,0,2,100,298,4,56,7272456,7376452,7764151,7587588,7693446,7525413,7701750,27870376,27968167,29161223,28646757,29254757,28675991,29283911,193063,192775,165862,205818,169930,193629,171505,59254,66281,54371,61897,53349,66973,53191
2,2,10,2,0,2,100,302,4,57,7391244,7468581,7877583,7623087,7802832,7662410,7811964,28246696,28344487,29553382,29030917,29646918,29060151,29676071,208400,209161,174361,208722,170573,210195,173846,62524,63005,53569,61457,55958,62025,54501
2,2,10,2,0,2,100,306,4,58,7573054,7622698,8003828,7796088,7921693,7801115,7913446,28623015,28720808,29953543,29415077,30047077,29444311,30076230,215034,215300,175510,215348,177869,216689,173953,65863,65686,54697,64294,55696,65221,58001
2,2,10,2,0,2,100,310,4,59,7595504,7665220,8105877,7837300,8023675,7836627,8037548,28999336,29097127,30345703,29799237,30439237,29828471,30468390,214238,214702,172466,201223,172693,215533,175604,63415,64272,53618,68987,55338,63558,54411
2,2,10,2,0,2,100,314,4,59,7684955,7729321,8172088,7936057,8115092,7932995,8132015,29375655,29473448,30729862,30183398,30823397,30212631,30852550,214275,214816,176708,215637,181150,216028,177951,65171,64617,56183,64297,56350,64541,58657
2,2,10,2,0,2,100,318,4,60,7868430,7897767,8286236,8045614,8238206,8039790,8238885,29751975,29849768,31122022,30567557,31215557,30596791,31244711,222299,222709,183366,223619,188490,209708,184840,67337,67033,55593,66451,55242,72405,56661
2,2,10,2,0,2,100,322,4,61,7874056,7976533,8431734,8179284,8351909,8141464,8340864,30128296,30226088,31522182,30951717,31615717,30980951,31644870,208638,222089,177396,224094,181394,224666,175518,66732,67097,57124,66915,57811,67047,60890
2,2,10,2,0,2,100,326,4,62,8047205,8124183,8527133,8336690,8450883,8279286,8465638,30504615,30602407,31914342,31335877,32007877,31365111,32037031,211960,225567,181356,211630,180349,227184,183146,76178,69290,57687,74274,60463,68903,59549
2,2,10,2,0,2,100,330,4,62,8784642,8836934,9024635,8849868,9196022,8798683,9229680,30880935,30978728,32298502,31720037,32392038,31749270,32421191,215746,230798,189040,230406,192325,216530,192317,77613,71936,62183,70768,62301,76519,62406
2,2,10,2,0,2,100,334,4,63,8971293,9044992,9213065,9036338,9367958,9094872,9343157,31257255,31355048,32690663,32104197,32784198,32133431,32813351,217131,217869,182982,203227,186003,230818,189279,77029,78497,63812,84115,63956,71451,62635
2,2,10,2,0,2,100,338,4,64,9023087,9061357,9296000,9092838,9473115,9161964,9474561,31633576,31731368,33090823,32488357,33184358,32517591,33213510,233619,233783,187582,234152,190071,235173,189371,73891,73344,62398,71285,63798,73839,64181
2,2,10,2,0,2,100,342,4,65,9043425,9152105,9423194,9193802,9559917,9227745,9579920,32009896,32107688,33482982,32872517,33576517,32901751,33605670,239241,238862,195343,240758,196805,240790,196937,73345,74933,62384,73531,63505,73958,63720
2,2,10,2,0,2,100,346,4,65,9199503,9350296,9544516,9415394,9715071,9339467,9693805,32386215,32484008,33867142,33256678,33960678,33285911,33989831,224686,225264,196321,238940,195769,239452,196310,73595,81721,63362,74645,63669,73677,63805
2,2,10,2,0,2,100,350,4,66,9310716,9378717,9719486,9664384,9783714,9324578,9835780,32762535,32860328,34259303,33640838,34352838,33670071,34381990,241084,240329,196274,241526,195726,241327,196367,75705,74806,65357,76095,66655,74658,67352
2,2,10,2,0,2,100,354,4,67,9404098,9471154,9832801,9576465,9971075,9544462,9981024,33138855,33236648,34659462,34024998,34752997,34054231,34782151,247241,248316,200970,247695,198390,248544,205802,76168,76035,64697,76306,68001,76369,64567
