repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,400,2,4,1,10052,134051,163619,188900,212308,193467,215602,1008,481853,661749,703428,871428,688690,872617,910,1242,2884,1365,3002,1546,3113,648,823,1786,960,1901,1026,1868
2,2,10,2,0,2,400,6,4,2,440714,639062,686891,667049,709905,649237,678798,1633608,2097733,2317629,2319308,2527308,2400090,2624017,9352,9736,9863,9933,9812,10264,10161,4553,4701,4707,4779,4787,5010,4848
2,2,10,2,0,2,400,10,4,2,817480,1021654,1095210,1055243,1100136,1030328,1062581,3161928,3657893,3877789,3879468,4087468,3928410,4152337,21673,23237,23168,23218,23595,23755,23561,7154,6829,6824,6864,6839,6974,6857
2,2,10,2,0,2,400,14,4,3,1212256,1430613,1507898,1460894,1495312,1423802,1461402,4690248,5218053,5477949,5439628,5687628,5456730,5720657,33827,33923,34005,36173,36242,36719,36592,9787,9890,9962,9481,9485,9553,9454
2,2,10,2,0,2,400,18,4,4,1602020,1833285,1897255,1863715,1916733,1812889,1863590,6218568,6778214,7118109,6999788,7327788,6985050,7328977,48464,49371,48358,49534,48711,49460,49233,11617,11844,11773,11971,11909,12045,12013
2,2,10,2,0,2,400,22,4,5,2005408,2296119,2308776,2270739,2328397,2206530,2256561,7746888,8338373,8718269,8559948,8927948,8513370,8897297,60225,60530,59133,60604,60092,60931,60413,14824,14955,14829,15067,15438,15168,15231
2,2,10,2,0,2,400,26,4,5,2391808,2641994,2720876,2669440,2723346,2608923,2653443,9275208,9898533,10278429,10120108,10488108,10041690,10425617,67449,67974,67622,68588,67849,73129,72060,19316,19231,19137,19427,19070,18062,18065
2,2,10,2,0,2,400,30,4,6,2787129,3029177,3112574,3066802,3129918,2988746,3055122,10803528,11458693,11878589,11680268,12088268,11570010,11993937,77745,77877,77387,78130,82764,83456,83230,22216,22563,22564,22553,21326,21000,21276
2,2,10,2,0,2,400,34,4,7,3178879,3433204,3508719,3468750,3535966,3393256,3451757,12331848,13018853,13518749,13240428,13728428,13098330,13602257,88278,89245,86198,89265,87765,89916,93612,26325,26508,26165,26555,26460,26682,24839
2,2,10,2,0,2,400,38,4,8,3578401,3852101,3868720,3878004,3844963,3800805,3825633,13860168,14579013,14870909,14800588,15080588,14626650,14914577,99384,106262,99273,106598,101288,106862,100621,30044,27742,28027,28167,28035,28812,28841
2,2,10,2,0,2,400,42,4,8,4118200,4250494,4281441,4258958,4261083,4175039,4221070,15388488,16139174,16431069,16360748,16640748,16154970,16442897,116978,117934,111446,117714,113098,118596,112997,31461,32599,31903,31715,31290,32090,31590
2,2,10,2,0,2,400,46,4,9,4524121,4643494,4708189,4665683,4694037,4567055,4617124,16916808,17699334,18063230,17920908,18264908,17683290,18043217,120822,121759,121853,129041,122699,130289,125159,38584,37772,36166,34777,35248,35356,35225
