repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,20,2,4,1,9342,26141,26156,36080,38441,49114,43874,8334,24135,30160,43152,48752,49139,54245,2209,11682,12598,21223,21942,25126,25517,39,75,74,76,75,126,93
2,2,10,2,0,2,20,6,4,2,59929,75751,82716,84849,93049,100154,101318,92974,107710,115320,124912,132112,131094,137605,31172,40507,43219,48261,50174,52195,54084,172,206,112,217,118,285,140
2,2,10,2,0,2,20,10,4,2,109915,126080,135688,136542,143308,148007,150181,175454,190255,197800,205952,213152,212165,218645,59325,68710,71330,74906,76897,78775,80838,286,338,301,363,319,448,360
2,2,10,2,0,2,20,14,4,3,156668,174853,186105,183080,195819,200429,190824,257934,272735,281880,286992,295792,293227,301285,87476,96880,99205,101682,103728,105678,106879,557,605,422,633,448,741,478
2,2,10,2,0,2,20,18,4,4,203828,225701,229182,233161,241282,247378,248613,340414,355215,367560,368032,380032,374267,385525,115627,125024,127897,128377,132678,132349,135071,793,840,192,851,204,945,246
2,2,10,2,0,2,20,22,4,5,249477,270815,275079,282416,295665,294853,301243,422894,437695,451640,449072,462672,455333,468165,143797,153219,156517,155082,160423,159096,162642,793,851,178,877,197,961,216
2,2,10,2,0,2,20,26,4,5,298838,321181,328786,332313,344532,351012,349844,505374,520175,534120,530112,543712,536394,549205,171977,181357,184644,181842,187113,186274,189342,928,1033,485,1076,525,1141,548
2,2,10,2,0,2,20,30,4,6,349126,369659,375139,386720,395595,397926,401344,587854,602655,618200,611152,626352,617434,631845,200138,209521,213260,209963,214304,213009,216318,985,1177,517,1227,550,1277,554
2,2,10,2,0,2,20,34,4,7,399706,422704,418450,432955,434077,446616,439779,670334,685135,703880,692192,710592,698474,716085,228287,237984,242043,235788,239919,239716,243318,962,1245,230,1277,252,1431,367
2,2,10,2,0,2,20,38,4,8,455028,476102,474798,486484,490893,501001,499919,752814,767615,787960,773232,793232,779514,798725,256417,265846,270324,262866,266810,266296,269969,972,1354,213,1405,228,1477,274
2,2,10,2,0,2,20,42,4,8,494532,521049,523239,535932,542081,549830,547769,835294,850095,870440,854272,874272,860554,879765,284563,293964,298467,289577,293543,292906,297183,1089,1559,556,1610,571,1734,681
2,2,10,2,0,2,20,46,4,9,551075,568050,570813,580716,593548,604481,596137,917774,932575,954520,935312,956912,941594,962405,312743,322238,327074,316311,321044,319859,323856,1079,1820,674,1709,694,1925,710
2,2,10,2,0,2,20,50,4,10,593619,610712,621021,632700,644810,644137,647487,1000254,1015055,1040200,1016352,1041152,1022634,1046645,340882,350373,356013,343009,348636,346501,351445,1105,1901,529,1853,710,2043,791
2,2,10,2,0,2,20,54,4,11,640021,658801,671741,681193,693194,700655,699256,1082734,1097535,1124280,1097392,1123792,1103674,1129285,369051,378556,384620,370004,375692,373454,378906,1139,2057,440,2182,551,2447,661
2,2,10,2,0,2,20,58,4,11,686052,710507,719271,726339,739491,743890,747994,1165214,1180015,1206760,1178432,1204832,1184714,1210325,397206,406712,412783,396441,402333,400050,405838,1086,1984,570,2055,592,2123,681
2,2,10,2,0,2,20,62,4,12,736329,756384,768585,778675,794445,793812,797039,1247694,1262495,1290840,1259472,1287472,1265754,1292965,425364,434821,441407,423222,430811,426669,432929,1130,2035,586,2260,676,2260,702
2,2,10,2,0,2,20,66,4,13,782233,801087,819878,821861,843695,835189,846977,1330174,1344975,1376520,1340512,1371712,1346794,1377205,453521,463011,470277,449912,457556,453485,460244,1149,2177,231,2295,252,2370,354
2,2,10,2,0,2,20,70,4,14,834241,850440,867440,875611,889532,893865,897329,1412654,1427455,1460600,1421552,1454352,1427834,1459845,481699,491190,498848,476646,483833,480342,487858,1108,2171,271,2188,305,2470,455
2,2,10,2,0,2,20,74,4,14,881142,901057,917032,923698,938934,935826,949379,1495134,1509935,1543080,1502592,1535392,1508874,1540885,509868,519280,527040,503399,510632,507048,514445,1165,2420,640,2573,726,2930,1010
2,2,10,2,0,2,20,78,4,15,928960,944151,963717,969893,990434,985799,997343,1577614,1592415,1627160,1583632,1618032,1589914,1623525,538043,547396,555548,530186,537945,533700,541283,1188,2424,641,2654,789,2821,913
2,2,10,2,0,2,20,82,4,16,983021,991708,1012676,1012516,1037524,1028822,1043446,1660094,1674895,1712840,1664672,1702272,1670954,1707765,566187,575641,584473,556781,565634,560352,568771,1142,2536,232,2670,309,2786,429
2,2,10,2,0,2,20,86,4,17,1026902,1037784,1064025,1060827,1091541,1074295,1092330,1742574,1757375,1796920,1745712,1784912,1751994,1790405,594357,603853,613072,583463,593320,586735,595863,1240,2489,268,2730,297,2891,441
2,2,10,2,0,2,20,90,4,17,1076585,1087339,1109444,1111048,1140382,1129017,1141467,1825054,1839855,1879400,1826752,1865952,1833034,1871445,622507,631938,641223,610237,619392,613654,622581,1265,2588,595,2877,625,3057,802
2,2,10,2,0,2,20,94,4,18,1121136,1136089,1162503,1162897,1188043,1174599,1193366,1907534,1922335,1963480,1907792,1948592,1914074,1954085,650657,660128,669797,637125,646597,640436,649741,1265,2669,631,3165,711,3186,890
2,2,10,2,0,2,20,98,4,19,1175024,1186030,1213429,1208070,1244775,1219277,1247128,1990014,2004815,2049160,1988832,2032832,1995114,2038325,678817,688325,698722,664242,674492,667061,677366,1325,2767,456,3364,568,3544,732
2,2,10,2,0,2,20,102,4,20,1223674,1238037,1265980,1261740,1292108,1273533,1297814,2072494,2087295,2133240,2069872,2115472,2076154,2120965,707006,716502,727301,690359,701265,693775,704472,1382,3150,730,3583,895,3748,1164
2,2,10,2,0,2,20,106,4,20,1271853,1278140,1310199,1307718,1339209,1319751,1343539,2154974,2169775,2215720,2150912,2196512,2157194,2202005,735154,744651,755478,717118,728099,720396,731023,1369,2782,673,3426,942,3517,1131
2,2,10,2,0,2,20,110,4,21,1315905,1328024,1360824,1352367,1389874,1369294,1393738,2237454,2252255,2299800,2231952,2279152,2238234,2284645,763289,772790,784070,743806,755016,747290,758274,1361,2927,693,3652,936,3726,1051
