repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,20,2,4,1,20589,33105,31992,38822,40907,49452,49273,16844,30412,34256,44160,46560,51623,55301,14292,21552,22137,27317,28060,33011,33845,32,54,49,60,65,94,91
2,2,10,2,0,2,20,6,4,2,114058,131121,133054,133500,139346,144044,148480,154764,168332,173776,182080,186080,189543,194821,40337,47590,48962,53245,55535,58971,61147,251,281,161,299,175,318,195
2,2,10,2,0,2,20,10,4,2,184519,200545,209291,204450,214148,215886,224257,253084,266652,272096,280400,284400,287863,293141,51940,59264,60555,65041,67595,70431,72571,290,319,301,330,321,366,354
2,2,10,2,0,2,20,14,4,3,254063,270618,282565,283190,273780,289400,298321,351404,364972,372016,378720,384320,386183,393061,63516,70753,72413,76476,77715,82026,84970,463,498,381,522,405,559,434
2,2,10,2,0,2,20,18,4,4,331068,346233,349710,348591,359482,362049,366841,449724,463292,473136,477040,485440,484503,494181,75113,82392,84977,88178,92077,93702,96674,682,726,454,754,484,767,534
2,2,10,2,0,2,20,22,4,5,398833,421184,416132,429789,426487,435937,431170,548044,561612,573056,575360,585360,582823,594101,86767,94004,96988,99689,104126,105359,108768,922,969,535,1019,560,1035,603
2,2,10,2,0,2,20,26,4,5,465949,494822,500022,502226,508400,505628,510667,646364,659932,671376,673680,683680,681143,692421,98316,105605,108570,111250,115706,116839,120304,914,947,826,1018,827,1058,1183
2,2,10,2,0,2,20,30,4,6,539583,563490,563465,572782,578076,574249,582634,744684,758252,771296,772000,783600,779463,792341,109916,117211,120586,122988,127693,128533,132387,1051,1104,822,1226,882,1200,902
2,2,10,2,0,2,20,34,4,7,607555,633321,639341,640000,629918,648032,639112,843004,856572,872416,870320,884720,877783,893461,121523,128815,132273,134523,137449,140208,143454,1251,1381,1005,1344,891,1442,1013
2,2,10,2,0,2,20,38,4,8,676397,698196,708635,710182,701004,716547,707281,941324,954892,972336,968640,984640,976103,993381,133142,140493,144438,146089,149394,151806,155626,1364,1384,873,1487,910,1518,980
2,2,10,2,0,2,20,42,4,8,749021,770042,788093,782849,783704,788499,787599,1039644,1053212,1070656,1066960,1082960,1074423,1091701,144772,152061,155998,157813,161071,163441,167204,1429,1481,1247,1571,1279,1568,1321
2,2,10,2,0,2,20,46,4,9,817607,840176,858423,855299,852496,858717,851460,1137964,1151532,1170576,1165280,1182880,1172743,1191621,156338,163660,167948,169405,173081,174904,179189,1497,1686,1238,1653,1261,1719,1330
2,2,10,2,0,2,20,50,4,10,890808,913294,915068,918287,923538,931034,927416,1236284,1249852,1271696,1263600,1284000,1271063,1292741,167939,175273,179478,181072,187291,186614,191473,1590,2023,1524,2200,1538,2137,1639
2,2,10,2,0,2,20,54,4,11,959024,983722,983205,1000031,994076,1004216,999237,1334604,1348172,1371616,1361920,1383920,1369383,1392661,179535,186842,191505,192600,199088,198221,204439,1692,1889,1343,2164,1466,2232,1532
2,2,10,2,0,2,20,58,4,11,1028096,1053120,1058465,1069147,1081835,1070777,1073620,1432924,1446492,1469936,1460240,1482240,1467703,1490981,191118,198418,203064,204149,211051,209898,215684,1864,1911,1663,2046,1703,2052,1783
2,2,10,2,0,2,20,62,4,12,1103052,1124484,1128854,1136284,1141254,1143905,1145720,1531244,1544812,1569856,1558560,1582160,1566023,1590901,202735,209985,215078,215726,223084,221383,227660,1911,2004,1612,2313,1644,2461,1875
2,2,10,2,0,2,20,66,4,13,1171840,1194086,1198790,1209467,1209742,1219529,1214704,1629564,1643132,1670976,1656880,1683280,1664343,1692021,214335,221636,227078,227313,234845,233025,239812,2085,2144,1666,2504,1808,2417,1796
2,2,10,2,0,2,20,70,4,14,1238342,1264178,1271119,1273258,1277572,1279578,1282516,1727884,1741452,1770896,1755200,1783200,1762663,1791941,225979,233238,239094,238902,246411,244582,251601,2203,2263,1699,2301,1744,2469,1856
2,2,10,2,0,2,20,74,4,14,1311572,1335449,1342565,1348626,1356213,1355615,1356670,1826204,1839772,1869216,1853520,1881520,1860983,1890261,237529,244910,250683,250563,258421,256236,263549,2370,2657,2142,2726,2196,2790,2306
2,2,10,2,0,2,20,78,4,15,1378761,1408650,1415805,1423521,1425995,1425528,1428780,1924524,1938092,1969136,1951840,1981440,1959303,1990181,249155,256450,262672,262216,269896,267863,275152,2417,2668,2293,2914,2344,2973,2415
2,2,10,2,0,2,20,82,4,16,1453366,1480332,1490410,1487541,1499689,1498343,1504019,2022844,2036412,2070256,2050160,2082560,2057623,2091301,260778,268041,274706,273924,282015,279283,287601,2629,2994,2237,3108,2240,3256,2317
2,2,10,2,0,2,20,86,4,17,1520553,1547304,1554609,1556927,1566714,1560827,1567953,2121164,2134732,2170176,2148480,2182480,2155943,2191221,272356,279665,286662,285376,293637,290918,298939,2582,2713,2073,2775,2112,2826,2241
2,2,10,2,0,2,20,90,4,17,1590987,1619866,1631623,1624238,1640878,1632056,1645689,2219484,2233052,2268496,2246800,2280800,2254263,2289541,283955,291238,298326,296943,305052,302586,311348,2700,2798,2416,2942,2566,2969,2554
2,2,10,2,0,2,20,94,4,18,1660909,1687046,1700282,1712162,1721822,1709510,1715760,2317804,2331372,2368416,2345120,2380720,2352583,2389461,295574,302852,310285,308549,317003,314233,322840,2792,2841,2427,3365,2438,3404,2560
2,2,10,2,0,2,20,98,4,19,1738366,1763630,1774562,1769833,1783292,1785183,1792241,2416124,2429692,2469536,2443440,2481840,2450903,2490581,307173,314437,322283,320252,329249,325827,335041,3082,3722,2786,3947,2866,3909,2925
2,2,10,2,0,2,20,102,4,20,1803453,1833184,1844576,1851298,1860430,1851586,1865873,2514444,2528012,2569456,2541760,2581760,2549223,2590501,318787,326050,334295,332101,341198,337386,347541,3091,3591,2715,4022,2879,3840,2999
2,2,10,2,0,2,20,106,4,20,1874300,1906977,1914766,1918849,1931428,1921006,1936111,2612764,2626332,2667776,2640080,2680080,2647543,2688821,330413,337650,345899,344535,352859,349479,358296,3176,3815,3083,4013,3138,3831,3297
2,2,10,2,0,2,20,110,4,21,1947321,1976370,1992764,1996133,2001770,1992332,2008922,2711084,2724652,2767696,2738400,2780000,2745863,2788741,341916,349197,357928,356449,364622,361512,370712,3319,3968,3023,4240,3403,4040,3506
2,2,10,2,0,2,20,114,4,22,2014960,2046527,2065562,2067060,2071572,2066782,2077714,2809404,2822972,2868816,2836720,2881120,2844183,2889861,353572,360835,369924,368098,376745,372829,382577,3405,3850,2794,4215,2840,3988,2936
2,2,10,2,0,2,20,118,4,23,2084583,2118605,2135448,2146130,2146166,2134493,2142656,2907724,2921292,2968736,2935040,2981040,2942503,2989781,365165,372556,381937,379751,388062,384333,394006,3468,3866,2817,4424,2840,3897,2958
2,2,10,2,0,2,20,122,4,23,2158847,2201395,2206021,2204715,2215704,2206889,2218188,3006044,3019612,3067056,3033360,3079360,3040823,3088101,376737,384136,393700,391071,400041,396373,406505,3573,4005,3170,3889,3188,3968,3357
2,2,10,2,0,2,20,126,4,24,2230797,2263656,2279630,2279595,2288414,2274860,2293041,3104364,3117932,3166976,3131680,3179280,3139143,3188021,388338,395768,405660,403418,412309,407150,418592,3735,3771,3154,4276,3180,4149,3306
2,2,10,2,0,2,20,130,4,25,2298993,2331423,2359893,2364348,2384142,2349067,2367555,3202684,3216252,3268096,3230000,3280400,3237463,3289141,399973,407371,417697,414460,424565,418692,430431,3798,4169,3398,4333,3412,4373,3538
2,2,10,2,0,2,20,134,4,26,2376747,2407387,2438847,2422132,2444601,2420397,2442347,3301004,3314572,3368016,3328320,3380320,3335783,3389061,413007,420404,431144,427691,440431,432228,443672,3847,4275,3190,4333,3252,4322,3331
2,2,10,2,0,2,20,138,4,26,2448344,2480141,2502989,2508480,2531949,2498706,2516897,3399324,3412892,3466336,3426640,3478640,3434103,3487381,424610,432084,442742,439004,450472,444279,454647,4014,4302,3556,4492,3614,4616,3825
2,2,10,2,0,2,20,142,4,27,2519131,2552154,2578705,2586876,2609690,2571606,2590575,3497644,3511212,3566256,3524960,3578560,3532423,3587301,436195,443766,454708,450673,463144,456005,467131,4139,4326,3547,4755,3581,4856,3782
2,2,10,2,0,2,20,146,4,28,2589668,2625406,2654523,2647716,2663396,2635955,2667963,3595964,3609532,3667376,3623280,3679680,3630743,3688421,447783,455240,466716,462464,473199,467304,479800,4361,5132,3869,5891,3909,5145,4104
2,2,10,2,0,2,20,150,4,29,2661140,2690650,2716446,2712329,2735382,2706871,2737766,3694284,3707852,3767296,3721600,3779600,3729063,3788341,459390,466845,478730,474244,487010,479277,492111,4416,5089,3647,5115,3711,5313,3922
2,2,10,2,0,2,20,154,4,29,2730494,2778011,2796306,2797997,2813898,2792345,2814585,3792604,3806172,3865616,3819920,3877920,3827383,3886661,471015,478438,490389,485403,497333,490810,503466,4798,6062,5113,6259,5236,6348,5460
2,2,10,2,0,2,20,158,4,30,2803298,2856574,2869578,2870198,2887442,2862180,2883464,3890924,3904492,3965536,3918240,3977840,3925703,3986581,482592,490027,502294,497724,509364,502421,515219,4644,6354,4672,6848,5222,6449,5089
2,2,10,2,0,2,20,162,4,31,2874497,2915183,2942722,2930764,2960037,2929913,2955642,3989244,4002812,4066656,4016560,4078960,4024023,4087701,494200,501648,514520,508997,522373,513667,527096,4836,5826,4480,6043,4614,6100,4888
2,2,10,2,0,2,20,166,4,32,2956992,2974669,3007190,3007580,3048162,2994243,3022568,4087564,4101132,4166576,4114880,4178880,4122343,4187621,505822,513331,526363,519990,534116,525156,539756,4834,5251,3966,5806,4327,5483,4449
2,2,10,2,0,2,20,170,4,32,3011672,3038322,3079872,3082919,3125661,3058872,3096373,4185884,4199452,4264896,4213200,4277200,4220663,4285941,517400,524876,538019,532012,545383,536511,550941,4920,5357,4350,5572,4669,5624,4815
2,2,10,2,0,2,20,174,4,33,3086881,3125795,3150877,3143177,3164677,3138174,3174420,4284204,4297772,4364816,4311520,4377120,4318983,4385861,529011,536465,550019,544148,558947,548327,563756,4989,5884,4449,6286,4524,6089,4717
2,2,10,2,0,2,20,178,4,34,3152917,3188178,3236087,3203157,3237402,3201384,3250506,4382524,4396092,4465936,4409840,4478240,4417303,4486981,540639,548035,562002,555090,570017,560252,576009,5101,6093,4763,6452,4822,6066,4989
2,2,10,2,0,2,20,182,4,35,3231120,3258693,3294161,3315384,3345378,3273898,3312235,4480844,4494412,4565856,4508160,4578160,4515623,4586901,552191,559715,573999,566920,582547,571906,588162,5191,5722,4431,6052,4487,6001,4586
2,2,10,2,0,2,20,186,4,35,3293643,3333563,3360348,3341394,3383696,3348081,3388289,4579164,4592732,4664176,4606480,4676480,4613943,4685221,563795,571209,585542,578087,594725,583792,599646,5288,5830,4750,6070,4828,6293,4988
2,2,10,2,0,2,20,190,4,36,3366168,3417546,3446898,3424077,3463651,3424910,3466752,4677484,4691052,4764096,4704800,4776400,4712263,4785141,575428,582849,597555,589767,605812,594991,611492,5460,6468,4689,6766,4874,6607,5071
2,2,10,2,0,2,20,194,4,37,3436429,3479691,3519101,3532047,3564789,3516679,3548076,4775804,4789372,4865216,4803120,4877520,4810583,4886261,587021,594494,609541,601479,616745,606714,623898,5580,6492,4842,7418,5257,7643,5574
2,2,10,2,0,2,20,198,4,38,3506520,3548254,3592780,3591233,3631326,3562064,3611387,4874124,4887692,4965136,4901440,4977440,4908903,4986181,598587,606099,621535,613405,629231,618261,635888,5717,6714,5100,7193,5374,6915,5321
2,2,10,2,0,2,20,202,4,38,3578688,3633474,3657235,3658076,3685272,3661058,3687297,4972444,4986012,5063456,4999760,5075760,5007223,5084501,610241,617637,633182,624527,641673,629872,647693,5922,8062,5869,8339,6014,8439,6124
2,2,10,2,0,2,20,206,4,39,3655675,3716253,3748462,3763021,3793956,3735186,3764656,5070764,5084332,5163376,5098080,5175680,5105543,5184421,621787,629251,645099,636349,652410,641502,659294,5900,8432,6054,8522,6053,8689,6491
2,2,10,2,0,2,20,210,4,40,3720138,3765418,3813908,3796859,3830011,3797425,3835831,5169084,5182652,5264496,5196400,5276800,5203863,5285541,633499,640900,657476,647973,665440,653037,671072,6041,8360,6131,9046,6328,8773,6434
2,2,10,2,0,2,20,214,4,41,3794215,3831913,3871851,3873706,3898959,3855078,3904076,5267404,5280972,5364416,5294720,5376720,5302183,5385461,645007,652443,669128,659536,677767,664740,682795,6211,7623,5276,7732,5404,7691,5634
2,2,10,2,0,2,20,218,4,41,3859673,3898903,3953363,3934419,3969596,3917316,3977083,5365724,5379292,5462736,5393040,5475040,5400503,5483781,656607,664051,680800,671272,688208,676466,694659,6211,7090,5634,8644,6097,7318,6097
2,2,10,2,0,2,20,222,4,42,3930755,3987182,4018626,4039926,4086523,3995332,4044583,5464044,5477612,5562656,5491360,5574960,5498823,5583701,668228,675684,692751,683350,701139,687459,706648,6302,7864,5446,8219,5725,7935,5918
2,2,10,2,0,2,20,226,4,43,4020576,4050233,4099533,4080291,4118126,4077789,4126131,5562364,5575932,5663776,5589680,5676080,5597143,5684821,679793,687244,704799,694959,713575,699238,718711,6391,7750,5471,8227,5883,8106,6024
2,2,10,2,0,2,20,230,4,44,4077082,4154312,4169431,4169888,4202668,4167080,4201736,5660684,5674252,5763696,5688000,5776000,5695463,5784741,691398,698777,717479,705908,724989,711310,731496,6726,8361,5638,8406,5918,8713,6359
2,2,10,2,0,2,20,234,4,44,4147631,4202405,4241305,4210874,4257261,4202356,4269343,5759004,5772572,5862016,5786320,5874320,5793783,5883061,703009,710451,728267,717369,736538,722775,742315,6766,7972,5910,7915,5928,7475,6079
2,2,10,2,0,2,20,238,4,45,4217800,4280494,4315040,4297116,4340127,4288613,4339503,5857324,5870892,5961936,5884640,5974240,5892103,5982981,714608,722142,740529,729441,748375,733512,754067,6744,9013,6016,9361,6284,8688,6429
2,2,10,2,0,2,20,242,4,46,4286936,4358659,4392817,4402543,4429551,4390431,4433780,5955644,5969212,6063056,5982960,6075360,5990423,6084101,726241,733630,752502,740676,760554,746049,766836,6901,9903,6201,10616,6884,10155,7039
2,2,10,2,0,2,20,246,4,47,4373792,4396674,4454413,4456550,4495421,4428089,4493231,6053964,6067532,6162976,6081280,6175280,6088743,6184021,737808,745234,764518,752074,772213,757388,778287,7071,9130,6604,9677,6839,8789,7083
2,2,10,2,0,2,20,250,4,47,4427441,4487899,4535378,4514272,4558291,4509699,4566601,6152284,6165852,6261296,6179600,6273600,6187063,6282341,749388,756856,776183,764001,783745,768493,790277,7241,9630,7176,9673,7183,9629,7658
2,2,10,2,0,2,20,254,4,48,4503100,4567995,4620612,4596481,4635609,4587122,4639238,6250604,6264172,6361216,6277920,6373520,6285383,6382261,761020,768450,787969,776142,795988,780681,801708,7220,9958,6714,10706,6870,10142,6918
2,2,10,2,0,2,20,258,4,49,4581248,4664142,4706178,4729762,4760375,4688340,4724725,6348924,6362492,6462336,6376240,6474640,6383703,6483381,772624,780021,799946,787195,807582,792331,814071,7454,11707,7760,11689,7944,11819,8258
2,2,10,2,0,2,20,262,4,50,4645685,4724927,4761147,4781800,4822325,4755258,4785572,6447244,6460812,6562256,6474560,6574560,6482023,6583301,784202,791610,812028,799136,818836,803876,825613,7580,10162,6571,10469,7005,10940,7362
2,2,10,2,0,2,20,266,4,50,4712566,4764960,4820202,4794577,4849571,4789095,4854434,6545564,6559132,6660576,6572880,6672880,6580343,6681621,795806,803303,823747,810458,831931,815189,837772,7505,8980,6704,9193,6945,9343,7164
2,2,10,2,0,2,20,270,4,51,4783545,4856410,4903676,4912545,4987615,4883993,4946055,6643884,6657452,6760496,6671200,6772800,6678663,6781541,807401,814886,835490,822035,842846,826625,849700,7742,10951,8637,11162,9410,11183,9717
2,2,10,2,0,2,20,274,4,52,4852291,4928664,4986933,4933331,4991337,4948871,5007673,6742204,6755772,6861616,6769520,6873920,6776983,6882661,819001,826444,847508,833349,855227,838518,860915,7703,10560,7026,10482,7596,10525,7757
2,2,10,2,0,2,20,278,4,53,4920812,4971611,5035550,4999986,5071727,4978540,5074532,6840524,6854092,6961536,6867840,6973840,6875303,6982581,830611,838069,859663,845590,867190,850259,873154,7748,9486,6637,9409,6990,9156,7150
2,2,10,2,0,2,20,282,4,53,4993485,5060689,5114121,5137057,5190341,5095321,5144629,6938844,6952412,7059856,6966160,7072160,6973623,7080901,842229,849686,871107,857248,878226,861425,884939,7959,9645,7233,10054,7382,9983,7763
2,2,10,2,0,2,20,286,4,54,5063999,5138459,5189964,5166908,5212869,5163540,5223054,7037164,7050732,7159776,7064480,7172080,7071943,7180821,853826,861219,883392,868086,891102,873523,896981,8035,10184,7221,10619,7433,10646,7732
2,2,10,2,0,2,20,290,4,55,5138519,5201011,5266224,5246197,5292108,5232252,5299235,7135484,7149052,7260896,7162800,7273200,7170263,7281941,865457,872824,895234,879972,903006,885317,908882,8127,10520,7118,12421,7936,10904,7907
2,2,10,2,0,2,20,294,4,56,5210180,5280464,5340500,5317127,5371792,5311240,5369650,7233804,7247372,7360816,7261120,7373120,7268583,7381861,877002,884412,907251,891724,914307,896410,921008,8359,10745,7939,11414,8535,11427,8991
2,2,10,2,0,2,20,298,4,56,5273038,5336885,5414718,5362583,5433194,5369571,5438386,7332124,7345692,7459136,7359440,7471440,7366903,7480181,888631,896027,918700,902835,925872,908379,932477,8413,10517,7992,11042,8258,10974,8551
2,2,10,2,0,2,20,302,4,57,5355806,5412321,5493793,5450084,5517969,5445408,5521353,7430444,7444012,7559056,7457760,7571360,7465223,7580101,900205,907599,930646,914854,939160,919759,944641,8648,11474,8367,12295,8744,12117,8966
2,2,10,2,0,2,20,306,4,58,5417806,5511899,5572078,5525882,5600330,5523934,5598739,7528764,7542332,7660176,7556080,7672480,7563543,7681221,911838,919191,943202,926556,950688,930961,956716,8631,11881,8112,11942,8366,11671,8693
2,2,10,2,0,2,20,310,4,59,5493341,5582699,5634049,5637547,5665364,5601143,5668920,7627084,7640652,7760096,7654400,7772400,7661863,7781141,923399,930869,954961,938551,961936,943285,969045,8802,11902,8156,12432,8399,11991,8783
2,2,10,2,0,2,20,314,4,59,5564781,5661822,5724012,5712490,5742899,5694340,5741798,7725404,7738972,7858416,7752720,7870720,7760183,7879461,935083,942428,966524,950731,974635,954762,980675,8929,12901,8843,14337,10173,13655,10138
2,2,10,2,0,2,20,318,4,60,5633299,5728642,5792158,5771798,5814843,5749166,5818824,7823724,7837292,7958336,7851040,7970640,7858503,7979381,946619,954119,978559,961053,986678,965814,992092,9035,12580,8644,13635,9411,12838,9426
2,2,10,2,0,2,20,322,4,61,5701325,5846806,5883288,5855217,5896851,5855855,5906572,7922044,7935612,8059456,7949360,8071760,7956823,8080501,958252,965660,990826,973099,998519,978080,1004536,9101,14254,8967,14061,9604,13859,9993
2,2,10,2,0,2,20,326,4,62,5768943,5873449,5933073,5960481,6010171,5886913,5958567,8020364,8033932,8159376,8047680,8171680,8055143,8180421,969802,977241,1002382,985082,1011227,989253,1016191,9183,12371,8324,13330,9179,12487,9202
2,2,10,2,0,2,20,330,4,62,5839139,5931106,6012012,5971594,6032798,5952904,6031548,8118684,8132252,8257696,8146000,8270000,8153463,8278741,981443,988905,1014126,995711,1021399,1001028,1027696,9229,12255,8992,12928,9659,12193,9816
2,2,10,2,0,2,20,334,4,63,5914307,5984906,6084467,6088073,6170303,6008735,6113841,8217004,8230572,8357616,8244320,8369920,8251783,8378661,993033,1000486,1025993,1008089,1033661,1012068,1039749,9273,11637,8656,12470,9948,11910,10193
2,2,10,2,0,2,20,338,4,64,5998078,6102175,6182718,6130914,6199433,6126724,6203732,8315324,8328892,8458736,8342640,8471040,8350103,8479781,1004627,1012095,1037964,1019399,1045887,1024057,1051910,9552,12787,8778,13326,9820,13120,10125
2,2,10,2,0,2,20,342,4,65,6071759,6174407,6244874,6213351,6266922,6190459,6261573,8413644,8427212,8558656,8440960,8570960,8448423,8579701,1016201,1023668,1049965,1030724,1057534,1035699,1064025,9671,13437,9502,13866,10435,14056,10790
2,2,10,2,0,2,20,346,4,65,6134801,6218231,6304869,6265131,6336888,6246562,6336592,8511964,8525532,8656976,8539280,8669280,8546743,8678021,1027856,1035269,1061528,1042413,1068973,1047600,1075264,9802,12719,9166,13218,10224,12945,10482
