repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,100,2,2,1,5042,50618,58909,55422,74835,63208,70109,1618,142403,189299,193098,239098,185287,229247,452,691,630,682,719,806,891,383,468,461,515,544,597,655
2,2,10,2,0,2,100,6,2,1,123522,153823,159951,171833,181851,170411,176522,442728,550993,597889,601688,647688,609557,653517,1013,1275,1220,1240,1288,1375,1424,834,969,970,986,1037,1058,1107
2,2,10,2,0,2,100,10,2,1,207427,239437,245637,249124,258145,258533,267489,612128,661593,708489,716208,775928,745637,789597,1727,2119,2014,2169,2128,2176,2157,1234,1454,1360,1464,1468,1474,1425
2,2,10,2,0,2,100,14,2,2,303554,335863,347443,341924,353873,352488,356009,997888,1041473,1098369,1096088,1165808,1125517,1179477,2298,2598,2592,2679,2684,2857,2733,1475,1706,1677,1771,1755,1868,1784
2,2,10,2,0,2,100,18,2,2,300124,317734,331435,326716,342504,339401,350196,880288,894473,951369,949088,1018808,978517,1032477,2915,3180,3127,3294,3263,3387,3261,1738,2005,1956,2104,2063,2108,2021
2,2,10,2,0,2,100,22,2,3,382142,400467,409912,408791,421669,418351,426909,1268368,1276673,1343569,1331288,1411008,1360717,1424677,3683,4044,4041,4113,4181,4304,4289,2031,2347,2310,2379,2478,2506,2523
2,2,10,2,0,2,100,26,2,3,364428,374535,383596,386977,398846,395818,403386,1150768,1129673,1196569,1184288,1264008,1213717,1277677,4286,4581,4525,4655,4624,4823,4786,2358,2609,2582,2687,2691,2762,2752
2,2,10,2,0,2,100,30,2,3,464370,471894,482525,481356,494376,487812,499718,1538848,1511873,1578769,1566488,1646208,1595917,1659877,5339,5764,5794,5874,5851,6145,6158,2638,2923,3001,3071,3050,3171,3225
2,2,10,2,0,2,100,34,2,4,445476,444693,457826,454536,468154,461245,475971,1421248,1364873,1451769,1419488,1519208,1448917,1532877,6795,7161,7000,7196,7074,7482,7456,3119,3288,3281,3357,3311,3419,3432
2,2,10,2,0,2,100,38,2,4,543456,542666,555411,550724,565185,564127,571341,1809328,1747073,1833969,1801688,1901408,1831118,1915077,7313,7648,7458,7821,7742,8960,8061,3337,3636,3581,3712,3669,3846,3834
