repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,100,2,2,1,21035,42581,51960,69520,73932,87824,85849,33655,124151,151071,221527,245527,250760,274680,500,731,758,910,822,945,969,450,565,577,731,633,745,723
2,2,10,2,0,2,100,6,2,1,136222,162779,166404,184906,253032,199744,199048,501045,570103,597023,665397,689397,694809,718550,1060,1447,1364,1369,1353,1602,1536,849,1127,1020,1076,1038,1233,1171
2,2,10,2,0,2,100,10,2,1,190921,221758,224497,242305,245936,246290,248544,552845,604263,631183,703477,727477,732887,756630,1788,2044,2037,2133,2114,2321,2266,1286,1558,1548,1609,1566,1742,1691
2,2,10,2,0,2,100,14,2,2,302036,330926,338672,360237,364139,371969,371760,950365,1003763,1038660,1102957,1134957,1132467,1163958,2425,2762,2726,2859,2753,3029,2897,1584,1796,1768,1864,1795,2021,1905
2,2,10,2,0,2,100,18,2,2,323319,342623,352362,370864,379177,373629,387869,866085,913524,948453,1016717,1048717,1045915,1077566,2983,3346,3269,3405,3390,3807,3596,1786,2030,2012,2145,2143,2376,2327
2,2,10,2,0,2,100,22,2,3,429194,455724,465774,589117,486889,498218,500061,1265925,1315369,1358298,1418517,1458517,1447699,1487509,3780,4203,4216,4249,4191,4647,4505,2103,2395,2417,2454,2446,2629,2681
2,2,10,2,0,2,100,26,2,3,444301,468267,476749,491673,496533,496920,505688,1181645,1225209,1268138,1332277,1372277,1361545,1401223,4582,4885,4829,4832,5037,5180,5217,2425,2769,2741,2756,2744,2924,3009
2,2,10,2,0,2,100,30,2,3,557906,580688,591558,611541,614439,623599,629173,1581485,1627011,1669940,1734077,1774077,1763302,1803124,6026,6446,6395,6516,6457,6915,7280,2677,3017,2963,3083,3042,3270,3313
2,2,10,2,0,2,100,34,2,4,572479,594989,605571,622765,629431,628381,638417,1497205,1536942,1595780,1647837,1703837,1677327,1732838,6448,6792,6653,6846,6704,7378,7213,3071,3368,3399,3443,3393,3618,3641
2,2,10,2,0,2,100,38,2,4,690935,712118,723578,739335,746998,756546,758609,1897045,1938651,1997581,2049637,2105637,2078845,2134625,7073,7336,7532,7549,7387,8172,7817,3513,3679,3695,3785,3757,4060,3936
2,2,10,2,0,2,100,42,2,4,700675,721985,729989,749737,755156,754080,765509,1812765,1848444,1907373,1963397,2019397,1992459,2048246,9077,9415,9175,9471,9160,10058,9820,3736,4016,3983,4062,3999,4400,4302
2,2,10,2,0,2,100,46,2,5,824732,839285,849329,867776,874124,882991,886416,2212605,2250344,2317220,2365197,2429197,2394635,2458198,9163,9800,9421,9905,9732,10456,10252,4004,4364,4280,4432,4380,4593,4577
2,2,10,2,0,2,100,50,2,5,825718,847882,856128,876562,882310,1014764,893313,2128325,2160131,2227060,2278957,2342957,2308182,2372003,10633,10967,10804,11173,10883,11932,11436,4386,4686,4682,4824,4727,4850,4978
2,2,10,2,0,2,100,54,2,6,949632,967582,979753,999654,1001801,1010159,1016144,2528165,2561884,2636813,2680757,2752757,2709901,2781606,11554,11731,11519,11994,11686,12353,12303,4764,4998,4963,5117,5001,5302,5367
2,2,10,2,0,2,100,58,2,6,953997,976481,984099,1002526,1007677,1009239,1013803,2443885,2471783,2546703,2594517,2666517,2623927,2695670,14083,13948,13731,13895,13599,14601,14234,5071,5421,5336,5351,5306,5624,5602
2,2,10,2,0,2,100,62,2,6,1076333,1107435,1109875,1131679,1140904,1145493,1157186,2843725,2873581,2948500,2996317,3068317,3025687,3097669,14258,14495,14401,14661,14587,15159,15185,5343,5591,5586,5686,5682,5930,5911
2,2,10,2,0,2,100,66,2,7,1082455,1104838,1114018,1131202,1136752,1137716,1149916,2759445,2783421,2874340,2910077,2998077,2939452,3027294,15828,16172,15623,16531,16825,16916,16541,5629,6025,5902,6011,6054,6255,6244
2,2,10,2,0,2,100,70,2,7,1197181,1223274,1238863,1255761,1261511,1266183,1277289,3159285,3185249,3276140,3311877,3399877,3341276,3428878,17156,17569,17022,17813,17309,18294,17699,6039,6483,6356,6479,6387,6778,6677
2,2,10,2,0,2,100,74,2,7,1210284,1231159,1248360,1257623,1271684,1271658,1280986,3075005,3095051,3185980,3225637,3313637,3254847,3342747,19313,19698,19015,19906,20510,21025,19719,6450,6539,6551,6629,6672,6899,6918
2,2,10,2,0,2,100,78,2,8,1324087,1350477,1364614,1380375,1390683,1394525,1412927,3474845,3496849,3595778,3627437,3723437,3656719,3752411,20257,20843,20017,21134,20472,21206,20892,6494,6834,6792,7028,6917,7088,7264
2,2,10,2,0,2,100,82,2,8,1337071,1361907,1373284,1384546,1393798,1394383,1402097,3390565,3406644,3505573,3541197,3637197,3570351,3666046,21676,21827,21118,22631,21185,22666,21874,7038,7235,7181,7309,7202,7587,7527
2,2,10,2,0,2,100,86,2,9,1450780,1479073,1492878,1506252,1519862,1522850,1537488,3790405,3808504,3915423,3942997,4046997,3972407,4076150,23424,24179,22885,23873,23054,25297,23506,7298,7711,7550,7711,7608,7974,7841
2,2,10,2,0,2,100,90,2,9,1465734,1490306,1504027,1515411,1522431,1524650,1535151,3706125,3718343,3825263,3856757,3960757,3886172,3989910,24136,24362,23530,24510,23727,26195,24230,7811,8116,7933,8078,7997,8355,8253
2,2,10,2,0,2,100,94,2,9,1589083,1605438,1622106,1633949,1650906,1647614,1668027,4105965,4120143,4227063,4258557,4362557,4287942,4391710,26709,26096,25519,26269,26804,26695,26029,8143,8390,8295,8366,8582,8606,8652
2,2,10,2,0,2,100,98,2,10,1593622,1621055,1634602,1648770,1655720,1654856,1664664,4021685,4029984,4152903,4172317,4292317,4201707,4321470,27908,28712,25719,28148,26777,30011,27110,8741,9098,8534,9079,8860,9449,9129
2,2,10,2,0,2,100,102,2,10,1707389,1734414,1755495,1761460,1782785,1778320,1796949,4421525,4431783,4554703,4574117,4694117,4603517,4723270,28785,29107,27209,29166,27717,29625,28145,8698,9141,8775,9029,9036,9299,9075
2,2,10,2,0,2,100,106,2,10,1721370,1745606,1765392,1771254,1783090,1779268,1796062,4337245,4341623,4464543,4487877,4607877,4517290,4637030,32638,32804,31235,32954,31382,33954,31747,8914,9106,9066,9235,9074,9532,9212
2,2,10,2,0,2,100,110,2,11,1838537,1860603,1883043,1892746,1912992,1904511,1931281,4737085,4743423,4874343,4889677,5017677,4919092,5046830,32553,33074,30702,33146,31550,33622,32029,9571,9832,9347,9661,9542,9786,9687
2,2,10,2,0,2,100,114,2,11,1855559,1881298,1897598,1905203,1918557,1904227,1923667,4652806,4653264,4784183,4803437,4931437,4832819,4960590,33563,33716,31994,33554,31944,33900,32310,9905,10183,10062,10201,10042,10269,10224
2,2,10,2,0,2,100,118,2,12,1962104,1989169,2010709,2017205,2040152,2035778,2060841,5052645,5055061,5193981,5205237,5341237,5234624,5370389,37746,38631,35191,38355,36123,38585,37065,9825,10496,9702,10186,10058,10437,10283
2,2,10,2,0,2,100,122,2,12,1979562,2003446,2022782,2027700,2038602,2032860,2052387,4968365,4964902,5103820,5118997,5254997,5148387,5284143,37108,37205,34314,36937,35090,37243,35537,10308,10497,10137,10515,10366,10669,10462
2,2,10,2,0,2,100,126,2,12,2089141,2117714,2140397,2147096,2170105,2163506,2189017,5368205,5366701,5505620,5520797,5656797,5550199,5686032,40802,40866,38677,40988,39394,41369,39845,10654,10801,10461,10876,10660,10968,10857
2,2,10,2,0,2,100,130,2,13,2107905,2129911,2154351,2152741,2168331,2166119,2185317,5283925,5276541,5431460,5434557,5586557,5463952,5615790,39544,39960,36132,39992,37312,40595,37922,11102,11263,10874,11320,11117,11540,11411
2,2,10,2,0,2,100,134,2,13,2220570,2247408,2274698,2277217,2306415,2293619,2322316,5683765,5678341,5833261,5836357,5988357,5865849,6017358,43389,43582,39630,43915,41344,44536,40871,11243,11442,11102,11623,11642,11761,11542
2,2,10,2,0,2,100,138,2,13,2234596,2260691,2283230,2282832,2299126,2288798,2317410,5599485,5588224,5743100,5750117,5902117,5779564,5931118,43138,43475,40364,43983,40971,43823,41180,12135,12507,11960,12711,12020,12509,12242
2,2,10,2,0,2,100,142,2,14,2351733,2382255,2404206,2409382,2435139,2425569,2452689,5999325,5990043,6152901,6151917,6311917,6181333,6340916,45847,46105,41770,46335,42262,46644,42519,12236,12606,11816,12611,12364,12758,12244
2,2,10,2,0,2,100,146,2,14,2365677,2384459,2408530,2415255,2428056,2419981,2440477,5915045,5899845,6062740,6065677,6225677,6094912,6254671,45870,46212,42637,46292,43011,46484,43972,12849,12783,12318,12929,12536,12898,12736
2,2,10,2,0,2,100,150,2,15,2476423,2503259,2526286,2535782,2560957,2547383,2575623,6314885,6301612,6472540,6467477,6635477,6496705,6664528,49015,49505,44776,49640,44955,50088,45630,12512,12948,12311,12992,12394,13020,12756
2,2,10,2,0,2,100,154,2,15,2492578,2510206,2537981,2536779,2555183,2539738,2575617,6230605,6211451,6382381,6381237,6549237,6410428,6578326,48557,48763,45606,48888,44810,49203,45685,13404,13350,13163,13442,13113,13463,13585
2,2,10,2,0,2,100,158,2,15,2604921,2628653,2660918,2657177,2695362,2674259,2709669,6630445,6613249,6784178,6783037,6951037,6812381,6979886,51920,52289,47995,52507,48781,52660,48468,13417,13549,13135,13695,13604,13793,13491
2,2,10,2,0,2,100,162,2,16,2636812,2653255,2670307,2672466,2688859,2679281,2706179,6546165,6523044,6709974,6696797,6880797,6725957,6909646,50765,51116,46394,51220,45744,51717,47028,15063,15023,14164,15071,14910,15418,15029
2,2,10,2,0,2,100,166,2,16,2731337,2758998,2790533,2790385,2825060,2806628,3143840,6946005,6924844,7111773,7098597,7282597,7127735,7311446,52153,52496,48601,53063,47975,53192,49226,14776,14869,14117,14880,14604,15158,14761
2,2,10,2,0,2,100,170,2,16,2747368,2769932,2801329,2798805,2820219,2804664,2835790,6861725,6834684,7021614,7012357,7196357,7041299,7225206,53513,54040,50149,54239,49808,54920,50494,15061,15575,14960,15457,15177,15405,15651
2,2,10,2,0,2,100,174,2,17,2861051,2886052,2914413,2916412,2952453,2934703,2966087,7261565,7236421,7431341,7414157,7606157,7443390,7635310,57891,58317,52592,58656,52910,59031,52776,15054,15273,14398,15382,15510,15852,15149
2,2,10,2,0,2,100,178,2,17,2875913,2898535,2932985,2925374,2940977,2932945,2957094,7177285,7146262,7341181,7327917,7519917,7357151,7549070,56338,56839,52148,56916,52182,57469,52401,15619,16174,15247,15991,15134,16306,15298
2,2,10,2,0,2,100,182,2,18,2990313,3015179,3046716,3055126,3083039,3076715,3412253,7577125,7548061,7750981,7729717,7929717,7758950,7958870,57919,58310,53557,58746,53076,59013,54479,16335,16556,15619,16635,15833,16914,16067
2,2,10,2,0,2,100,186,2,18,3007294,3028209,3056514,3055005,3077599,3059300,3090927,7492845,7457901,7660822,7643477,7843477,7672710,7872630,59211,59424,55190,60037,54746,60149,54715,16580,16591,15508,16856,16246,16804,16569
2,2,10,2,0,2,100,190,2,18,3116086,3144489,3178197,3172775,3214423,3187800,3228275,7892685,7859701,8062621,8045277,8245277,8074510,8274431,63471,63960,58962,64174,58645,64431,58860,16476,16973,16300,16895,16369,17054,16579
2,2,10,2,0,2,100,194,2,19,3136324,3156649,3184642,3186033,3202384,3194000,3219681,7808405,7769542,7988461,7959037,8175037,7988270,8204190,62245,62755,57187,62873,56638,63347,57054,17850,17946,17097,17944,17610,18167,18299
2,2,10,2,0,2,100,198,2,19,3247763,3274488,3306091,3303032,3343878,3321359,3356634,8208245,8171341,8390261,8360837,8576837,8390070,8605990,66431,66841,60722,67098,60400,67298,60098,17768,18287,17577,18176,17587,18383,17701
2,2,10,2,0,2,100,202,2,19,3268207,3287817,3318866,3311547,3335156,3319017,3351056,8123965,8081181,8300101,8274597,8490597,8303830,8519750,64649,64820,58809,65205,59152,65417,59182,18568,18152,17508,18220,17624,18322,17805
2,2,10,2,0,2,100,206,2,20,3376945,3400440,3434013,3432685,3469231,3447678,3483324,8523805,8482981,8709901,8676398,8900397,8705630,8929550,69048,69586,63332,70229,62857,70363,62792,19009,19044,17424,19131,18489,19413,18299
2,2,10,2,0,2,100,210,2,20,3391563,3416392,3445927,3441382,3463418,3453792,3493940,8439525,8392822,8619741,8590157,8814157,8619390,8843310,70604,70967,63255,71020,64110,71478,63871,20026,19824,18273,19844,18717,19639,19084
2,2,10,2,0,2,100,214,2,21,3499421,3530325,3560014,3558581,3592669,3577846,3610067,8839365,8794621,9029541,8991957,9223957,9021191,9253110,68691,69188,63317,69779,62920,70275,63589,20087,20728,19257,20440,20035,20885,20168
2,2,10,2,0,2,100,218,2,21,3515552,3543045,3572390,3571046,3598832,3589282,3606728,8755085,8704461,8939381,8905717,9137718,8934951,9166870,73752,74081,66812,74336,65867,75497,66629,19569,20595,19165,20643,19785,21855,19818
