repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,400,2,2,1,8737,172515,189375,198463,230343,198618,222816,2878,563664,751559,761358,945358,714547,890507,839,1146,1460,1100,1492,1241,1693,784,925,1173,946,1223,994,1265
2,2,10,2,0,2,400,6,2,1,490493,587817,622512,632307,658832,652877,661020,1785248,2217514,2405409,2415208,2599208,2432077,2608037,3942,4302,4193,4168,4241,4488,4414,2474,2561,2558,2581,2626,2750,2710
2,2,10,2,0,2,400,10,2,1,817262,905641,929094,957728,985073,985956,1008465,2469808,2663273,2851169,2876888,3116608,2981317,3157277,7352,7570,7542,7630,7518,8371,8102,3663,3822,3853,3883,3825,3869,3761
2,2,10,2,0,2,400,14,2,2,1223887,1295121,1325184,1351972,1379801,1369685,1391477,4045888,4215473,4443369,4429088,4708808,4533518,4749477,12265,12511,12531,12620,12625,13965,13144,4762,4843,4871,4994,4987,5220,5107
2,2,10,2,0,2,400,18,2,2,1141798,1208184,1228612,1240259,1285447,1263107,1302758,3568288,3618473,3846369,3832088,4111808,3936517,4152477,20167,19306,19306,19481,20344,19980,19718,6140,6193,6191,6319,6336,6458,6420
2,2,10,2,0,2,400,22,2,3,1521529,1576245,1609123,1619045,1651257,1635671,1671358,5144368,5170674,5438569,5384288,5704008,5488717,5744677,22702,23643,22927,23436,23072,23506,23484,8269,8517,8442,8561,8524,8633,8727
2,2,10,2,0,2,400,26,2,3,1469677,1501917,1507988,1519664,1576303,1550769,1587914,4666768,4573673,4841569,4787288,5107008,4891717,5147677,28250,30153,30060,30250,30193,30649,30653,10133,9361,9403,9505,9438,9612,9614
2,2,10,2,0,2,400,30,2,3,1889135,1885714,1919675,1982630,2022563,1955283,1997298,6242848,6125873,6393769,6339488,6659208,6443917,6699877,35138,35210,35208,36065,37433,38043,37773,11009,11011,11058,11252,10341,10554,10524
2,2,10,2,0,2,400,34,2,4,1798210,1786351,1809872,1813828,1843075,1848319,1874648,5765248,5528874,5876769,5742488,6142208,5846917,6182877,44319,44304,43420,44417,43418,44731,43813,11589,11799,11690,11809,11691,11952,11841
2,2,10,2,0,2,400,38,2,4,2220410,2187420,2201970,2206107,2243662,2233347,2253742,7341328,7081073,7428969,7294688,7694408,7399117,7735077,48438,51369,50378,51918,50713,51967,50987,14116,13040,12981,13416,13070,13194,13207
2,2,10,2,0,2,400,42,2,4,2117527,2048203,2090895,2096775,2139519,2136935,2181464,6863728,6484073,6831969,6697688,7097408,6802117,7138077,52998,53423,52566,53547,52478,57091,55719,15384,15191,15220,15326,15221,14390,14252
2,2,10,2,0,2,400,46,2,5,2546190,2463925,2487491,2494547,2531941,2519195,2547185,8439808,8036273,8424169,8249888,8689608,8354318,8730277,55475,56069,55158,55993,58973,60181,59167,18290,18459,18362,18484,17317,17517,17410
2,2,10,2,0,2,400,50,2,5,2468041,2376217,2378731,2401841,2431343,2443310,2470370,7962208,7439273,7827169,7652888,8092608,7757317,8133277,63802,64020,62919,64170,66333,68426,66740,19008,18926,18919,19189,17549,17821,17755
2,2,10,2,0,2,400,54,2,6,2812056,2706489,2761274,2737297,2786377,2757470,2832700,9538288,8991473,9419369,9205088,9684808,9309517,9725477,73983,74494,73718,74665,73978,74951,74525,18865,18945,19089,19012,19094,19072,19467
2,2,10,2,0,2,400,58,2,6,2791276,2659808,2671541,2746465,2759839,2725211,2744664,9060688,8394473,8822369,8608088,9087808,8712517,9128478,70567,70911,70343,71153,70333,71565,71068,23726,23930,23938,24072,23791,24220,24882
2,2,10,2,0,2,400,62,2,6,3209257,3049634,3074172,3088991,3118124,3138196,3160389,10636768,9946673,10374569,10160288,10640008,10264718,10680677,74115,74788,74409,74975,74494,75692,75047,25707,25779,25806,25983,25905,26231,26261
2,2,10,2,0,2,400,66,2,7,3120785,2946644,2933232,2981494,2980513,2990501,2999851,10159168,9349674,9857569,9563288,10123008,9667717,10163677,84371,90071,84929,90138,85534,90649,86482,25855,24044,23766,24140,23960,24174,24177
2,2,10,2,0,2,400,70,2,7,3562292,3349519,3362052,3396021,3403169,3383065,3404845,11735248,10901873,11409769,11115488,11675208,11219918,11715877,95630,96122,90685,96308,91720,96799,92788,25891,25207,24997,25703,24948,25376,25061
2,2,10,2,0,2,400,74,2,7,3385943,3145292,3211289,3192548,3259326,3223220,3296887,11257648,10304874,10812769,10518489,11078208,10622917,11118877,101852,102475,99807,102399,99820,103321,100679,27780,27783,27649,28102,27944,28003,28062
2,2,10,2,0,2,400,78,2,8,3833697,3599487,3583037,3594787,3627843,3628299,3654560,12833728,11857074,12156969,12070688,12414408,12175117,12455077,102718,103431,107216,110090,108273,110836,108790,30782,31532,28247,28097,28427,28717,28461
2,2,10,2,0,2,400,82,2,8,3819960,3560810,3499336,3557211,3541278,3592856,3577922,12356128,11260074,11559969,11473688,11817408,11578117,11858077,107012,107456,110006,114573,110837,114840,111064,33114,33180,30788,31062,30665,30948,30875
2,2,10,2,0,2,400,86,2,9,4221720,3958102,3892540,4010357,3934958,4094376,3952447,13932208,12812273,13184169,13025888,13441609,13130317,13482277,112650,113311,107908,120756,112505,121336,113622,34699,35537,35070,33123,35079,32893,33995
2,2,10,2,0,2,400,90,2,9,4110392,3828877,3794503,3832362,3861979,3810660,3848171,13454608,12215274,12587169,12428888,12844608,12533318,12885277,118032,118781,116600,126483,123727,127490,124316,36811,38003,37757,34928,34779,35272,34836
2,2,10,2,0,2,400,94,2,9,4563159,4253657,4204510,4277520,4246933,4276805,4233562,15030688,13767474,14139370,13981088,14396808,14085517,14437477,128837,129508,124108,129796,124080,130619,127294,36871,36665,36588,36755,36975,36774,36358
2,2,10,2,0,2,400,98,2,10,4482866,4139037,4074450,4177436,4117521,4202927,4128211,14553088,13170473,13622369,13384088,13879808,13488518,13920477,132201,137235,125302,137190,126471,138052,130117,40178,37778,39383,38391,40896,38520,38784
2,2,10,2,0,2,400,102,2,10,4821876,4446697,4465710,4445366,4494489,4477616,4497592,16129168,14722673,15174569,14936288,15432008,15040718,15472677,125066,125571,122452,125604,123139,126580,123841,45609,45873,46116,45815,46147,46239,46082
2,2,10,2,0,2,400,106,2,10,4793016,4381762,4376262,4476759,4404672,4437889,4439397,15651568,14125673,14577570,14339289,14835008,14443717,14875677,130171,130994,127385,140337,134008,140781,134505,48972,48898,48480,46534,45001,45479,45247
