repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,400,2,4,1,30836,129844,151812,223511,242562,257312,270198,72775,453670,569574,858957,954957,957145,1052806,990,1392,3021,1493,3115,1819,3242,777,959,1875,1051,1999,1207,1998
2,2,10,2,0,2,400,6,4,2,431280,600457,613253,681156,695072,710528,715724,1617015,2005968,2185661,2427077,2555077,2525443,2653073,9570,10990,10044,10187,10540,11195,11071,4227,4634,4518,4552,4314,4608,4470
2,2,10,2,0,2,400,10,4,2,823123,970769,1018602,1091516,1111556,1107714,1126282,3145335,3534190,3745774,3987237,4115237,4085445,4213086,20526,20972,22029,21108,22194,22964,22749,7101,7414,6863,7365,6980,7197,7087
2,2,10,2,0,2,400,14,4,3,1223937,1377238,1455012,1522809,1508226,1538029,1561427,4673655,5062569,5337984,5547397,5707397,5645794,5805550,35250,35463,35250,35823,35399,35984,35864,9058,9417,9378,9512,9344,9572,9540
2,2,10,2,0,2,400,18,4,4,1617589,1772149,1829000,1934045,1937820,1942316,1983697,6201975,6590933,6962141,7107557,7331557,7205912,7429554,45034,45601,44161,48614,47554,49190,47986,12792,12895,12873,12068,12100,12296,12142
2,2,10,2,0,2,400,22,4,5,2010342,2176726,2229228,2341650,2350914,2347734,2360110,7730295,8119087,8554182,8667717,8923718,8765950,9021870,55900,59898,56908,59964,58480,60562,58368,16263,15168,15010,15438,15642,15576,15319
2,2,10,2,0,2,400,26,4,5,2394624,2537832,2639036,2733727,2765155,2731675,2762503,9258615,9647407,10114342,10227877,10483877,10326111,10582030,66054,71073,70485,71270,71227,71644,71156,19091,17899,17929,18102,18218,18413,18205
2,2,10,2,0,2,400,30,4,6,2796296,2962530,3043053,3109192,3131577,3126804,3165423,10786935,11175727,11706502,11788037,12076037,11886270,12174190,81631,82141,81564,82844,77494,82884,82349,20976,20777,21065,20909,22918,21117,21309
2,2,10,2,0,2,400,34,4,7,3190874,3335391,3467641,3523152,3552313,3525576,3590995,12315255,12704047,13330662,13348197,13700197,13446430,13798350,92713,93714,88256,93581,91175,93962,92631,24377,24400,24358,24477,24772,24634,25007
2,2,10,2,0,2,400,38,4,8,3747583,3753819,3867746,4010397,3971770,3960732,3984869,13843575,14232367,14922823,14908357,15292357,15006591,15390510,98030,98660,93265,99002,93545,99668,99105,29968,30151,30182,30341,30292,30781,27955
