repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,40,2,2,1,4922,50422,51626,58675,60116,70083,71642,1321,54336,62552,78774,83574,79679,84384,683,40387,41572,47292,48215,53053,53187,29,56,56,59,58,70,67
2,2,10,2,0,2,40,6,2,1,99049,142931,141165,154357,151153,161352,163944,156481,199896,208112,222054,226854,229039,248184,70671,103482,104671,110478,111393,117662,123778,188,219,207,219,218,272,232
2,2,10,2,0,2,40,10,2,1,123793,151781,156985,162011,166737,171887,175046,179681,205616,213832,234614,239414,249959,253144,55512,79929,81076,88549,89255,102496,97773,413,451,438,458,482,488,468
2,2,10,2,0,2,40,14,2,2,205532,229440,241341,247735,252536,256046,269758,313081,340536,351952,368774,376774,384119,402664,114812,138515,143604,147163,150099,161098,164997,539,575,449,595,475,622,503
2,2,10,2,0,2,40,18,2,2,185457,211669,230715,222814,238643,239231,260007,251161,274816,286232,303814,311814,319159,325544,70018,92972,99292,101633,104486,115509,115591,806,800,767,812,789,837,825
2,2,10,2,0,2,40,22,2,3,264422,292577,282474,306778,295404,316314,305705,384561,409736,424352,437974,449174,453319,475064,129331,151531,154339,160066,162459,173983,177245,767,812,476,870,505,892,527
2,2,10,2,0,2,40,26,2,3,239606,276307,268955,293960,287458,302960,302212,322641,344016,358632,373014,384214,388359,397944,84552,105965,108656,114603,116792,128470,125561,956,1267,971,1338,1133,1361,1157
2,2,10,2,0,2,40,30,2,3,319975,351853,354672,364165,365369,375072,381472,456041,478936,493552,507174,518374,522519,544264,143866,164529,167277,173090,175467,186998,190185,1204,1270,1198,1326,1196,1374,1297
2,2,10,2,0,2,40,34,2,4,295396,324618,337751,360611,347871,356789,367575,394121,413216,433432,442214,459014,457559,472744,99058,119026,124157,127560,134094,141413,142144,1232,1300,949,1473,934,1450,974
2,2,10,2,0,2,40,38,2,4,377199,406349,425771,413855,436992,426703,448632,527521,548136,568352,576374,593174,591719,619064,158370,177544,182691,186025,192557,200056,205773,1347,1399,1216,1546,1284,1517,1307
2,2,10,2,0,2,40,42,2,4,355312,384875,417623,412755,420047,422454,443335,465601,482416,502632,511414,528214,526759,541944,113637,131991,137107,140503,146892,154561,155423,1496,1623,1660,1983,1778,1852,1742
