repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,20,2,2,1,10005,26079,26637,46864,46937,61139,57770,11295,26951,33409,47574,53174,53561,58667,6474,14199,15075,28781,29516,32802,33143,34,65,74,63,66,116,86
2,2,10,2,0,2,20,6,2,1,55886,68994,66142,74907,77471,91548,83813,77715,89461,95869,99594,105194,105693,110687,32727,37313,38203,39672,40479,43701,44055,92,130,108,139,121,220,169
2,2,10,2,0,2,20,10,2,1,55133,70789,70223,85894,84541,100299,93143,82975,90761,97529,107374,112974,113473,118467,31325,34356,35909,44391,45201,48384,48721,145,179,156,178,163,257,201
2,2,10,2,0,2,20,14,2,2,89134,108813,111142,106804,113457,122797,123359,134635,140621,148989,145354,152554,151536,158047,54410,57843,60440,53013,55062,57013,58964,192,230,172,229,175,294,196
2,2,10,2,0,2,20,18,2,2,79848,94908,102297,111273,117655,126271,126528,120095,121041,129409,136934,144134,143116,149627,41883,41004,45252,50263,52190,54330,55771,259,299,264,306,270,402,323
2,2,10,2,0,2,20,22,2,3,113188,123981,132425,129310,161474,144757,148046,171755,170901,180869,174914,183714,181116,189207,64943,62242,65778,58910,60579,62901,65377,300,348,187,353,200,458,239
2,2,10,2,0,2,20,26,2,3,104619,117746,126397,136090,132967,148471,154941,157215,151321,161289,166494,175294,172718,180787,52362,47475,51180,56145,57762,60044,62478,377,416,278,434,302,526,342
2,2,10,2,0,2,20,30,2,3,138702,147637,162746,155614,155953,169248,179954,208875,201181,211149,204474,213274,210698,218767,75449,68820,72511,64798,66364,68700,71076,478,533,437,566,445,680,529
2,2,10,2,0,2,20,34,2,4,130844,145407,158616,159920,165142,177402,174808,194335,181601,194769,196054,208054,202278,213547,62926,54074,57897,61872,66403,65845,68618,541,605,131,624,156,709,162
2,2,10,2,0,2,20,38,2,4,166386,177542,176372,181246,188770,197714,196317,245995,231461,244629,234034,246034,240258,251527,86004,75464,79401,70597,74993,74570,77598,586,635,230,684,249,788,293
2,2,10,2,0,2,20,42,2,4,152403,168138,172581,186573,190904,201665,202778,231455,211881,225049,225614,237614,231864,243107,73439,60639,64395,67837,72064,71756,74436,829,884,413,902,428,999,500
2,2,10,2,0,2,20,46,2,5,183310,202666,199838,205312,211953,250086,218183,283115,261741,276509,263594,277194,269844,282687,96517,81984,86171,76418,81161,80312,83505,966,1048,301,1047,316,1125,348
2,2,10,2,0,2,20,50,2,5,171878,196636,197035,213104,217587,226379,227190,268575,242161,256929,255174,268774,261445,274267,83941,67169,71203,73616,78272,77500,80673,930,1039,471,1090,480,1215,574
2,2,10,2,0,2,20,54,2,6,210306,226293,246389,232157,234228,247522,243270,320235,292021,308389,293154,308354,299425,313847,107138,88491,92826,82264,87388,86212,89822,1072,1140,312,1149,346,1300,392
2,2,10,2,0,2,20,58,2,6,199172,217250,216555,237896,239741,250439,248988,305695,272441,288809,284734,299934,291005,305427,94439,73774,78050,79360,84516,83382,86928,1169,1268,496,1332,565,1513,679
2,2,10,2,0,2,20,62,2,6,232480,254533,251170,255170,260933,266789,271474,357355,322301,338669,322714,337914,328985,343407,117521,96971,99864,88052,93266,92046,95605,1051,1145,599,1206,626,1315,678
2,2,10,2,0,2,20,66,2,7,229118,237390,241622,261717,252927,274937,264625,342815,302721,322289,314294,332694,320565,338187,104976,80327,85034,85330,89332,89270,93086,1200,1332,163,1394,188,1510,370
2,2,10,2,0,2,20,70,2,7,257674,279549,263323,282535,274566,292214,285095,394475,352581,372149,352274,370674,358545,376167,128068,101583,106328,93903,97990,97902,101531,1171,1307,306,1349,326,1469,398
2,2,10,2,0,2,20,74,2,7,245591,258224,257888,283045,281752,292190,289129,379935,333001,352569,343854,362254,350125,367747,115487,86869,91585,91120,95233,95083,98671,1341,1590,485,1577,502,1639,590
2,2,10,2,0,2,20,78,2,8,283795,291331,284422,305770,299865,319777,307798,431595,382861,404029,381834,401834,388105,407327,138628,108200,113669,99786,104209,103664,107714,1374,1533,330,1586,349,1646,374
2,2,10,2,0,2,20,82,2,8,269720,281526,281848,304476,303962,322635,311606,417055,363281,384449,373414,393414,379685,398907,126012,93354,98547,96893,101380,100928,104925,1366,1688,487,1620,508,1910,598
2,2,10,2,0,2,20,86,2,9,302952,315438,304911,326143,323230,338360,330978,468715,413141,435909,411394,432994,417665,438487,149138,114696,120263,105616,110435,109578,113976,1488,1820,346,1688,370,1750,432
2,2,10,2,0,2,20,90,2,9,297168,305580,303166,333430,328472,347436,337081,454175,393561,416329,402974,424574,409245,430067,136540,99999,105569,102751,107639,106732,111206,1571,1942,554,2004,550,1966,715
2,2,10,2,0,2,20,94,2,9,325173,335356,335834,347820,350093,363667,357852,505835,443421,466189,440954,462554,447225,468047,159639,121261,126832,111577,116366,115452,119842,1601,1883,694,1804,699,1988,776
2,2,10,2,0,2,20,98,2,10,315217,325765,329198,353643,359340,361569,366068,491295,423841,449809,432534,457334,438805,462827,147036,106558,113033,108585,114881,112621,118269,1597,2170,466,2136,564,1990,623
2,2,10,2,0,2,20,102,2,10,345304,359661,361581,376806,383129,391502,391971,542955,473701,499669,470514,495314,476785,500807,170116,127790,134270,117404,123903,121288,127040,1677,2175,825,2250,845,2364,993
2,2,10,2,0,2,20,106,2,10,340050,359831,363626,403865,396231,398360,402847,528415,454121,480089,462094,486894,468365,492387,157589,113100,119529,114523,120948,118531,124311,1878,2860,1294,2987,1912,3186,2254
2,2,10,2,0,2,20,110,2,11,371226,408926,378133,428553,404596,409009,412208,580075,503981,531549,500074,526474,506345,531967,180671,134399,141415,123183,129777,127157,133213,1782,2156,356,2137,400,2244,464
2,2,10,2,0,2,20,114,2,11,361585,383110,375216,406349,436311,418184,419611,565535,484401,511969,491654,518054,497925,523547,168120,119651,126549,120357,127200,124271,130801,1889,2611,526,2524,548,2440,610
2,2,10,2,0,2,20,118,2,12,399563,404224,404419,425453,430054,437889,467649,617195,534261,563429,529634,557634,535905,563127,191249,140994,148272,128989,136331,132976,139440,1955,2185,465,2267,461,2422,603
2,2,10,2,0,2,20,122,2,12,413572,396677,395703,450741,434008,443328,441428,602655,514681,543849,521214,549214,527485,554707,178629,126187,133464,126117,134052,130028,136778,1982,2876,529,2797,547,2579,619
2,2,10,2,0,2,20,126,2,12,448763,425333,426510,438742,455316,459799,463507,654315,564541,593709,559194,587194,565465,592687,201732,147531,154723,134884,141998,138863,145313,1963,2255,688,2158,710,2387,843
2,2,10,2,0,2,20,130,2,13,439447,420792,428626,447029,460238,463778,466840,639775,544961,577329,550774,581974,557045,587467,189160,132749,140851,132052,140032,135960,143274,2149,2911,308,2895,321,2685,440
2,2,10,2,0,2,20,134,2,13,441141,455252,454097,470409,482987,481886,486392,691435,594821,627189,588754,619954,595025,625447,212201,156289,162386,140694,148995,144681,151915,2123,2647,398,2603,420,2488,509
2,2,10,2,0,2,20,138,2,13,431738,446873,450143,482102,483759,493833,493021,676895,575241,607609,580334,611534,586605,617027,199672,139343,147326,137848,145497,141805,149099,2190,2777,515,2915,536,3131,603
2,2,10,2,0,2,20,142,2,14,468213,469302,477417,490572,508679,505440,513478,728555,625101,659069,618314,651114,624585,656607,222798,160651,169367,146520,155658,150466,158366,2212,2744,506,2600,489,2998,614
2,2,10,2,0,2,20,146,2,14,452725,457305,469441,491111,508986,508571,515957,714015,605521,639489,609894,642694,616165,648187,210161,145882,154256,143665,152942,147618,155545,2296,2579,538,2694,566,3126,673
2,2,10,2,0,2,20,150,2,15,488827,493591,500015,513228,531205,531511,536062,765675,655381,690949,647874,682274,654145,687767,233252,167231,176060,152319,161649,156330,164911,2336,2722,456,2895,566,2745,586
2,2,10,2,0,2,20,154,2,15,481800,490165,494192,517377,533644,536798,539536,751135,635801,671369,639454,673854,645725,679347,220689,152500,161272,149580,158917,153488,161620,2408,3285,670,3367,727,3392,966
2,2,10,2,0,2,20,158,2,15,512300,517247,525613,540661,588503,553969,564203,802795,685661,721229,677434,711834,683705,717327,243793,173752,182612,158295,167635,162203,170824,2336,2800,718,2956,815,2900,980
2,2,10,2,0,2,20,162,2,16,500202,512750,545075,546300,562451,552367,564617,788255,666081,704849,669014,706614,675285,712107,231216,158960,168684,155401,166346,159323,168265,2451,3503,202,3218,278,2985,386
2,2,10,2,0,2,20,166,2,16,536861,541555,565957,568025,585353,603087,592106,839915,715941,754709,706994,744594,713265,750087,254282,182366,190418,164087,174972,168127,176937,2465,3038,375,2850,441,2916,550
