repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,100,2,4,1,24611,42937,47361,68782,77252,79672,83910,29782,120623,147496,200149,243945,249256,273627,782,959,1029,1010,1108,1240,1341,673,793,803,826,885,1028,1076
2,2,10,2,0,2,100,6,4,2,78766,106685,111914,131715,142205,137733,143129,232674,313793,348707,399260,443077,440310,472224,2083,2467,2330,2488,2406,2616,2526,1330,1616,1536,1689,1625,1733,1707
2,2,10,2,0,2,100,10,4,2,99843,121937,124304,144069,155028,155088,158208,295394,376456,411380,461886,505797,502964,534646,3448,3835,3748,3956,3895,4172,4033,1989,2358,2306,2451,2425,2507,2524
2,2,10,2,0,2,100,14,4,3,131499,145393,147685,163408,176582,174662,179342,358114,439176,482100,524571,576517,565537,605366,4917,5284,5218,5375,5363,5568,5464,2578,2891,2844,2929,2988,3153,3072
2,2,10,2,0,2,100,18,4,4,156880,173228,180395,187723,201684,199041,205332,420834,501974,560867,587370,655237,628445,684232,6833,7388,7150,7495,7358,7594,7607,3154,3642,3600,3638,3604,3767,3755
2,2,10,2,0,2,100,22,4,5,181597,204479,212142,223229,233381,229812,241442,483554,564673,631587,650115,725957,691184,755169,7397,7786,7630,7853,7677,8044,7826,3822,4178,4172,4243,4206,4428,4397
2,2,10,2,0,2,100,26,4,5,208831,229402,240488,250490,265780,262306,272656,546274,627381,694305,712894,788677,753752,817636,10863,11386,11244,11506,11315,12043,11641,4447,4822,4883,4897,4916,5118,5047
2,2,10,2,0,2,100,30,4,6,234577,255593,269610,282078,296652,290940,299564,608994,690113,765027,775585,859397,816630,888545,15533,15804,15646,15861,15539,16283,15967,5205,5493,5456,5582,5542,5810,5787
2,2,10,2,0,2,100,34,4,7,257154,284716,294813,308985,321418,317097,327192,671714,752928,843747,838290,938117,879507,967118,17605,18158,17571,18168,17658,18549,17976,5917,6244,6239,6336,6322,6511,6339
2,2,10,2,0,2,100,38,4,8,279620,304640,323182,329251,343915,334887,350208,734434,815472,914467,900980,1008837,941918,1037913,18934,19215,18592,19496,18833,20046,19309,6417,6852,6737,6877,6798,7023,7016
2,2,10,2,0,2,100,42,4,8,302737,324991,341982,352867,366710,360715,371441,797154,878216,977140,963621,1071557,1004597,1100406,22775,23333,22555,23732,22846,23829,23078,6970,7431,7314,7512,7407,7590,7555
2,2,10,2,0,2,100,46,4,9,325413,350977,369873,376950,391543,384201,400320,859874,940995,1047910,1026457,1142277,1067510,1171430,25386,25574,25022,25779,25118,26205,26312,7770,7980,7976,8001,8032,8238,8163
2,2,10,2,0,2,100,50,4,10,357805,380965,399707,405482,423260,414363,430203,922594,1003715,1126630,1089192,1220997,1130230,1250150,28773,28925,27695,29261,27706,29371,27945,8333,8740,8557,8818,8669,8890,8758
2,2,10,2,0,2,100,54,4,11,382618,404268,424306,426984,444411,439349,452554,985314,1066435,1197350,1151889,1291717,1192950,1320870,32640,33080,31338,33202,31594,33597,31939,8928,9356,9248,9419,9453,9561,9481
2,2,10,2,0,2,100,58,4,11,406234,429687,451411,455314,470679,465432,479843,1048034,1129155,1260070,1214630,1354437,1255670,1383590,35638,36018,34442,36193,34445,36683,34802,9582,9849,9868,9965,9868,10137,9986
2,2,10,2,0,2,100,62,4,12,432443,457481,477261,482140,497743,489501,504735,1110754,1191873,1330787,1277307,1425157,1318390,1454436,38603,38972,37176,39251,37120,39475,37457,10512,10830,10858,11000,10921,11116,11113
2,2,10,2,0,2,100,66,4,13,459978,484405,507610,508589,529200,516990,536396,1173474,1254593,1409507,1340037,1503877,1381104,1533105,41665,41996,39451,42078,39581,42467,39997,11149,11307,11136,11493,11415,11572,11543
2,2,10,2,0,2,100,70,4,14,484704,512545,533740,530066,550288,538070,553081,1236194,1317335,1480227,1402765,1574597,1443994,1603598,44908,45351,41596,45439,42204,45847,42698,11974,12351,12114,12302,12183,12493,12403
2,2,10,2,0,2,100,74,4,14,513096,528339,557934,562896,586332,560479,585190,1298914,1380023,1542947,1465462,1637317,1506398,1666431,48275,48540,45536,49204,46051,49130,45965,12757,12890,12943,13352,13049,13125,13078
2,2,10,2,0,2,100,78,4,15,531631,552835,587167,577896,603496,589408,609174,1361634,1442741,1613665,1528259,1708037,1569112,1737011,50290,50897,47901,50959,47665,51224,47698,13466,13926,13721,13867,13865,14015,14026
2,2,10,2,0,2,100,82,4,16,583223,604456,635692,623700,656529,640111,661252,1424354,1505416,1692340,1590818,1786757,1631824,1815606,53450,53692,50103,53880,49976,54045,50055,13787,14169,13257,14078,13811,14244,13922
2,2,10,2,0,2,100,86,4,17,596380,604996,670212,635495,653330,648456,661427,1487074,1568073,1762988,1653480,1857477,1694711,1886630,56577,56888,52316,57518,52228,57972,52728,15670,14708,14516,15057,14668,15090,14757
2,2,10,2,0,2,100,90,4,17,605943,629697,658830,654687,681555,664594,684118,1549794,1630793,1825708,1716200,1920197,1757430,1949350,59119,59563,55214,59785,55558,60268,55813,15426,15531,15317,15828,15725,15882,15751
2,2,10,2,0,2,100,94,4,18,629870,655370,685032,686488,707570,696206,713583,1612514,1693513,1896428,1778920,1990917,1820150,2020070,61530,61995,58141,62384,57965,62513,58078,16460,16635,16310,16780,16663,16920,16901
2,2,10,2,0,2,100,98,4,19,663266,684988,720955,713216,736313,724383,743302,1675234,1756234,1975148,1841640,2069637,1882870,2098790,64759,65087,59946,65355,59951,65711,60259,17840,18357,17829,18274,17898,18467,18441
2,2,10,2,0,2,100,102,4,20,681206,704560,735743,729314,756533,741471,761416,1737954,1818953,2045868,1904360,2140357,1945590,2169510,67238,67722,62930,67862,62397,68102,62425,17958,18259,17217,18352,17834,18487,17974
2,2,10,2,0,2,100,106,4,20,706814,730790,768852,755195,785328,769834,794714,1800674,1881673,2108588,1967080,2203077,2008310,2232230,67857,68163,63001,68155,62748,68793,62500,18911,18944,18543,19034,19131,19240,19084
2,2,10,2,0,2,100,110,4,21,732515,753968,790357,779152,808060,793697,815165,1863394,1944393,2179308,2029800,2273797,2071030,2302950,72287,72624,68065,72982,66958,73365,67389,19320,19666,19200,19705,19688,19666,19900
2,2,10,2,0,2,100,114,4,22,771668,790144,830822,823132,846801,835174,850672,1926114,2007113,2258028,2092520,2352517,2133751,2381670,75789,76170,69897,76468,70126,77110,70499,21412,21901,20652,22094,21898,22525,22019
2,2,10,2,0,2,100,118,4,23,788316,805961,843620,830432,859792,846060,868934,1988834,2069833,2328748,2155240,2423237,2196470,2452390,78114,78744,72525,78928,70567,79251,71337,21233,20885,19979,21068,20856,21425,21234
2,2,10,2,0,2,100,122,4,23,810449,835256,869590,861428,889238,872478,894189,2051554,2132553,2391468,2217960,2485957,2259190,2515110,81290,81783,75832,82082,75098,82396,75050,21884,22218,21361,22354,21908,22386,22194
2,2,10,2,0,2,100,126,4,24,841142,890643,909700,903892,912484,897869,946106,2114274,2195274,2462188,2280680,2556677,2321910,2585830,83358,83895,77321,84492,76836,84679,77888,23401,23483,22668,23954,23293,24064,24000
2,2,10,2,0,2,100,130,4,25,869950,892041,933665,918480,951376,927860,953760,2176994,2257993,2540908,2343400,2635397,2384630,2664550,86877,87505,79726,87886,78805,88085,79403,24266,24064,23209,24196,23497,24061,23652
2,2,10,2,0,2,100,134,4,26,886121,924730,971466,951828,959162,945369,983937,2239714,2320713,2611628,2406120,2706117,2447350,2735270,89022,89871,82753,90028,81710,90543,81921,25325,25825,23835,25635,24698,25777,25003
2,2,10,2,0,2,100,138,4,26,937512,933715,977282,959791,995118,972253,1002668,2302434,2383433,2674348,2468840,2768837,2510070,2797990,92216,92529,85300,92905,83526,93330,83962,26122,26336,25218,26337,26049,26656,26397
2,2,10,2,0,2,100,142,4,27,1075987,1088629,1128911,1111939,1137871,1130145,1149248,2365154,2446153,2745068,2531560,2839557,2572790,2868710,95650,96020,87286,96286,86480,96564,87087,27348,27570,26215,27419,26967,27400,27097
