repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,10,2,4,1,4901,20545,20081,23800,23288,29564,31945,1162,12324,14683,19477,20677,23599,25104,373,6512,6631,9166,9366,11691,12103,29,56,54,59,56,71,78
2,2,10,2,0,2,10,6,4,2,23080,38387,38323,38620,42131,47819,49862,26402,37018,40143,44137,46137,48739,51044,13241,19974,20488,22678,22998,25378,26328,88,121,90,118,84,168,136
2,2,10,2,0,2,10,10,4,2,35169,51160,54234,51843,57156,60324,66245,49662,60278,63403,67397,69397,71359,73664,25813,32464,33052,35027,35630,37867,38738,156,182,168,190,181,208,205
2,2,10,2,0,2,10,14,4,3,47570,64860,67240,66971,67797,74103,72673,72882,83498,87423,90617,93417,93939,97044,38360,45050,45725,47723,48358,50448,51327,191,221,166,223,174,268,199
2,2,10,2,0,2,10,18,4,4,61325,79177,82035,77638,82202,84057,88729,96142,106758,112083,113877,118077,116559,121064,50919,57594,58885,60171,61667,62917,64331,233,263,178,285,193,320,225
2,2,10,2,0,2,10,22,4,5,74042,89499,91982,90649,95313,98796,102038,119362,129978,136103,137097,142097,139139,144444,63479,70168,71614,72795,74931,75572,77261,425,467,244,487,262,496,268
2,2,10,2,0,2,10,26,4,5,87762,105324,107988,109046,113200,116771,118645,142622,153238,159363,160357,165357,161759,167064,76041,82721,84134,85267,87620,88122,89707,443,505,345,520,392,529,372
2,2,10,2,0,2,10,30,4,6,101456,126168,121686,125386,124079,132647,132825,165842,176458,183383,183577,189377,184339,190444,88600,95255,96894,98544,100273,100752,102709,348,412,257,443,281,475,286
2,2,10,2,0,2,10,34,4,7,116327,143366,135020,136630,138382,149171,147627,189102,199718,208043,206837,214037,206959,214464,101157,108047,109647,110971,112962,113813,115274,585,777,412,793,437,808,394
2,2,10,2,0,2,10,38,4,8,132703,151851,154023,157707,153701,164797,163196,212322,222938,232063,230057,238057,229539,237844,113719,120558,122515,123639,125643,126266,128318,482,737,360,776,377,780,351
2,2,10,2,0,2,10,42,4,8,143168,163137,163788,167820,169673,176719,175149,235582,246198,255323,253317,261317,252159,260464,126285,133129,134933,136169,138112,138899,140706,404,589,371,670,445,679,447
2,2,10,2,0,2,10,46,4,9,159916,175835,177424,177917,180309,186420,188280,258802,269418,279343,276537,285337,274739,283844,138839,145682,147853,148661,151170,151498,153525,517,783,449,804,494,843,547
2,2,10,2,0,2,10,50,4,10,169956,189418,186089,191467,188446,198435,195551,282062,292678,304003,299797,309997,297359,307864,151400,158269,160234,161529,163267,163894,166228,551,951,482,968,574,962,594
2,2,10,2,0,2,10,54,4,11,185594,207282,201788,206060,202617,222170,210202,305282,315898,328023,323017,334017,319939,331244,163960,170881,173096,173972,176212,176498,178971,534,1002,560,1034,589,1051,592
2,2,10,2,0,2,10,58,4,11,200240,220601,215468,218418,216845,224619,222838,328542,339158,351283,346277,357277,342559,353864,176530,183427,185695,186494,188774,188860,191467,582,1044,623,1065,725,1093,765
2,2,10,2,0,2,10,62,4,12,212645,234115,228685,235221,231340,247105,239710,351762,362378,375303,369497,381297,365139,377244,189081,195886,198190,198949,201409,201681,204130,621,1092,680,1108,724,1161,761
2,2,10,2,0,2,10,66,4,13,221542,247775,244009,247923,244765,249031,252541,375022,385638,399963,392757,405957,387759,401264,201641,208506,211140,211510,214312,214282,216998,697,1205,762,1213,779,1347,839
2,2,10,2,0,2,10,70,4,14,235368,259117,254167,258447,255726,265298,263999,398242,408858,423983,415977,429977,410339,424644,214214,221021,223911,224057,226864,226532,229715,659,1147,620,1184,673,1164,655
2,2,10,2,0,2,10,74,4,14,249577,274838,270193,273554,268908,281706,278594,421502,432118,447243,439237,453237,432959,447264,226764,233565,236372,236612,239415,239532,242537,682,1229,712,1271,876,1250,581
2,2,10,2,0,2,10,78,4,15,263420,285715,282496,292249,284802,297431,293859,444722,455338,471263,462457,477257,455539,470644,239340,246130,249151,249262,252150,252052,255119,659,1206,672,1283,742,1246,421
2,2,10,2,0,2,10,82,4,16,275574,295163,297032,296788,297164,304588,307448,467982,478598,495923,485717,501917,478159,494664,251883,258713,261895,261696,264868,264233,267926,712,1248,708,1516,795,1354,446
2,2,10,2,0,2,10,86,4,17,288962,310336,309026,311502,311059,323178,319806,491202,501818,519943,508937,525937,500739,518044,264454,271287,274539,274332,277729,277003,280617,721,1317,741,1536,811,1367,438
2,2,10,2,0,2,10,90,4,17,303747,320210,323727,327340,325929,337055,333944,514462,525078,543203,532197,549197,523359,540664,277033,283906,287301,286681,290285,289809,293230,708,1393,764,1549,1037,1286,616
