repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,100,2,8,1,8883,51744,64760,58911,74317,70918,81903,2900,140675,187543,182311,226311,186560,232487,946,1238,1526,1251,1552,1367,1658,836,998,1175,1043,1233,1113,1279
2,2,10,2,0,2,100,6,8,3,112961,134978,154193,143227,161484,169415,179298,347190,425005,491873,464681,532601,514010,579937,4005,4495,4390,4501,4457,4712,4634,2163,2474,2470,2589,2552,2659,2637
2,2,10,2,0,2,100,10,8,4,149679,175356,193777,182818,199929,211836,222828,468710,546525,633393,586201,674121,635530,721457,7841,8233,8165,8337,8152,8391,8309,3409,3687,3715,3790,3715,3813,3782
2,2,10,2,0,2,100,14,8,6,211876,231914,250153,242650,257987,260715,276507,590230,668045,774913,707721,815641,757050,862977,12326,12794,12349,12870,12620,13308,12831,4789,4967,4927,5107,5101,5123,5131
2,2,10,2,0,2,100,18,8,7,253517,282541,304026,292021,308601,326590,342559,711750,789565,916433,829241,957161,878570,1004497,18793,18998,18581,19186,18606,19647,19003,6023,6276,6307,6404,6287,6520,6452
2,2,10,2,0,2,100,22,8,9,299040,325193,349626,334846,354565,365095,380889,833270,911085,1003953,950761,1042681,1000090,1090017,22824,23109,22141,23325,22306,23618,22733,7279,7493,7495,7654,7467,7720,7614
2,2,10,2,0,2,100,26,8,10,354911,378222,393961,388605,396380,412945,428730,954790,1032605,1145473,1072281,1184201,1121610,1231537,31190,31210,29904,31359,30090,31696,30448,8539,8807,8779,8836,8884,9018,8940
2,2,10,2,0,2,100,30,8,12,407820,432886,449098,439494,450412,475000,494439,1076310,1154125,1286993,1193801,1325721,1243130,1373057,36314,36430,34540,36565,34429,36868,34758,9991,10375,10258,10348,10286,10454,10310
2,2,10,2,0,2,100,34,8,13,454211,484030,501201,488517,503942,520841,540305,1197830,1275645,1428513,1315321,1467241,1364650,1514577,41304,41601,38366,41791,39127,41919,39278,11534,11804,11677,11948,11793,11919,11863
2,2,10,2,0,2,100,38,8,15,498077,529330,547803,533633,545430,561554,584253,1319350,1397165,1570033,1436841,1608761,1486170,1656097,49084,49079,45558,49141,45242,49285,45459,12970,13174,12928,13088,13055,13091,13126
2,2,10,2,0,2,100,42,8,16,546636,581061,593462,588582,596713,617450,619615,1440870,1518685,1645553,1558361,1684281,1607690,1731617,52660,53215,49763,53221,49643,53492,49724,15053,15266,15192,15348,15193,15411,15320
2,2,10,2,0,2,100,46,8,18,595227,626060,640673,632029,643121,665953,683926,1562390,1640205,1795073,1679881,1833801,1729210,1881137,58784,59077,55307,59131,53828,59429,53943,16314,16079,15267,16122,15531,16285,15790
2,2,10,2,0,2,100,50,8,19,647812,678758,692599,684097,698217,713786,733926,1683910,1761725,1936593,1801401,1975321,1850730,2022657,63333,63640,58864,63666,58308,64118,58654,17427,17523,17213,17685,17389,17633,17460
2,2,10,2,0,2,100,54,8,21,700728,725338,742026,733175,747788,765420,780006,1805430,1883245,2078113,1922921,2116841,1972250,2164177,71459,71760,66727,71970,65871,72422,65584,19739,19665,18733,19640,19224,19408,19292
2,2,10,2,0,2,100,58,8,22,744862,782164,799126,787242,791032,822785,825329,1926950,2004765,2155633,2044441,2196361,2093770,2241697,74457,74679,68789,74795,67813,74919,68178,21930,22243,21357,21931,21808,22074,21739
