repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,200,2,8,1,44002,80315,87305,119541,138772,144281,151209,56823,237694,291628,399229,483020,487166,534846,1033,1387,2780,1582,3070,1776,3191,761,969,1750,1098,1997,1140,2070
2,2,10,2,0,2,200,6,8,3,204739,240740,254066,280656,295777,291966,305502,591423,752574,838475,921993,1025860,997954,1077833,10503,11120,11004,11261,11240,11631,11570,3950,4321,4288,4400,4392,4551,4508
2,2,10,2,0,2,200,10,8,4,286774,322337,340237,356860,378767,379882,394024,844863,1005934,1123868,1175394,1311300,1251425,1363126,21558,23180,22696,23445,21985,22396,23275,6991,6850,6811,6939,7282,7355,6977
2,2,10,2,0,2,200,14,8,6,404740,445271,462529,483208,506143,501877,521380,1098303,1259433,1409358,1428918,1596740,1504950,1648870,35039,35236,33444,35550,34311,35759,34324,8983,9256,9072,9311,9306,9348,9364
2,2,10,2,0,2,200,18,8,7,505938,543025,568720,585920,614774,604550,628863,1351743,1512899,1694795,1682315,1882180,1758378,1934153,46861,47406,45104,47463,46597,47767,46863,11505,11769,11705,11954,11983,12021,11966
2,2,10,2,0,2,200,22,8,9,590138,625118,660429,663894,697058,687490,715262,1605183,1766191,1980116,1935623,2167620,2011830,2219750,58515,58799,57271,59067,57324,52527,57480,14309,14464,14491,14751,14881,17215,14876
2,2,10,2,0,2,200,26,8,10,695882,737947,774235,775813,812387,798343,831116,1858623,2019631,2265556,2189063,2453060,2265271,2505190,68590,69293,66149,69686,67079,69761,66898,17011,17074,17059,17374,17309,17381,17482
2,2,10,2,0,2,200,30,8,12,816553,859956,885722,893375,920971,918615,934372,2112063,2273071,2550996,2442503,2738500,2518710,2790630,75970,81299,73686,81491,74643,82126,75033,21927,20425,20184,20313,20058,20589,20262
2,2,10,2,0,2,200,34,8,13,920847,964865,989718,990354,1019584,1013463,1038880,2365503,2526511,2836436,2695943,3023940,2772150,3076070,92208,92610,83978,92901,87108,92941,87218,23802,23932,23460,23916,23926,23996,23906
2,2,10,2,0,2,200,38,8,15,1016874,1055210,1078502,1093782,1109155,1118740,1136102,2618943,2779951,3121876,2949383,3309380,3025590,3361510,103351,104198,89821,104272,94147,104997,94682,26270,26473,28082,26453,25884,26654,25934
2,2,10,2,0,2,200,42,8,16,1118004,1143953,1193756,1186616,1226512,1207512,1270492,2872383,3033391,3407316,3202823,3594820,3279030,3646950,112383,113443,104259,107134,104494,113956,105417,31043,30669,30495,33648,31128,30932,31087
2,2,10,2,0,2,200,46,8,18,1209652,1253294,1288287,1284369,1323977,1306339,1345770,3125823,3286831,3692756,3456263,3880260,3532470,3932390,124836,118083,116714,126353,116823,126828,117440,32948,36010,31321,33157,32401,33234,32616
2,2,10,2,0,2,200,50,8,19,1333494,1351524,1397693,1391536,1432834,1401468,1451570,3379263,3540272,3978196,3709703,4165700,3785910,4217830,126710,127876,121016,135849,121445,136135,118651,40578,40819,35863,36788,36816,36848,39197
2,2,10,2,0,2,200,54,8,21,1406741,1448644,1499783,1475485,1529846,1492965,1549690,3632703,3793711,4263636,3963143,4451140,4039350,4503270,146155,137986,134734,147567,136269,148523,137644,38979,42531,37651,39193,38336,39272,38656
2,2,10,2,0,2,200,58,8,22,1560795,1576183,1624030,1617953,1786716,1638026,1665514,3886143,4047151,4549076,4216583,4736580,4292790,4788710,157812,159076,141444,159121,141316,160197,142646,43601,44088,42737,44224,43325,44207,42961
2,2,10,2,0,2,200,62,8,24,1658496,1696817,1749640,1710176,1749985,1729522,1760200,4139583,4300592,4834516,4470023,5022020,4546230,5074150,170406,170704,151587,170647,151817,171491,153404,48323,47909,44476,47516,46830,47523,45686
2,2,10,2,0,2,200,66,8,25,1728422,1764563,1841157,1793328,1839193,1815151,1862887,4393023,4554031,5119956,4723463,5307460,4799670,5359590,167605,178198,156762,179301,160240,179893,160173,56166,50797,48957,50815,49323,50807,49298
2,2,10,2,0,2,200,70,8,27,1914519,1901996,1949753,1938927,1982064,1958653,1982815,4646464,4807471,5405396,4976903,5592900,5053110,5645030,192635,193196,165188,193492,169653,194163,170684,56092,57174,57487,56747,55041,56557,54378
2,2,10,2,0,2,200,74,8,28,1979548,1997354,2081957,2044810,2069674,2069399,2086248,4899903,5060911,5690836,5230343,5878340,5306550,5930470,190049,190601,175993,203946,178598,204792,179631,64318,64992,56292,59140,57050,59275,57285
