repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,200,2,8,1,10008,94409,105350,103674,116356,110963,122499,1070,275845,369713,357481,445481,360730,452657,955,1310,2885,1471,3010,1575,3074,670,884,1771,971,1892,1007,1930
2,2,10,2,0,2,200,6,8,3,220863,286152,300018,279271,296746,326260,342065,699190,854005,987873,931681,1067601,1026010,1157937,10574,11045,11057,10874,10862,11299,11092,3994,4245,4272,4239,4307,4399,4303
2,2,10,2,0,2,200,10,8,4,300778,356376,382465,368605,388983,413587,432920,944710,1099525,1273393,1177201,1353121,1271530,1443457,20883,22370,21870,22495,22196,22889,22425,6884,6696,6650,6747,6723,6772,6752
2,2,10,2,0,2,200,14,8,6,421558,459880,491232,480476,511644,522202,542073,1190230,1345045,1558913,1422721,1638641,1517050,1728977,30299,30580,29925,30706,30018,33026,31572,10372,10515,10472,10615,10578,10095,9861
2,2,10,2,0,2,200,18,8,7,536838,580893,620976,597132,627298,661758,690353,1435750,1590565,1844433,1668241,1924161,1762570,2014497,43642,46747,45207,46979,45276,46924,46023,12630,11898,11941,11906,11876,12060,12070
2,2,10,2,0,2,200,22,8,9,612028,651203,674626,665975,685026,723403,742567,1681270,1836085,2021953,1913761,2097681,2008090,2188017,58227,58104,56640,58328,56639,58710,56935,14517,14700,14643,14697,14832,14811,14872
2,2,10,2,0,2,200,26,8,10,715389,761137,822239,772933,798080,825455,848474,1926790,2081606,2307473,2159281,2383201,2253610,2473537,65865,66578,68106,70733,69050,71308,69394,18703,19145,17679,17619,17884,17748,17735
2,2,10,2,0,2,200,30,8,12,830892,866581,896924,886715,900165,952047,965723,2172310,2327125,2592993,2404801,2668721,2499130,2759057,75796,76107,74157,81040,74399,81516,75198,22615,22618,21752,20823,21621,21005,21305
2,2,10,2,0,2,200,34,8,13,932544,991184,1007710,1004129,1013613,1059028,1073092,2417830,2572646,2878513,2650321,2954241,2744650,3044577,86551,87068,81594,92555,82614,93268,83815,25293,26824,26628,24677,26044,24787,25378
2,2,10,2,0,2,200,38,8,15,1040340,1085567,1106858,1095872,1101715,1153142,1169160,2663350,2818165,3164033,2895841,3239761,2990170,3330097,103472,104201,92618,104517,93316,105028,94036,27180,27407,26748,27138,26796,27175,26676
2,2,10,2,0,2,200,42,8,16,1140271,1185230,1197408,1184362,1195489,1251117,1250034,2908870,3063685,3317553,3141361,3393281,3235690,3483617,107057,107716,100380,107314,101050,115060,105205,33595,33465,32964,33343,33099,30987,31401
