repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,2,10,2,0,2,10,2,8,1,6907,21778,20984,26473,27515,41593,36079,3151,13040,15835,23765,26565,30221,32527,718,5630,6249,10683,11056,14096,14151,39,77,70,68,71,126,131
2,2,10,2,0,2,10,6,8,3,25472,40254,38274,43880,44102,60825,56760,24991,34575,38955,45285,49685,51936,55647,13693,18674,19737,23814,24562,27272,27947,168,208,98,233,122,334,161
2,2,10,2,0,2,10,10,8,4,40071,54159,58070,59676,65589,73617,72165,46511,56219,62075,66805,72805,73261,78767,26650,31616,33170,36713,38699,40143,41224,282,334,152,365,174,456,198
2,2,10,2,0,2,10,14,8,6,59340,74714,77290,80088,81504,94064,87713,68031,77761,85195,88325,95925,94781,101887,39609,44605,46624,49685,52156,53095,54680,570,685,132,681,136,744,163
2,2,10,2,0,2,10,18,8,7,74948,90118,87332,92969,93586,106570,103223,89551,99281,108315,109845,119045,116301,125007,52579,57530,59821,62646,64950,66073,67908,356,542,132,567,146,685,211
2,2,10,2,0,2,10,22,8,9,90658,105912,102983,108406,110298,124679,116395,111071,120827,131435,131365,142165,137821,148127,65531,70476,73153,75579,78680,79112,81271,419,744,132,752,148,843,172
2,2,10,2,0,2,10,26,8,10,105032,119435,120608,125365,125472,143351,132950,132591,142368,154555,152885,165285,159341,171247,78499,83469,86519,88579,91832,92017,94518,588,1055,192,1054,215,1158,315
2,2,10,2,0,2,10,30,8,12,122136,137640,138037,142305,143062,157838,151602,154111,163888,177675,174405,188405,180861,194367,91453,96379,99933,101666,105084,105031,108000,601,1166,152,1184,166,1218,216
2,2,10,2,0,2,10,34,8,13,134416,153365,155938,161832,159625,168825,170231,175631,185408,200795,195925,211525,202381,217487,104406,109402,113256,114863,118437,118091,121617,651,1298,193,1290,273,1317,272
2,2,10,2,0,2,10,38,8,15,157331,168247,176384,174769,179294,189018,188199,197151,206928,223915,217445,234645,223901,240607,117381,122367,126653,127674,131912,131124,134829,557,1403,148,1414,201,1506,245
2,2,10,2,0,2,10,42,8,16,170349,186341,192851,186736,196471,202006,206183,218671,228448,247035,238965,257765,245421,263727,130344,135324,139976,140648,145456,144055,148095,693,1455,206,1499,220,1712,352
2,2,10,2,0,2,10,46,8,18,184898,197173,210797,203726,212683,218863,220526,240191,249968,270155,260485,280885,266941,286847,143287,148271,153346,153567,158570,157000,161484,721,1613,212,1792,287,1813,393
