repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,400,4,1,5563111,7414361,8802586,11168594,13366629,11687203,12687213,11288402,26305877,31706361,36957089,41757090,41838396,46638327,105549,101757,100287,104845,107743,116038,118336,11083,11422,11416,11572,11519,15238,15225
10,10,100,1,0,2,400,8,1,7524401,9229109,10404817,11778994,14386674,13210438,14240924,16488402,31505878,36906362,42157089,46957090,47038397,51838327,214687,210607,209853,215658,225740,225029,233775,21718,21536,21305,21706,21660,25767,25668
10,10,100,1,0,2,400,12,1,7979100,9871350,11007837,13724381,16574948,14409806,15315218,19288402,35505878,40906362,46157089,50957090,51038397,55838327,310260,307460,305925,311490,324868,321563,335145,35317,35621,35598,35778,35852,39701,40070
10,10,100,1,0,2,400,16,1,9962062,11344511,12418514,15247773,18014876,16018711,16670753,24488402,40705878,46106362,51357090,56157090,56238397,61038327,391033,387461,385480,393282,400772,402572,411542,51418,51160,50753,51016,50998,55406,54711
10,10,100,1,0,2,400,20,1,9436989,11226984,12214777,15089958,18184580,15559115,16923056,22088402,38305878,43706362,48957090,53757090,53838397,58638327,466964,468065,467691,472625,497527,482997,506980,65708,64767,64210,65209,64835,69672,69004
10,10,100,1,0,2,400,24,1,11267877,12632892,13519550,16518664,19525839,17063836,17890455,27288402,43505878,48906362,54157090,58957090,59038397,63838327,535010,541771,546336,549745,574220,558581,582505,82896,81376,80527,81659,80825,85778,85311
10,10,100,1,0,2,400,28,1,11525157,12148197,13417913,16662622,19603908,16524554,17771093,24888402,41105878,46506362,51757090,56557090,56638397,61438327,628325,635276,637634,641102,680858,651437,687636,100387,97342,97235,97287,95879,101913,102520
10,10,100,1,0,2,400,32,1,14841825,14025689,14603232,18160615,20763455,18374629,19527889,30088402,46305878,51706362,56957090,61757090,61838397,66638327,704624,711177,713862,717590,749981,729717,745270,118513,116180,115020,115631,114068,121570,119531
10,10,100,1,0,2,400,36,2,12753588,13200506,14201236,18167569,20106351,17467133,18919312,27688402,43905878,50906362,54557090,60957090,59438397,65838327,782829,805083,807406,815555,848625,824724,829433,132937,123806,122610,124136,123494,129311,128165
10,10,100,1,0,2,400,40,2,14500445,14763550,15515965,19625341,21595168,19135653,20326408,32888403,49105878,56106362,59757090,66157090,64638397,71038327,819923,839691,845493,850618,884870,861602,873988,151609,143721,141513,143843,143093,148436,148024
10,10,100,1,0,2,400,44,2,15062646,14515626,15127709,19928184,21772530,18673315,20283281,30488403,46705878,53706362,57357090,63757090,62238397,68638327,927889,964691,967909,974143,1016956,983256,1014428,161600,154778,153088,154557,154178,160009,158761
10,10,100,1,0,2,400,48,2,16354236,15886061,16324967,21229232,22962506,19913619,21379904,35688403,51905878,58906362,62557090,68957090,67438397,73838327,986258,1013654,1021281,1024899,1062893,1035340,1056442,188921,178216,176425,179985,177077,183844,182453
10,10,100,1,0,2,400,52,2,15473274,15282435,16458789,21353088,23134500,19491679,21140608,33288403,49505878,56506362,60157090,66557090,65038397,71438328,1084372,1131330,1151583,1144384,1205664,1154236,1205133,219232,201961,201568,206115,203838,209638,205985
10,10,100,1,0,2,400,56,2,17278959,16788857,17165815,22664314,24399241,20936352,22402924,38488403,54705878,61706362,65357090,71757090,70238397,76638328,1132689,1199275,1221989,1212726,1280011,1225167,1278933,232727,211447,209586,213977,211754,216130,213793
10,10,100,1,0,2,400,60,2,17191650,16534121,17645788,22832221,24582848,20496214,22153429,36088403,52305878,59306362,62957090,69357090,67838397,74238328,1233905,1333229,1362096,1345797,1426777,1359814,1427940,249690,224960,225778,230919,227423,234290,232731
10,10,100,1,0,2,400,64,2,20967415,18323259,18033039,24591440,25668818,22491154,23385953,41288403,57505878,64506362,68157090,74557090,73038397,79438327,1325843,1405409,1435806,1420205,1492114,1432227,1489223,287344,260074,253262,262674,255755,264828,261299
10,10,100,1,0,2,400,68,3,17638077,17510484,18259665,24469491,25866215,21728482,23894252,38888403,55105878,63706362,65757090,73757090,70638397,78638327,1380947,1490813,1507336,1515937,1555187,1517694,1548552,306558,274312,270169,282123,278453,286043,280289
10,10,100,1,0,2,400,72,3,20238239,19780280,19706509,26456065,27288846,23783122,24989475,44088403,60305878,68906362,70957090,78957090,75838397,83838328,1455441,1612885,1625322,1631108,1689828,1634052,1684214,347010,316112,305222,320010,306845,323691,312724
10,10,100,1,0,2,400,76,3,19395588,19262774,19837960,26409305,27377787,23361540,25670110,41688403,57905878,66506362,68557090,76557090,73438397,81438328,1569239,1752905,1790591,1775347,1851744,1781832,1858801,394335,356152,341527,358057,344306,364937,352548
10,10,100,1,0,2,400,80,3,22222969,21295724,21151957,28550400,28640180,25547364,26323126,46888403,63105878,71706362,73757090,81757090,78638398,86638328,1608777,1818658,1861650,1838364,1925167,1845468,1919543,418030,383564,369142,395263,372817,397130,390662
10,10,100,1,0,2,400,84,3,21078224,21597050,22305119,29133542,29427482,25823022,27486243,44488403,60705878,69306362,71357091,79357090,76238398,84238328,1722882,1936937,1992448,1962389,2043841,1965470,2055166,481771,439456,434234,454659,428009,462728,448521
10,10,100,1,0,2,400,88,3,22627192,23408244,23416186,30718957,30641841,27518597,28412315,49688403,65905879,74506363,76557091,84557091,81438397,89438328,1796647,2061345,2116674,2086449,2200416,2093058,2192978,520095,471517,449985,483769,446775,498573,469133
10,10,100,1,0,2,400,92,3,23661013,24858914,25084655,32336402,31724940,28837868,29782746,47288403,63505879,72106362,74157091,82157091,79038398,87038328,1892323,2185677,2258405,2219526,2313608,2215343,2338770,577609,547993,530729,570354,514317,572917,552862
10,10,100,1,0,2,400,96,3,27412991,27965248,25676222,35011195,32020297,31912271,29545829,52488403,68705879,77306363,79357091,87357091,84238398,92238328,1944381,2154757,2202200,2187730,2296879,2194030,2288936,641213,657957,601647,669051,570976,676020,604702
10,10,100,1,0,2,400,100,4,25695002,27831383,27000609,35323067,32870936,31811177,30549821,50088403,66305879,76506363,76957091,86557091,81838398,91438328,2091001,2358938,2380757,2383686,2422418,2393517,2454621,736864,758946,710710,749766,678607,766572,716346
10,10,100,1,0,2,400,104,4,27938153,30893089,28993736,38413463,34471763,35213572,32178377,55288404,71505879,81706363,82157091,91757091,87038398,96638328,2126029,2414800,2441746,2453839,2509904,2452200,2515135,831460,861425,802969,880260,769807,880816,796875
10,10,100,1,0,2,400,108,4,28260901,31271594,30196246,38830638,35444655,35433910,33127605,52888403,69105879,79306363,79757091,89357091,84638398,94238328,2259266,2603249,2648399,2641929,2697941,2636237,2723064,855521,883906,820774,895938,799906,901651,818139
10,10,100,1,0,2,400,112,4,31308562,34804790,31766401,41857416,36386225,38808681,34186186,58088404,74305879,84506363,84957091,94557091,89838398,99438328,2281508,2616375,2667677,2684730,2762411,2674732,2762570,930377,1009382,927527,1027688,889113,1019371,920051
10,10,100,1,0,2,400,116,4,31712449,35520934,34432871,43039394,38454135,39871133,36327994,55688404,71905879,82106363,82557091,92157091,87438399,97038328,2442107,2807706,2836931,2861900,2893014,2860072,2922028,1059332,1147063,1062828,1159692,1043049,1161643,1069903
10,10,100,1,0,2,400,120,4,33912575,38488231,35684479,45484631,39771512,42820575,37587460,60888404,77105880,87306363,87757092,97357091,92638399,102238329,2490539,2899146,2967684,2969785,3038736,2964356,3044598,1102222,1211792,1125361,1229944,1111294,1236384,1131577
10,10,100,1,0,2,400,124,4,35921839,39468856,37712042,48741269,41632889,44501925,39341248,58488404,74705880,84906364,85357092,94957091,90238399,99838329,2609315,3027234,3081592,3100019,3118146,3085971,3175164,1212361,1329929,1218107,1342694,1210899,1354569,1241446
10,10,100,1,0,2,400,128,4,38387917,42863486,38289602,50170278,41031665,48108536,38705997,63688404,79905880,90106364,90557092,100157091,95438399,105038329,2687066,3072996,3125066,3156153,3218673,3134544,3222136,1325330,1475582,1340440,1525590,1323229,1508980,1334709
10,10,100,1,0,2,400,132,5,37788019,42418553,39840972,50008515,42406205,47452543,40123797,61288404,77505880,89306364,88157092,99357091,93038399,104238329,2823156,3282014,3279782,3354159,3333747,3338448,3369183,1378250,1576590,1451143,1596843,1437133,1592108,1447621
10,10,100,1,0,2,400,136,5,40758569,44585216,41079978,52462739,43543451,50579197,41131648,66488404,82705880,94506364,93357092,104557092,98238400,109438329,2878980,3380496,3404403,3454560,3464562,3439126,3478964,1496792,1666076,1526427,1707145,1510030,1705923,1515427
10,10,100,1,0,2,400,140,5,40136253,43848482,41737015,52212196,44411256,50122348,42174637,64088404,80305880,92106364,90957092,102157092,95838399,107038329,3027221,3504968,3532852,3575398,3566173,3567051,3601268,1547934,1716967,1611581,1748484,1597274,1782252,1620627
10,10,100,1,0,2,400,144,5,42767804,47679828,44380848,56114964,45398781,54379837,42931399,69288405,85505880,97306364,96157092,107357092,101038399,112238329,3085282,3603272,3630333,3691356,3750030,3693631,3766861,1594333,1834537,1758785,1874046,1724812,1885838,1727478
10,10,100,1,0,2,400,148,5,43428093,47397535,45468661,56264204,47227020,54834373,45129080,66888405,83105881,94906364,93757092,104957092,98638399,109838329,3216557,3812929,3847987,3897185,3888002,3881744,3924633,1685119,1950512,1844053,1989411,1817708,1989922,1835762
10,10,100,1,0,2,400,152,5,45969587,49245397,46579380,58351773,48105997,58003780,45980469,72088405,88305880,100106364,98957093,110157092,103838400,115038329,3254073,3865320,3915146,3946681,3978110,3928697,3991836,1771853,2054377,1950066,2078246,1914174,2094262,1924873
10,10,100,1,0,2,400,156,5,46475719,50320368,48137642,59292767,49429646,58658127,47333170,69688405,85905881,97706364,96557092,107757092,101438400,112638329,3389314,3998753,4054801,4071878,4079929,4058451,4115136,1818682,2145753,2069478,2174852,2063097,2188626,2078013
10,10,100,1,0,2,400,160,5,50924522,54505021,50229874,64231092,50007533,63768016,47986747,74888405,91105881,102906364,101757093,112957092,106638400,117838329,3386939,3980915,4050099,4080613,4122826,4061641,4130966,1844014,2305306,2230442,2322084,2193831,2343930,2196754
