repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,1,0,2,800,4,2,1,9871869,15340798,20925002,23408885,29883847,26067986,30392941,24145113,60560485,78560772,84618474,103018474,89270290,107670217,263811,262291,256996,263396,265444,272397,273307,24264,24935,24627,24864,24069,27706,27546
2,10,100,1,0,2,800,8,2,1,15518048,20154705,24998040,29720017,34837270,30801431,34216438,36945113,73360485,91360772,97418474,115818474,102070290,120470217,462089,455806,452745,461318,457855,467975,464800,59744,58460,59386,57700,58343,62950,63286
2,10,100,1,0,2,800,12,2,1,17835912,23529999,28177503,33543858,38150394,34072768,37719406,49745113,86160486,104160773,110218474,128618474,114870290,133270218,585783,588417,598786,593453,619221,604795,627773,86207,83493,80776,83124,80600,87746,86338
2,10,100,1,0,2,800,16,2,1,22676198,28532600,34384161,38304376,44857704,39404109,41523171,62545113,98960486,116960775,123018474,141418475,127670290,146070217,760888,774626,790695,780362,810023,786488,818155,104624,115849,115862,114759,114534,118517,117662
2,10,100,1,0,2,800,20,2,1,17838110,25628862,30883343,31365052,37463248,34902877,37243566,48945113,90160486,108160773,113418474,131818474,118870290,137270217,891915,919999,954517,924891,973758,932026,984692,151364,144755,143952,145692,145050,149138,148204
2,10,100,1,0,2,800,24,2,1,23266472,30405928,33583475,36376004,40847676,38486900,40260893,61745113,102960486,120960773,126218474,144618474,131670290,150070217,1084837,1152898,1191242,1157993,1215419,1165023,1224261,184245,169223,170397,172119,170128,176231,174224
2,10,100,1,0,2,800,28,2,1,25827721,33723974,38474042,41495976,47016492,43004776,43936827,74545114,115760487,133760773,139018474,157418475,144470291,162870218,1208436,1304256,1359870,1319807,1379441,1324398,1387860,224140,208466,210433,210133,209989,215003,211662
2,10,100,1,0,2,800,32,2,1,33785607,39409173,45256157,46928236,52947393,49019165,49213134,87345114,128560487,146560774,151818475,170218475,157270291,175670218,1419112,1553554,1587358,1543417,1644461,1558578,1662437,263461,237671,244887,239219,240828,244412,246409
2,10,100,1,0,2,800,36,2,2,23847962,30009969,33326645,35834041,40628415,39118445,40384010,54545113,95760486,117760773,119018474,141418474,124470290,146870217,1525298,1719929,1756814,1744915,1803120,1746525,1739922,325858,302695,296460,307276,308006,313476,308052
2,10,100,1,0,2,800,40,2,2,29700919,35019839,37753247,43073370,46225100,42905491,43647980,67345114,108560487,130560773,131818474,154218475,137270290,159670217,1748433,1945683,1965259,1967586,2002838,1998939,2067638,396441,358916,444829,373255,363248,377568,366753
