repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,100,4,1,1327698,1570440,1793380,2248802,2436012,2657648,2807231,2853472,6620949,7971413,9322175,10522159,10753589,11953396,4054,3998,4001,4387,4345,10314,10276,3056,3269,3262,3398,3378,6864,6634
10,10,100,1,0,2,100,8,1,1735725,1912393,2113453,2623865,2770938,3041374,3158441,4156902,7924379,9274843,10625605,11825589,12057019,13256826,6517,6636,6167,7629,7667,16503,16213,4855,5054,5069,5273,5181,8540,8455
10,10,100,1,0,2,100,12,1,1775539,2232484,2446257,3077306,3115949,3509052,3567048,4856902,8924379,10274843,11625605,12825589,13057019,14256826,23514,21809,21989,24809,25293,38006,39140,6605,6726,6645,6796,6684,9997,10128
10,10,100,1,0,2,100,16,1,2414448,2685148,2814512,3516575,3799770,3925320,3911405,6156832,10224309,11574773,12925535,14125519,14356949,15556756,65136,64445,63766,65126,67092,77013,78014,8701,8859,8673,8943,8808,12441,12150
10,10,100,1,0,2,100,20,1,2321240,2578349,2748421,3328590,3364169,3749562,3769548,5553472,9620949,10971413,12322175,13522159,13753589,14953396,100142,101168,100631,102409,106345,110863,114241,10500,10499,10370,10609,10518,13997,13855
10,10,100,1,0,2,100,24,1,2683710,2968449,3094485,3755845,3732966,4147914,4142493,6856902,10924379,12274843,13625605,14825589,15057019,16256826,124231,123943,125614,124838,133184,131399,140128,12159,12267,12114,12461,12246,16029,15544
10,10,100,1,0,2,100,28,1,2795396,2910870,3068375,3860494,3763533,4042553,4037422,6256902,10324379,11674843,13025605,14225589,14457019,15656826,153058,151560,150964,154473,162105,158885,166251,14838,14949,14736,15072,14778,18790,18444
10,10,100,1,0,2,100,32,1,3490712,3409241,3424200,4327044,4055860,4518101,4433619,7556832,11624309,12974773,14325535,15525519,15756949,16956756,172211,172302,171294,172506,178014,177204,184996,18569,18631,18250,18694,18626,22381,22079
10,10,100,1,0,2,100,36,2,2981198,3077576,3235116,3797198,3793173,4202398,4233898,6953472,11020949,12771413,13722175,15322159,15153589,16753396,180630,178345,176861,180712,184267,187686,190608,21408,21239,20871,21140,20854,24803,24613
10,10,100,1,0,2,100,40,2,3536221,3540177,3584842,4250085,4147279,4651096,4569026,8256902,12324379,14074843,15025605,16625589,16457019,18056826,212827,207556,205457,210647,215363,217898,220833,22749,23107,22880,23050,22710,26765,26404
