repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,1,0,2,100,4,2,1,1169611,1896137,2237917,2682927,3007354,2972443,3241644,3071542,7636785,9887201,10694973,12994902,11496719,13796645,4184,4150,4087,4361,4348,10145,8800,3260,3343,3315,3296,3297,5531,5403
2,10,100,1,0,2,100,8,2,1,1560000,2329176,2626478,3073384,3494550,3437090,3692858,4668042,9233285,11483701,12291473,14591402,13093218,15393145,20905,20222,19512,20632,21241,25260,26004,4871,5111,4991,5040,4891,7122,7008
2,10,100,1,0,2,100,12,2,1,2169213,2990213,3178877,3666540,4197033,4067426,4198435,6268112,10833355,13083771,13891544,16191472,14693288,16993215,28800,28834,28643,32332,31796,36130,37232,7074,7188,7071,7090,7043,9316,9237
2,10,100,1,0,2,100,16,2,1,2700525,3375768,3574903,4135052,4325944,4465576,4542434,7868112,12433356,14683771,15491543,17791472,16293288,18593215,66452,65372,64052,64882,67521,72086,73183,9261,8910,8806,8663,8472,11337,11031
2,10,100,1,0,2,100,20,2,1,2255715,3145718,3347764,3834115,4052771,4268255,4382739,6171542,11336785,13587201,14294973,16594902,15196718,17496645,97225,97607,98652,99074,104988,103633,110420,11201,11141,10959,11140,11013,13505,13432
2,10,100,1,0,2,100,24,2,1,2735863,3623293,3764925,4301935,4457569,4799573,4776391,7768042,12933286,15183701,15891473,18191402,16793218,19093145,121648,121272,122701,123000,127400,127885,132956,14111,14142,13981,14347,14132,16813,16528
2,10,100,1,0,2,100,28,2,1,3192472,4129470,4214968,4610870,4780323,5069942,5119068,9368112,14533356,16783772,17491543,19791472,18393288,20693215,149347,151708,154621,149987,158924,153554,162953,15748,15826,15640,15588,15251,18215,17794
2,10,100,1,0,2,100,32,2,1,4136387,4830389,4760772,5519634,5401949,6053055,5740689,10968112,16133355,18383771,19091543,21391472,19993288,22293215,169187,170340,168762,171382,177557,175727,182453,19266,19340,19057,19399,19156,22108,21585
2,10,100,1,0,2,100,36,2,2,3009191,3810504,3967365,4496774,4625198,4999637,5067304,6871542,12036786,14787202,14994973,17794902,15896718,18696645,188211,188985,186771,191279,188463,195521,192912,21290,21606,21039,21603,21083,24356,23976
2,10,100,1,0,2,100,40,2,2,3496589,4234116,4271179,4817422,4862201,5397039,5188827,8468042,13633285,16383701,16591473,19391402,17493218,20293145,203482,205427,201509,206959,205070,211524,210839,24885,24606,24701,24734,24318,27570,27243
