repeats,epochs,batch,output_dims,output_model,tasks,height,width,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,2,5,4,1,113335,218363,243094,296688,320638,486584,501361,226402,415855,493317,629017,698998,936419,1006283,38246,139918,149396,209889,219913,357568,368280,141,174,168,214,208,1089,904
10,10,100,1,0,2,5,8,1,178516,258691,282482,350496,370684,525579,538052,341402,530855,608317,744017,813998,1051419,1121283,58235,157349,167399,230561,239977,377488,387258,187,306,272,413,348,1393,1197
10,10,100,1,0,2,5,12,1,165534,257675,280630,340260,370494,493738,567717,291402,480855,563317,694017,763998,1001419,1071283,48221,141683,151046,215405,224903,356938,383152,228,283,284,455,403,1559,1472
10,10,100,1,0,2,5,16,1,272502,350910,376908,438385,462600,590423,609106,406402,595855,678317,809017,878998,1116419,1186283,68251,162468,172466,234997,244989,378388,387502,157,209,244,425,362,1665,1392
10,10,100,1,0,2,5,20,1,238013,381803,404972,455974,486447,612739,680458,316402,505855,588317,719017,788998,1026419,1096283,53397,149206,161459,221427,230106,362007,388058,1538,1765,1495,1883,1547,2773,2417
10,10,100,1,0,2,5,24,1,327916,463284,480732,537606,561661,694844,717561,431402,620855,703317,834017,903998,1141419,1211283,77084,169485,178946,239995,249975,382592,392405,1378,1997,2084,2341,2254,3241,2984
10,10,100,1,0,2,5,28,1,194565,308196,337410,381706,402097,590461,637811,341402,530855,613317,744017,813998,1051419,1121283,58243,153596,164449,225846,234937,376639,392908,1050,1862,1769,2391,1793,3536,2724
10,10,100,1,0,2,5,32,1,312267,407251,431763,483519,501377,666186,653879,456402,645855,728317,859017,928998,1166419,1236283,78252,174961,184532,245595,255481,392661,397469,1431,2312,1743,2835,2108,3997,2889
10,10,100,1,0,2,5,36,2,201665,329209,440160,405939,512360,567407,678983,366402,555855,658317,769017,858998,1076419,1166283,63229,158117,179346,230584,254351,372127,399198,1034,3152,455,3479,610,4618,1379
10,10,100,1,0,2,5,40,2,338351,431331,523663,513236,609737,675841,766959,481402,670855,773317,884017,973998,1191419,1281283,83241,179442,205311,249968,275092,392443,421492,2492,3803,1107,4023,1264,5530,1942
10,10,100,1,0,2,5,44,2,218752,341465,461167,419317,529526,586776,699866,391402,580855,683317,794017,883998,1101419,1191283,68235,163676,187977,236041,260471,377898,406474,1214,3251,1183,3797,1363,5485,2246
10,10,100,1,0,2,5,48,2,391246,473289,545894,546545,629905,708541,787481,506402,695855,798317,909017,998998,1216419,1306283,88252,184447,201891,255040,280274,397522,427720,4088,5871,1504,6086,1638,7147,2242
10,10,100,1,0,2,5,52,2,240247,373878,471162,464173,538270,625254,721203,416402,605855,708317,819017,908998,1126419,1216283,73231,169000,191148,240242,263492,382225,410974,1655,6119,1794,6764,1987,7920,3084
10,10,100,1,0,2,5,56,2,373010,499093,564529,571357,653733,732306,814259,531402,720855,823317,934017,1023998,1241419,1331283,93249,189597,215440,260485,285116,402452,431637,2907,7165,2381,7673,2583,8669,3155
10,10,100,1,0,2,5,60,2,284013,397979,498647,492162,554002,678170,729440,441402,630855,733317,844017,933998,1151419,1241283,78720,174142,197834,245596,265234,389698,416567,3598,8065,2731,8816,2954,9627,4066
10,10,100,1,0,2,5,64,2,430174,532807,600673,605444,671042,763181,828519,556402,745855,848317,959017,1048998,1266419,1356283,100311,194475,217694,264969,290018,407798,435410,4655,9185,2887,9428,3098,10168,3820
10,10,100,1,0,2,5,68,3,321153,422743,418472,521281,485921,701146,817850,466402,655855,778317,869017,978998,1176419,1286283,83257,179424,198397,250357,270020,398652,426119,8645,10695,948,10881,1126,11562,1715
10,10,100,1,0,2,5,72,3,428811,542094,536661,608045,591752,764397,897762,581402,770855,893317,984017,1093998,1291419,1401283,103238,199444,217987,269994,290111,412522,444947,3358,9559,1550,9509,1693,10205,2230
