repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,1,0,2,20,4,2,1,370310,705736,845758,992703,1498615,1116945,1158367,612503,1488479,1727932,2108570,2228570,2353130,2492939,112247,556359,565021,847958,1037955,1014313,1035265,1573,1475,1324,1993,1615,2787,2234
2,10,100,1,0,2,20,8,2,1,519498,890075,1106822,1153194,1173050,1306307,1335879,932503,1808479,2047932,2428570,2548570,2673130,2812939,192260,636693,644989,928035,948788,1094199,1114087,2679,4341,2011,4528,2129,5235,2719
2,10,100,1,0,2,20,12,2,1,562953,983612,998661,1296753,1834649,1539273,1516719,972503,1848479,2087932,2468570,2588570,2713130,2852939,132245,576600,583946,868390,956083,1033687,1054565,3776,6817,3322,6991,3726,7827,4450
2,10,100,1,0,2,20,16,2,1,720312,1133851,1161658,1396954,1345719,1681024,1655409,1292503,2168479,2407932,2788570,2908570,3033130,3172939,212240,657437,665665,948484,968915,1113689,1133610,7295,9975,4529,10300,4754,11098,5357
2,10,100,1,0,2,20,20,2,1,884940,1532358,1597268,1728004,2238425,1914264,1967015,1052503,1928479,2167932,2548570,2668570,2793130,2932939,152239,620049,623108,889969,926966,1055185,1073680,9471,12966,5717,13065,5842,14029,6435
2,10,100,1,0,2,20,24,2,1,1034936,1633104,1724308,1857950,1867301,2041080,2074218,1372503,2248479,2487932,2868570,2988570,3113130,3252939,232249,676541,684276,968784,988983,1134642,1154612,11265,14976,6928,15382,7149,17056,8014
2,10,100,1,0,2,20,28,2,1,1228337,1771530,1862253,1559696,2010362,2101065,2290442,1132503,2008479,2247932,2628570,2748570,2873130,3012939,172244,633257,628426,908899,961461,1073115,1093869,16400,18081,10335,19213,10212,19995,10857
2,10,100,1,0,2,20,32,2,1,1332461,1931504,1952238,1646596,1549681,2316823,2314096,1452503,2328479,2567932,2948570,3068570,3193130,3332939,252246,697837,707971,987748,1008343,1153472,1173498,18198,20785,11798,21488,11332,22629,12372
2,10,100,1,0,2,20,36,2,2,883554,1299241,1693191,1689221,2381645,1939604,2002180,1212503,2088479,2407932,2708570,2908570,2953130,3172939,192241,638425,695141,929373,1026528,1092735,1200012,20628,23180,2871,23907,3167,25054,4229
2,10,100,1,0,2,20,40,2,2,1075445,1477997,1873933,1828501,1965187,2112644,2209003,1532503,2408479,2727932,3028570,3228570,3273130,3492939,272243,717040,795255,1007856,1077994,1175362,1278068,27147,27367,4040,27494,4166,28194,5101
