repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,2,0,2,80,4,4,1,9455274,9969608,10291152,11225839,11180699,11483836,11501022,4192284,7496841,8576849,9947090,10907089,11150404,12110327,76823,77333,73100,79710,74555,88789,85391,7317,7481,7423,7579,7556,11107,11019
10,10,100,2,0,2,80,8,4,1,18612376,18506835,19447850,20469094,20017352,20322765,20349470,7638285,10942841,12022850,13393090,14353090,14596402,15556327,176655,174676,173426,176410,175550,183665,182691,12373,12867,12763,12982,12913,16612,16552
10,10,100,2,0,2,80,12,4,1,27980313,27542949,28840280,29856528,29410498,29372361,29396066,11158285,14462858,15542866,16913091,17873091,18116504,19076328,303658,295925,294431,298007,296486,305138,303121,18839,19822,19652,20026,20119,23708,23684
10,10,100,2,0,2,80,16,4,1,37237213,36504069,38101883,39062990,38858911,38731752,38329154,14678286,17982859,19062868,20433091,21393091,21636511,22596329,400653,395578,394477,396513,396263,405059,404279,25789,26867,26726,26761,27185,30920,30849
10,10,100,2,0,2,80,20,4,2,46468956,45443907,46218182,48316297,47835667,47182215,47393834,18198287,21502852,23222861,23953092,25553092,25156506,26756329,528132,519852,508789,521778,511577,530101,520108,34686,35731,35787,35770,35706,39774,39719
10,10,100,2,0,2,80,24,4,2,55744780,54418915,55197237,57630965,57058014,56150215,56302452,21718287,25022860,26742869,27473093,29073092,28676545,30276330,612907,608601,601069,609840,604731,616418,611212,40471,42145,42395,42361,42105,46593,46630
10,10,100,2,0,2,80,28,4,2,64966913,63320091,64377104,66859464,66188259,65038257,65200856,25238288,28542854,30262858,30993093,32593093,32196474,33796330,752957,746512,733879,747671,736706,755905,744732,49995,51827,51537,51854,52159,56197,56152
10,10,100,2,0,2,80,32,4,2,75569446,72206142,73398554,76130845,75585693,73924729,74060326,28758288,32062862,33782870,34513093,36113093,35716556,37316331,822348,818299,812032,819660,813626,826367,821504,59287,60213,60446,60782,60543,64797,64559
10,10,100,2,0,2,80,36,4,3,84974494,81174886,82025349,85358499,83930198,82845908,83061480,32278289,35582862,37942870,38033094,40273094,39236554,41476332,975349,967081,922790,969529,926090,977875,934849,67435,69423,70846,69202,69119,73384,72897
10,10,100,2,0,2,80,40,4,3,94247232,90148781,90791483,94457023,93099800,91735363,91930638,35798290,39102855,41462864,41553095,43793095,42756516,44996332,1030952,1026988,986461,1028068,996739,1035708,1002832,76455,77836,77947,78083,78056,82145,81885
