repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,2,0,2,800,4,4,1,103873683,112622567,114256673,120022485,121926064,120475913,123001794,59248402,96470967,116069268,123730980,142130979,120379806,139579733,1084025,1076636,1068682,1080049,1071368,1081364,1079443,78605,80119,80212,79818,80322,83387,84100
2,10,100,2,0,2,800,8,4,1,203087422,207080576,210286409,217863340,219952483,217920891,219814303,105648409,144470973,164069274,170130986,188530986,166779812,185979739,2200201,2200241,2180671,2199855,2182126,2221841,2201462,253878,268621,262183,307196,260721,255548,256869
2,10,100,2,0,2,800,12,4,1,303495244,305507519,306557489,312954617,315779714,313656629,316574109,152048415,192470980,212069280,216530992,234930992,213179818,232379745,3319648,3330774,3321816,3332056,3324650,3351515,3345715,588438,618419,603432,611101,608548,606122,618076
2,10,100,2,0,2,800,16,4,1,404713117,407242438,409907232,415534641,415967249,419642383,417646904,198448422,240470985,260069287,262930999,281330998,259579825,278779752,4254446,4270413,4250590,4280547,4260659,4296066,4279394,1291677,1267436,1294646,1340533,1300378,1282195,1294410
2,10,100,2,0,2,800,20,4,2,505524593,504673281,499600465,512815536,514083082,508440838,508244273,244848429,288470992,316069293,309331005,335731005,305979831,333179757,5560698,5583485,5494852,5587222,5507108,5614934,5531829,2147388,2126881,2151637,2131784,2134218,2129482,2128007
2,10,100,2,0,2,800,24,4,2,617255282,616460422,611476067,609273778,617548777,610115534,611187329,291248435,336470999,364069300,355731011,382131011,352379837,379579764,6460520,6504205,6386606,6501291,6405482,6531353,6435402,2987757,3057308,3030588,3042496,3057274,3059446,3076492
2,10,100,2,0,2,800,28,4,2,707788716,703545180,694294485,707651618,706304773,700833394,704118671,337648441,384471004,412069305,402131018,428531017,398779844,425979770,7821754,7860040,7771855,7865205,7787702,7897191,7820531,3950157,3989842,3956675,3968402,3980345,3980634,3976835
2,10,100,2,0,2,800,32,4,2,811295127,800008314,799297840,809786533,813275469,814452939,812139347,384048448,432471011,460069313,448531024,474931025,445179850,472379778,8665729,8698193,8623183,8705446,8619026,8764449,8653977,4872974,4946232,4888907,4909687,4910115,4959702,4962390
2,10,100,2,0,2,800,36,4,3,926951699,897972753,888165077,907097479,904281571,899131731,893912700,430448455,480471017,516069319,494931030,529331031,491579855,526779783,10092578,10131621,9821991,10132310,9854331,10175468,9891518,6001060,6021576,5948999,5995859,5990005,6005801,5971784
2,10,100,2,0,2,800,40,4,3,1032715386,1001817364,986182501,1003540862,1000343914,993640071,992434075,476848463,528471024,564069324,541331036,575731036,537979862,573179789,10871781,10922088,10609685,10913139,10621106,10950300,10661895,6886712,6941295,6892285,6960404,6893839,6964430,6929546
2,10,100,2,0,2,800,44,4,3,1114828057,1093012626,1085328005,1097191027,1092503097,1096029120,1089474196,523248468,576471029,612069331,587731043,622131042,584379869,619579796,12430929,12437536,12161521,12437153,12176653,12488322,12224466,8042664,8025153,7966493,8023846,7995672,8052910,8014289
2,10,100,2,0,2,800,48,4,3,1219235411,1206963608,1183581385,1199054348,1196176807,1197146801,1192300138,569648474,624471037,660069337,634131049,668531048,630779875,665979802,13481987,13532806,13278008,13534566,13309791,13575018,13354026,8943067,8946434,8866876,8938616,8907095,8952458,8908662
2,10,100,2,0,2,800,52,4,4,1317344473,1298451968,1278553705,1308675475,1300732624,1288546740,1277016861,616048483,672471044,716069343,680531056,722931056,677179881,720379807,14599666,14637110,14004073,14639736,14100866,14678943,14141919,9845860,9857177,9683607,9883437,9753270,9865061,9758436
2,10,100,2,0,2,800,56,4,4,1417996163,1401169430,1378758093,1395504631,1390538333,1386796877,1383864341,662448487,720471049,764069349,726931062,769331061,723579887,766779814,15319166,15356036,14877475,15363071,14937535,15394487,15005317,10656423,10726181,10496078,10670383,10540462,10674837,10553476
2,10,100,2,0,2,800,60,4,4,1518942240,1481293699,1474336117,1496622346,1494902683,1488503790,1491558157,708848493,768471055,812069356,773331069,815731069,769979894,813179821,16859839,16889133,16105702,16893190,16368666,16925693,16423257,11601294,11586362,11395269,11565307,11561654,11607386,11455683
2,10,100,2,0,2,800,64,4,4,1623241361,1599790367,1598698634,1597136094,1604465179,1585639221,1606107564,755248501,816471063,860069364,819731075,862131075,816379900,859579828,17514839,17541437,17221346,17543710,17243139,17567928,17285774,12482614,12470937,12399553,12447861,12440431,12448888,12410501
2,10,100,2,0,2,800,68,4,5,1721021869,1688221453,1667617972,1687587076,1680736692,1685165427,1696342610,801648507,864471068,916069369,866131082,916531080,862779907,913979834,19129076,19178345,17928067,19190686,18230190,19230632,18275015,13424428,13428115,12872466,13430136,13207694,13432035,13242556
2,10,100,2,0,2,800,72,4,5,1821965214,1792240678,1766143490,1788443023,1786230979,1795904604,1767237048,848048513,912471076,964069377,912531088,962931087,909179914,960379839,20286990,20293245,19234588,20291603,19504816,20351547,19539396,14336529,14326790,13970981,14316235,14151044,14353865,14170357
2,10,100,2,0,2,800,76,4,5,1952216761,1905380883,1872554465,1888202505,1908307110,1912422119,1883862955,894448522,960471083,1012069382,958931094,1009331095,955579921,1006779848,21308320,21379159,19874559,21373113,20297027,21425174,20329594,15161694,15207995,14354647,15191139,14812932,15197941,14826953
2,10,100,2,0,2,800,80,4,5,2046772817,2007641056,1968254542,1979728637,2010446316,1974740104,1983770612,940848529,1008471090,1060069389,1005331100,1055731102,1001979926,1053179853,22506295,22524312,21605540,22514632,21731118,22561383,21773025,16144084,16108026,15910018,16123042,15945284,16140620,15964883
2,10,100,2,0,2,800,84,4,6,2149666737,2119709525,2071944502,2111035061,2127521462,2102286915,2084925848,987248535,1056471099,1116069394,1051731108,1110131108,1048379934,1107579860,23009038,23060593,21435097,23071685,21637272,23128562,21640143,16988922,16946593,15302407,16912003,16301336,16947715,16301527
2,10,100,2,0,2,800,88,4,6,2225031204,2207450737,2164009061,2206990340,2201541375,2183792064,2172903655,1033648539,1104471102,1164069401,1098131115,1156531114,1094779940,1153979866,24726956,24732344,23518249,24728372,23513180,24787454,23565028,17796252,17794031,16537643,17794811,17503395,17800416,17535636
2,10,100,2,0,2,800,92,4,6,2326007769,2332843680,2259555953,2306510279,2300920057,2279086839,2270227786,1080048546,1152471110,1212069406,1144531121,1202931123,1141179946,1200379871,25774050,25835929,24070374,25834948,24205808,25875845,24265842,18642806,18587397,16723687,18563895,17955533,18574592,17979531
2,10,100,2,0,2,800,96,4,6,2444890953,2439117249,2384539109,2418544842,2417869558,2382889988,2385163212,1126448554,1200471117,1260069416,1190931128,1249331128,1187579952,1246779879,26945820,27056057,25941260,27095683,25979863,27092375,25942280,19539319,19619324,18536651,19575258,19289725,19634000,19403012
2,10,100,2,0,2,800,100,4,7,2572712391,2554895330,2481468511,2524644783,2515496892,2496887314,2501933450,1172848562,1248471125,1316069420,1237331135,1303731134,1233979959,1301179886,27388705,27426598,25359992,27434700,25366720,27478625,25213962,20328940,20364480,17921416,20358448,19406080,20362578,19308925
2,10,100,2,0,2,800,104,4,7,2646046194,2645240684,2569213417,2604889139,2603659949,2578840960,2580531829,1219248566,1296471131,1364069427,1283731140,1350131141,1280379965,1347579892,29258429,29309823,27680826,29320172,27484857,29347145,27551281,21323798,21401054,19385187,21415196,20902674,21411035,20945395
2,10,100,2,0,2,800,108,4,7,2761072523,2713378031,2678975414,2711214579,2719000836,2671723810,2672448157,1265648574,1344471140,1412069434,1330131146,1396531147,1326779970,1393979897,29658621,29650198,27974712,29653626,27665908,29698263,27744826,22181229,22245579,19687573,22183346,21198524,22224740,21295833
2,10,100,2,0,2,800,112,4,7,2847956905,2807331339,2765077365,2809974578,2815851845,2772483102,2768848690,1312048580,1392471141,1460069440,1376531153,1442931154,1373179979,1440379904,31442916,31558644,29997504,31575678,29753166,31613723,29736858,23090192,23220651,21027843,23201459,22646804,23251480,22726962
