repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,2,0,2,200,4,4,1,23076395,24636622,26018227,28126668,27566562,28540125,28417710,10238285,18462851,21162859,24513090,26913090,27096463,29496328,244561,237708,235841,240584,236165,246835,242701,14850,15402,15350,15317,15358,19068,18981
10,10,100,2,0,2,200,8,4,1,46058055,46460056,49055129,51182493,49812750,50735811,50655737,19038287,27262853,29962861,33313092,35713092,35896506,38296330,528559,522157,516565,527725,527225,535731,534930,31345,32308,32757,32410,32554,36434,36382
10,10,100,2,0,2,200,12,4,1,68864263,68539708,72038016,74111808,72237601,72929841,72864119,27838288,36062862,38762870,42113094,44513093,44696594,47096331,806110,799752,797407,801673,785879,790406,797057,49965,53187,51401,51695,52273,57059,56181
10,10,100,2,0,2,200,16,4,1,91724279,91822230,95005693,97025493,95137812,95205502,95105891,36638290,44862855,47562864,50913095,53313095,53496516,55896332,1075639,1082729,1104875,1095186,1095233,1103910,1091755,72880,72855,70638,71406,71928,75741,77250
10,10,100,2,0,2,200,20,4,2,114484489,112919636,117959999,119766801,116827858,117443314,117320138,45438291,53662865,57962873,59713096,63713096,62296653,66296334,1309705,1319140,1311747,1351113,1345968,1375916,1348466,94448,93327,92565,91150,89771,93371,93952
10,10,100,2,0,2,200,24,4,2,137321127,135456270,140828491,142909027,138669379,139727548,139478356,54238293,62462867,66762876,68513098,72513098,71096859,75096335,1687005,1680762,1627518,1678491,1650205,1691038,1662940,109905,111661,115838,111897,114587,116144,118581
10,10,100,2,0,2,200,28,4,2,160070486,157393580,163790076,165698782,161588738,161936927,161734334,63038294,71262869,75562877,77313100,81313099,79896860,83896337,1907512,1902696,1875447,1904726,1886392,1942927,1878463,133088,133786,134270,133824,134506,135675,141110
10,10,100,2,0,2,200,32,4,2,187766648,179766029,186534417,188682053,184808346,184192160,183991112,71838296,80062870,84362879,86113101,90113101,88696861,92696338,2212154,2203521,2186074,2206065,2216725,2195011,2210063,162498,158803,157725,158140,156401,165024,162973
10,10,100,2,0,2,200,36,4,3,210302535,202093187,210057075,211708263,207496085,206642984,206489073,80638297,88862871,94762880,94913103,100513102,97496863,103096340,2493556,2490453,2365464,2494925,2374667,2508905,2382869,178848,180087,179065,179376,182836,183673,186588
10,10,100,2,0,2,200,40,4,3,233267551,224505562,232992301,234757598,230422079,228867301,228649405,89438299,97662873,103562882,103713104,109313104,106296865,111896341,2711230,2747255,2680405,2678240,2638015,2793759,2720376,211545,211264,204123,215607,210944,208697,207275
10,10,100,2,0,2,200,44,4,3,256015867,246653669,255958534,257768388,253673491,251028039,250972803,98238301,106462875,112362883,112513106,118113105,115096866,120696342,3020560,3026371,2921456,3032251,2974618,3076933,2999518,233483,234160,233933,235780,229865,235398,235416
10,10,100,2,0,2,200,48,4,3,274609604,269259084,278866179,280774950,276373455,273451831,273248822,107038302,115262876,121162885,121313107,126913107,123896867,129496344,3336530,3309443,3264383,3351973,3248294,3329856,3296444,263475,269514,263869,265696,269202,274889,268510
10,10,100,2,0,2,200,52,4,4,297927767,291603804,302788243,303695098,299485336,296083614,295447641,115838303,124062877,131562886,130113109,137313108,132696869,139896346,3579024,3588121,3275700,3624701,3446807,3605587,3441880,298952,304721,308564,298366,296359,310446,303551
10,10,100,2,0,2,200,56,4,4,321120469,313699700,325076869,326398584,322409327,318133964,317620215,124638305,132862879,140362888,138913110,146113110,141496870,148696347,3799270,3819936,3678176,3922909,3697405,3844525,3737887,363006,362956,340711,345531,345367,365493,351746
10,10,100,2,0,2,200,60,4,4,344494284,338667473,348420036,350097562,346172517,341411847,340279592,133438306,141662881,149162890,147713112,154913111,150296872,157496349,4155972,4176363,4003731,4280707,4066333,4311690,4109864,435516,431434,412262,412620,412907,422728,425869
10,10,100,2,0,2,200,64,4,4,367014904,358463064,371437170,372910997,368773114,363024804,362461651,142238308,150462882,157962891,156513113,163713113,159096873,166296350,4458342,4470671,4234631,4484000,4253267,4405672,4326015,493291,493209,487350,490378,505571,521206,493830
10,10,100,2,0,2,200,68,4,5,390599844,381136178,396800525,395836958,393923059,386336318,386835320,151038309,159262883,168362893,165313115,174113115,167896875,176696351,4688722,4700804,4137174,4770421,4435441,4793564,4454283,574802,578969,558095,570330,557406,578591,586268
10,10,100,2,0,2,200,72,4,5,414050442,404283623,419674548,421693817,421255685,409638386,411714200,159838311,168062885,177162894,174113116,182913116,176696876,185496353,4992585,5080625,4762735,5084540,4855607,5186540,4837593,703430,707259,686736,698328,675632,697274,699726
10,10,100,2,0,2,200,76,4,5,440929517,431477453,443695527,446386943,439713720,432779421,431547142,168638313,176862887,185962896,182913118,191713118,185496878,194296354,5256732,5216057,4752792,5336796,4871519,5246826,4980997,818261,842908,802035,815698,840484,852585,829848
10,10,100,2,0,2,200,80,4,5,464220600,453612965,466269866,469740036,460741126,455136600,451705519,177438314,185662888,194762897,191713120,200513119,194296879,203096356,5600868,5625661,5191104,5606936,5273356,5672487,5321887,957896,938639,923359,943502,938089,956051,932322
10,10,100,2,0,2,200,84,4,6,487577502,475573961,489372535,489760368,487535729,475582715,477765229,186238316,194462889,205162900,200513121,210913121,203096881,213496357,5884682,5920626,5153772,5913025,5188284,5886508,5270056,1089669,1090430,1060334,1080062,1097146,1120602,1076628
10,10,100,2,0,2,200,88,4,6,510955484,498223342,512331580,514307045,510901821,498339847,499682920,195038317,203262891,213962900,209313122,219713122,211896882,222296359,6012781,6043351,5511621,6045304,5732393,6171422,5735652,1296787,1299959,1205710,1313696,1215763,1287309,1221088
10,10,100,2,0,2,200,92,4,6,533506819,517237464,536879853,540933222,534046748,525357774,522261011,203838319,212062892,222762902,218113124,228513124,220696884,231096361,6557974,6583268,5918736,6574704,6083820,6608470,6034455,1417438,1408807,1378851,1417299,1402969,1428735,1448674
10,10,100,2,0,2,200,96,4,6,557075293,544795276,564985936,562341620,561594306,550480028,550273056,212638320,220862894,231562904,226913126,237313126,229496886,239896362,6650314,6683146,6226598,6684713,6326443,6821875,6244137,1606259,1611246,1509099,1622017,1524974,1595676,1578962
10,10,100,2,0,2,200,100,4,7,584541594,568515874,588370123,588345832,584495837,574634971,570868393,221438322,229662896,241962906,235713127,247713127,238296887,250296364,7114737,7152938,6336852,7071923,6299495,7205929,6402678,1785562,1770278,1652122,1817265,1755645,1789053,1748476
10,10,100,2,0,2,200,104,4,7,604686541,590149067,611287568,610665019,607330933,597014876,592908710,230238324,238462897,250762907,244513129,256513129,247096888,259096365,7313440,7255478,6477865,7366373,6571181,7380500,6433668,1938814,1958032,1855886,1927547,1848110,1941236,1904185
10,10,100,2,0,2,200,108,4,7,627994689,612580407,635417255,634673581,630709816,619153475,615983840,239038325,247262899,259562908,253313131,265313130,255896890,267896367,7489901,7522950,6789265,7430869,6970894,7590838,6812097,2185022,2192585,2033415,2223251,2075172,2203036,2144858
10,10,100,2,0,2,200,112,4,7,653576465,636137463,658150197,657681993,654059893,641550440,638353697,247838327,256062900,268362910,262113132,274113132,264696892,276696368,7884229,7923002,7307628,7829204,7332603,7968475,7418023,2387095,2408180,2291269,2448604,2356192,2414485,2276828
