repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,2,0,2,200,4,4,1,25563071,27910440,28071533,29898776,30255691,30039239,30367617,14848397,24170961,29069263,31030974,35630974,30379800,35179727,246221,238126,234126,239502,234720,244356,240984,15127,15702,15659,15973,15826,18436,18491
2,10,100,2,0,2,200,8,4,1,49716989,51424088,51919504,54017611,54490447,54082343,54696450,26448399,36170963,41069265,42630976,47230976,41979801,46779729,514695,510008,505869,510964,507704,539776,533757,34394,34970,35316,35237,34597,35509,35796
2,10,100,2,0,2,200,12,4,1,74272234,75375779,75714258,77487845,77560136,77316151,77950975,38048401,48170964,53069266,54230977,58830977,53579803,58379730,822225,819336,814537,818893,816349,824636,823915,50962,53305,51497,52348,52929,55540,55219
2,10,100,2,0,2,200,16,4,1,98785763,99539991,99512860,100667690,101169765,101054364,102712811,49648402,60170966,65069268,65830978,70430978,65179805,69979731,970757,1032110,1025900,1032423,1028045,1037391,1033446,83203,78411,77364,78120,78732,80677,80582
2,10,100,2,0,2,200,20,4,2,123534080,123711964,123838129,125303652,125915021,125523663,126073307,61248404,72170968,79069269,77430981,84030980,76779806,83579733,1359137,1353675,1276963,1355048,1288748,1361884,1292130,92423,93196,91566,93212,91872,95710,94495
2,10,100,2,0,2,200,24,4,2,147835211,146977703,147627647,148688389,149639720,148995278,149860870,72848407,84170970,91069271,89030982,95630981,88379808,95179734,1576950,1575623,1540757,1576432,1550238,1672265,1638634,122634,121316,121955,122543,122429,115460,115726
2,10,100,2,0,2,200,28,4,2,172241496,172580364,171440312,173438538,173943975,172454725,172946562,84448407,96170971,103069272,100630984,107230984,99979810,106779737,1730272,1840846,1812047,1842400,1824130,1850281,1833240,158594,147078,145357,146076,146754,149286,149792
2,10,100,2,0,2,200,32,4,2,196984611,196180813,195172444,197070242,197623091,196291450,197242517,96048409,108170972,115069274,112230985,118830985,111579811,118379738,2110675,2111933,2075127,2115896,2202511,2255991,2223224,151095,169346,169039,169349,156611,158955,159214
2,10,100,2,0,2,200,36,4,3,226043284,219440590,219454737,222161937,222687191,219959407,220533097,107648411,120170974,129069276,123830987,132430986,123179813,131979739,2230122,2239728,2155245,2239768,2177946,2253185,2212158,208876,206940,203831,207602,206549,209663,210189
2,10,100,2,0,2,200,40,4,3,250280945,243903041,243261878,242980893,244363055,246702940,247907569,119248413,132170976,141069277,135430988,144030988,134779815,143579742,2787809,2785210,2678686,2786007,2700616,2794509,2709183,199235,201437,201561,201462,216462,202047,203723
2,10,100,2,0,2,200,44,4,3,270131464,269520706,267131427,266054659,266910194,270908479,271865304,130848413,144170977,153069278,147030990,155630989,146379816,155179744,2732337,2742134,2678123,2744726,2709581,2931685,2877721,274661,271099,270495,270210,270855,252411,254655
2,10,100,2,0,2,200,48,4,3,294617853,294743185,290772127,292525033,293075664,291550486,292144604,142448416,156170979,165069280,158630991,167230992,157979818,166779745,3138192,3150885,3041234,3354952,3218538,3374337,3275665,252860,278438,276106,256432,252556,259175,257513
2,10,100,2,0,2,200,52,4,4,319101334,320008170,315017927,317374549,318342433,316293211,317161397,154048417,168170981,179069282,170230993,180830993,169579819,180379746,3444215,3456713,3177876,3669988,3510379,3693515,3545259,323455,323694,322186,294648,292821,302621,299351
2,10,100,2,0,2,200,56,4,4,343528035,343342305,338935256,339689336,340868698,341684914,342588295,165648418,180170981,191069283,181830994,192430995,181179820,191979747,3709438,3727204,3563249,3732562,3599517,3980231,3816401,369650,367886,365827,367402,364233,341257,345326
2,10,100,2,0,2,200,60,4,4,368176933,367377336,363190373,364078927,365037095,362833225,363883634,177248421,192170984,203069285,193430996,204030996,192779822,203579749,3677772,3699192,3495782,3700984,3522865,3723305,3541233,482304,479800,466223,475358,468572,497551,475010
2,10,100,2,0,2,200,64,4,4,393125061,387900039,388680407,389084796,389851489,388353054,393400923,188848422,204170985,215069287,205030997,215630998,204379823,215179751,4241433,4258091,4091677,4259773,4125445,4542970,4360062,518312,507058,501969,515146,513804,464466,466694
2,10,100,2,0,2,200,68,4,5,417692343,412285708,410819612,409432143,410167219,412772105,415542324,200448424,216170987,229069288,216630999,229230999,215979825,228779752,4515523,4533797,4112927,4533920,4284170,4553740,4547184,622961,627856,622062,620668,610307,630577,569214
2,10,100,2,0,2,200,72,4,5,441895944,439787134,434910632,436511188,439012391,437803123,435972311,212048426,228170988,241069290,228231001,240831001,227579826,240379754,4411112,4442321,4140790,4446705,4229135,4466827,4240654,783745,770528,753177,775912,768916,782469,782584
2,10,100,2,0,2,200,76,4,5,471586255,469512379,461747267,459887409,465460982,469954948,463812873,223648427,240170990,253069291,239831002,252431002,239179829,251979755,5070578,5091070,4879358,5407952,5122526,5434320,5142203,866497,857119,792913,777489,791879,791758,784917
2,10,100,2,0,2,200,80,4,5,496434196,492538558,485609848,483766414,489318667,482890306,486640353,235248428,252170992,265069293,251431003,264031004,250779830,263579757,4978016,5008213,4794189,5003077,4861932,5362139,5151487,1063271,1072486,1037670,1068045,1064814,999771,976851
2,10,100,2,0,2,200,84,4,6,520667981,518546438,509012343,513397203,514485751,511263517,511731133,246848430,264170993,279069294,263031006,277631006,262379832,277179759,5961805,5988804,5312962,6013162,5595660,6015484,5319570,1061467,1053692,1043993,1055949,1044169,1064212,1078544
2,10,100,2,0,2,200,88,4,6,541312510,540355355,532906256,542785941,543213717,535368859,535106684,258448431,276170995,291069296,274631008,289231008,273979833,288779760,5879398,5905975,5637719,6281072,5884785,6311392,5771338,1312562,1307566,1165828,1181267,1162596,1198090,1177569
2,10,100,2,0,2,200,92,4,6,567475428,568035662,556921846,563175758,563725488,560407592,558841928,270048433,288170997,303069298,286231010,300831009,285579835,300379762,6477103,6507194,5718894,6507906,5804162,6540801,5823269,1379706,1367237,1346867,1369531,1305541,1357429,1426933
2,10,100,2,0,2,200,96,4,6,595309396,593651789,587022282,589492180,588847052,582781128,584705711,281648435,300170999,315069300,297831010,312431011,297179836,311979763,6391569,6427345,6086931,6840270,6411022,6874378,6259438,1682780,1705619,1541704,1526641,1496550,1528525,1505485
2,10,100,2,0,2,200,100,4,7,620062686,623162947,608604919,618638831,614875900,608645769,608271671,293248437,312171001,329069301,309431013,326031012,308779838,325579765,6600921,6630021,5978897,6644264,6042416,6666807,6136543,1877883,1883903,1736966,1883794,1803084,1876451,1644789
2,10,100,2,0,2,200,104,4,7,645308235,650767860,633772927,637233700,634814399,632284561,632965915,304848439,324171003,341069303,321031014,337631014,320379840,337179767,6952642,6982362,6620960,7450577,6759304,7484196,6802955,2106372,2237682,1898114,1908838,2048717,1970020,1873946
2,10,100,2,0,2,200,108,4,7,670450994,673366847,657130669,661320057,660649204,656058844,656610867,316448440,336171003,353069304,332631016,349231015,331979841,348779768,7682947,7706684,6925263,7720190,7039456,7778946,7051100,2068467,2074805,1933980,2079147,1987579,2085295,2007795
2,10,100,2,0,2,200,112,4,7,694711965,695161580,681754416,687152728,684060419,680089875,680974511,328048441,348171005,365069306,344231017,360831017,343579844,360379770,7952572,7994374,7231986,8028678,7272544,8063423,7273277,2308478,2319993,2103224,2303056,2193125,2326142,2197613
2,10,100,2,0,2,200,116,4,8,720419081,722837876,702630067,710001533,705229192,703709127,707157768,339648443,360171007,366669307,355831019,361831018,355179845,361179772,8250061,8280728,7277944,8315327,7259922,7823499,7104591,2523591,2570874,2309290,2544193,2371231,2784257,2567222
2,10,100,2,0,2,200,120,4,8,743814821,746626529,727022575,732966344,729214025,728427611,727860627,351248445,372171009,378669309,367431020,373431020,366779846,372779773,7928840,7966788,7272170,8512806,7379634,8548894,7423320,2969890,2974567,2617559,2719675,2567285,2732325,2578311
2,10,100,2,0,2,200,124,4,8,769265074,774163854,750737395,759267530,754213501,755201542,752161615,362848446,384171010,390669310,379031022,385031022,378379847,384379775,8220773,8244873,7552448,8778776,7684520,8831146,7754249,3197012,3200278,2906706,2913072,2768823,2923963,2729092
2,10,100,2,0,2,200,128,4,8,794152011,799918789,776689990,782694741,779820627,779193517,776403958,374448448,396171012,402669312,390631030,396631024,389979849,395979776,8564157,8024617,8045337,9132614,8171041,9214572,8308830,3422110,3739329,2935123,3185238,2921209,3138083,2902605
2,10,100,2,0,2,200,132,4,9,818714932,824819593,799470946,804867233,799785374,802625998,801136000,386048450,408171014,418069313,402231025,411631024,401579851,411179778,8716112,8757392,8101088,9330621,7966811,9402692,8114680,3726831,3752020,3159196,3391380,3214426,3407531,3190385
