repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,2,0,2,20,4,4,1,28487343,28756322,28761541,29113844,29205389,29196215,29258157,26472066,27155686,27454145,27813279,28114279,28085155,28365064,1909066,2414857,2453087,2732899,2788282,2864289,2931881,11114,11204,5994,11551,6273,12570,6948
10,10,100,2,0,2,20,8,4,1,56003341,55876350,55915692,56334896,56388322,56378304,56480170,52655506,53339143,53637585,53996719,54297719,54268595,54548504,3730387,4253764,4301117,4570639,4625180,4720011,4781088,21752,21908,15615,22023,15751,23586,17331
10,10,100,2,0,2,20,12,4,1,83354278,83245265,83071306,83549672,83469161,83482345,83592635,78821226,79504870,79803305,80162439,80463439,80434315,80714224,5553352,6047411,6178991,6455337,6514446,6591735,6654567,31548,32453,26538,32165,26347,33316,27356
10,10,100,2,0,2,20,16,4,1,111122394,110422896,110378856,110887027,110980118,110847863,111070285,105019266,105702911,106001345,106360479,106661479,106632355,106912264,7357555,7913952,7981570,8248962,8302294,8398711,8460903,41637,41591,35735,41963,36080,44289,38295
10,10,100,2,0,2,20,20,4,2,137955853,137311145,137712211,137790433,138401602,137700391,138514266,131211126,131894771,132353205,132552339,133013339,132824215,133264124,9169455,9840004,9977683,10144319,10294239,10376928,10473926,49407,49437,7017,49944,7446,52145,9627
10,10,100,2,0,2,20,24,4,2,165316931,164452005,164955107,165027268,165521357,164923957,165867994,157392156,158075801,158534235,158733369,159194369,159005245,159445154,10995788,11573798,11673283,12093533,12266478,12073047,12169593,55790,56711,16250,58139,17901,59267,18325
10,10,100,2,0,2,20,28,4,2,194857108,192800227,193027861,192489231,193111222,193001786,193986579,183579216,184262861,184721295,184920429,185381429,185192305,185632214,12784222,13288210,13399316,13861882,13920046,13809400,13887975,61710,63640,26092,64148,26678,68548,29251
10,10,100,2,0,2,20,32,4,2,220342242,219146054,219332262,219384789,220017741,219202946,220188512,209733306,210416951,210875385,211074519,211535519,211346395,211786304,14579397,15329497,15536377,15827962,15996067,15918536,16045618,67150,68638,35152,73382,35726,71106,37663
10,10,100,2,0,2,20,36,4,3,248592119,247168908,246667243,247213096,247454826,247024401,247361073,235887836,236571481,237189915,237229049,237850049,237500925,238100834,16403833,16921547,17278474,17460207,17566143,17665324,17742682,71865,73929,7375,73859,7786,78968,8346
10,10,100,2,0,2,20,40,4,3,275016934,273336253,273395511,273775361,274036731,273465396,274107421,262064636,262748281,263366715,263405849,264026849,263677725,264277634,18214954,19033698,19297958,19365430,19463370,19670541,19750778,77488,78939,16432,83776,16843,83804,14136
10,10,100,2,0,2,20,44,4,3,302389792,301000735,300480588,301173304,301338824,301022358,300918812,288233726,288917371,289535805,289574939,290195939,289846815,290446724,20018860,20883601,21172283,21397409,21526016,21553733,21619507,82997,89910,26040,87184,26337,98167,21541
10,10,100,2,0,2,20,48,4,3,327797183,327759795,327884866,328009148,328187641,328089385,328316265,314386256,315069901,315688335,315727469,316348469,315999345,316599254,22009740,22696786,22962844,23234192,23382091,23332012,23422894,88329,90562,35265,91786,36058,96268,30909
10,10,100,2,0,2,20,52,4,4,361451911,357039336,356371425,357493215,356629951,357629718,356936628,340548586,341232231,342010665,341889799,342670799,342161675,342921584,23578154,24106609,24280939,24529641,24629935,24684519,24738673,93710,100155,11702,100173,17756,109198,20926
10,10,100,2,0,2,20,56,4,4,386920311,383506859,382802394,383731347,383038399,383564287,383160940,366747376,367431021,368209455,368088589,368869589,368360465,369120374,25400143,26036426,26255738,26655301,26645373,26697216,26732982,98953,103188,16876,108070,17365,115394,22347
10,10,100,2,0,2,20,60,4,4,414018389,411388221,410090966,411216954,410296650,411103431,410574513,392923276,393606921,394385355,394264489,395045489,394536365,395296274,27237665,27800071,28063560,28623889,28748428,28409094,28511476,104865,111696,26304,112262,26709,118698,31444
10,10,100,2,0,2,20,64,4,4,436149204,437031079,436013829,437241207,436581184,437391462,437150516,419087006,419770651,420549085,420428219,421209219,420700095,421460004,29563721,30048766,30495264,30675264,30809520,30819550,30951781,110092,113372,35716,115769,37496,126902,46151
10,10,100,2,0,2,20,68,4,5,467700023,465614785,463481653,466215314,463995479,464402117,464108592,445254486,445938131,446876565,446595699,447536699,446867575,447787484,30787024,31987286,32268578,32652448,32691219,32620981,32754118,115302,147641,11434,158371,13536,129583,20576
10,10,100,2,0,2,20,72,4,5,496360907,493604939,492095056,493306547,492470668,492687071,492198622,471447626,472131271,473069705,472788839,473729839,473060715,473980624,32649956,33312924,33923682,34012466,34135569,34295640,34417655,120416,128006,17270,133008,17629,138536,24239
