repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,2,0,2,5,4,4,1,7040790,7179103,7178494,7257306,7299482,7456760,7464365,6668995,6906622,6977575,7099686,7129686,7344769,7384660,489784,656834,670600,768710,787950,857971,880120,2457,3070,2821,3363,2978,5843,5602
2,10,100,2,0,2,5,8,4,1,13976536,14159635,14135441,14231322,14291974,14455000,14434262,13212355,13449982,13520935,13643046,13673046,13888152,13928020,945295,1101638,1117437,1210617,1230269,1304884,1326739,4720,4858,4384,5025,4598,5842,5448
2,10,100,2,0,2,5,12,4,1,20877390,21023987,21066234,21180051,21176793,21377451,21388009,19762975,20000602,20071555,20193666,20223666,20438816,20478640,1403576,1557877,1571827,1665621,1685172,1763821,1791645,7388,7524,6970,7922,7410,8779,8374
2,10,100,2,0,2,5,16,4,1,27834174,27973666,27963030,28086456,28233954,28254271,28274548,26298535,26536162,26607115,26729226,26759226,26974376,27014200,1862711,2008659,2031638,2124746,2156494,2208028,2237465,10658,10703,10171,10926,10444,13443,12901
2,10,100,2,0,2,5,20,4,2,34490319,34600841,34714676,34621501,34804594,34920385,35052566,32850925,33088552,33194505,33281616,33346616,33526766,33601590,2337273,2486032,2519671,2583006,2607259,2681651,2727798,13905,14269,9266,14414,9180,15100,10020
2,10,100,2,0,2,5,24,4,2,41451716,41522356,41591228,41588387,41745584,41832496,41949874,39385775,39623402,39729355,39816466,39881466,40061705,40136440,2783045,2954661,2966608,3037870,3074224,3120025,3163300,16607,16719,11354,17174,12005,19222,13812
2,10,100,2,0,2,5,28,4,2,48352118,48477673,48459224,48652063,48698761,48896849,48813967,45921725,46159352,46265305,46352416,46417416,46597655,46672390,3238191,3385526,3410859,3479786,3507280,3582109,3615392,19307,19625,13970,19976,14099,22057,16375
2,10,100,2,0,2,5,32,4,2,54964496,55044175,55121340,55299259,55340349,55307864,55507648,52468595,52706222,52812175,52899286,52964286,53144525,53219260,3719095,3864141,3884227,3936601,3968986,4041063,4089698,21816,21851,16263,22110,16551,22996,17440
2,10,100,2,0,2,5,36,4,3,61978269,62109479,62213303,62178511,62204152,62433123,62303953,59009575,59247202,59388155,59440266,59540266,59685505,59795240,4141005,4292475,4307054,4409644,4443165,4479379,4489852,24477,24280,14400,24494,14610,25706,15483
2,10,100,2,0,2,5,40,4,3,68654185,68674883,68701213,68617119,68712593,69001178,68816879,65556895,65794522,65935475,65987586,66087586,66232845,66342560,4668276,4900891,4870113,4977209,5043786,5030685,5070304,26223,26708,16646,26970,16876,27837,17660
2,10,100,2,0,2,5,44,4,3,76297805,75986876,76175445,76204947,76263215,76485463,76199353,72087105,72324732,72465685,72517796,72617796,72763055,72872770,5021401,5186659,5195500,5299987,5310821,5395238,5380538,28707,29424,19408,29434,19333,32123,21781
2,10,100,2,0,2,5,48,4,3,81947826,82163435,82330466,82245760,82399297,82583091,82438539,78626995,78864622,79005575,79057686,79157686,79302959,79412660,5659805,5843647,5802887,5908345,5989194,5951436,5999218,31649,31979,21500,32246,21768,33394,22861
2,10,100,2,0,2,5,52,4,4,89029253,89202356,89199663,89503175,89316624,89634549,89482727,85171945,85409572,85585525,85602636,85737636,85847917,85992610,6028730,6159897,6139918,6212476,6228498,6327071,6349511,38286,34766,19759,35149,20287,39718,24805
2,10,100,2,0,2,5,56,4,4,96239141,96177317,95978989,96408877,96147883,96745145,96290974,91706805,91944432,92120385,92137496,92272496,92382777,92527470,6457358,6652472,6605565,6696948,6755701,6753897,6810589,36880,36944,21754,37180,21963,38356,23171
2,10,100,2,0,2,5,60,4,4,102621825,102741759,102394373,102739097,102580106,103050309,102768826,98254275,98491902,98667855,98684966,98819966,98930247,99074940,7069733,7258546,7176092,7317305,7397767,7348858,7395008,39374,39561,24138,39782,24348,41026,25681
2,10,100,2,0,2,5,64,4,4,110704718,110865660,110389510,110707136,110350860,110839110,110709264,104783795,105021422,105197375,105214486,105349486,105459767,105604460,7292421,7462275,7434024,7563266,7555377,7661602,7650981,41596,41705,26594,41940,26789,43387,28295
2,10,100,2,0,2,5,68,4,5,115952488,116151421,116019421,116251862,116056561,116631354,116229929,111335035,111572662,111783615,111765726,111935726,112011007,112190700,8146041,8228873,8231193,8247963,8329517,8355594,8400790,43759,43957,24661,44040,24861,45666,26348
2,10,100,2,0,2,5,72,4,5,124142577,124118275,122835995,123819682,123437117,123954152,123488095,117877285,118114912,118325865,118307976,118477976,118553257,118732950,8284931,8409563,8432235,8478284,8549636,8619431,8678838,45833,45981,27107,49400,30702,48125,29202
2,10,100,2,0,2,5,76,4,5,130338172,130431080,129563584,130391099,130020750,130657623,130119935,124411705,124649332,124860285,124842396,125012396,125087677,125267370,8864696,8939762,9078220,9036090,9118337,9175311,9246754,48413,48283,29177,48467,29605,50469,31321
2,10,100,2,0,2,5,80,4,5,137682692,137887330,136352612,136533467,136557374,136879849,136883487,130962315,131199942,131410895,131393006,131563006,131638287,131817980,9153784,9333993,9422057,9532574,9608622,9569328,9611835,49476,49585,31627,49930,31670,52602,34650
2,10,100,2,0,2,5,84,4,6,143887787,143818787,143310961,144095862,143935551,144044901,143643024,137505565,137743192,137989145,137936256,138141256,138181537,138396230,9705667,9787978,9923637,9930450,10073982,10036757,10143955,51030,51418,29651,51592,29910,53197,31032
2,10,100,2,0,2,5,88,4,6,151501823,150496025,150232323,150965329,150517312,151266846,150711305,144042205,144279832,144525785,144472896,144677896,144718177,144932870,10061588,10395179,10282250,10341931,10441363,10440640,10529848,52626,56268,34975,56811,35379,59789,37756
