repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,2,0,2,800,4,2,1,29498793,36977696,40854295,41498571,46978349,47777911,49240838,40837275,73662852,84462860,97713091,107313092,107196506,116796329,528836,521217,517517,523118,518808,532869,528921,34434,35687,37359,48749,37746,40732,40070
10,10,100,2,0,2,800,8,2,1,58428852,62035324,70543493,70772458,73926814,77047325,80880138,76037277,108862853,119662862,132913093,142513093,142396515,151996331,1031973,1024536,1017343,1027605,1021072,1035513,1031116,76655,77969,82687,86006,77378,82982,131599
10,10,100,2,0,2,800,12,2,1,86660229,88581849,99907137,100251349,103229976,107444046,108026918,111237279,144062864,154862873,168113095,177713095,177596857,187196333,1638227,1634318,1629922,1636800,1632104,1647430,1644401,128981,129120,129887,147144,157230,172310,135421
10,10,100,2,0,2,800,16,2,1,114337903,114056772,129244336,132784468,132638577,135855147,138195930,146437281,179262866,190062875,203313097,212913097,212796858,222396335,2191844,2189361,2191377,2188556,2196345,2207722,2211601,197751,196100,195066,306148,247769,203800,203567
10,10,100,2,0,2,800,20,2,1,142123748,144452685,159234672,159240890,161822345,165341692,171160519,181637283,214462868,225262877,238513099,248113099,247996860,257596337,2657004,2642826,2651639,2660429,2655227,2676198,2662897,301382,398273,314368,315884,313196,306884,438766
10,10,100,2,0,2,800,24,2,1,169848953,168017964,188891012,189337773,188363020,195383466,196876518,216837285,249662869,260462879,273713101,283313101,283196862,292796339,3319292,3328939,3318621,3330637,3321064,3350977,3341267,520837,536144,523474,539641,552028,548012,624131
10,10,100,2,0,2,800,28,2,1,197745722,194692743,218602242,219168057,218983334,225290886,226676892,252037286,284862871,295662881,308913103,318513103,318396864,327996341,3704723,3714966,3711172,3722431,3711718,3748309,3738802,839230,868918,825324,846049,1006321,879230,826370
10,10,100,2,0,2,800,32,2,1,225268325,221827242,249129052,250645826,250961780,255389989,256319792,287237288,320062873,330862883,344113105,353713105,353596866,363196343,4431984,4452171,4448242,4453955,4456876,4481949,4487933,1171274,1326152,1157029,1241525,1187841,1182426,1241272
10,10,100,2,0,2,800,36,2,2,253505965,254699620,276836196,279746139,278889287,285799592,287815682,322437290,355262875,372462885,379313107,395313107,388796868,404796345,4994742,4998065,4936427,5023575,4973574,5051467,5000874,1572594,1773787,1701056,1666354,1729676,1648246,1613015
10,10,100,2,0,2,800,40,2,2,305700711,275249046,299328080,310117264,307141018,316063863,317419781,357637294,390462876,407662886,414513109,430513108,423996870,439996346,5542084,5557578,5464833,5565864,5495341,5602588,5522009,1957413,1931893,1935740,2035553,2246601,1988930,1996790
10,10,100,2,0,2,800,44,2,2,329957670,303015700,317913903,339817396,333628609,345910809,347536715,392837295,425662878,442862887,449713111,465713110,459196872,475196348,5905982,5914541,5877522,5922636,5864116,5965839,5907996,2538059,2516881,2600344,2392924,2416623,2420585,2425186
