repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,2,0,2,400,4,2,1,15947730,20605473,21230209,25417969,26317995,23759937,27171145,22449397,40672477,49268261,54731973,64331973,53180799,62380727,243352,236081,231761,237126,233362,242359,238280,15735,16629,16056,16401,16158,18867,18763
2,10,100,2,0,2,400,8,2,1,30789869,35462187,34273183,39283056,40061866,37803697,40886339,38449398,56672477,65268262,70731975,80331975,69180800,78380727,505563,499435,495695,499791,496537,507987,503943,33120,34470,34103,35654,34513,37838,37662
2,10,100,2,0,2,400,12,2,1,45613244,50011002,47370228,53308876,54100315,51724628,54403624,54449398,72672478,81268263,86731975,96331975,85180801,94380729,802911,796209,794184,798358,795589,805680,802588,55797,56633,57346,56763,56824,59786,60187
2,10,100,2,0,2,400,16,2,1,60175699,64847297,60448579,67233921,67858302,65513639,68287625,70449400,88672480,97268264,102731976,112331976,101180802,110380729,1034172,1028390,1016208,1028875,1017491,1034154,1023987,76227,78400,77901,78680,77595,80391,81596
2,10,100,2,0,2,400,20,2,1,74900146,79545039,73644589,81055884,81751263,79405211,82178100,86449401,104672480,113268265,118731977,128331977,117180803,126380730,1357349,1352365,1350948,1353799,1350739,1359001,1356395,99782,100368,100439,100821,101038,103455,103874
2,10,100,2,0,2,400,24,2,1,89533289,94187534,86648158,94923007,95548070,93272651,96198407,102449402,120672481,129268265,134731978,144331978,133180804,142380731,1555575,1549888,1542061,1549139,1544997,1556087,1552550,122871,123828,123798,124666,123509,126982,127049
2,10,100,2,0,2,400,28,2,1,104259139,108900193,99772268,113865984,109548930,107221388,109892656,118449402,136672482,145268267,150731980,160331979,149180805,158380732,1913165,1908573,1907142,1909344,1907365,1920231,1918107,147044,148263,146727,148310,147358,151595,150467
2,10,100,2,0,2,400,32,2,1,118939927,123621104,112875600,122668225,123507930,121036355,123970589,134449403,152672483,161268267,166731980,176331980,165180805,174380733,2082083,2080182,2068730,2078963,2069746,2091805,2079009,181244,184935,193287,183849,186014,189307,189457
2,10,100,2,0,2,400,36,2,2,133672021,138344672,126303195,136628955,137075729,135020052,137782381,150449405,168672484,181268268,182731981,196331980,181180806,194380734,2337593,2356636,2320552,2336471,2327240,2367236,2336516,243446,250846,247905,242755,252147,249931,252859
2,10,100,2,0,2,400,40,2,2,148514168,153113924,139357415,150700956,150984166,149014430,151612087,166449406,184672485,197268269,198731982,212331982,197180807,210380734,2613258,2617294,2577795,2614885,2581019,2634069,2596303,317939,325748,321231,319577,321064,321171,331548
