repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,2,0,2,40,4,2,1,1388194,1787137,1941071,2115681,2253747,2205376,2278289,2098774,3764354,4304341,5014589,5494589,5757863,6237826,2766,2974,3039,3433,3526,8857,8721,2372,2499,2508,2608,2702,6007,5940
10,10,100,2,0,2,40,8,2,1,3031425,3145646,3454736,3626344,3802924,3540851,3621646,3876274,5541840,6081849,6792089,7272089,7535393,8015326,5029,6015,6031,8110,7671,17045,17087,3869,4118,4121,4315,4234,7695,7725
10,10,100,2,0,2,40,12,2,1,4386907,4397015,4902412,5085292,5232105,4838427,4921200,5653774,7319340,7859349,8569589,9049589,9312874,9792827,20521,20479,19932,21378,21642,30817,31918,5709,5984,5936,6097,6097,9397,9340
10,10,100,2,0,2,40,16,2,1,5808275,5836428,6368277,6545193,6663850,6147512,6270654,7431274,9096841,9636849,10347089,10827089,11090404,11570326,29620,29309,28747,30533,32442,47864,47145,7313,7581,7499,7533,7499,10867,10864
10,10,100,2,0,2,40,20,2,1,7238760,7108854,7894854,8080415,8175615,7500682,7575701,9208774,10874340,11414349,12124589,12604589,12867917,13347826,101002,101104,99292,103751,101505,115857,111841,9156,9312,9312,9408,9337,12677,12895
10,10,100,2,0,2,40,24,2,1,8613421,8409088,9370975,9552517,9587062,8834452,8920302,10986274,12651834,13191826,13902089,14382089,14645412,15125327,152315,152374,149607,153006,150624,161055,159918,11170,11225,11418,11593,11534,14923,14891
10,10,100,2,0,2,40,28,2,1,10006734,9712191,10815052,10989519,11049191,10100897,10248629,12637274,14302855,14842841,15553089,16033089,16296381,16776327,151147,147143,146022,149603,147395,158838,157018,10487,10759,10608,10741,10769,14201,14137
10,10,100,2,0,2,40,32,2,1,11266006,11099190,12281928,12605316,12527307,11437113,11504221,14397274,16062841,16602849,17313089,17793089,18056401,18536327,172797,168567,168127,168786,168435,178185,178207,12113,12349,12233,12514,12370,16123,15820
10,10,100,2,0,2,40,36,2,2,12590112,12287953,14157651,13922772,14130928,12735558,12886465,16157274,17822850,18682858,19073090,19873090,19816458,20616327,218614,212493,207213,214778,211695,222507,218211,13326,13690,13755,13894,13768,17350,17093
10,10,100,2,0,2,40,40,2,2,15657120,13637532,15639951,15389172,15534501,14037384,14203843,17917275,19582850,20442858,20833090,21633090,21576462,22376327,247885,239722,236137,242454,240046,249755,245852,14862,15528,15541,15582,15596,18890,19059
10,10,100,2,0,2,40,44,2,2,16930642,14921953,16724850,16847331,16997448,15348849,15500250,19677275,21342850,22202858,22593090,23393090,23336471,24136327,270838,262640,258814,262837,260506,269823,266426,16089,16939,16987,17176,17266,20745,20915
10,10,100,2,0,2,40,48,2,2,16613452,16227591,18205980,18346312,18486323,16682012,16830270,21437275,23102857,23962866,24353090,25153090,25096503,25896327,298058,293347,289858,295053,289739,305744,301699,18681,19030,18883,19349,19514,22789,22769
10,10,100,2,0,2,40,52,2,2,17966300,17595193,19644873,19824971,19966156,18010350,18141674,23197275,24862841,25722849,26113090,26913090,26856437,27656327,338103,330358,322194,332116,324422,338694,332933,19136,20233,19684,20315,20251,23879,23516
10,10,100,2,0,2,40,56,2,2,19313088,18868508,21134456,21528600,21405119,19277258,19416000,24957275,26622835,27482827,27873090,28673090,28616408,29416327,363806,361688,356291,360742,356861,370342,363680,21134,21608,21629,22010,22082,25180,25618
10,10,100,2,0,2,40,60,2,2,20623749,20144535,22514520,22749946,22889205,20599539,20757712,26717275,28382859,29242868,29633090,30433090,30376503,31176327,393007,385255,379837,389244,384458,390164,391278,22435,23413,23434,23300,23391,27689,27042
10,10,100,2,0,2,40,64,2,2,22565015,21494629,24090959,24377260,24347182,21918769,22055514,28477275,30142858,31002867,31393090,32193090,32136510,32936327,423941,412579,404648,416886,413969,427575,424542,23733,24843,24903,24875,24701,28703,28370
10,10,100,2,0,2,40,68,2,3,23278548,22787870,25807301,25882591,26142589,23198783,23434020,30237275,31902850,33082859,33153090,34273090,33896491,35016328,433313,429551,390445,427676,405342,437923,418384,26013,26685,26252,26854,26819,30883,30303
10,10,100,2,0,2,40,72,2,3,24699463,24111526,27648107,28135183,29291074,24820977,25867347,31997275,33662850,34842859,34913090,36033090,35656456,36776328,480186,468768,436280,470690,459379,485632,471004,27926,29279,29139,29259,29036,32903,32493
10,10,100,2,0,2,40,76,2,3,26875330,27008619,29681152,29706919,30388504,26695165,27004951,33757276,35422851,36602860,36673091,37793091,37416517,38536328,504583,495885,473167,502447,490138,515457,496603,29467,30432,29636,30186,30277,33685,34000
10,10,100,2,0,2,40,80,2,3,28623274,28051253,31286848,30937282,31128123,27861397,27921635,35517275,37182851,38362860,38433091,39553091,39176505,40296328,526060,517868,484814,515270,493354,527131,485433,30461,31419,30948,32059,31883,35683,36619
10,10,100,2,0,2,40,84,2,3,29918885,29882777,31640693,32260062,32035514,28941039,30139412,37277276,38942851,40122858,40193091,41313091,40936470,42056328,566431,562470,532922,564364,549747,562846,558075,32878,33463,33120,33294,33427,37999,38397
