repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,2,0,2,400,4,2,1,15929425,19226105,19032706,21245066,22830057,21211137,22761590,22449397,40672477,49268261,54731973,64331973,53180799,62380726,248277,238826,235281,239439,236560,244943,240898,14257,15111,14977,15018,14766,17689,17448
2,10,100,2,0,2,400,8,2,1,30835016,34097397,32310616,34597333,36196311,34451861,35941630,38449398,56672478,65268262,70731974,80331974,69180800,78380727,500524,496788,492335,497408,492943,527434,520821,33367,34959,34179,34031,33960,35337,35235
2,10,100,2,0,2,400,12,2,1,45525282,48799854,45422725,47810608,49365819,47546439,48988209,54449399,72672479,81268263,86731975,96331975,85180801,94380728,772459,809844,807552,810203,806992,816352,812924,50659,51576,51994,51048,51171,54925,54214
2,10,100,2,0,2,400,16,2,1,60206962,63777556,58515430,60703288,62306225,60705704,62156042,70449400,88672479,97268264,102731976,112331976,101180802,110380729,966496,1029348,1018889,1029507,1020748,1035375,1025181,81319,76964,76153,76315,75947,79780,79141
2,10,100,2,0,2,400,20,2,1,74859033,78121226,71491462,73948963,75302211,73839261,75219618,86449401,104672480,113268265,118731977,128331977,117180803,126380730,1270474,1271159,1268003,1345033,1341300,1351138,1348981,97805,98934,99259,92020,91306,94678,93620
2,10,100,2,0,2,400,24,2,1,89553240,92804133,84706221,86966057,88461557,86878317,88308060,102449402,120672481,129268265,134731977,144331978,133180803,142380731,1555560,1553457,1548968,1651460,1647381,1657775,1656551,120522,121267,120422,111833,111731,113092,115392
2,10,100,2,0,2,400,28,2,1,104256721,107510547,97701870,101787958,101509914,99920227,101416024,118449403,136672482,145268267,150731979,160331978,149180804,158380732,1936825,1938054,1937027,1940936,1937601,1950166,1945667,130773,131944,131635,131672,132052,134845,134983
2,10,100,2,0,2,400,32,2,1,118954814,122186883,110848232,113117040,114621353,113063529,114484491,134449403,152672483,161268268,166731980,176331980,165180806,174380732,2077068,2078459,2068148,2079630,2200901,2223681,2209903,165543,167128,166173,165556,153173,155558,155614
2,10,100,2,0,2,400,36,2,2,133658006,136934649,124626018,126249303,128354909,126193757,128178427,150449404,168672485,181268268,182731980,196331980,181180806,194380734,2472356,2494311,2442917,2469038,2459910,2505363,2469858,178275,180837,179070,178430,179779,181202,182133
2,10,100,2,0,2,400,40,2,2,148400443,151633954,137664975,139387342,141488795,139314892,141272990,166449406,184672485,197268269,198731981,212331981,197180807,210380734,2778676,2781549,2727878,2778572,2746204,2798511,2760756,198768,201733,201003,201246,202870,203965,205991
2,10,100,2,0,2,400,44,2,2,163140857,166404795,150802803,152523924,154683193,152486565,154455512,182449406,200672486,213268269,214731982,228331982,213180808,226380735,2876971,2884112,3023057,3064024,3043235,3083405,3057484,234434,252636,232005,230032,232516,233190,235446
2,10,100,2,0,2,400,48,2,2,177878111,181125694,164050373,165768360,167752799,165636355,167593112,198449408,216672487,229268271,230731983,244331983,229180809,242380736,3131512,3144073,3259239,3348181,3275161,3369711,3305709,277359,279849,255695,255306,256865,257346,257960
2,10,100,2,0,2,400,52,2,2,192650451,198029067,181333883,178869025,180837951,178792462,180587588,214449408,232672488,245268272,246731983,260331984,245180809,258380737,3165961,3410642,3379904,3409832,3387674,3427676,3404312,347581,319162,319460,319929,328916,321481,324214
2,10,100,2,0,2,400,56,2,2,207450444,210666413,190313796,192095110,193940095,191898111,193746585,230449409,248672489,261268272,262731984,276331985,261180810,274380737,3906646,3922949,3862530,3918857,3868866,3934371,3898172,328889,331168,333469,331934,334252,333987,335220
2,10,100,2,0,2,400,60,2,2,222268833,225555752,203445706,205486556,207157072,205155921,210766610,246449411,264672490,277268273,278731985,292331986,277180811,290380739,4195394,4213010,4177784,4214151,4191575,4232853,4210336,399081,406197,403976,413955,412013,404615,408868
2,10,100,2,0,2,400,64,2,2,237045785,240287139,216745969,218560918,220432159,218388285,227361019,262449412,280672491,293268274,294731986,308331986,293180813,306380740,4185634,4485404,4375454,4477107,4404661,4501065,4427613,501227,474714,458858,467667,556274,474928,465922
2,10,100,2,0,2,400,68,2,3,261856535,255211976,230369296,231907581,233859948,235432168,233543326,278449413,296672493,313268275,310731988,328331987,309180813,326380740,4116152,4141691,3947605,4138952,4065270,4157635,4083518,663945,667199,665444,678952,679661,674723,674498
2,10,100,2,0,2,400,72,2,3,266838421,275116993,243604901,245106842,246909940,245030592,246743259,294449414,312672494,329268276,326731988,344331989,325180814,342380741,5042141,5083708,4678504,5079300,4941050,5104322,4963985,633560,634823,630202,641497,648370,645029,658522
