repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,2,0,2,40,4,2,1,1520933,1944999,2200508,2444916,2734727,2533962,2633624,2143302,3530380,4128315,5002499,5563499,5102375,5662284,686207,1498937,1556399,2097594,2177565,2160764,2241173,9475,10825,1710,11355,2112,12593,3080
10,10,100,2,0,2,40,8,2,1,3088505,3252968,3515874,3670521,3990232,3731623,3915660,3923302,5310397,5908315,6782499,7343499,6882375,7442284,1366210,2178468,2236370,2777613,2857597,2840764,2921068,16188,21993,11214,22248,11450,23607,12978
10,10,100,2,0,2,40,12,2,1,4551502,4605173,4806870,5020440,5282899,5056328,5192568,5703302,7090404,7688315,8562499,9123499,8662375,9222284,2046224,2857082,2915936,3457729,3537641,3520728,3599222,20784,31717,20935,32155,16497,34685,19108
10,10,100,2,0,2,40,16,2,1,5785126,5857397,6143835,6234967,6632426,6332518,6549577,7483302,8870405,9468315,10342499,10903499,10442375,11002284,2726226,3537038,3596001,4137672,4217653,4202520,4279574,25929,41499,29750,41758,30508,44901,33629
10,10,100,2,0,2,40,20,2,1,7218594,7257355,7470314,7689598,7923433,7683302,7806022,9263302,10650405,11248315,12122499,12683499,12222375,12782284,3406240,4216988,4275971,4817592,4897544,4883434,4959150,28750,49216,40142,49694,35573,52776,37813
10,10,100,2,0,2,40,24,2,1,8508994,8551744,8742423,8915632,9253900,8968640,9160129,11043302,12430405,13028315,13902499,14463499,14002375,14562284,4086253,4897166,4956099,5497783,5577719,5565210,5640042,30182,55834,46609,56852,43890,60701,47588
10,10,100,2,0,2,40,28,2,1,10034692,9820664,10107690,10781073,11044647,10601520,10881693,12823302,14210405,14808315,15682499,16243499,15782375,16342284,4766242,5577086,5635969,6228738,6290547,6247015,6322343,30516,61276,57584,62569,53416,67519,55751
10,10,100,2,0,2,40,32,2,1,11365637,11133342,11462603,12118260,12415386,12007060,12295973,14603302,15990405,16588315,17462499,18023499,17562375,18122284,5446263,6257501,6316129,6910643,6969462,6942700,7006838,31275,67486,56698,68109,57132,74233,61628
10,10,100,2,0,2,40,36,2,2,12919535,12661262,14333183,13631123,15151259,13421798,15004806,16383302,17770405,18688315,19242499,20123499,19342375,20222284,6126276,6939460,7154929,7629747,8040521,7636392,7930215,30743,75372,2394,74014,2646,81319,5507
10,10,100,2,0,2,40,40,2,2,14218480,13882169,15651039,15053941,16593029,14652736,16231639,18163302,19550405,20468315,21022499,21903499,21122375,22002284,6806274,7619073,7834848,8318343,8712481,8324251,8593599,31116,84165,11958,82978,12200,88755,14288
10,10,100,2,0,2,40,44,2,2,15774693,15317292,17027857,16416725,17848371,16070647,17586580,19943302,21330405,22248315,22802499,23683499,22902375,23782284,7486287,8299026,8525977,9000413,9406848,8996663,9276637,31463,83498,21563,85965,21874,93719,20063
