repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,2,0,2,10,4,2,1,3726034,3984264,4013510,4100062,4114505,4239319,4281979,3207843,3711918,3861861,4032000,4092000,4285519,4355410,430146,688437,725593,776219,879392,972816,968029,609,653,614,746,518,2101,1727
2,10,100,2,0,2,10,8,2,1,6056624,6308506,6343941,6431412,6447901,6649544,6654136,6292143,6796218,6946161,7116300,7176300,7369842,7439710,429497,699459,752734,855614,865208,1004993,1013373,3216,3408,3225,3666,3529,5130,4980
2,10,100,2,0,2,10,12,2,1,9079132,9333944,9357050,9472216,9458523,9674449,9670831,9379483,9883558,10033501,10203640,10263640,10457226,10527050,639555,909627,962928,1068073,1077487,1214290,1223564,7294,7380,6005,7712,6326,8996,7404
2,10,100,2,0,2,10,16,2,1,14740858,15107967,15156052,15444011,15490451,15460904,15438574,12467643,12971718,13121661,13291800,13351800,13545386,13615210,1543453,1750326,1846184,2003728,2033180,2183811,2201483,11353,11328,10776,11576,10966,12451,11840
2,10,100,2,0,2,10,20,2,1,18508288,18884445,18955875,19073023,19082047,19222965,19235153,15553543,16057618,16207561,16377700,16437700,16631286,16701110,1944432,2255729,2216848,2468179,2494629,2592446,2644476,13875,13905,12419,14179,12607,15136,13525
2,10,100,2,0,2,10,24,2,1,22181277,22500018,22595162,22753292,22748567,22895965,22916512,18635923,19139998,19289941,19460080,19520080,19713755,19783490,2238299,2744559,2613492,2733698,2836542,2874664,2976429,16404,16427,15812,16734,16093,17532,16842
2,10,100,2,0,2,10,28,2,1,25812537,26151843,26251379,26424519,26376294,26577823,26569776,21719273,22223348,22373291,22543430,22603430,22797105,22866840,2785531,2959623,3157411,3169788,3318823,3426626,3399098,19320,19345,17418,19589,17660,20521,18528
2,10,100,2,0,2,10,32,2,1,29399245,29742108,29864806,30057144,30000251,30147815,30171290,24805483,25309558,25459501,25629640,25689640,25883315,25953050,3121417,3428585,3355267,3486495,3488711,3751049,3892411,21926,22046,21334,22237,21514,23274,22695
2,10,100,2,0,2,10,36,2,2,27060912,27478933,27676658,27688708,27884803,27853629,28059598,27895373,28399448,28619391,28719530,28849530,28973205,29112940,1900332,2171072,2295813,2386639,2442757,2502439,2559617,20257,24309,13379,24618,13678,25431,14412
2,10,100,2,0,2,10,40,2,2,29998338,30393599,30624659,30613398,30886059,30800208,31034781,30979943,31484018,31703961,31804100,31934100,32057795,32197510,2110474,2381141,2506749,2579238,2666010,2711780,2779567,20993,26352,16723,26659,16949,28120,18070
