repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,2,0,2,200,4,4,1,2285470,4659541,5089993,6357700,6508155,6953350,7198744,7843426,17362523,20262452,23311510,25711112,25892666,28292327,249230,241365,238474,243651,239841,250491,246811,13794,14612,14588,14824,14720,18329,18240
2,10,100,2,0,2,200,8,4,1,2973319,5358353,5734680,6914618,7135972,7668622,7816934,9443426,18962525,21862455,24911468,27311113,27492888,29892326,526937,530840,526850,533114,527791,542854,514500,27788,30509,30341,30868,30879,35234,36973
2,10,100,2,0,2,200,12,4,1,3793256,6158835,6554732,7662502,7927321,8391135,8566375,11043426,20562523,23462452,26511530,28911113,29092694,31492326,788560,806753,799780,811508,804175,820166,813918,44750,48826,49531,49672,49523,54488,54111
2,10,100,2,0,2,200,16,4,1,4496201,6831425,7205104,8294900,8585331,8905891,9161608,12643426,22162525,25062455,28111463,30511112,30692830,33092327,1031058,1063481,1055508,1069100,1063942,1075375,1076901,58535,66498,66507,67750,67664,72729,72156
2,10,100,2,0,2,200,20,4,2,5525148,7826178,8194167,9191603,9490737,9891445,10187793,14243427,23762528,28262457,29711504,33711112,32293479,36292326,1342166,1359013,1334138,1367420,1349568,1378833,1358695,73311,84223,84536,86375,85652,91387,90478
2,10,100,2,0,2,200,24,4,2,6427353,8650829,8969574,10013844,10199268,10670773,10922559,15843426,25362528,29862457,31311496,35311112,33893189,37892327,1578345,1626843,1586834,1637707,1614337,1652174,1624520,89195,102718,102744,105915,103706,110815,108287
2,10,100,2,0,2,200,28,4,2,7230851,9558588,9765855,10861181,10988824,11445058,11647748,17443426,26962527,31462455,32911484,36911112,35492978,39492327,1780481,1852981,1790642,1866983,1830648,1882288,1754121,110964,115603,115110,119001,117807,125205,136313
2,10,100,2,0,2,200,32,4,2,8239331,10512135,10674479,11867499,11828354,12234408,12497310,19043427,28562526,33062455,34511469,38511113,37092830,41092326,2015617,2167939,2107223,2176133,2137019,2188484,2158381,133726,144393,143740,149479,145696,152413,150698
2,10,100,2,0,2,200,36,4,3,9596309,11540316,11563911,12768222,12686526,13289555,13324955,20643427,30162523,36262453,36111491,41711113,38692696,44292327,2404848,2445536,2325111,2449817,2372969,2471838,2395555,140456,152460,154267,155302,153728,161404,159595
2,10,100,2,0,2,200,40,4,3,10261862,12310614,12372621,13640041,13444114,14339286,14208864,22243427,31762528,37862457,37711509,43311113,40294471,45892327,2659043,2702681,2600627,2713830,2623889,2728795,2640404,165899,181675,177592,188919,183805,192936,187767
