repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,2,0,2,80,4,4,1,2553707,3339079,3429960,4446600,4600619,4591277,4678063,3650290,6276537,7514809,9211528,10332528,9092013,10211282,1444178,2974033,3094081,3914306,4236135,4076123,4236693,27159,42391,22236,42709,3046,47342,7327
2,10,100,2,0,2,80,8,4,1,4235696,4949316,5194906,6237500,6484298,6357821,6373183,6610290,9236537,10474809,12171528,13292528,12052013,13171282,2884193,4414116,4534199,5354261,5676211,5534508,5692911,33347,67104,49762,75465,33694,78939,37826
2,10,100,2,0,2,80,12,4,1,6308778,6916757,7482460,8006039,8563600,8110301,8403407,9570290,12196537,13434809,15131528,16252528,15012013,16131282,4324177,5853828,5974226,6793867,7116251,6969104,7133619,33701,102151,99421,96867,79942,107527,79394
2,10,100,2,0,2,80,16,4,1,8511768,9016765,9270535,10247622,10636294,10516539,10443414,12530290,15156537,16394809,18091528,19212528,17972013,19091282,5764208,7294599,7416058,8233598,8555344,8408423,8563157,36587,116608,105931,124957,90897,135355,95106
2,10,100,2,0,2,80,20,4,2,10565779,11261355,12606693,12603714,14570746,12661398,14763037,15490290,18116537,19994809,21051528,22812528,20932013,22691282,7204208,8735838,9058944,9673667,10340146,9860786,10321220,37148,142341,23732,173564,4238,170366,12181
2,10,100,2,0,2,80,24,4,2,12920480,14531122,15262589,16353172,18413769,15457736,18207731,18450290,21076537,22954809,24011528,25772528,23892013,25651282,8644222,10175010,10498173,11113663,12012594,11282853,11833191,37209,164558,62862,191952,39797,186553,52100
2,10,100,2,0,2,80,28,4,2,15124767,17122801,18763653,20322394,21234398,19419445,20798195,21410290,24036537,25914809,26971528,28732528,26852013,28611282,10084228,11617097,11938782,12734347,13435991,12778350,13317639,38648,177721,103428,252441,87494,220588,93638
2,10,100,2,0,2,80,32,4,2,17570667,19836570,22176054,22506116,23490987,22813677,24567667,24370290,26996537,28874809,29931528,31692528,29812013,31571282,11524242,13060663,13388959,14114466,14942952,14251822,14830332,40172,259009,144598,292712,131040,275258,156677
2,10,100,2,0,2,80,36,4,3,20382698,22097404,23606580,23766284,24194285,24797064,25750041,27330290,29956537,32474809,32891528,35292528,32772013,35171282,12964213,14494559,14936593,15634905,16311452,15703462,16180784,40879,217257,23893,260722,5044,282578,35161
2,10,100,2,0,2,80,40,4,3,22441312,24646486,26001945,26311823,26863406,26462056,28350762,30290290,32916537,35434809,35851528,38252528,35732013,38131282,14404250,15934436,16376725,17076095,17770450,17135067,17669641,42170,257774,67090,305265,44711,299213,74562
2,10,100,2,0,2,80,44,4,3,24691116,27753626,29159638,28914493,28965925,29003954,30546187,33250290,35876537,38394809,38811528,41212528,38692013,41091282,15844253,17374400,17816887,18510041,19177854,18603181,19057625,42888,363444,103179,407948,83670,352305,113625
2,10,100,2,0,2,80,48,4,3,26931151,31101250,33179505,31876723,32872706,32115578,34420999,36210290,38836537,41354809,41771528,44172528,41652013,44051282,17284244,18814819,19256766,19961538,20636963,20059222,20541089,43071,284004,138386,329916,117567,347756,151978
2,10,100,2,0,2,80,52,4,4,29106470,34512985,35178265,35126089,35004686,35216696,35190702,39170290,41796537,44954809,44731528,47772528,44612013,47651282,18724264,20254725,20857489,21389560,22192076,21458332,22055647,45679,438059,24052,501806,12269,429697,41324
2,10,100,2,0,2,80,56,4,4,31297266,36267272,37216078,36776581,37474377,37410369,36958887,42130290,44756537,47914809,47691528,50732528,47572013,50611282,20164288,21694599,22297792,22813909,23660202,22908777,23470122,46437,374192,63732,398446,54701,407696,74202
2,10,100,2,0,2,80,60,4,4,33350185,37542936,38949608,39162468,39103703,38963029,39146387,45090290,47716537,50874809,50651528,53692528,50532013,53571282,21604346,23134982,23737144,24272642,25273565,24370222,24991355,47423,402283,102813,541849,90580,472791,121130
2,10,100,2,0,2,80,64,4,4,35607313,40229205,44416565,41116047,42374127,41645003,42624293,48050290,50676537,53834809,53611528,56652528,53492013,56531282,23044310,24575604,25179422,25690239,26505259,25813270,26369193,47824,497746,227804,561583,235927,591806,269280
