repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,2,0,2,40,4,8,1,648068,1198551,1216922,1518853,1610584,1746069,1870057,1443376,3634987,4174436,4825330,5265112,5566582,6046326,52779,54878,52197,56311,53502,68136,66854,7267,7524,7322,7570,7436,11036,10929
2,10,100,2,0,2,40,8,8,1,984638,1444734,1490797,1800709,1876967,1912597,2157372,2009376,4200987,4740436,5391366,5831112,6132664,6612327,165387,168733,164125,170092,167182,177343,172670,11199,12344,11897,12551,12076,16093,15483
2,10,100,2,0,2,40,12,8,2,1419529,1753767,1833664,2103906,2329498,2274093,2473415,2649376,4840987,5700436,6031376,6791112,6772753,7572326,283657,282188,280082,285107,282638,293691,290331,17628,18862,18603,19419,19023,23259,22706
2,10,100,2,0,2,40,16,8,2,1835393,2017997,2104519,2350303,2575626,2532386,2786853,3289376,5480987,6340436,6671356,7431112,7412680,8212326,385256,377930,372463,380964,373748,388244,379587,23112,24508,24035,25462,24944,29431,28655
2,10,100,2,0,2,40,20,8,3,2292123,2387547,2552544,2675906,3024527,2873230,3195006,3929376,6121034,7300484,7311468,8391112,8052888,9172326,503836,495033,484704,497741,487983,506884,493711,30334,31640,31069,32281,31458,36644,35766
2,10,100,2,0,2,40,24,8,3,2710761,2774820,2889423,2963616,3260200,3209621,3451381,4569376,6760987,7940436,7951356,9031112,8692690,9812327,592113,575679,562055,573849,560343,583163,567358,34670,37188,36857,38200,37439,42926,41665
2,10,100,2,0,2,40,28,8,4,3166620,3249740,3337786,3376906,3723773,3601547,3798586,5209376,7401035,8900484,8591479,9991112,9332799,10772326,711469,702029,680378,699713,675362,709957,684421,42963,46808,46162,47722,46536,52365,50768
2,10,100,2,0,2,40,32,8,4,3601952,3648739,3658800,3744210,4000715,3929744,4122586,5849376,8040988,9540437,9231365,10631112,9972695,11412326,797873,777916,752947,774705,744599,783585,750284,51354,51867,50651,52719,50834,57249,55131
2,10,100,2,0,2,40,36,8,5,4052249,4122316,4193433,4213330,4422175,4384832,4608485,6489376,8681034,10500484,9871481,11591112,10613087,12372326,926631,911081,868645,908159,864195,919075,873537,59334,62649,60985,62946,61008,67850,65728
2,10,100,2,0,2,40,40,8,5,4498667,4594910,4627227,4664959,4795054,4877786,4988917,7129376,9321034,11140484,10511462,12231113,11252829,13012328,997888,984027,919311,979235,912873,993031,912766,62385,68849,67398,68769,65504,74131,70238
2,10,100,2,0,2,40,44,8,6,4926362,5003816,5162387,5056803,5155839,5207357,5409949,7769376,9961035,12100483,11151459,13191112,11892692,13972326,1133419,1126214,1064917,1125768,1052343,1134899,1058835,74517,77627,75508,78267,74947,82357,79487
2,10,100,2,0,2,40,48,8,6,5353126,5404022,5561448,5450012,5463566,5593865,5758453,8409376,10600989,12740436,11791365,13831112,12532700,14612326,1199603,1192641,1105238,1186992,1101388,1195419,1101675,79300,84905,81897,84531,81883,88733,86401
2,10,100,2,0,2,40,52,8,7,5834494,5900696,6176975,5969509,5943567,6123206,6215369,9049377,11241037,13700487,12431496,14791112,13173423,15572327,1341510,1333413,1259281,1330137,1245373,1339302,1251340,83029,88604,86393,88472,82894,92883,87717
2,10,100,2,0,2,40,56,8,7,6285883,6402405,6639324,6422938,6311304,6640812,6602914,9689376,11881037,14340486,13071507,15431112,13813291,16212327,1405491,1397083,1291166,1397897,1264815,1407964,1270373,96037,101492,99499,102299,97739,107051,101487
2,10,100,2,0,2,40,60,8,8,7208723,6759057,7141898,6820439,6716976,6973325,7050151,10329376,12521037,15300486,13711496,16391112,14453188,17172327,1521454,1498941,1388291,1495784,1355315,1505131,1359036,229712,107514,105038,108020,102137,112317,105742
2,10,100,2,0,2,40,64,8,8,7457579,7492363,8061021,7551714,7580607,7703590,7915080,10969376,13161038,15940486,14351494,17031112,15093110,17812327,1618766,1612265,1515227,1606879,1472426,1615693,1477939,105998,111989,107537,112088,103834,116932,109093
2,10,100,2,0,2,40,68,8,9,7628709,7662602,8180828,7766755,7547573,7934338,7839635,11609377,13801034,16900483,14991481,17991113,15733109,18772326,1704463,1709446,1558737,1706852,1534816,1716921,1539986,119834,125327,122640,126944,121409,131675,126710
2,10,100,2,0,2,40,72,8,9,8042817,8078934,8568489,8155817,8001333,8291942,8221400,12249377,14441034,17540484,15631482,18631112,16372950,19412327,1813386,1807237,1692835,1800504,1650202,1811992,1665982,127744,135338,134609,137294,127956,141774,132771
2,10,100,2,0,2,40,76,8,10,8536912,8632182,9247805,8669916,8441899,8843100,8765723,12889376,15081034,18500484,16271474,19591112,17012941,20372327,1934772,1927297,1760490,1917095,1744023,1930919,1757958,134912,148983,139794,150078,135963,153120,140706
2,10,100,2,0,2,40,80,8,10,8989759,9029521,9633294,9115949,8912950,9284027,9254425,13529376,15721034,19140484,16911469,20231112,17652830,21012327,2076204,2068180,1928442,2066207,1897083,2077578,1900990,146412,160192,156320,162313,155421,170202,161655
2,10,100,2,0,2,40,84,8,11,9416233,9477972,10199511,9519366,9358321,9687493,9748950,14169377,16361034,20100484,17551484,21191112,18292806,21972326,2123808,2112970,1966302,2110836,1918852,2124716,1951245,165398,168228,165042,168644,159736,175596,164937
2,10,100,2,0,2,40,88,8,11,9936275,10024164,10736254,10093507,9984355,10228674,10231818,14809376,17001035,20740484,18191462,21831113,18932692,22612327,2245684,2229379,2053596,2224269,2012913,2227729,2054414,178049,191771,185496,195479,182932,201154,188395
2,10,100,2,0,2,40,92,8,12,10481413,10581309,11443976,10608865,10462049,10849444,10866110,15449376,17641033,21700481,18831473,22791112,19572600,23572327,2326736,2336419,2139341,2327973,2080043,2341601,2097040,199050,217967,213966,221673,211289,230616,219078
2,10,100,2,0,2,40,96,8,12,10979742,11066058,11888506,11122036,10933385,11308842,11367652,16089376,18280988,22340437,19471366,23431113,20212678,24212327,2512976,2510386,2339098,2508596,2308745,2518315,2319861,239384,241936,233083,245592,231769,245951,238497
2,10,100,2,0,2,40,100,8,13,11421041,11511045,12450161,11623232,11469088,11832849,12092239,16729376,18921038,23300486,20111509,24391113,20854471,25172326,2602480,2600909,2408966,2599108,2378051,2610035,2394789,238890,257732,248468,259188,244411,267509,256628
2,10,100,2,0,2,40,104,8,13,12032885,12172297,13097588,12285691,12104041,12476609,12491704,17369377,19561038,23940487,20751509,25031113,21494471,25812328,2724536,2741645,2534577,2738260,2492547,2753908,2512497,265533,287493,284887,289266,281980,297406,285263
2,10,100,2,0,2,40,108,8,14,12447007,12622664,13728610,12715156,12544167,12831368,12918738,18009377,20201038,24900486,21391509,25991113,22134471,26772327,2725910,2732074,2538137,2728473,2492686,2744621,2525064,283966,302019,290007,305714,297093,306765,300624
2,10,100,2,0,2,40,112,8,14,12979005,13161858,14212462,13199569,13087819,13458698,13477166,18649377,20841038,25540487,22031509,26631113,22774471,27412327,2903997,2909780,2719000,2912182,2671832,2922049,2704223,304555,329635,325085,331333,327644,341156,334487
2,10,100,2,0,2,40,116,8,15,13703173,13909340,15449748,14067673,13987141,14264345,14341357,19289377,21481038,26500487,22671509,27591112,23414471,28372327,2973494,2976943,2749165,2971455,2697763,2987587,2728998,368459,387881,383974,386114,383340,394206,390573
2,10,100,2,0,2,40,120,8,15,14132139,14369444,15548727,14439252,14814873,14698147,15173427,19929377,22121038,27140487,23311509,28231113,24054471,29012328,3107826,3119300,2922188,3116570,2874525,3132465,2896585,384473,405551,399581,403618,399832,414823,408409
2,10,100,2,0,2,40,124,8,16,14676335,14878500,16369361,15020695,15630602,15168041,15803511,20569377,22761038,28100487,23951509,29191113,24694471,29972327,3141176,3151970,2929168,3152028,2886553,3170637,2907222,424841,456064,456075,455346,447624,462104,456275
2,10,100,2,0,2,40,128,8,16,16130455,16371684,18082115,16480709,16805993,16692172,17088757,21209377,23401038,28740487,24591509,29831113,25334471,30612327,3372124,3388553,3117966,3388411,3074461,3409024,3108256,448205,476111,478580,480002,474950,486476,482756
2,10,100,2,0,2,40,132,8,17,15839285,16052318,18013734,16160451,16762809,16400650,16998669,21849377,24041038,29700487,25231509,30791113,25974471,31572327,3352524,3359694,3122334,3364574,3075732,3379616,3100162,522952,546806,545501,546427,545465,555665,544501
2,10,100,2,0,2,40,136,8,17,16479750,16689433,18919468,16825431,17462295,17090061,17745870,22489377,24681038,30340487,25871510,31431113,26614471,32212328,3547826,3569562,3292150,3565513,3248646,3590135,3273242,563560,595687,599170,596239,598279,607882,601690
2,10,100,2,0,2,40,140,8,18,16990112,17233358,19513550,17411810,18077380,17660770,18379262,23129377,25321038,31300488,26511509,32391113,27254471,33172327,3642949,3637760,3312434,3635240,3284298,3660629,3310062,568781,611900,624228,614390,611658,630689,628858
2,10,100,2,0,2,40,144,8,18,17724982,17922193,20470655,18047622,18770108,18447480,19105566,23769377,25961038,31940487,27151510,33031113,27894471,33812327,3765688,3771215,3462143,3771072,3410132,3789885,3431573,646694,677144,693340,683243,681072,701914,700259
2,10,100,2,0,2,40,148,8,19,18244346,18504615,21265772,18721646,19582491,18961895,19795237,24409377,26601038,32900487,27791509,33991113,28534471,34772327,3796618,3805712,3480975,3800197,3447929,3829935,3470999,731393,733822,752042,745473,744243,753871,751586
2,10,100,2,0,2,40,152,8,19,18914589,19169910,22410541,19313396,20217451,19575747,20728465,25049377,27241038,33540488,28431509,34631113,29174472,35412328,4017926,4005313,3671605,4003570,3623653,4026020,3647209,746929,784189,795233,782773,770158,791755,781584
2,10,100,2,0,2,40,156,8,20,19672246,19920047,23542196,20178559,21002211,20202906,21263134,25689377,27881038,34500488,29071510,35591113,29814471,36372328,4009352,4036049,3658479,4029480,3600812,4050563,3628005,834376,866365,846428,876481,850947,883553,861843
2,10,100,2,0,2,40,160,8,20,20034105,20330642,24150074,20488790,21793740,20674300,21993083,26329378,28521038,35140488,29711510,36231113,30454472,37012327,4162992,4187976,3850133,4188567,3786136,4208751,3793784,881550,908635,898086,912571,904678,920161,926290
2,10,100,2,0,2,40,164,8,21,20628606,20982089,25120883,21087978,22495360,21272771,23077696,26969377,29161038,36100488,30351510,37191114,31094471,37972328,4248303,4228440,3880347,4231735,3819134,4257692,3821131,946934,975852,965259,976701,961028,984065,974753
2,10,100,2,0,2,40,168,8,21,21555904,21840397,26195417,22094126,23246031,22262269,23915289,27609377,29801038,36740487,30991510,37831113,31734471,38612328,4490040,4535474,4081777,4525507,3978731,4546400,3997395,975079,1005029,1022173,1006293,1010632,1017305,1020529
2,10,100,2,0,2,40,172,8,22,21871769,22229533,27081697,22365541,24025558,22460760,24351290,28249377,30441039,37700487,31631510,38791113,32374471,39572328,4421573,4469563,4081739,4470983,4030168,4490710,4043130,1055866,1092361,1054908,1093111,1053401,1101732,1060804
2,10,100,2,0,2,40,176,8,22,22547686,22803003,27704956,23220986,24821523,23400526,25083914,28889378,31081038,38340487,32271510,39431114,33014472,40212327,4653600,4679608,4279442,4682594,4201412,4705061,4208061,1109510,1143965,1117222,1147218,1106577,1154931,1119398
2,10,100,2,0,2,40,180,8,23,23347350,23765538,29354844,24264796,26221121,24455696,26691550,29529378,31721038,39300488,32911510,40391113,33654472,41172328,4813072,4839418,4246372,4830258,4184597,4852997,4189496,1116561,1163805,1157502,1174910,1160745,1177919,1176585
2,10,100,2,0,2,40,184,8,23,23864094,24108631,29686128,24667117,26418246,24843231,26841890,30169377,32361039,39940488,33551509,41031114,34294472,41812329,4812986,4883718,4422852,4874406,4325133,4887588,4344773,1291088,1315432,1245840,1331292,1237013,1362309,1256769
2,10,100,2,0,2,40,188,8,24,24351507,24710829,30792053,24999344,27432320,25146373,27884522,30809378,33001039,40900488,34191509,41991114,34934472,42772328,4977271,5036256,4498683,5022368,4427473,5046079,4443644,1287697,1330868,1296564,1335323,1282043,1342014,1309797
2,10,100,2,0,2,40,192,8,24,26064314,26504261,32605466,27068569,29332771,27269346,30066524,31449378,33641039,41540488,34831510,42631114,35574472,43412328,5207255,5235850,4588355,5230280,4497206,5246207,4515438,1337515,1390865,1333294,1406437,1326081,1420967,1341195
