repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,2,0,2,800,4,8,1,10476175,22039013,26029161,28109993,31051165,29229533,38849413,29658497,72067979,90465767,91719055,110919055,102779800,121179729,2045219,2080118,2065051,2075979,2070018,2096945,2078938,156548,172041,172997,175623,175153,181040,183583
2,10,100,2,0,2,800,8,8,1,20095017,31806119,33341077,35014971,39212718,37358612,45720677,38458498,80867979,99265768,100519055,119719055,111579801,129979728,4238275,4384430,4356116,4399282,4371280,4407479,4377030,897759,1025506,1041901,1053795,1061699,1066626,1097871
2,10,100,2,0,2,800,12,8,2,32168884,39121374,44996049,43765736,49214504,46789115,54779089,47258498,89667982,116065769,109319056,136519056,120379801,146779730,6183080,6289050,6240282,6348869,6259909,6407103,6298485,2203384,2588076,2658723,2672354,2668890,2704862,2697025
2,10,100,2,0,2,800,16,8,2,49295345,57235405,57849404,58780590,60731843,61322569,64416328,56058499,98467981,124865770,118119057,145319057,129179802,155579729,8676608,8951813,8639873,9016569,8671043,9027067,8691465,4054915,4361163,4281491,4400634,4307422,4438578,4347325
2,10,100,2,0,2,800,20,8,3,64234571,64102371,70580669,66294483,73243125,69378015,75332297,64858500,107267982,141665772,126919057,162119060,137979802,172379730,10313592,10637295,10207270,10635003,10193250,10611793,10214288,5715655,6311048,6277044,6388148,6328992,6468215,6393274
2,10,100,2,0,2,800,24,8,3,82870141,85051492,90151972,86705854,92083815,89395480,92982364,76858501,118467984,152865772,138119059,173319059,149179803,183579731,13159396,13330761,12673643,13316877,12598282,13389156,12607476,7602058,8051048,7736053,8088900,7741553,8131468,7780868
2,10,100,2,0,2,800,28,8,4,95259141,97872443,104462419,99124618,105513581,101787828,106351117,85658502,127267984,169665773,146919059,190119060,157979804,200379732,15030051,15032233,14175689,15031524,14064963,15099245,14055951,8883887,9449610,8938375,9492258,8927538,9539347,8978787
2,10,100,2,0,2,800,32,8,4,110111788,113825263,119764098,114669248,123265976,117254769,125861030,94458503,136067985,178465774,155719060,198919061,166779805,209179733,17570735,17530948,16510548,17632778,16317379,17671307,16357121,10542488,11187266,10680815,11270400,10744500,11344758,10901538
2,10,100,2,0,2,800,36,8,5,125385587,128547271,135666670,129643788,135146153,132001545,135777395,103258504,144867986,195265774,164519061,215719062,175579807,225979734,19737164,19630646,18413659,19661729,18234320,19695949,18264722,12119438,12900430,12158713,12952586,12109310,12980943,12163630
2,10,100,2,0,2,800,40,8,5,140213673,142871696,150441701,143856350,149649147,146691937,150570820,112058505,153667987,204065776,173319062,224519063,184379807,234779735,21416386,21267286,19906513,21288857,19578627,21262621,19588599,13401533,14265125,13380497,14321735,13288869,14334307,13340503
2,10,100,2,0,2,800,44,8,6,154840596,159362825,166860574,159984527,162944795,165672313,164293810,120858506,162467987,220865776,182119063,241319063,193179809,251579736,24082523,23940151,22275786,23874720,21955695,23918716,21967223,15109393,16139216,15091281,16081717,14961309,16122388,15005802
2,10,100,2,0,2,800,48,8,6,168664342,172788381,182451681,175089667,177544742,179642923,178814388,129658507,171267988,229665777,190919065,250119064,201979810,260379737,25680291,25423314,23703372,25422246,23220991,25459090,23267104,16279280,17432367,16236877,17407782,16091938,17481905,16148724
2,10,100,2,0,2,800,52,8,7,183964740,188804259,198396930,193353828,190825034,194968617,192730176,138458508,180067990,246465778,199719066,266919066,210779811,277179737,27921528,27605017,25636182,27603023,25225091,27640133,25241542,17902026,19083193,17838581,19085343,17640720,19181248,17685341
2,10,100,2,0,2,800,56,8,7,198111567,203922007,214262811,207975476,206682123,209950258,208149440,147258509,188867991,255265780,208519067,275719067,219579812,285979738,29960027,29597467,27482286,29577948,26920278,29636797,26958809,19344519,20620435,19284873,20589406,18965008,20724289,19017758
