repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,2,0,2,400,4,8,1,4648676,10211120,11856081,12872358,14303579,14580480,16227956,14858496,36067978,45265766,45919054,55519054,51579799,60779726,979647,1012954,1014075,1070801,1071638,1078064,1079004,67184,78060,78159,73124,73337,76835,76362
2,10,100,2,0,2,400,8,8,1,9280090,13569962,15086412,15689265,17078395,18337717,19592109,19258496,40467978,49665767,50319054,59919054,55979799,65179727,2127784,2204495,2186244,2219955,2197832,2234381,2206566,134948,152905,153032,154395,154860,159080,159224
2,10,100,2,0,2,400,12,8,2,13603529,16491400,18960248,18516547,20107891,21410025,22826496,23658497,44867978,58065767,54719054,68319054,60379799,73579726,3222248,3292176,3258700,3319032,3269911,3339429,3306923,213838,243519,249027,249584,250912,255496,254897
2,10,100,2,0,2,400,16,8,2,18776910,23670997,22730178,24196482,23663185,26194211,26590731,28058497,49267978,62465768,59119054,72719054,64779799,77979727,4156003,4301321,4198913,4312241,4246217,4342785,4278251,378114,414346,404226,416234,408298,426519,425321
2,10,100,2,0,2,400,20,8,3,24033058,25317735,28521923,26717346,28971587,29765516,32069514,32458497,53667979,70865768,63519054,81119055,69179800,86379727,5208095,5302562,5241628,5320601,5226719,5361444,5242455,671312,758469,794382,782520,804490,807916,819017
2,10,100,2,0,2,400,24,8,3,30060777,31385456,34153908,32663841,34541556,35261076,37435193,36858498,58067979,75265768,67919055,85519056,73579801,90779728,6222567,6512404,6434555,6558564,6366902,6516326,6365470,1284880,1307591,1361126,1332692,1353004,1387254,1397928
2,10,100,2,0,2,400,28,8,4,36454280,38942957,40087816,40434352,39841167,43323589,42474465,41258498,62467980,83665768,72319055,93919056,77979801,99179728,7659714,7707193,7386419,7440353,7327817,7730362,7393947,1854651,1977146,1984746,2140423,2011838,2072186,2064572
2,10,100,2,0,2,400,32,8,4,45133363,47253901,47337272,47694546,46449736,49935390,49398001,45658499,66867981,88065769,76719056,98319056,82379801,103579728,8740533,9008599,8453648,9123047,8269264,8800752,8301477,2422333,2559188,2571892,2588972,2666260,2843327,2666577
2,10,100,2,0,2,400,36,8,5,50241585,51912520,53201673,53146117,51748212,55577220,53294428,50058500,71267981,96465769,81119056,106719057,86779801,111979728,9746377,9872132,9249870,9848093,9189974,9804230,9292608,3036478,3402656,3440750,3435505,3379389,3508457,3395947
2,10,100,2,0,2,400,40,8,5,58578993,58518685,60292870,58879593,57987905,60498974,59908777,54458499,75667981,100865770,85519056,111119057,91179802,116379729,10475644,10988554,10429670,10917723,10247269,10982026,10259993,4246868,4459753,4367636,4462112,4267558,4490723,4349830
