repeats,epochs,batch,output_dims,output_model,tasks,height,width,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
2,10,100,2,0,2,10,4,8,1,835600,1024394,1031807,1107614,1135314,1258348,1255886,459326,978980,1082440,1265633,1325633,1512156,1571980,127981,393058,400074,487323,497258,642241,617615,9102,10277,9755,10548,10071,11704,11008
2,10,100,2,0,2,10,8,8,1,1520999,1734717,1729780,1840607,1844665,1960763,1953421,799326,1318980,1422440,1605633,1665633,1852245,1911980,246095,514543,520438,607179,616621,761158,738023,16421,21752,21009,21902,21267,22773,20819
2,10,100,2,0,2,10,12,8,2,2209959,2453361,2648468,2537028,2596042,2654623,2735631,1139326,1658980,1832440,1945633,2075633,2192279,2321980,366116,634625,663004,726661,753219,881257,891292,21330,31676,21466,31909,21751,33010,22740
2,10,100,2,0,2,10,16,8,2,2905083,3140351,3344171,3220154,3287297,3331389,3437307,1479326,1998980,2172440,2285633,2415633,2532287,2661980,486101,754634,783378,846641,872337,1001300,1012494,26311,41335,31350,41682,31544,35202,24804
2,10,100,2,0,2,10,20,8,3,3617739,3847493,4072401,3933461,4000308,4047723,4159815,1819326,2338980,2582440,2625633,2825633,2872287,3071980,606114,874578,905411,966563,1012667,1121278,1131809,29184,49372,31628,49460,31894,41969,22860
2,10,100,2,0,2,10,24,8,3,4338369,4530305,4752963,4622811,4667424,4749938,4849726,2159326,2678980,2922440,2965633,3165633,3212287,3411980,726104,994609,1023875,1086608,1132771,1241575,1261573,30556,55505,35557,57349,41508,54660,36272
2,10,100,2,0,2,10,28,8,4,5110303,5253119,5267125,5353263,5336541,5480097,5526195,2499326,3018980,3332440,3305633,3575633,3552287,3821980,846103,1114625,1150463,1211800,1252742,1367155,1377080,30723,61821,41668,61367,41871,68313,42845
2,10,100,2,0,2,10,32,8,4,5887704,5956285,5972829,6036007,6052499,6194135,6253936,2839326,3358980,3672440,3645633,3915633,3892287,4161980,967193,1236074,1271440,1334667,1373981,1495876,1499744,30052,76486,44575,77720,52288,69141,45380
2,10,100,2,0,2,10,36,8,5,6702201,6680927,6681278,6759796,6730752,6876867,6946572,3179326,3698980,4082440,3985633,4325633,4232287,4571980,1086115,1355048,1401445,1455956,1507509,1616822,1630398,30868,84465,49732,79081,52578,61645,31314
2,10,100,2,0,2,10,40,8,5,7495182,7341731,7401810,7432165,7471188,7610541,7673216,3519326,4038980,4422440,4325633,4665633,4572287,4911980,1207151,1477050,1520982,1574519,1629507,1733916,1751122,30984,76647,54700,63003,60818,57717,32130
2,10,100,2,0,2,10,44,8,6,8305445,8066681,8105159,8179715,8227695,8351370,8366906,3859326,4378980,4832440,4665633,5075633,4912287,5321980,1326120,1595209,1651480,1694803,1754552,1857281,1881108,31123,78190,50290,69551,52534,68335,27883
2,10,100,2,0,2,10,48,8,6,9087795,8933901,8849078,9002727,8934617,9085271,9113166,4199326,4718980,5172440,5005633,5415633,5252287,5661980,1447083,1715111,1771516,1813467,1873478,1977086,2000149,31476,103003,56189,93163,52112,77584,36338
2,10,100,2,0,2,10,52,8,7,9880809,9659224,9583769,9702493,9655824,9799849,9858578,4539326,5058980,5582440,5345633,5825633,5592287,6071980,1566966,1835552,1901482,1934366,2003524,2095914,2132643,32313,100203,53407,85423,51237,69533,37251
2,10,100,2,0,2,10,56,8,7,10663568,10404807,10395758,10614121,10421260,10585042,10598525,4879326,5398980,5922440,5685633,6165633,5932287,6411980,1686115,1955225,2021465,2055202,2122138,2218235,2250661,32216,80915,55336,97516,56323,80703,39273
2,10,100,2,0,2,10,60,8,8,11460675,11179543,11098438,11176050,11197812,11267626,11349358,5219326,5738980,6332440,6025633,6575633,6272287,6821980,1806129,2075602,2151522,2175391,2267946,2335038,2378704,32561,97639,47014,83674,53945,72078,35315
2,10,100,2,0,2,10,64,8,8,12254809,11772226,11860156,12042792,12021773,12081899,12146407,5559326,6078980,6672440,6365633,6915633,6612287,7161980,1926124,2195446,2271468,2293949,2385449,2457936,2501930,32169,77375,51503,103992,62711,93828,45124
2,10,100,2,0,2,10,68,8,9,13033351,12584291,12604043,12677389,12803453,12745345,13524070,5899326,6418980,7082440,6705633,7325633,6952287,7571980,2046134,2315585,2401481,2414080,2533545,2576447,2633440,33007,86695,43910,95780,57471,89421,20995
2,10,100,2,0,2,10,72,8,9,13846775,13336421,13455104,13542785,13795264,13562706,14332148,6239326,6758980,7422440,7045633,7665633,7292287,7911980,2166116,2435656,2521200,2534488,2651950,2697739,2755559,33375,82201,49185,90498,65791,78557,27187
2,10,100,2,0,2,10,76,8,10,14591607,14258931,14890195,14509789,14502018,14262791,15104334,6579326,7098980,7832440,7385633,8075633,7632287,8321980,2286915,2555390,2651519,2655614,2797588,2815729,2884053,33808,123619,20645,127371,76935,93636,23195
2,10,100,2,0,2,10,80,8,10,15419851,15011763,15454528,15219744,15611619,15331523,15932981,6919326,7438980,8172440,7725633,8415633,7972287,8661980,2406124,2674740,2771354,2774441,2920672,2936197,3003135,34063,90648,32845,93908,85844,103001,28821
2,10,100,2,0,2,10,84,8,11,16217765,15841801,16654862,15980352,16252103,16089079,16556622,7259326,7778980,8582440,8065633,8825633,8312287,9071980,2526924,2796301,2901258,2894617,3052194,3058569,3152824,34322,111399,19731,105501,78431,106589,26547
2,10,100,2,0,2,10,88,8,11,17037459,16516878,17214065,16657890,17093341,16852959,17577479,7599326,8118980,8922440,8405633,9165633,8652287,9411980,2646145,2915024,3021496,3014602,3169979,3178880,3275540,34748,94893,34419,126306,84262,119064,31302
2,10,100,2,0,2,10,92,8,12,17875984,17411871,18408704,17658023,18208563,17654635,18362664,7939326,8458980,9332440,8745633,9575633,8992287,9821980,2766136,3035194,3151561,3135531,3297875,3300298,3408615,34923,90151,20250,122182,89773,107868,30144
2,10,100,2,0,2,10,96,8,12,18601793,18397949,18930459,18369477,18915367,18457217,19103612,8279326,8798980,9672440,9085633,9915633,9332287,10161980,2886142,3155355,3271150,3256698,3416484,3419172,3530733,34068,138676,34536,119933,95328,127403,38819
2,10,100,2,0,2,10,100,8,13,19444367,19073905,20013918,19306567,19985328,19188191,19943471,8619326,9138980,10082440,9425633,10325633,9672287,10571980,3006165,3275538,3401493,3374264,3544657,3535313,3659373,35167,91078,21800,142736,107931,88610,42248
2,10,100,2,0,2,10,104,8,13,20240469,19928705,20700036,20236874,21015829,20044796,20848382,8959326,9478980,10422440,9765633,10665633,10012287,10911980,3126156,3395810,3521513,3494273,3669536,3657240,3779709,36168,102685,39894,150279,129745,104746,52335
2,10,100,2,0,2,10,108,8,14,21074784,20463862,21783488,20796612,21722055,20707157,21581001,9299326,9818980,10832440,10105633,11075633,10352287,11321980,3247081,3515670,3651421,3615072,3786046,3776772,3905621,36032,132518,21589,148231,117900,110379,55418
2,10,100,2,0,2,10,112,8,14,21812753,21602376,22427072,21758900,22700643,21586281,22514116,9639326,10158980,11172440,10445633,11415633,10692287,11661980,3366162,3635392,3771758,3734339,3905891,3897541,4021292,36356,144751,34909,148373,117142,100775,44100
2,10,100,2,0,2,10,116,8,15,22648176,22109401,23587661,22534030,23610634,22439078,23409866,9979326,10498980,11582440,10785633,11825633,11032287,12071980,3486148,3754804,3901488,3856188,4035699,4015727,4141949,36386,100351,20245,115798,95871,97660,52914
2,10,100,2,0,2,10,120,8,15,23467637,22989638,24272803,23244798,24424621,23251457,24316715,10319326,10838980,11922440,11125633,12165633,11372287,12411980,3606150,3875223,4021460,3976227,4158980,4134679,4279697,36582,105553,34610,127388,99440,99914,55480
2,10,100,2,0,2,10,124,8,16,24282860,24103549,25421956,24164787,25367132,24136788,25240437,10659326,11178980,12332440,11465633,12575633,11712287,12821980,3726848,3995672,4151516,4093762,4283332,4258087,4397358,36817,132783,21860,131754,104742,127735,53902
2,10,100,2,0,2,10,128,8,16,25120597,24610726,26056241,24859717,26283609,24926273,26091323,10999326,11518980,12672440,11805633,12915633,12052287,13161980,3846162,4114864,4271583,4214440,4402575,4378090,4515833,36111,99405,36548,123866,109573,136027,55040
2,10,100,2,0,2,10,132,8,17,25857057,25620207,27217531,25919540,27259250,25655048,27006914,11339326,11858980,13082440,12145633,13325633,12392287,13571980,3967258,4234842,4401371,4335650,4542713,4496106,4645370,37477,156412,21710,149949,108219,118687,50308
2,10,100,2,0,2,10,136,8,17,26664321,26223863,27775583,26591313,27944387,26414688,27812695,11679326,12198980,13422440,12485633,13665633,12732287,13911980,4086163,4355134,4521324,4456389,4649383,4617985,4761498,37896,196750,34685,151194,113838,111814,58469
2,10,100,2,0,2,10,140,8,18,27509995,26943950,28994157,27640035,29120630,27303086,28874793,12019326,12538980,13832440,12825633,14075633,13072287,14321980,4206175,4474770,4651529,4575621,4779173,4739223,4902629,37874,106004,20584,184812,101344,107203,56702
2,10,100,2,0,2,10,144,8,18,28272181,27711360,29649517,27985393,29857317,28103372,29642668,12359326,12878980,14172440,13165633,14415633,13412287,14661980,4326956,4595333,4771407,4694568,4899131,4858403,5016326,38443,95579,35157,144860,104670,107975,58141
