model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,400,514,1,16698,0.0040608,1,2,17,3394087,8442185,235636,185965
svm,5,coro-no-prefetch,2,2,10,400,514,1,967,0.000235165,0,2,17,3515678,9081737,241945,213995
svm,6,coro-prefetch,2,2,10,400,514,1,756,0.000183852,1,2,17,2729756,9457645,230561,164645
svm,0,control,1,2,10,400,514,1,990,0.000240759,1,2,17,3628464,8442185,272014,167681
svm,5,coro-no-prefetch,2,2,10,400,514,1,994,0.000241732,0,2,17,3610083,9081646,277241,172297
svm,6,coro-prefetch,2,2,10,400,514,1,768,0.00018677,1,2,17,2762516,9457646,231715,162054
svm,0,control,1,2,10,400,514,1,986,0.000239786,1,2,17,3602836,8442185,274161,167263
svm,5,coro-no-prefetch,2,2,10,400,514,1,986,0.000239786,0,2,17,3609581,9081645,279571,172112
svm,6,coro-prefetch,2,2,10,400,514,1,761,0.000185068,1,2,17,2755896,9457645,233461,153483
svm,0,control,1,2,10,400,514,1,979,0.000238084,1,2,17,3586257,8442185,274487,167345
svm,5,coro-no-prefetch,2,2,10,400,514,1,981,0.00023857,0,2,17,3593455,9081645,281058,172540
svm,6,coro-prefetch,2,2,10,400,514,1,753,0.000183123,1,2,17,2720476,9457645,237907,152429
svm,0,control,1,2,10,400,514,1,861,0.000209387,1,2,17,3130629,8442185,268422,160056
svm,5,coro-no-prefetch,2,2,10,400,514,1,865,0.00021036,0,2,17,3156488,9081645,278040,167299
svm,6,coro-prefetch,2,2,10,400,514,1,750,0.000182393,1,2,17,2718198,9457645,242201,151162
svm,0,control,1,2,10,400,514,1,857,0.000208414,1,2,17,3123943,8442185,271413,160067
svm,5,coro-no-prefetch,2,2,10,400,514,1,856,0.000208171,0,2,17,3109382,9081645,278966,166592
svm,6,coro-prefetch,2,2,10,400,514,1,748,0.000181907,1,2,17,2706130,9457645,245150,152552
svm,0,control,1,2,10,400,514,1,853,0.000207442,1,2,17,3110251,8442185,272162,159860
svm,5,coro-no-prefetch,2,2,10,400,514,1,862,0.00020963,0,2,17,3141243,9081645,280235,167269
svm,6,coro-prefetch,2,2,10,400,514,1,750,0.000182393,1,2,17,2715590,9457645,232853,178698
svm,0,control,1,2,10,400,514,1,860,0.000209144,1,2,17,3135645,8442185,228678,200031
svm,5,coro-no-prefetch,2,2,10,400,514,1,866,0.000210603,0,2,17,3155585,9081645,238165,206544
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2717008,9457645,229904,183907
svm,0,control,1,2,10,400,514,1,862,0.00020963,1,2,17,3133517,8442185,228574,200074
svm,5,coro-no-prefetch,2,2,10,400,514,1,867,0.000210846,0,2,17,3159315,9081645,238472,207649
svm,6,coro-prefetch,2,2,10,400,514,1,753,0.000183123,1,2,17,2727545,9457645,236588,158698
svm,0,control,1,2,10,400,514,1,867,0.000210846,1,2,17,3160256,8442185,264191,159873
svm,5,coro-no-prefetch,2,2,10,400,514,1,869,0.000211333,0,2,17,3169099,9081645,273121,168135
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2725841,9457645,236444,156755
svm,0,control,1,2,10,400,514,1,864,0.000210117,1,2,17,3148599,8442185,264056,159834
svm,5,coro-no-prefetch,2,2,10,400,514,1,867,0.000210846,0,2,17,3157067,9081645,272983,168435
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2717916,9457645,238491,153411
svm,0,control,1,2,10,400,514,1,861,0.000209387,1,2,17,3137123,8442185,265413,160456
svm,5,coro-no-prefetch,2,2,10,400,514,1,866,0.000210603,0,2,17,3155533,9081645,274380,168262
svm,6,coro-prefetch,2,2,10,400,514,1,749,0.00018215,1,2,17,2716101,9457645,238877,151827
svm,0,control,1,2,10,400,514,1,860,0.000209144,1,2,17,3134789,8442185,267111,159943
svm,5,coro-no-prefetch,2,2,10,400,514,1,861,0.000209387,0,2,17,3149041,9081645,277092,167387
svm,6,coro-prefetch,2,2,10,400,514,1,753,0.000183123,1,2,17,2726683,9457645,241013,151209
svm,0,control,1,2,10,400,514,1,857,0.000208414,1,2,17,3122785,8442185,271583,159586
svm,5,coro-no-prefetch,2,2,10,400,514,1,863,0.000209874,0,2,17,3142189,9081645,279623,167894
svm,6,coro-prefetch,2,2,10,400,514,1,751,0.000182636,1,2,17,2719448,9457645,242774,152188
svm,0,control,1,2,10,400,514,1,856,0.000208171,1,2,17,3121342,8442185,271318,160068
svm,5,coro-no-prefetch,2,2,10,400,514,1,858,0.000208658,0,2,17,3132781,9081645,279461,167545
svm,6,coro-prefetch,2,2,10,400,514,1,749,0.00018215,1,2,17,2714081,9457645,242400,151907
svm,0,control,1,2,10,400,514,1,858,0.000208658,1,2,17,3120585,8442185,271161,159659
svm,5,coro-no-prefetch,2,2,10,400,514,1,861,0.000209387,0,2,17,3140053,9081645,279482,167391
svm,6,coro-prefetch,2,2,10,400,514,1,751,0.000182636,1,2,17,2717502,9457645,245707,152328
svm,0,control,1,2,10,400,514,1,858,0.000208658,1,2,17,3121743,8442185,271954,159781
svm,5,coro-no-prefetch,2,2,10,400,514,1,870,0.000211576,0,2,17,3175809,9081645,271367,168481
svm,6,coro-prefetch,2,2,10,400,514,1,752,0.000182879,1,2,17,2727664,9457645,235524,159786
svm,0,control,1,2,10,400,514,1,866,0.000210603,1,2,17,3155276,8442185,264106,159979
svm,5,coro-no-prefetch,2,2,10,400,514,1,872,0.000212062,0,2,17,3174204,9081645,273141,168113
svm,6,coro-prefetch,2,2,10,400,514,1,751,0.000182636,1,2,17,2718676,9457645,236423,156682
svm,0,control,1,2,10,400,514,1,861,0.000209387,1,2,17,3138847,8442185,265505,159856
svm,5,coro-no-prefetch,2,2,10,400,514,1,864,0.000210117,0,2,17,3151235,9081645,274244,168449
svm,6,coro-prefetch,2,2,10,400,514,1,749,0.00018215,1,2,17,2716088,9457645,238523,152527
svm,0,control,1,2,10,400,514,1,864,0.000210117,1,2,17,3141458,8442185,265526,159929
svm,5,coro-no-prefetch,2,2,10,400,514,1,864,0.000210117,0,2,17,3150941,9081645,276336,167761
svm,6,coro-prefetch,2,2,10,400,514,1,747,0.000181663,1,2,17,2711030,9457645,241074,151217
svm,0,control,1,2,10,400,514,1,858,0.000208658,1,2,17,3131332,8442185,270381,159639
svm,5,coro-no-prefetch,2,2,10,400,514,1,863,0.000209874,0,2,17,3146302,9081645,278586,167494
svm,6,coro-prefetch,2,2,10,400,514,1,744,0.000180934,1,2,17,2686258,9457645,245253,151850
svm,0,control,1,2,10,400,514,1,850,0.000206712,1,2,17,3095281,8442185,272067,159911
svm,5,coro-no-prefetch,2,2,10,400,514,1,853,0.000207442,0,2,17,3105237,9081645,280716,168112
svm,6,coro-prefetch,2,2,10,400,514,1,744,0.000180934,1,2,17,2690349,9457645,236804,163483
