model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,2,10,80,296,1,14411,0.0304286,1,2,10,697597,595217,127163,951
svm,5,coro-no-prefetch,6,2,10,80,296,1,732,0.00154561,0,2,10,774023,697466,191280,14886
svm,6,coro-prefetch,6,2,10,80,296,1,642,0.00135557,1,2,10,671775,766762,208152,2365
svm,0,control,1,2,10,80,296,1,678,0.00143159,1,2,10,727281,595217,127172,956
svm,5,coro-no-prefetch,6,2,10,80,296,1,689,0.00145481,0,2,10,747877,696362,190887,15163
svm,6,coro-prefetch,6,2,10,80,296,1,641,0.00135346,1,2,10,666670,766762,208040,2349
svm,0,control,1,2,10,80,296,1,664,0.00140203,1,2,10,711607,595217,127184,951
svm,5,coro-no-prefetch,6,2,10,80,296,1,700,0.00147804,0,2,10,760215,696362,190747,15236
svm,6,coro-prefetch,6,2,10,80,296,1,638,0.00134713,1,2,10,672118,766762,208089,2390
svm,0,control,1,2,10,80,296,1,672,0.00141892,1,2,10,714645,595217,127169,953
svm,5,coro-no-prefetch,6,2,10,80,296,1,692,0.00146115,0,2,10,752616,696362,190728,15234
svm,6,coro-prefetch,6,2,10,80,296,1,632,0.00133446,1,2,10,663387,766762,208027,2291
svm,0,control,1,2,10,80,296,1,675,0.00142525,1,2,10,725654,595217,127172,954
svm,5,coro-no-prefetch,6,2,10,80,296,1,693,0.00146326,0,2,10,749181,696362,190745,15273
svm,6,coro-prefetch,6,2,10,80,296,1,639,0.00134924,1,2,10,675382,766762,207932,2436
svm,0,control,1,2,10,80,296,1,661,0.00139569,1,2,10,701818,595217,127180,955
svm,5,coro-no-prefetch,6,2,10,80,296,1,717,0.00151394,0,2,10,782782,696362,190726,15212
svm,6,coro-prefetch,6,2,10,80,296,1,647,0.00136613,1,2,10,674626,766762,207995,2310
svm,0,control,1,2,10,80,296,1,664,0.00140203,1,2,10,708713,595217,127167,972
svm,5,coro-no-prefetch,6,2,10,80,296,1,776,0.00163851,0,2,10,752033,696362,190722,15070
svm,6,coro-prefetch,6,2,10,80,296,1,634,0.00133868,1,2,10,664154,766762,208018,2375
svm,0,control,1,2,10,80,296,1,728,0.00153716,1,2,10,732780,595217,127178,974
svm,5,coro-no-prefetch,6,2,10,80,296,1,692,0.00146115,0,2,10,752441,696362,190734,14939
svm,6,coro-prefetch,6,2,10,80,296,1,645,0.00136191,1,2,10,671948,766762,207950,2294
svm,0,control,1,2,10,80,296,1,665,0.00140414,1,2,10,705426,595217,127175,955
svm,5,coro-no-prefetch,6,2,10,80,296,1,705,0.0014886,0,2,10,760453,696362,190683,14937
svm,6,coro-prefetch,6,2,10,80,296,1,634,0.00133868,1,2,10,666587,766762,208004,2295
svm,0,control,1,2,10,80,296,1,663,0.00139992,1,2,10,701783,595217,127163,952
svm,5,coro-no-prefetch,6,2,10,80,296,1,788,0.00166385,0,2,10,764095,696362,190689,15147
svm,6,coro-prefetch,6,2,10,80,296,1,635,0.00134079,1,2,10,659406,766762,207990,2307
svm,0,control,1,2,10,80,296,1,715,0.00150971,1,2,10,695568,595217,127167,949
svm,5,coro-no-prefetch,6,2,10,80,296,1,695,0.00146748,0,2,10,749610,696362,190733,15065
svm,6,coro-prefetch,6,2,10,80,296,1,743,0.00156883,1,2,10,669798,766762,207843,2390
svm,0,control,1,2,10,80,296,1,733,0.00154772,1,2,10,733473,595217,127183,980
svm,5,coro-no-prefetch,6,2,10,80,296,1,696,0.00146959,0,2,10,752688,696362,190771,15211
svm,6,coro-prefetch,6,2,10,80,296,1,632,0.00133446,1,2,10,664445,766762,207952,2315
svm,0,control,1,2,10,80,296,1,676,0.00142736,1,2,10,722192,595217,127165,954
svm,5,coro-no-prefetch,6,2,10,80,296,1,698,0.00147382,0,2,10,751408,696362,190741,14975
svm,6,coro-prefetch,6,2,10,80,296,1,645,0.00136191,1,2,10,675910,766762,208109,2385
svm,0,control,1,2,10,80,296,1,660,0.00139358,1,2,10,699596,595217,127178,967
svm,5,coro-no-prefetch,6,2,10,80,296,1,695,0.00146748,0,2,10,753804,696362,190716,15050
svm,6,coro-prefetch,6,2,10,80,296,1,685,0.00144637,1,2,10,666713,766762,207964,2348
svm,0,control,1,2,10,80,296,1,669,0.00141258,1,2,10,711124,595217,127173,953
svm,5,coro-no-prefetch,6,2,10,80,296,1,697,0.00147171,0,2,10,757832,696362,190680,15297
svm,6,coro-prefetch,6,2,10,80,296,1,645,0.00136191,1,2,10,676663,766762,208008,2507
svm,0,control,1,2,10,80,296,1,786,0.00165963,1,2,10,710790,595217,127174,953
svm,5,coro-no-prefetch,6,2,10,80,296,1,696,0.00146959,0,2,10,761685,696362,190699,15386
svm,6,coro-prefetch,6,2,10,80,296,1,633,0.00133657,1,2,10,665883,766762,207985,2513
svm,0,control,1,2,10,80,296,1,660,0.00139358,1,2,10,706713,595217,127171,959
svm,5,coro-no-prefetch,6,2,10,80,296,1,803,0.00169552,0,2,10,775296,696362,190755,15140
svm,6,coro-prefetch,6,2,10,80,296,1,640,0.00135135,1,2,10,675016,766762,207946,2417
svm,0,control,1,2,10,80,296,1,659,0.00139147,1,2,10,704783,595217,127169,959
svm,5,coro-no-prefetch,6,2,10,80,296,1,770,0.00162584,0,2,10,776095,696362,190790,15161
svm,6,coro-prefetch,6,2,10,80,296,1,643,0.00135769,1,2,10,671628,766762,207990,2789
svm,0,control,1,2,10,80,296,1,654,0.00138091,1,2,10,695980,595217,127164,954
svm,5,coro-no-prefetch,6,2,10,80,296,1,766,0.0016174,0,2,10,786410,696362,190840,15600
svm,6,coro-prefetch,6,2,10,80,296,1,646,0.00136402,1,2,10,681896,766762,207999,3118
svm,0,control,1,2,10,80,296,1,673,0.00142103,1,2,10,715014,595217,127165,956
svm,5,coro-no-prefetch,6,2,10,80,296,1,693,0.00146326,0,2,10,751289,696362,190744,15247
svm,6,coro-prefetch,6,2,10,80,296,1,633,0.00133657,1,2,10,662779,766762,207937,2403
svm,0,control,1,2,10,80,296,1,659,0.00139147,1,2,10,697918,595217,127169,953
svm,5,coro-no-prefetch,6,2,10,80,296,1,693,0.00146326,0,2,10,749451,696362,190711,15132
svm,6,coro-prefetch,6,2,10,80,296,1,635,0.00134079,1,2,10,665871,766762,207957,2335
svm,0,control,1,2,10,80,296,1,726,0.00153294,1,2,10,730843,595217,127178,974
svm,5,coro-no-prefetch,6,2,10,80,296,1,699,0.00147593,0,2,10,756671,696362,190741,14943
