repeats,epochs,batch,output_dims,output_model,tasks,height,width,clustering,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,8,800,176,0,2,6,123161864,0,0,0,0,141893094,92939842,160933912,0,0,0,0,222523762,248123461,9208144,0,0,0,0,16456579,20739585,6420382,0,0,0,0,6559970,6311332
10,10,100,1,0,8,800,176,1,2,6,123270043,0,0,0,0,143610546,93259589,160933912,0,0,0,0,222523762,248123461,9251820,0,0,0,0,16768886,20908422,6380043,0,0,0,0,6554274,6199437
10,10,100,1,0,8,800,176,2,2,6,107474461,0,0,0,0,115403641,86539649,160933910,0,0,0,0,222523716,248123461,8688141,0,0,0,0,15100545,17067868,6545568,0,0,0,0,6817173,6438247
10,10,100,1,0,8,800,176,3,2,6,100402250,0,0,0,0,106471047,84620095,160933909,0,0,0,0,222523778,248123477,8808202,0,0,0,0,14598472,15303523,6631290,0,0,0,0,7058956,6604772
10,10,100,1,0,8,800,176,4,2,6,99378492,0,0,0,0,101294948,82039675,160933909,0,0,0,0,222523808,248123460,8287483,0,0,0,0,12917963,13254804,6155561,0,0,0,0,6852711,6401708
10,10,100,1,0,8,800,176,5,2,6,94457616,0,0,0,0,100345257,82164566,160933908,0,0,0,0,222523806,248123477,7699699,0,0,0,0,11887620,12587334,5443013,0,0,0,0,6560381,6187949
10,10,100,1,0,8,800,176,6,2,6,91788905,0,0,0,0,97563826,80345805,160933908,0,0,0,0,222523796,248123476,7791353,0,0,0,0,11577528,12195037,5387636,0,0,0,0,6795077,6382139
10,10,100,1,0,8,800,176,7,2,6,88017439,0,0,0,0,95829788,80632664,160933908,0,0,0,0,222523743,248123460,7794859,0,0,0,0,11105887,11761555,5006560,0,0,0,0,6493731,6135889
10,10,100,1,0,8,800,176,8,2,6,86550272,0,0,0,0,94921764,79027176,160933908,0,0,0,0,222523756,248123460,7810992,0,0,0,0,11035812,11465750,5212381,0,0,0,0,6691192,6324548
10,10,100,1,0,8,800,176,9,2,6,80031941,0,0,0,0,94288256,78881123,160933907,0,0,0,0,222523771,248123460,7901046,0,0,0,0,10734134,11160900,4747191,0,0,0,0,6467461,6120320
10,10,100,1,0,8,800,176,10,2,6,80532271,0,0,0,0,94391922,78387716,160933907,0,0,0,0,222523642,248123477,7967177,0,0,0,0,10625376,10957927,4886908,0,0,0,0,6777182,6340102
10,10,100,1,0,8,800,176,11,2,6,80199013,0,0,0,0,94341729,78374772,160933907,0,0,0,0,222523664,248123460,8184630,0,0,0,0,10772026,11132841,4994784,0,0,0,0,6906386,6460586
10,10,100,1,0,8,800,176,12,2,6,77585863,0,0,0,0,93179900,77401974,160933907,0,0,0,0,222523756,248123460,8096475,0,0,0,0,10415031,10751490,4837655,0,0,0,0,6687867,6260121
10,10,100,1,0,8,800,176,13,2,6,77158275,0,0,0,0,93730866,77986334,160933907,0,0,0,0,222523756,248123460,8230217,0,0,0,0,10664106,11000023,4933654,0,0,0,0,6845314,6427344
10,10,100,1,0,8,800,176,14,2,6,77302651,0,0,0,0,93473379,77449562,160933907,0,0,0,0,222523664,248123460,8092591,0,0,0,0,10323531,10621641,4835273,0,0,0,0,6696119,6259472
10,10,100,1,0,8,800,176,15,2,6,75171557,0,0,0,0,93246929,77365480,160933907,0,0,0,0,222523664,248123460,8354171,0,0,0,0,10446879,10735948,4858408,0,0,0,0,6749677,6238544
10,10,100,1,0,8,800,176,16,2,6,75798565,0,0,0,0,93370099,77099905,160933906,0,0,0,0,222523664,248123460,8123949,0,0,0,0,10065641,10347158,4849494,0,0,0,0,6587654,6139156
10,10,100,1,0,8,800,176,17,2,6,76920054,0,0,0,0,92059579,77120258,160933907,0,0,0,0,222523663,248123460,8348463,0,0,0,0,10345868,10624419,5058893,0,0,0,0,6596927,6126788
10,10,100,1,0,8,800,176,18,2,6,76526105,0,0,0,0,92282829,77124137,160933907,0,0,0,0,222523664,248123460,8084196,0,0,0,0,10102489,10396564,4894670,0,0,0,0,6555279,6021286
10,10,100,1,0,8,800,176,19,2,6,75425158,0,0,0,0,90336795,76181680,160933907,0,0,0,0,222523756,248123460,8225184,0,0,0,0,10283701,10570796,5000889,0,0,0,0,6433651,5954557
10,10,100,1,0,8,800,176,20,2,6,75278900,0,0,0,0,90073415,75730175,160933906,0,0,0,0,222523756,248123460,8126278,0,0,0,0,9917470,10200305,5010183,0,0,0,0,6199668,5728829
10,10,100,1,0,8,800,176,21,2,6,75728317,0,0,0,0,91338417,76966934,160933907,0,0,0,0,222523756,248123460,8347636,0,0,0,0,10290851,10528051,4966771,0,0,0,0,6445541,5899862
10,10,100,1,0,8,800,176,22,2,6,74799233,0,0,0,0,90822063,76219007,160933907,0,0,0,0,222523756,248123460,8053115,0,0,0,0,9896666,10162303,4709123,0,0,0,0,6175666,5683798
10,10,100,1,0,8,800,176,23,2,6,73182152,0,0,0,0,89281552,75728263,160933907,0,0,0,0,222523756,248123460,8321652,0,0,0,0,10216278,10401035,4946400,0,0,0,0,6176320,5674431
10,10,100,1,0,8,800,176,24,2,6,75426864,0,0,0,0,89568788,75446722,160933907,0,0,0,0,222523756,248123460,8034595,0,0,0,0,9779047,10011049,4862153,0,0,0,0,5934791,5496360
10,10,100,1,0,8,800,176,25,2,6,73720092,0,0,0,0,88280225,75564379,160933906,0,0,0,0,222523756,248123460,8263071,0,0,0,0,10129971,10316909,5095123,0,0,0,0,6079830,5602048
10,10,100,1,0,8,800,176,26,2,6,74007766,0,0,0,0,87953050,75169609,160933906,0,0,0,0,222523756,248123460,7989956,0,0,0,0,9793570,10082445,4773525,0,0,0,0,5826974,5420851
10,10,100,1,0,8,800,176,27,2,6,73781693,0,0,0,0,88205324,75099749,160933907,0,0,0,0,222523756,248123460,8178251,0,0,0,0,9815518,10057179,4960364,0,0,0,0,5957784,5468380
10,10,100,1,0,8,800,176,28,2,6,73236301,0,0,0,0,88816863,75436183,160933906,0,0,0,0,222523756,248123460,8332349,0,0,0,0,10109100,10321965,5024382,0,0,0,0,6151641,5638507
10,10,100,1,0,8,800,176,29,2,6,72516326,0,0,0,0,87182009,75082408,160933907,0,0,0,0,222523756,248123460,8081466,0,0,0,0,9734205,9913309,4788030,0,0,0,0,5574062,5161258
