repeats,epochs,batch,output_dims,output_model,tasks,height,width,clustering,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,8,800,176,0,2,6,116871603,0,0,0,0,146006801,93104944,125745122,0,0,0,0,195237263,233637049,9756267,0,0,0,0,17454381,20786879,6354509,0,0,0,0,6580397,6230955
10,10,100,1,0,8,800,176,1,2,6,118487568,0,0,0,0,149714632,93721218,125745122,0,0,0,0,195237263,233637049,9837994,0,0,0,0,17811894,21546726,6423539,0,0,0,0,6649961,6405649
10,10,100,1,0,8,800,176,2,2,6,102334283,0,0,0,0,119203898,85385366,125745120,0,0,0,0,195237260,233637048,9064878,0,0,0,0,15354723,17024473,6512371,0,0,0,0,6749191,6334736
10,10,100,1,0,8,800,176,3,2,6,96925710,0,0,0,0,108766658,82405283,125745119,0,0,0,0,195237258,233637048,9022785,0,0,0,0,14785479,15334038,6600417,0,0,0,0,7039773,6548073
10,10,100,1,0,8,800,176,4,2,6,95792781,0,0,0,0,103979213,80141258,125745119,0,0,0,0,195237258,233637048,8157069,0,0,0,0,12832545,13158608,6000004,0,0,0,0,6673093,6279066
10,10,100,1,0,8,800,176,5,2,6,92797993,0,0,0,0,101147698,80405884,125745118,0,0,0,0,195237258,233637048,7887797,0,0,0,0,11929860,12453761,5768047,0,0,0,0,6635175,6300611
10,10,100,1,0,8,800,176,6,2,6,88602594,0,0,0,0,98453028,78527925,125745118,0,0,0,0,195237257,233637048,7924265,0,0,0,0,11448135,12084843,5406638,0,0,0,0,6543638,6170040
10,10,100,1,0,8,800,176,7,2,6,85760463,0,0,0,0,97960504,78438818,125745118,0,0,0,0,195237258,233637048,7653285,0,0,0,0,11167527,11719824,5083177,0,0,0,0,6623558,6288525
10,10,100,1,0,8,800,176,8,2,6,84226474,0,0,0,0,95704200,77042096,125745117,0,0,0,0,195237257,233637048,7840119,0,0,0,0,10985693,11357585,5130006,0,0,0,0,6458497,6145972
10,10,100,1,0,8,800,176,9,2,6,81288031,0,0,0,0,94484192,77193540,125745117,0,0,0,0,195237257,233637048,7857874,0,0,0,0,10724432,11063475,4860499,0,0,0,0,6591825,6285148
10,10,100,1,0,8,800,176,10,2,6,81790347,0,0,0,0,95791525,77389494,125745117,0,0,0,0,195237257,233637048,8188273,0,0,0,0,10879027,11134036,5065396,0,0,0,0,6957721,6516001
10,10,100,1,0,8,800,176,11,2,6,78988673,0,0,0,0,94438681,76812736,125745117,0,0,0,0,195237257,233637048,7993675,0,0,0,0,10441886,10725071,4781072,0,0,0,0,6587259,6253311
10,10,100,1,0,8,800,176,12,2,6,78420353,0,0,0,0,93590413,76742613,125745117,0,0,0,0,195237257,233637048,8236499,0,0,0,0,10723234,10976721,4990792,0,0,0,0,6785834,6373609
10,10,100,1,0,8,800,176,13,2,6,77814751,0,0,0,0,93386755,76571920,125745117,0,0,0,0,195237258,233637048,8043749,0,0,0,0,10179707,10491519,4775424,0,0,0,0,6608901,6219310
10,10,100,1,0,8,800,176,14,2,6,77892435,0,0,0,0,92727160,75951037,125745117,0,0,0,0,195237246,233637047,8368056,0,0,0,0,10624549,10863296,4949947,0,0,0,0,6860257,6418958
10,10,100,1,0,8,800,176,15,2,6,77739948,0,0,0,0,91940640,75972240,125745117,0,0,0,0,195237246,233637048,7929531,0,0,0,0,10056940,10291493,4685297,0,0,0,0,6450912,6100761
10,10,100,1,0,8,800,176,16,2,6,77095928,0,0,0,0,92540433,75599446,125745117,0,0,0,0,195237257,233637047,8325757,0,0,0,0,10274004,10532763,4895433,0,0,0,0,6634032,6217392
10,10,100,1,0,8,800,176,17,2,6,76118394,0,0,0,0,90995596,75391069,125745117,0,0,0,0,195237257,233637047,8036647,0,0,0,0,9980235,10257111,4727479,0,0,0,0,6279616,5882787
