repeats,epochs,batch,output_dims,output_model,tasks,height,width,clustering,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,8,800,176,0,2,6,144112076,0,0,0,0,158860665,91183950,160933911,0,0,0,0,222523668,248123461,8609770,0,0,0,0,14863193,18626156,6269271,0,0,0,0,6548338,6253894
10,10,100,1,0,8,800,176,1,2,6,133407021,0,0,0,0,150460987,90007827,160933910,0,0,0,0,222523667,248123461,8964424,0,0,0,0,16546863,19972113,6147033,0,0,0,0,6577791,6266624
10,10,100,1,0,8,800,176,2,2,6,111058954,0,0,0,0,115458603,82056597,160933909,0,0,0,0,222523633,248123477,8696142,0,0,0,0,15320392,16241112,6092926,0,0,0,0,6537300,6061143
10,10,100,1,0,8,800,176,3,2,6,99071798,0,0,0,0,102402290,78778568,160933908,0,0,0,0,222523777,248123460,8524863,0,0,0,0,13824690,13975396,5937221,0,0,0,0,6438588,5999337
10,10,100,1,0,8,800,176,4,2,6,97043878,0,0,0,0,97809807,77048807,160933908,0,0,0,0,222523673,248123460,8200143,0,0,0,0,12486965,12621846,5257624,0,0,0,0,6326479,5890509
10,10,100,1,0,8,800,176,5,2,6,94558122,0,0,0,0,98545514,77032257,160933908,0,0,0,0,222523675,248123460,7978613,0,0,0,0,11932394,12263865,4566882,0,0,0,0,6394287,5981504
10,10,100,1,0,8,800,176,6,2,6,88138543,0,0,0,0,94987132,75584584,160933908,0,0,0,0,222523688,248123477,7923447,0,0,0,0,11412438,11700293,4290120,0,0,0,0,6251878,5834379
10,10,100,1,0,8,800,176,7,2,6,84549704,0,0,0,0,93580794,75402604,160933907,0,0,0,0,222523640,248123460,8064837,0,0,0,0,11125256,11487542,4231382,0,0,0,0,6070433,5671493
10,10,100,1,0,8,800,176,8,2,6,83366069,0,0,0,0,92893165,73980881,160933907,0,0,0,0,222523664,248123460,7915615,0,0,0,0,10930020,11163409,4206920,0,0,0,0,6069113,5675970
10,10,100,1,0,8,800,176,9,2,6,78590899,0,0,0,0,91504718,73117073,160933907,0,0,0,0,222523641,248123460,8096525,0,0,0,0,10617075,10789361,4318709,0,0,0,0,5998784,5504525
10,10,100,1,0,8,800,176,10,2,6,81336110,0,0,0,0,91177755,72340495,160933907,0,0,0,0,222523620,248123460,8100737,0,0,0,0,10720338,10943924,4589131,0,0,0,0,5931370,5439242
10,10,100,1,0,8,800,176,11,2,6,79123274,0,0,0,0,89214904,71106188,160933907,0,0,0,0,222523642,248123460,8076634,0,0,0,0,10421745,10678915,4532122,0,0,0,0,5660788,5067093
10,10,100,1,0,8,800,176,12,2,6,78399899,0,0,0,0,89522511,71114269,160933907,0,0,0,0,222523663,248123460,8159945,0,0,0,0,10542193,10733800,4606864,0,0,0,0,5701385,5177026
10,10,100,1,0,8,800,176,13,2,6,79770803,0,0,0,0,89457002,71514784,160933907,0,0,0,0,222523663,248123460,8236002,0,0,0,0,10547899,10740763,4583729,0,0,0,0,5672201,5165787
