repeats,epochs,batch,output_dims,output_model,tasks,height,width,clustering,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,8,800,176,0,2,6,135318704,0,0,0,0,151335901,90350746,160933910,0,0,0,0,222523760,248123461,9047904,0,0,0,0,16367037,19974345,6186231,0,0,0,0,6567582,6252214
10,10,100,1,0,8,800,176,1,2,6,133701421,0,0,0,0,149867539,90104472,160933911,0,0,0,0,222523760,248123461,9097432,0,0,0,0,16539969,20187527,6161070,0,0,0,0,6559195,6225636
10,10,100,1,0,8,800,176,2,2,6,113722818,0,0,0,0,116952692,82682725,160933909,0,0,0,0,222523716,248123461,8889984,0,0,0,0,15473427,16369377,6264562,0,0,0,0,6670606,6200802
10,10,100,1,0,8,800,176,3,2,6,101542037,0,0,0,0,103209890,79145768,160933908,0,0,0,0,222523777,248123477,8487903,0,0,0,0,13579162,13758126,6008788,0,0,0,0,6529172,6056263
10,10,100,1,0,8,800,176,4,2,6,97819971,0,0,0,0,98034306,77257847,160933908,0,0,0,0,222523808,248123460,8227066,0,0,0,0,12352252,12500723,5420027,0,0,0,0,6371340,5891995
10,10,100,1,0,8,800,176,5,2,6,92908761,0,0,0,0,97455726,76930498,160933908,0,0,0,0,222523806,248123476,7860520,0,0,0,0,11545809,11803196,4562759,0,0,0,0,6305724,5897802
10,10,100,1,0,8,800,176,6,2,6,94079992,0,0,0,0,96567503,76080195,160933908,0,0,0,0,222523796,248123476,8045660,0,0,0,0,11562170,11869366,4521815,0,0,0,0,6439109,5993232
10,10,100,1,0,8,800,176,7,2,6,86730024,0,0,0,0,93297862,75391384,160933907,0,0,0,0,222523743,248123460,7966329,0,0,0,0,11019720,11357265,4359720,0,0,0,0,6148027,5711560
10,10,100,1,0,8,800,176,8,2,6,83778679,0,0,0,0,92837141,74001948,160933907,0,0,0,0,222523756,248123460,7867433,0,0,0,0,10840250,11064918,4253629,0,0,0,0,6097025,5686598
10,10,100,1,0,8,800,176,9,2,6,79023397,0,0,0,0,91657104,73241692,160933907,0,0,0,0,222523770,248123460,8059161,0,0,0,0,10576878,10795413,4341784,0,0,0,0,6010676,5571139
10,10,100,1,0,8,800,176,10,2,6,80462050,0,0,0,0,90319826,72160768,160933907,0,0,0,0,222523642,248123476,7993609,0,0,0,0,10479471,10673940,4502316,0,0,0,0,5842141,5319951
10,10,100,1,0,8,800,176,11,2,6,78550975,0,0,0,0,89738561,71847360,160933907,0,0,0,0,222523663,248123460,8001862,0,0,0,0,10363997,10533513,4527029,0,0,0,0,5814778,5259110
10,10,100,1,0,8,800,176,12,2,6,77627272,0,0,0,0,88406734,70993964,160933907,0,0,0,0,222523756,248123460,8042601,0,0,0,0,10201165,10368371,4597665,0,0,0,0,5657548,5100439
10,10,100,1,0,8,800,176,13,2,6,76872681,0,0,0,0,88712327,71527940,160933907,0,0,0,0,222523756,248123460,7899046,0,0,0,0,10282217,10440187,4486504,0,0,0,0,5621271,5146826
10,10,100,1,0,8,800,176,14,2,6,78281055,0,0,0,0,88463426,70680237,160933907,0,0,0,0,222523663,248123460,8070969,0,0,0,0,10193921,10226129,4622280,0,0,0,0,5620532,5023333
10,10,100,1,0,8,800,176,15,2,6,74938598,0,0,0,0,87415876,70654921,160933907,0,0,0,0,222523663,248123460,8053956,0,0,0,0,10127843,10292706,4463347,0,0,0,0,5289739,4879524
10,10,100,1,0,8,800,176,16,2,6,80356464,0,0,0,0,87804109,70105391,160933907,0,0,0,0,222523663,248123460,8178011,0,0,0,0,9944916,9944380,4970884,0,0,0,0,5270730,4703889
10,10,100,1,0,8,800,176,17,2,6,80315414,0,0,0,0,85426840,69824003,160933907,0,0,0,0,222523663,248123460,8148756,0,0,0,0,9978641,9916921,4963624,0,0,0,0,4956907,4489771
10,10,100,1,0,8,800,176,18,2,6,76809207,0,0,0,0,85983030,70035682,160933907,0,0,0,0,222523663,248123460,7986473,0,0,0,0,10052674,10168062,4765960,0,0,0,0,5097852,4642981
10,10,100,1,0,8,800,176,19,2,6,74986787,0,0,0,0,84068330,69390926,160933907,0,0,0,0,222523756,248123460,8032418,0,0,0,0,9977397,10124447,4678867,0,0,0,0,4870683,4455254
10,10,100,1,0,8,800,176,20,2,6,76420437,0,0,0,0,84204258,69279122,160933907,0,0,0,0,222523755,248123460,8302500,0,0,0,0,9873996,9952994,4791295,0,0,0,0,4865934,4428676
10,10,100,1,0,8,800,176,21,2,6,76570690,0,0,0,0,84563899,69574425,160933907,0,0,0,0,222523756,248123459,8188877,0,0,0,0,9951870,10064185,4715115,0,0,0,0,4815032,4418548
10,10,100,1,0,8,800,176,22,2,6,79517381,0,0,0,0,84288976,69148466,160933907,0,0,0,0,222523756,248123460,8276014,0,0,0,0,9939759,9833441,4930264,0,0,0,0,4776658,4247870
10,10,100,1,0,8,800,176,23,2,6,74425590,0,0,0,0,83821647,68948549,160933906,0,0,0,0,222523756,248123460,8192825,0,0,0,0,9789918,9849166,4673144,0,0,0,0,4747782,4385763
10,10,100,1,0,8,800,176,24,2,6,74732438,0,0,0,0,84112607,69138969,160933906,0,0,0,0,222523756,248123460,8022871,0,0,0,0,9801816,9908876,4792594,0,0,0,0,4684698,4444080
10,10,100,1,0,8,800,176,25,2,6,73901957,0,0,0,0,82318319,68694560,160933906,0,0,0,0,222523755,248123460,8118652,0,0,0,0,9875125,9889863,4732865,0,0,0,0,4483576,4266407
10,10,100,1,0,8,800,176,26,2,6,73546151,0,0,0,0,82411967,68850404,160933906,0,0,0,0,222523755,248123460,8100626,0,0,0,0,9912370,9899208,4759283,0,0,0,0,4503148,4313726
10,10,100,1,0,8,800,176,27,2,6,74884261,0,0,0,0,82642730,68951432,160933907,0,0,0,0,222523756,248123460,8184107,0,0,0,0,9870598,9894358,4804862,0,0,0,0,4485846,4267820
10,10,100,1,0,8,800,176,28,2,6,77928028,0,0,0,0,82266283,68693732,160933907,0,0,0,0,222523755,248123460,8324669,0,0,0,0,9766505,9764922,4898645,0,0,0,0,4423700,4093266
10,10,100,1,0,8,800,176,29,2,6,72956903,0,0,0,0,81470934,68405881,160933906,0,0,0,0,222523755,248123460,8178156,0,0,0,0,9612353,9709473,4771662,0,0,0,0,4424207,4084347
10,10,100,1,0,8,800,176,30,2,6,74385936,0,0,0,0,82156224,68703936,160933906,0,0,0,0,222523755,248123460,8210211,0,0,0,0,9755106,9865474,4747819,0,0,0,0,4563143,4193076
10,10,100,1,0,8,800,176,31,2,6,72646980,0,0,0,0,81887029,68704229,160933906,0,0,0,0,222523756,248123460,8142750,0,0,0,0,9709663,9762450,4781749,0,0,0,0,4385252,4105379
10,10,100,1,0,8,800,176,32,2,6,72332913,0,0,0,0,83043187,68079287,160933906,0,0,0,0,222523756,248123460,8095986,0,0,0,0,9649432,9696480,4903220,0,0,0,0,4728983,4219247
10,10,100,1,0,8,800,176,33,2,6,72478717,0,0,0,0,81723693,68539076,160933907,0,0,0,0,222523755,248123460,7999120,0,0,0,0,9737938,9848376,4844970,0,0,0,0,4401016,4184759
10,10,100,1,0,8,800,176,34,2,6,77761171,0,0,0,0,82233914,68603179,160933907,0,0,0,0,222523755,248123460,8303139,0,0,0,0,9706376,9548805,4948997,0,0,0,0,4420476,4116387
10,10,100,1,0,8,800,176,35,2,6,71169640,0,0,0,0,82693588,68890263,160933906,0,0,0,0,222523755,248123460,8291682,0,0,0,0,9786725,9881714,4746928,0,0,0,0,4525924,4216307
10,10,100,1,0,8,800,176,36,2,6,73335523,0,0,0,0,81606254,68252679,160933907,0,0,0,0,222523755,248123460,8108609,0,0,0,0,9611297,9651262,4871532,0,0,0,0,4494754,4077312
10,10,100,1,0,8,800,176,37,2,6,72953489,0,0,0,0,81301852,68121838,160933906,0,0,0,0,222523755,248123460,8001442,0,0,0,0,9666642,9731904,4851457,0,0,0,0,4359166,4077968
10,10,100,1,0,8,800,176,38,2,6,72279096,0,0,0,0,81285461,68243225,160933906,0,0,0,0,222523755,248123460,8112679,0,0,0,0,9674963,9784657,4790765,0,0,0,0,4370739,4072615
10,10,100,1,0,8,800,176,39,2,6,71650318,0,0,0,0,81015246,68350842,160933907,0,0,0,0,222523755,248123460,8231223,0,0,0,0,9648690,9730355,4786285,0,0,0,0,4262871,4074699
10,10,100,1,0,8,800,176,40,2,6,76579534,0,0,0,0,81831927,68211259,160933906,0,0,0,0,222523741,248123460,8372603,0,0,0,0,9608786,9452183,4962158,0,0,0,0,4371327,4037061
10,10,100,1,0,8,800,176,41,2,6,73133948,0,0,0,0,81842174,68444059,160933906,0,0,0,0,222523741,248123460,8091614,0,0,0,0,9641065,9759303,4771151,0,0,0,0,4377283,4069362
10,10,100,1,0,8,800,176,42,2,6,74162289,0,0,0,0,81898459,68533990,160933906,0,0,0,0,222523741,248123460,8123301,0,0,0,0,9482683,9502180,4927352,0,0,0,0,4467066,4083212
10,10,100,1,0,8,800,176,43,2,6,72186011,0,0,0,0,81074574,68130610,160933906,0,0,0,0,222523741,248123460,8275750,0,0,0,0,9546147,9709193,4760396,0,0,0,0,4374592,4009808
10,10,100,1,0,8,800,176,44,2,6,71935907,0,0,0,0,80258026,67987132,160933906,0,0,0,0,222523741,248123460,8057582,0,0,0,0,9537287,9513980,4880392,0,0,0,0,4290947,4154374
10,10,100,1,0,8,800,176,45,2,6,72956447,0,0,0,0,82829625,68179622,160933906,0,0,0,0,222523741,248123460,8166630,0,0,0,0,9638059,9644492,4839302,0,0,0,0,4360304,4077898
10,10,100,1,0,8,800,176,46,2,6,77026403,0,0,0,0,81815799,68472801,160933907,0,0,0,0,222523741,248123460,8328869,0,0,0,0,9604209,9408795,4978297,0,0,0,0,4417472,4035687
10,10,100,1,0,8,800,176,47,2,6,74284187,0,0,0,0,81202075,68272861,160933906,0,0,0,0,222523741,248123460,8088578,0,0,0,0,9533353,9713064,4939813,0,0,0,0,4418586,4126628
10,10,100,1,0,8,800,176,48,2,6,73493769,0,0,0,0,81376686,68315451,160933906,0,0,0,0,222523741,248123460,8291981,0,0,0,0,9531203,9614625,4893026,0,0,0,0,4390766,4067116
