repeats,epochs,batch,output_dims,output_model,tasks,height,width,clustering,unitsize,lines,control.cpu_cycles,managed-no-prefetch.cpu_cycles,managed-prefetch.cpu_cycles,proto-no-prefetch.cpu_cycles,proto-prefetch.cpu_cycles,coro-no-prefetch.cpu_cycles,coro-prefetch.cpu_cycles,control.instructions,managed-no-prefetch.instructions,managed-prefetch.instructions,proto-no-prefetch.instructions,proto-prefetch.instructions,coro-no-prefetch.instructions,coro-prefetch.instructions,control.d_cache_reads,managed-no-prefetch.d_cache_reads,managed-prefetch.d_cache_reads,proto-no-prefetch.d_cache_reads,proto-prefetch.d_cache_reads,coro-no-prefetch.d_cache_reads,coro-prefetch.d_cache_reads,control.d_cache_misses,managed-no-prefetch.d_cache_misses,managed-prefetch.d_cache_misses,proto-no-prefetch.d_cache_misses,proto-prefetch.d_cache_misses,coro-no-prefetch.d_cache_misses,coro-prefetch.d_cache_misses
10,10,100,1,0,8,800,176,0,2,6,124332469,0,0,0,0,155448615,91637259,125745120,0,0,0,0,195237261,233637049,8700557,0,0,0,0,17393123,20524980,5840426,0,0,0,0,6546697,6251722
10,10,100,1,0,8,800,176,1,2,6,127268954,0,0,0,0,155016868,91278361,125745120,0,0,0,0,195237261,233637049,9131687,0,0,0,0,17297163,20287322,6049645,0,0,0,0,6541665,6252213
10,10,100,1,0,8,800,176,2,2,6,104868812,0,0,0,0,118917203,81949215,125745119,0,0,0,0,195237259,233637048,8693093,0,0,0,0,15058006,15823758,5819844,0,0,0,0,6598613,6099781
10,10,100,1,0,8,800,176,3,2,6,97204960,0,0,0,0,103621275,77618902,125745118,0,0,0,0,195237258,233637048,8737971,0,0,0,0,13765435,13797210,5953897,0,0,0,0,6527733,6058966
10,10,100,1,0,8,800,176,4,2,6,97771438,0,0,0,0,99986177,76744626,125745118,0,0,0,0,195237258,233637048,8189607,0,0,0,0,12207166,12438737,5510882,0,0,0,0,6490845,6010986
10,10,100,1,0,8,800,176,5,2,6,92390182,0,0,0,0,96596076,76168560,125745118,0,0,0,0,195237257,233637048,8028034,0,0,0,0,11713238,12030655,4934409,0,0,0,0,6281767,5856616
10,10,100,1,0,8,800,176,6,2,6,87019020,0,0,0,0,93560133,74369058,125745117,0,0,0,0,195237257,233637048,8100254,0,0,0,0,11172025,11456120,4702812,0,0,0,0,6243296,5809026
10,10,100,1,0,8,800,176,7,2,6,85301957,0,0,0,0,94491304,74486006,125745117,0,0,0,0,195237257,233637048,7849551,0,0,0,0,10942495,11225674,4307045,0,0,0,0,6215656,5760815
10,10,100,1,0,8,800,176,8,2,6,82923818,0,0,0,0,93240237,73431368,125745117,0,0,0,0,195237257,233637047,8061644,0,0,0,0,10901232,11134425,4357412,0,0,0,0,6079316,5712430
10,10,100,1,0,8,800,176,9,2,6,82230757,0,0,0,0,92168262,73034388,125745117,0,0,0,0,195237257,233637047,8206540,0,0,0,0,10914304,11130514,4321221,0,0,0,0,6157673,5723198
