model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
leaf,0,control,1,10,100,800,1,1,12603,0.0157538,1,2,1,383412,240542,61120,8275
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4957,0.00619625,0,2,1,18586043,67269115,117673,12471
leaf,6,coro-prefetch,4,10,100,800,1,1,5583,0.00697875,1,2,1,21043131,85667246,115052,12018
leaf,0,control,1,10,100,800,1,1,151,0.00018875,1,2,1,394392,240543,60622,8370
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4970,0.0062125,0,2,1,18656280,67267246,117808,12328
leaf,6,coro-prefetch,4,10,100,800,1,1,5645,0.00705625,1,2,1,21185863,85667247,113905,12494
leaf,0,control,1,10,100,800,1,1,142,0.0001775,1,2,1,393661,240542,60379,8049
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4974,0.0062175,0,2,1,18680332,67267246,117453,12224
leaf,6,coro-prefetch,4,10,100,800,1,1,5630,0.0070375,1,2,1,21117898,85667247,114905,11863
leaf,0,control,1,10,100,800,1,1,142,0.0001775,1,2,1,392031,240542,60374,8112
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4966,0.0062075,0,2,1,18636508,67267247,119228,12212
leaf,6,coro-prefetch,4,10,100,800,1,1,5597,0.00699625,1,2,1,21106023,85667246,115329,11931
leaf,0,control,1,10,100,800,1,1,152,0.00019,1,2,1,393911,240542,61729,8232
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4971,0.00621375,0,2,1,18661836,67267246,117301,12226
leaf,6,coro-prefetch,4,10,100,800,1,1,5579,0.00697375,1,2,1,21122960,85667246,113775,12058
leaf,0,control,1,10,100,800,1,1,141,0.00017625,1,2,1,389771,240542,60491,8243
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4834,0.0060425,0,2,1,18643531,67267246,116057,11952
leaf,6,coro-prefetch,4,10,100,800,1,1,5477,0.00684625,1,2,1,21122201,85667246,113693,11721
leaf,0,control,1,10,100,800,1,1,138,0.0001725,1,2,1,390346,240542,60991,7926
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4839,0.00604875,0,2,1,18637687,67267246,117111,12092
leaf,6,coro-prefetch,4,10,100,800,1,1,5471,0.00683875,1,2,1,21115254,85667246,114196,11910
leaf,0,control,1,10,100,800,1,1,140,0.000175,1,2,1,395084,240542,60703,8009
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4919,0.00614875,0,2,1,18961039,67267246,116490,11882
