model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
leaf,0,control,1,10,100,800,1,1,22798,0.0284975,1,2,1,405731,240542,63101,8431
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4917,0.00614625,0,2,1,18459928,67269115,118699,13001
leaf,6,coro-prefetch,4,10,100,800,1,1,5506,0.0068825,1,2,1,20730456,85667246,116148,12197
leaf,0,control,1,10,100,800,1,1,142,0.0001775,1,2,1,411901,240542,63869,7751
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4912,0.00614,0,2,1,18473896,67267246,117913,12527
leaf,6,coro-prefetch,4,10,100,800,1,1,5513,0.00689125,1,2,1,20748770,85667247,116006,12389
leaf,0,control,1,10,100,800,1,1,140,0.000175,1,2,1,406570,240542,58184,7243
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4907,0.00613375,0,2,1,18465241,67267246,114743,11668
leaf,6,coro-prefetch,4,10,100,800,1,1,5512,0.00689,1,2,1,20733620,85667247,113133,11348
leaf,0,control,1,10,100,800,1,1,139,0.00017375,1,2,1,406553,240542,58677,7322
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4944,0.00618,0,2,1,18500525,67267246,114438,11706
leaf,6,coro-prefetch,4,10,100,800,1,1,5507,0.00688375,1,2,1,20731086,85667246,113435,11501
leaf,0,control,1,10,100,800,1,1,138,0.0001725,1,2,1,405646,240542,57915,7241
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4921,0.00615125,0,2,1,18518053,67267246,116692,11789
leaf,6,coro-prefetch,4,10,100,800,1,1,5507,0.00688375,1,2,1,20733247,85667246,112466,11388
leaf,0,control,1,10,100,800,1,1,140,0.000175,1,2,1,405403,240542,58268,7443
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4911,0.00613875,0,2,1,18468448,67267246,115650,11617
leaf,6,coro-prefetch,4,10,100,800,1,1,5508,0.006885,1,2,1,20736196,85667247,113099,11406
leaf,0,control,1,10,100,800,1,1,139,0.00017375,1,2,1,406575,240542,59281,7367
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4912,0.00614,0,2,1,18472181,67267247,114846,11683
leaf,6,coro-prefetch,4,10,100,800,1,1,5506,0.0068825,1,2,1,20723888,85667246,112742,11400
leaf,0,control,1,10,100,800,1,1,138,0.0001725,1,2,1,406624,240542,58367,7345
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4911,0.00613875,0,2,1,18475322,67267246,114912,11794
leaf,6,coro-prefetch,4,10,100,800,1,1,5508,0.006885,1,2,1,20735314,85667246,113565,11411
leaf,0,control,1,10,100,800,1,1,137,0.00017125,1,2,1,405313,240542,58542,7330
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4949,0.00618625,0,2,1,18484326,67267246,116099,11697
leaf,6,coro-prefetch,4,10,100,800,1,1,5536,0.00692,1,2,1,20735093,85667247,113462,11383
leaf,0,control,1,10,100,800,1,1,129,0.00016125,1,2,1,362095,240542,61421,7626
leaf,5,coro-no-prefetch,4,10,100,800,1,1,4892,0.006115,0,2,1,18398338,67267246,115437,11535
leaf,6,coro-prefetch,4,10,100,800,1,1,5494,0.0068675,1,2,1,20692230,85667246,112893,11456
leaf,0,control,1,10,100,800,2,1,2319,0.00144937,1,2,1,8662093,17745113,167463,13640
leaf,5,coro-no-prefetch,4,10,100,800,2,1,5719,0.00357437,0,2,1,21358526,81669228,173819,16891
leaf,6,coro-prefetch,4,10,100,800,2,1,6367,0.00397938,1,2,1,23983681,100067247,168388,16516
leaf,0,control,1,10,100,800,2,1,2324,0.0014525,1,2,1,8666092,17745113,167734,13633
leaf,5,coro-no-prefetch,4,10,100,800,2,1,5577,0.00348563,0,2,1,20993541,81667246,172495,16630
leaf,6,coro-prefetch,4,10,100,800,2,1,6355,0.00397187,1,2,1,23948340,100067246,168677,16592
leaf,0,control,1,10,100,800,2,1,2317,0.00144812,1,2,1,8659340,17745112,166778,13575
leaf,5,coro-no-prefetch,4,10,100,800,2,1,5575,0.00348438,0,2,1,20985978,81667247,173700,16708
leaf,6,coro-prefetch,4,10,100,800,2,1,6354,0.00397125,1,2,1,23945237,100067247,169249,16676
leaf,0,control,1,10,100,800,2,1,2320,0.00145,1,2,1,8657660,17745113,167061,13621
leaf,5,coro-no-prefetch,4,10,100,800,2,1,5577,0.00348563,0,2,1,20996952,81667246,173005,16524
leaf,6,coro-prefetch,4,10,100,800,2,1,6357,0.00397313,1,2,1,23968119,100067246,164904,15583
leaf,0,control,1,10,100,800,2,1,2327,0.00145437,1,2,1,8701056,17745112,166343,12724
leaf,5,coro-no-prefetch,4,10,100,800,2,1,5582,0.00348875,0,2,1,21012449,81667246,169307,15653
leaf,6,coro-prefetch,4,10,100,800,2,1,6360,0.003975,1,2,1,23957813,100067247,164807,16034
leaf,0,control,1,10,100,800,2,1,2335,0.00145937,1,2,1,8709800,17745113,166574,12781
leaf,5,coro-no-prefetch,4,10,100,800,2,1,5577,0.00348563,0,2,1,20990257,81667247,169842,15413
leaf,6,coro-prefetch,4,10,100,800,2,1,6365,0.00397812,1,2,1,23981035,100067247,165870,15264
leaf,0,control,1,10,100,800,2,1,2309,0.00144312,1,2,1,8630718,17745112,170589,12938
leaf,5,coro-no-prefetch,4,10,100,800,2,1,5549,0.00346812,0,2,1,20895043,81667246,173207,15556
leaf,6,coro-prefetch,4,10,100,800,2,1,6341,0.00396312,1,2,1,23880385,100067247,169925,15785
leaf,0,control,1,10,100,800,2,1,2317,0.00144812,1,2,1,8641884,17745113,171862,12789
leaf,5,coro-no-prefetch,4,10,100,800,2,1,5550,0.00346875,0,2,1,20894817,81667246,173791,15336
leaf,6,coro-prefetch,4,10,100,800,2,1,6336,0.00396,1,2,1,23883643,100067246,169929,15134
leaf,0,control,1,10,100,800,2,1,2370,0.00148125,1,2,1,8697830,17745113,172404,13639
leaf,5,coro-no-prefetch,4,10,100,800,2,1,5550,0.00346875,0,2,1,20891671,81667247,173763,15548
leaf,6,coro-prefetch,4,10,100,800,2,1,6334,0.00395875,1,2,1,23867144,100067246,169567,15067
leaf,0,control,1,10,100,800,2,1,2311,0.00144437,1,2,1,8642373,17745112,171829,12707
leaf,5,coro-no-prefetch,4,10,100,800,2,1,5554,0.00347125,0,2,1,20902475,81667247,174232,15751
