model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
leaf,0,control,1,10,100,80,1,1,19115,0.238937,1,2,1,121230,87453,44188,244
leaf,5,coro-no-prefetch,4,10,100,80,1,1,2254,0.028175,0,2,1,3064329,6397358,3370467,4980
leaf,6,coro-prefetch,4,10,100,80,1,1,2388,0.02985,1,2,1,3289476,6956599,3452924,4718
leaf,0,control,1,10,100,80,1,1,265,0.0033125,1,2,1,109717,87453,44187,259
leaf,5,coro-no-prefetch,4,10,100,80,1,1,2237,0.0279625,0,2,1,3067406,6396599,3369884,5184
leaf,6,coro-prefetch,4,10,100,80,1,1,2433,0.0304125,1,2,1,3289894,6956599,3449874,5421
leaf,0,control,1,10,100,80,1,1,278,0.003475,1,2,1,120747,87453,44189,245
leaf,5,coro-no-prefetch,4,10,100,80,1,1,2336,0.0292,0,2,1,3068805,6396599,3369693,4969
leaf,6,coro-prefetch,4,10,100,80,1,1,2383,0.0297875,1,2,1,3277689,6956599,3449663,4561
leaf,0,control,1,10,100,80,1,1,280,0.0035,1,2,1,120806,87453,44188,244
leaf,5,coro-no-prefetch,4,10,100,80,1,1,2282,0.028525,0,2,1,3072209,6396599,3369649,5458
leaf,6,coro-prefetch,4,10,100,80,1,1,2460,0.03075,1,2,1,3284110,6956599,3449591,4975
leaf,0,control,1,10,100,80,1,1,276,0.00345,1,2,1,119293,87453,44190,244
leaf,5,coro-no-prefetch,4,10,100,80,1,1,2240,0.028,0,2,1,3063968,6396599,3369611,4478
leaf,6,coro-prefetch,4,10,100,80,1,1,2487,0.0310875,1,2,1,3285735,6956599,3449667,5152
leaf,0,control,1,10,100,80,1,1,267,0.0033375,1,2,1,112158,87453,44177,250
leaf,5,coro-no-prefetch,4,10,100,80,1,1,2246,0.028075,0,2,1,3073186,6396599,3369610,5252
leaf,6,coro-prefetch,4,10,100,80,1,1,2472,0.0309,1,2,1,3287689,6956599,3449588,5117
leaf,0,control,1,10,100,80,1,1,278,0.003475,1,2,1,120932,87453,44190,245
leaf,5,coro-no-prefetch,4,10,100,80,1,1,2234,0.027925,0,2,1,3066603,6396599,3369675,5132
leaf,6,coro-prefetch,4,10,100,80,1,1,2374,0.029675,1,2,1,3272228,6956599,3449654,4711
leaf,0,control,1,10,100,80,1,1,278,0.003475,1,2,1,120978,87453,44189,244
leaf,5,coro-no-prefetch,4,10,100,80,1,1,2235,0.0279375,0,2,1,3068188,6396599,3369662,5108
leaf,6,coro-prefetch,4,10,100,80,1,1,2382,0.029775,1,2,1,3285488,6956599,3449582,5277
