model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,400,1,1,13823,0.0345575,1,2,1,3797730,13701359,33560,5004
svm,5,coro-no-prefetch,2,10,100,400,1,1,2863,0.0071575,0,2,1,10648089,42028968,39557,7566
svm,6,coro-prefetch,2,10,100,400,1,1,3739,0.0093475,1,2,1,14022196,51628475,37427,7624
svm,0,control,1,10,100,400,1,1,1040,0.0026,1,2,1,3788124,13701359,33618,4916
svm,5,coro-no-prefetch,2,10,100,400,1,1,2781,0.0069525,0,2,1,10642955,42028476,40014,7537
svm,6,coro-prefetch,2,10,100,400,1,1,3777,0.0094425,1,2,1,14108169,51628476,37961,7505
svm,0,control,1,10,100,400,1,1,1040,0.0026,1,2,1,3787356,13701359,33210,4919
svm,5,coro-no-prefetch,2,10,100,400,1,1,2859,0.0071475,0,2,1,10653159,42028476,39413,7474
svm,6,coro-prefetch,2,10,100,400,1,1,3650,0.009125,1,2,1,14021901,51628476,38978,7488
svm,0,control,1,10,100,400,1,1,1021,0.0025525,1,2,1,3789516,13701360,35047,4891
svm,5,coro-no-prefetch,2,10,100,400,1,1,2830,0.007075,0,2,1,10641988,42028476,38614,7484
svm,6,coro-prefetch,2,10,100,400,1,1,3704,0.00926,1,2,1,14041169,51628476,38331,7508
svm,0,control,1,10,100,400,1,1,1014,0.002535,1,2,1,3786663,13701359,32571,4917
svm,5,coro-no-prefetch,2,10,100,400,1,1,2784,0.00696,0,2,1,10650376,42028476,38202,7553
svm,6,coro-prefetch,2,10,100,400,1,1,3679,0.0091975,1,2,1,13993366,51628476,38002,7548
svm,0,control,1,10,100,400,1,1,1011,0.0025275,1,2,1,3787228,13701359,33327,4899
svm,5,coro-no-prefetch,2,10,100,400,1,1,2847,0.0071175,0,2,1,10707313,42028476,41972,7686
svm,6,coro-prefetch,2,10,100,400,1,1,3698,0.009245,1,2,1,14199657,51628476,38447,7425
