model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,400,1,1,14434,0.036085,1,2,1,3289329,13701359,21310,5042
svm,5,coro-no-prefetch,2,10,100,400,1,1,2869,0.0071725,0,2,1,10618243,42028968,30843,8007
svm,6,coro-prefetch,2,10,100,400,1,1,3230,0.008075,1,2,1,12095635,51628476,28891,7625
svm,0,control,1,10,100,400,1,1,888,0.00222,1,2,1,3245218,13701359,19589,4675
svm,5,coro-no-prefetch,2,10,100,400,1,1,2829,0.0070725,0,2,1,10597007,42028475,28394,7377
svm,6,coro-prefetch,2,10,100,400,1,1,3226,0.008065,1,2,1,12104508,51628475,26430,6927
svm,0,control,1,10,100,400,1,1,889,0.0022225,1,2,1,3246143,13701359,20379,4722
svm,5,coro-no-prefetch,2,10,100,400,1,1,2840,0.0071,0,2,1,10617783,42028476,28431,7177
svm,6,coro-prefetch,2,10,100,400,1,1,3233,0.0080825,1,2,1,12107499,51628476,28817,6929
svm,0,control,1,10,100,400,1,1,893,0.0022325,1,2,1,3249265,13701360,21097,4597
svm,5,coro-no-prefetch,2,10,100,400,1,1,2822,0.007055,0,2,1,10575283,42028475,27680,7032
svm,6,coro-prefetch,2,10,100,400,1,1,3234,0.008085,1,2,1,12109374,51628476,29243,7031
svm,0,control,1,10,100,400,1,1,889,0.0022225,1,2,1,3246012,13701359,20130,4581
svm,5,coro-no-prefetch,2,10,100,400,1,1,2844,0.00711,0,2,1,10632259,42028476,30322,7078
svm,6,coro-prefetch,2,10,100,400,1,1,3236,0.00809,1,2,1,12115574,51628476,30774,6985
svm,0,control,1,10,100,400,1,1,896,0.00224,1,2,1,3258801,13701360,22452,4683
svm,5,coro-no-prefetch,2,10,100,400,1,1,2841,0.0071025,0,2,1,10626542,42028476,30395,7027
svm,6,coro-prefetch,2,10,100,400,1,1,3233,0.0080825,1,2,1,12111508,51628476,29696,6943
svm,0,control,1,10,100,400,1,1,889,0.0022225,1,2,1,3247246,13701359,21843,4487
svm,5,coro-no-prefetch,2,10,100,400,1,1,2826,0.007065,0,2,1,10587474,42028475,27735,7036
svm,6,coro-prefetch,2,10,100,400,1,1,3232,0.00808,1,2,1,12109663,51628476,29697,7126
svm,0,control,1,10,100,400,1,1,890,0.002225,1,2,1,3248274,13701359,21795,4540
svm,5,coro-no-prefetch,2,10,100,400,1,1,2850,0.007125,0,2,1,10660438,42028476,29531,7034
svm,6,coro-prefetch,2,10,100,400,1,1,3230,0.008075,1,2,1,12099308,51628476,29698,6961
svm,0,control,1,10,100,400,1,1,887,0.0022175,1,2,1,3244700,13701359,22272,4537
svm,5,coro-no-prefetch,2,10,100,400,1,1,2829,0.0070725,0,2,1,10600311,42028475,28844,7045
svm,6,coro-prefetch,2,10,100,400,1,1,3234,0.008085,1,2,1,12107980,51628476,29094,7062
svm,0,control,1,10,100,400,1,1,889,0.0022225,1,2,1,3246204,13701359,21689,4549
svm,5,coro-no-prefetch,2,10,100,400,1,1,2838,0.007095,0,2,1,10618615,42028476,30932,7062
svm,6,coro-prefetch,2,10,100,400,1,1,3235,0.0080875,1,2,1,12110306,51628476,31170,6946
svm,0,control,1,10,100,400,2,1,1072,0.00134,1,2,1,3948864,16899609,34677,6513
svm,5,coro-no-prefetch,2,10,100,400,2,1,3192,0.00399,0,2,1,11930930,45227330,47257,9246
svm,6,coro-prefetch,2,10,100,400,2,1,3521,0.00440125,1,2,1,13187904,54826726,44089,9008
svm,0,control,1,10,100,400,2,1,1076,0.001345,1,2,1,3952105,16899609,34873,6381
svm,5,coro-no-prefetch,2,10,100,400,2,1,3149,0.00393625,0,2,1,11799626,45226726,46876,9040
svm,6,coro-prefetch,2,10,100,400,2,1,3531,0.00441375,1,2,1,13267974,54826725,43491,8746
svm,0,control,1,10,100,400,2,1,1074,0.0013425,1,2,1,3948309,16899609,35260,6320
svm,5,coro-no-prefetch,2,10,100,400,2,1,3151,0.00393875,0,2,1,11801742,45226726,47665,9122
svm,6,coro-prefetch,2,10,100,400,2,1,3508,0.004385,1,2,1,13174889,54826725,43697,8709
svm,0,control,1,10,100,400,2,1,1074,0.0013425,1,2,1,3950002,16899609,35341,6384
svm,5,coro-no-prefetch,2,10,100,400,2,1,3175,0.00396875,0,2,1,11896202,45226726,47738,9079
svm,6,coro-prefetch,2,10,100,400,2,1,3510,0.0043875,1,2,1,13184963,54826725,44067,8763
svm,0,control,1,10,100,400,2,1,1073,0.00134125,1,2,1,3949532,16899609,35167,6355
svm,5,coro-no-prefetch,2,10,100,400,2,1,3187,0.00398375,0,2,1,11820558,45226726,46464,9367
svm,6,coro-prefetch,2,10,100,400,2,1,3526,0.0044075,1,2,1,13248846,54826725,43176,8750
svm,0,control,1,10,100,400,2,1,1073,0.00134125,1,2,1,3947434,16899609,35392,6386
svm,5,coro-no-prefetch,2,10,100,400,2,1,3144,0.00393,0,2,1,11785369,45226726,47869,9046
svm,6,coro-prefetch,2,10,100,400,2,1,3803,0.00475375,1,2,1,13374254,54826726,56994,9981
svm,0,control,1,10,100,400,2,1,1077,0.00134625,1,2,1,3950535,16899609,35198,6381
svm,5,coro-no-prefetch,2,10,100,400,2,1,3231,0.00403875,0,2,1,11963960,45226726,48006,8995
svm,6,coro-prefetch,2,10,100,400,2,1,3546,0.0044325,1,2,1,13194025,54826726,46278,8768
svm,0,control,1,10,100,400,2,1,1109,0.00138625,1,2,1,3957361,16899610,37646,6331
svm,5,coro-no-prefetch,2,10,100,400,2,1,3182,0.0039775,0,2,1,11781662,45226726,48399,8979
svm,6,coro-prefetch,2,10,100,400,2,1,3530,0.0044125,1,2,1,13246211,54826726,46137,8750
svm,0,control,1,10,100,400,2,1,1081,0.00135125,1,2,1,3952849,16899610,38279,6391
svm,5,coro-no-prefetch,2,10,100,400,2,1,3140,0.003925,0,2,1,11765301,45226726,49569,9032
svm,6,coro-prefetch,2,10,100,400,2,1,3547,0.00443375,1,2,1,13187045,54826726,44986,9342
svm,0,control,1,10,100,400,2,1,1079,0.00134875,1,2,1,3952772,16899610,37398,6631
svm,5,coro-no-prefetch,2,10,100,400,2,1,3179,0.00397375,0,2,1,11915624,45226726,46105,9042
svm,6,coro-prefetch,2,10,100,400,2,1,3513,0.00439125,1,2,1,13181287,54826726,45279,8869
svm,0,control,1,10,100,400,3,1,1265,0.00105417,1,2,1,4676926,20101289,90351,8848
svm,5,coro-no-prefetch,2,10,100,400,3,1,3251,0.00270917,0,2,1,12158805,48429010,97369,11431
svm,6,coro-prefetch,2,10,100,400,3,1,3661,0.00305083,1,2,1,13729693,58028406,93893,11167
svm,0,control,1,10,100,400,3,1,1267,0.00105583,1,2,1,4682447,20101289,90244,8759
svm,5,coro-no-prefetch,2,10,100,400,3,1,3245,0.00270417,0,2,1,12155913,48428406,95921,11291
svm,6,coro-prefetch,2,10,100,400,3,1,3666,0.003055,1,2,1,13737568,58028406,94664,11066
svm,0,control,1,10,100,400,3,1,1270,0.00105833,1,2,1,4676537,20101290,91858,8714
svm,5,coro-no-prefetch,2,10,100,400,3,1,3246,0.002705,0,2,1,12156459,48428406,97568,11199
svm,6,coro-prefetch,2,10,100,400,3,1,3703,0.00308583,1,2,1,13747408,58028406,95357,11256
svm,0,control,1,10,100,400,3,1,1272,0.00106,1,2,1,4681748,20101290,92241,8636
svm,5,coro-no-prefetch,2,10,100,400,3,1,3249,0.0027075,0,2,1,12170128,48428406,96282,11152
svm,6,coro-prefetch,2,10,100,400,3,1,3663,0.0030525,1,2,1,13736280,58028406,95940,10993
svm,0,control,1,10,100,400,3,1,1310,0.00109167,1,2,1,4681647,20101290,91420,8758
svm,5,coro-no-prefetch,2,10,100,400,3,1,3246,0.002705,0,2,1,12160715,48428406,96436,11251
svm,6,coro-prefetch,2,10,100,400,3,1,3664,0.00305333,1,2,1,13739520,58028406,95719,10969
svm,0,control,1,10,100,400,3,1,1265,0.00105417,1,2,1,4678109,20101289,90636,8507
svm,5,coro-no-prefetch,2,10,100,400,3,1,3251,0.00270917,0,2,1,12204002,48428405,97257,11085
svm,6,coro-prefetch,2,10,100,400,3,1,3661,0.00305083,1,2,1,13739776,58028406,97005,10934
svm,0,control,1,10,100,400,3,1,1269,0.0010575,1,2,1,4684939,20101289,92116,8300
svm,5,coro-no-prefetch,2,10,100,400,3,1,3245,0.00270417,0,2,1,12152668,48428406,99087,11218
svm,6,coro-prefetch,2,10,100,400,3,1,3659,0.00304917,1,2,1,13730751,58028406,96495,10903
svm,0,control,1,10,100,400,3,1,1267,0.00105583,1,2,1,4681978,20101289,94619,8580
svm,5,coro-no-prefetch,2,10,100,400,3,1,3281,0.00273417,0,2,1,12156672,48428406,103588,11182
svm,6,coro-prefetch,2,10,100,400,3,1,3662,0.00305167,1,2,1,13737759,58028406,93216,11324
svm,0,control,1,10,100,400,3,1,1265,0.00105417,1,2,1,4679805,20101289,90403,8760
svm,5,coro-no-prefetch,2,10,100,400,3,1,3240,0.0027,0,2,1,12139829,48428406,97372,11169
svm,6,coro-prefetch,2,10,100,400,3,1,3658,0.00304833,1,2,1,13721097,58028406,94820,11291
svm,0,control,1,10,100,400,3,1,1267,0.00105583,1,2,1,4680873,20101289,90626,8610
svm,5,coro-no-prefetch,2,10,100,400,3,1,3240,0.0027,0,2,1,12141023,48428406,98187,11123
svm,6,coro-prefetch,2,10,100,400,3,1,3665,0.00305417,1,2,1,13751646,58028406,94551,11062
svm,0,control,1,10,100,400,4,1,1458,0.00091125,1,2,1,5399532,23299610,118055,11211
svm,5,coro-no-prefetch,2,10,100,400,4,1,3561,0.00222563,0,2,1,13072622,51627330,122683,14279
svm,6,coro-prefetch,2,10,100,400,4,1,3893,0.00243312,1,2,1,14600399,61226726,121204,13837
svm,0,control,1,10,100,400,4,1,1465,0.000915625,1,2,1,5403292,23299610,117512,11137
svm,5,coro-no-prefetch,2,10,100,400,4,1,3403,0.00212687,0,2,1,12755238,51626726,122632,13995
svm,6,coro-prefetch,2,10,100,400,4,1,3927,0.00245437,1,2,1,14612166,61226726,121969,13633
svm,0,control,1,10,100,400,4,1,1457,0.000910625,1,2,1,5402964,23299609,116204,10963
svm,5,coro-no-prefetch,2,10,100,400,4,1,3412,0.0021325,0,2,1,12783675,51626726,122282,13759
svm,6,coro-prefetch,2,10,100,400,4,1,3889,0.00243063,1,2,1,14596079,61226726,121500,13325
svm,0,control,1,10,100,400,4,1,1458,0.00091125,1,2,1,5401298,23299609,116719,10893
svm,5,coro-no-prefetch,2,10,100,400,4,1,3494,0.00218375,0,2,1,13101570,51626726,122935,13796
svm,6,coro-prefetch,2,10,100,400,4,1,3891,0.00243188,1,2,1,14605724,61226726,122171,13438
svm,0,control,1,10,100,400,4,1,1468,0.0009175,1,2,1,5402735,23299610,116892,11253
svm,5,coro-no-prefetch,2,10,100,400,4,1,3488,0.00218,0,2,1,13089324,51626726,122864,13775
svm,6,coro-prefetch,2,10,100,400,4,1,3895,0.00243437,1,2,1,14617781,61226726,121526,13242
svm,0,control,1,10,100,400,4,1,1458,0.00091125,1,2,1,5403786,23299609,117958,10600
svm,5,coro-no-prefetch,2,10,100,400,4,1,3494,0.00218375,0,2,1,13099194,51626726,123125,13670
svm,6,coro-prefetch,2,10,100,400,4,1,3885,0.00242813,1,2,1,14575489,61226726,122135,13295
svm,0,control,1,10,100,400,4,1,1458,0.00091125,1,2,1,5406059,23299609,119117,10696
svm,5,coro-no-prefetch,2,10,100,400,4,1,3428,0.0021425,0,2,1,12847530,51626726,123536,13501
svm,6,coro-prefetch,2,10,100,400,4,1,3885,0.00242813,1,2,1,14590454,61226726,122263,13407
svm,0,control,1,10,100,400,4,1,1458,0.00091125,1,2,1,5406991,23299609,119478,10571
svm,5,coro-no-prefetch,2,10,100,400,4,1,3520,0.0022,0,2,1,13077127,51626726,125803,13587
svm,6,coro-prefetch,2,10,100,400,4,1,3927,0.00245437,1,2,1,14597545,61226726,124935,14030
svm,0,control,1,10,100,400,4,1,1457,0.000910625,1,2,1,5399586,23299609,122363,11094
svm,5,coro-no-prefetch,2,10,100,400,4,1,3403,0.00212687,0,2,1,12754932,51626726,126580,13565
svm,6,coro-prefetch,2,10,100,400,4,1,3888,0.00243,1,2,1,14597152,61226726,125380,13523
svm,0,control,1,10,100,400,4,1,1456,0.00091,1,2,1,5402310,23299609,122991,10910
svm,5,coro-no-prefetch,2,10,100,400,4,1,3518,0.00219875,0,2,1,13060035,51626726,127360,13510
svm,6,coro-prefetch,2,10,100,400,4,1,3894,0.00243375,1,2,1,14609182,61226726,126610,13450
svm,0,control,1,10,100,400,5,1,1642,0.000821,1,2,1,6111256,26501359,158835,13779
svm,5,coro-no-prefetch,2,10,100,400,5,1,3629,0.0018145,0,2,1,13613976,54829079,160115,16429
svm,6,coro-prefetch,2,10,100,400,5,1,4115,0.0020575,1,2,1,15437262,64428476,162600,16280
svm,0,control,1,10,100,400,5,1,1644,0.000822,1,2,1,6110160,26501359,159234,13579
svm,5,coro-no-prefetch,2,10,100,400,5,1,3630,0.001815,0,2,1,13616342,54828476,161248,16383
svm,6,coro-prefetch,2,10,100,400,5,1,4113,0.0020565,1,2,1,15445357,64428476,161576,16070
svm,0,control,1,10,100,400,5,1,1695,0.0008475,1,2,1,6143897,26501360,160098,13650
svm,5,coro-no-prefetch,2,10,100,400,5,1,3607,0.0018035,0,2,1,13532680,54828476,162219,16629
svm,6,coro-prefetch,2,10,100,400,5,1,4110,0.002055,1,2,1,15437086,64428476,162407,16223
svm,0,control,1,10,100,400,5,1,1663,0.0008315,1,2,1,6110916,26501360,160174,13466
svm,5,coro-no-prefetch,2,10,100,400,5,1,3642,0.001821,0,2,1,13513067,54828476,162327,16518
svm,6,coro-prefetch,2,10,100,400,5,1,4110,0.002055,1,2,1,15442121,64428476,162218,15766
svm,0,control,1,10,100,400,5,1,1642,0.000821,1,2,1,6106155,26501359,158626,13353
svm,5,coro-no-prefetch,2,10,100,400,5,1,3624,0.001812,0,2,1,13590665,54828476,161124,16601
svm,6,coro-prefetch,2,10,100,400,5,1,4113,0.0020565,1,2,1,15445699,64428476,162609,15992
svm,0,control,1,10,100,400,5,1,1642,0.000821,1,2,1,6105793,26501359,159681,13291
svm,5,coro-no-prefetch,2,10,100,400,5,1,3614,0.001807,0,2,1,13560060,54828476,162477,16045
svm,6,coro-prefetch,2,10,100,400,5,1,4186,0.002093,1,2,1,15461434,64428476,162541,15997
svm,0,control,1,10,100,400,5,1,1661,0.0008305,1,2,1,6154648,26501360,161040,13085
svm,5,coro-no-prefetch,2,10,100,400,5,1,3607,0.0018035,0,2,1,13530019,54828476,163290,16042
svm,6,coro-prefetch,2,10,100,400,5,1,4107,0.0020535,1,2,1,15432074,64428476,162447,15677
svm,0,control,1,10,100,400,5,1,1683,0.0008415,1,2,1,6119320,26501360,162418,13065
svm,5,coro-no-prefetch,2,10,100,400,5,1,3628,0.001814,0,2,1,13608485,54828476,162599,15938
svm,6,coro-prefetch,2,10,100,400,5,1,4114,0.002057,1,2,1,15451564,64428476,162049,15559
