model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,400,1,1,16024,0.04006,1,4,1,4699995,12942051,100464,9530
svm,5,coro-no-prefetch,2,10,100,400,1,1,3056,0.00764,0,4,1,11409054,42871936,113763,12043
svm,6,coro-prefetch,2,10,100,400,1,1,3358,0.008395,1,4,1,12877963,52071226,113126,12005
svm,0,control,1,10,100,400,1,1,1284,0.00321,1,4,1,4673682,12942052,104423,9471
svm,5,coro-no-prefetch,2,10,100,400,1,1,3022,0.007555,0,4,1,11580151,42871226,118140,12110
svm,6,coro-prefetch,2,10,100,400,1,1,3362,0.008405,1,4,1,12899994,52071226,113072,12048
svm,0,control,1,10,100,400,1,1,1288,0.00322,1,4,1,4680183,12942052,102069,9348
svm,5,coro-no-prefetch,2,10,100,400,1,1,2983,0.0074575,0,4,1,11128209,42871226,115834,12005
svm,6,coro-prefetch,2,10,100,400,1,1,3432,0.00858,1,4,1,12845707,52071226,110682,11852
svm,0,control,1,10,100,400,1,1,1268,0.00317,1,4,1,4673347,12942051,99135,9217
svm,5,coro-no-prefetch,2,10,100,400,1,1,3015,0.0075375,0,4,1,11235882,42871226,117557,12134
svm,6,coro-prefetch,2,10,100,400,1,1,3453,0.0086325,1,4,1,12863618,52071226,111694,12275
svm,0,control,1,10,100,400,1,1,1239,0.0030975,1,4,1,4669632,12942051,102478,9196
svm,5,coro-no-prefetch,2,10,100,400,1,1,3042,0.007605,0,4,1,11461785,42871226,115403,11991
svm,6,coro-prefetch,2,10,100,400,1,1,3418,0.008545,1,4,1,12856587,52071225,109452,11809
svm,0,control,1,10,100,400,1,1,1276,0.00319,1,4,1,4673602,12942051,99692,9216
svm,5,coro-no-prefetch,2,10,100,400,1,1,3074,0.007685,0,4,1,11515314,42871225,114920,12024
svm,6,coro-prefetch,2,10,100,400,1,1,3407,0.0085175,1,4,1,12866165,52071226,111996,11831
svm,0,control,1,10,100,400,1,1,1268,0.00317,1,4,1,4671204,12942051,99546,9159
svm,5,coro-no-prefetch,2,10,100,400,1,1,3095,0.0077375,0,4,1,11536061,42871226,117902,12090
svm,6,coro-prefetch,2,10,100,400,1,1,3424,0.00856,1,4,1,12904052,52071226,110909,11732
svm,0,control,1,10,100,400,1,1,1248,0.00312,1,4,1,4671332,12942052,104628,9368
svm,5,coro-no-prefetch,2,10,100,400,1,1,3003,0.0075075,0,4,1,11507420,42871226,116183,11912
svm,6,coro-prefetch,2,10,100,400,1,1,3386,0.008465,1,4,1,13004688,52071226,112160,11738
svm,0,control,1,10,100,400,1,1,1246,0.003115,1,4,1,4670793,12942052,101340,9337
svm,5,coro-no-prefetch,2,10,100,400,1,1,2955,0.0073875,0,4,1,11319073,42871226,115094,11920
svm,6,coro-prefetch,2,10,100,400,1,1,3349,0.0083725,1,4,1,12850365,52071226,111774,11782
svm,0,control,1,10,100,400,1,1,1239,0.0030975,1,4,1,4671980,12942051,101915,9300
svm,5,coro-no-prefetch,2,10,100,400,1,1,3002,0.007505,0,4,1,11308236,42871226,116134,11945
svm,6,coro-prefetch,2,10,100,400,1,1,3407,0.0085175,1,4,1,12876536,52071225,110637,11797
svm,0,control,1,10,100,400,2,1,1368,0.00171,1,4,1,5165303,16142052,172242,15081
svm,5,coro-no-prefetch,2,10,100,400,2,1,3261,0.00407625,0,4,1,12477438,46072049,181404,17994
svm,6,coro-prefetch,2,10,100,400,2,1,3578,0.0044725,1,4,1,13743083,55271226,177516,17658
svm,0,control,1,10,100,400,2,1,1373,0.00171625,1,4,1,5152445,16142052,174124,15038
svm,5,coro-no-prefetch,2,10,100,400,2,1,3235,0.00404375,0,4,1,12392834,46071226,179673,17515
svm,6,coro-prefetch,2,10,100,400,2,1,3578,0.0044725,1,4,1,13741800,55271226,179302,17786
svm,0,control,1,10,100,400,2,1,1372,0.001715,1,4,1,5149034,16142052,171284,14682
svm,5,coro-no-prefetch,2,10,100,400,2,1,3246,0.0040575,0,4,1,12439233,46071226,177459,17580
