model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,800,1,1,21439,0.0267987,1,4,1,6202228,25650551,222549,16260
svm,5,coro-no-prefetch,2,10,100,800,1,1,5711,0.00713875,0,4,1,21478086,85180437,230261,19343
svm,6,coro-prefetch,2,10,100,800,1,1,6464,0.00808,1,4,1,24362485,103579726,227329,19709
svm,0,control,1,10,100,800,1,1,1673,0.00209125,1,4,1,6211030,25650551,222660,16642
svm,5,coro-no-prefetch,2,10,100,800,1,1,5669,0.00708625,0,4,1,21349560,85179726,230010,19617
svm,6,coro-prefetch,2,10,100,800,1,1,6467,0.00808375,1,4,1,24357060,103579727,234033,18541
svm,0,control,1,10,100,800,1,1,1686,0.0021075,1,4,1,6262029,25650551,236185,14805
svm,5,coro-no-prefetch,2,10,100,800,1,1,5673,0.00709125,0,4,1,21362837,85179726,238202,18489
svm,6,coro-prefetch,2,10,100,800,1,1,6458,0.0080725,1,4,1,24320323,103579727,233870,18555
svm,0,control,1,10,100,800,1,1,1668,0.002085,1,4,1,6159669,25650552,237685,15177
svm,5,coro-no-prefetch,2,10,100,800,1,1,5712,0.00714,0,4,1,21362182,85179727,238320,18474
svm,6,coro-prefetch,2,10,100,800,1,1,6452,0.008065,1,4,1,24309640,103579727,233352,18296
svm,0,control,1,10,100,800,1,1,1657,0.00207125,1,4,1,6157446,25650551,236855,14686
svm,5,coro-no-prefetch,2,10,100,800,1,1,5706,0.0071325,0,4,1,21354113,85179726,237672,18330
svm,6,coro-prefetch,2,10,100,800,1,1,6460,0.008075,1,4,1,24344266,103579726,233763,18256
svm,0,control,1,10,100,800,1,1,1657,0.00207125,1,4,1,6154251,25650551,236893,14565
svm,5,coro-no-prefetch,2,10,100,800,1,1,5686,0.0071075,0,4,1,21394169,85179727,238740,18333
svm,6,coro-prefetch,2,10,100,800,1,1,6445,0.00805625,1,4,1,24277505,103579727,234703,18438
svm,0,control,1,10,100,800,1,1,1656,0.00207,1,4,1,6155894,25650551,237251,14657
svm,5,coro-no-prefetch,2,10,100,800,1,1,5701,0.00712625,0,4,1,21339695,85179726,238096,18360
svm,6,coro-prefetch,2,10,100,800,1,1,6450,0.0080625,1,4,1,24305843,103579726,233577,18330
svm,0,control,1,10,100,800,1,1,1657,0.00207125,1,4,1,6156224,25650551,237366,14782
svm,5,coro-no-prefetch,2,10,100,800,1,1,5671,0.00708875,0,4,1,21345031,85179727,239456,18902
svm,6,coro-prefetch,2,10,100,800,1,1,6455,0.00806875,1,4,1,24273648,103579727,235476,18328
svm,0,control,1,10,100,800,1,1,1663,0.00207875,1,4,1,6155325,25650552,238356,14702
svm,5,coro-no-prefetch,2,10,100,800,1,1,5708,0.007135,0,4,1,21349196,85179726,237742,18248
svm,6,coro-prefetch,2,10,100,800,1,1,6455,0.00806875,1,4,1,24320671,103579726,234879,18136
svm,0,control,1,10,100,800,1,1,1656,0.00207,1,4,1,6155121,25650551,237697,14744
svm,5,coro-no-prefetch,2,10,100,800,1,1,5697,0.00712125,0,4,1,21315008,85179726,238188,18186
svm,6,coro-prefetch,2,10,100,800,1,1,6454,0.0080675,1,4,1,24318021,103579727,234713,18555
svm,0,control,1,10,100,800,2,1,2135,0.00133438,1,4,1,7849483,32050552,369032,25670
svm,5,coro-no-prefetch,2,10,100,800,2,1,6122,0.00382625,0,4,1,23029334,91580550,370697,30502
svm,6,coro-prefetch,2,10,100,800,2,1,6884,0.0043025,1,4,1,25940276,109979727,364572,29533
svm,0,control,1,10,100,800,2,1,2102,0.00131375,1,4,1,7840757,32050551,368332,25485
svm,5,coro-no-prefetch,2,10,100,800,2,1,6128,0.00383,0,4,1,23083486,91579726,369814,29664
svm,6,coro-prefetch,2,10,100,800,2,1,6888,0.004305,1,4,1,25966669,109979727,364684,29789
svm,0,control,1,10,100,800,2,1,2103,0.00131438,1,4,1,7822731,32050552,368966,25450
svm,5,coro-no-prefetch,2,10,100,800,2,1,6129,0.00383062,0,4,1,23093440,91579727,370826,29842
svm,6,coro-prefetch,2,10,100,800,2,1,6886,0.00430375,1,4,1,25944677,109979727,365213,29646
