model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,80,1,1,16135,0.201687,1,4,1,1176202,2484285,533175,9902
svm,5,coro-no-prefetch,2,10,100,80,1,1,2669,0.0333625,0,4,1,3630026,7734418,3719983,11725
svm,6,coro-prefetch,2,10,100,80,1,1,2774,0.034675,1,4,1,3741900,8293970,3799430,7258
svm,0,control,1,10,100,80,1,1,978,0.012225,1,4,1,1174930,2484285,533156,9884
svm,5,coro-no-prefetch,2,10,100,80,1,1,2642,0.033025,0,4,1,3626434,7733970,3719513,11832
svm,6,coro-prefetch,2,10,100,80,1,1,2735,0.0341875,1,4,1,3741073,8293970,3799170,7341
svm,0,control,1,10,100,80,1,1,1080,0.0135,1,4,1,1181030,2484285,533165,9990
svm,5,coro-no-prefetch,2,10,100,80,1,1,2705,0.0338125,0,4,1,3631430,7733970,3719453,11937
svm,6,coro-prefetch,2,10,100,80,1,1,2745,0.0343125,1,4,1,3745692,8293970,3799048,7379
svm,0,control,1,10,100,80,1,1,1026,0.012825,1,4,1,1175524,2484285,533159,9996
svm,5,coro-no-prefetch,2,10,100,80,1,1,2609,0.0326125,0,4,1,3626654,7733970,3719910,11666
svm,6,coro-prefetch,2,10,100,80,1,1,2729,0.0341125,1,4,1,3737841,8293970,3799088,7344
svm,0,control,1,10,100,80,1,1,973,0.0121625,1,4,1,1174640,2484285,533159,9912
svm,5,coro-no-prefetch,2,10,100,80,1,1,2676,0.03345,0,4,1,3634593,7733970,3719921,11755
svm,6,coro-prefetch,2,10,100,80,1,1,2805,0.0350625,1,4,1,3744086,8293970,3799059,7480
svm,0,control,1,10,100,80,1,1,973,0.0121625,1,4,1,1172351,2484285,533166,9912
svm,5,coro-no-prefetch,2,10,100,80,1,1,2609,0.0326125,0,4,1,3626057,7733970,3719505,11774
svm,6,coro-prefetch,2,10,100,80,1,1,2684,0.03355,1,4,1,3738727,8293970,3799106,7442
svm,0,control,1,10,100,80,1,1,1032,0.0129,1,4,1,1175484,2484285,533180,10002
svm,5,coro-no-prefetch,2,10,100,80,1,1,2689,0.0336125,0,4,1,3624611,7733970,3719468,11750
svm,6,coro-prefetch,2,10,100,80,1,1,2726,0.034075,1,4,1,3738514,8293970,3798950,7259
svm,0,control,1,10,100,80,1,1,974,0.012175,1,4,1,1174412,2484285,533159,9910
svm,5,coro-no-prefetch,2,10,100,80,1,1,2659,0.0332375,0,4,1,3626143,7733970,3719548,11866
svm,6,coro-prefetch,2,10,100,80,1,1,2716,0.03395,1,4,1,3738622,8293970,3799039,7236
svm,0,control,1,10,100,80,1,1,973,0.0121625,1,4,1,1174793,2484285,533162,9907
svm,5,coro-no-prefetch,2,10,100,80,1,1,2613,0.0326625,0,4,1,3629162,7733970,3719609,12107
svm,6,coro-prefetch,2,10,100,80,1,1,2725,0.0340625,1,4,1,3742439,8293970,3798884,7341
svm,0,control,1,10,100,80,1,1,974,0.012175,1,4,1,1175868,2484285,533156,9900
svm,5,coro-no-prefetch,2,10,100,80,1,1,2652,0.03315,0,4,1,3628062,7733970,3719441,11726
svm,6,coro-prefetch,2,10,100,80,1,1,2780,0.03475,1,4,1,3746254,8293970,3798980,7432
svm,0,control,1,10,100,80,2,1,1202,0.0075125,1,4,1,1580416,3124285,692515,16039
svm,5,coro-no-prefetch,2,10,100,80,2,1,2904,0.01815,0,4,1,3976558,8374523,3879690,18151
svm,6,coro-prefetch,2,10,100,80,2,1,2916,0.018225,1,4,1,4079365,8933970,3960065,8405
svm,0,control,1,10,100,80,2,1,1324,0.008275,1,4,1,1579300,3124285,692534,15997
svm,5,coro-no-prefetch,2,10,100,80,2,1,2877,0.0179813,0,4,1,3960411,8373970,3878262,17874
svm,6,coro-prefetch,2,10,100,80,2,1,2911,0.0181938,1,4,1,4076365,8933970,3958220,8558
svm,0,control,1,10,100,80,2,1,1245,0.00778125,1,4,1,1578771,3124285,692484,16040
svm,5,coro-no-prefetch,2,10,100,80,2,1,2837,0.0177313,0,4,1,3968378,8373970,3878018,17926
svm,6,coro-prefetch,2,10,100,80,2,1,2957,0.0184813,1,4,1,4076064,8933970,3959395,8877
svm,0,control,1,10,100,80,2,1,1289,0.00805625,1,4,1,1581234,3124285,692509,16065
