model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,800,1,1,17117,0.0213962,1,4,1,6776230,24052534,241773,17102
svm,5,coro-no-prefetch,2,10,100,800,1,1,5310,0.0066375,0,4,1,19921519,77967437,243325,18794
svm,6,coro-prefetch,2,10,100,800,1,1,6759,0.00844875,1,4,1,25487184,95566727,238857,19473
svm,0,control,1,10,100,800,1,1,1834,0.0022925,1,4,1,6764075,24052535,242761,15463
svm,5,coro-no-prefetch,2,10,100,800,1,1,5168,0.00646,0,4,1,19911882,77966726,243312,18733
svm,6,coro-prefetch,2,10,100,800,1,1,6675,0.00834375,1,4,1,25490985,95566726,238681,18549
svm,0,control,1,10,100,800,1,1,1820,0.002275,1,4,1,6742220,24052534,241970,15350
svm,5,coro-no-prefetch,2,10,100,800,1,1,5312,0.00664,0,4,1,19977081,77966727,243772,19269
svm,6,coro-prefetch,2,10,100,800,1,1,6590,0.0082375,1,4,1,25436926,95566727,238916,18675
svm,0,control,1,10,100,800,1,1,1822,0.0022775,1,4,1,6748510,24052534,241641,15372
svm,5,coro-no-prefetch,2,10,100,800,1,1,5276,0.006595,0,4,1,19946683,77966726,243420,18881
svm,6,coro-prefetch,2,10,100,800,1,1,6709,0.00838625,1,4,1,25462689,95566727,239361,18933
svm,0,control,1,10,100,800,1,1,1786,0.0022325,1,4,1,6759456,24052535,242496,15282
svm,5,coro-no-prefetch,2,10,100,800,1,1,5263,0.00657875,0,4,1,19895615,77966726,244360,18679
svm,6,coro-prefetch,2,10,100,800,1,1,6584,0.00823,1,4,1,25417687,95566727,238594,18942
svm,0,control,1,10,100,800,1,1,1786,0.0022325,1,4,1,6763265,24052535,242743,15315
svm,5,coro-no-prefetch,2,10,100,800,1,1,5181,0.00647625,0,4,1,19970456,77966726,243991,18766
svm,6,coro-prefetch,2,10,100,800,1,1,6626,0.0082825,1,4,1,25599284,95566726,238676,18464
svm,0,control,1,10,100,800,1,1,1787,0.00223375,1,4,1,6768059,24052535,241827,15859
svm,5,coro-no-prefetch,2,10,100,800,1,1,5169,0.00646125,0,4,1,19906566,77966726,243583,18867
svm,6,coro-prefetch,2,10,100,800,1,1,6617,0.00827125,1,4,1,25553600,95566726,238646,18367
svm,0,control,1,10,100,800,1,1,1775,0.00221875,1,4,1,6744743,24052534,241700,15241
svm,5,coro-no-prefetch,2,10,100,800,1,1,5160,0.00645,0,4,1,19877935,77966727,243652,19067
svm,6,coro-prefetch,2,10,100,800,1,1,6574,0.0082175,1,4,1,25387480,95566726,239099,18549
svm,0,control,1,10,100,800,1,1,1775,0.00221875,1,4,1,6745503,24052534,241682,15187
svm,5,coro-no-prefetch,2,10,100,800,1,1,5191,0.00648875,0,4,1,20008723,77966726,243801,18814
svm,6,coro-prefetch,2,10,100,800,1,1,6595,0.00824375,1,4,1,25467452,95566727,239568,18521
svm,0,control,1,10,100,800,1,1,1783,0.00222875,1,4,1,6756496,24052535,241834,15367
svm,5,coro-no-prefetch,2,10,100,800,1,1,5161,0.00645125,0,4,1,19888278,77966726,244534,18748
svm,6,coro-prefetch,2,10,100,800,1,1,6610,0.0082625,1,4,1,25505625,95566727,238102,18069
svm,0,control,1,10,100,800,2,1,2211,0.00138188,1,4,1,8441889,28852535,365975,28135
svm,5,coro-no-prefetch,2,10,100,800,2,1,5584,0.00349,0,4,1,21520152,82767549,364382,32796
svm,6,coro-prefetch,2,10,100,800,2,1,6801,0.00425063,1,4,1,26281802,100366726,363347,32468
svm,0,control,1,10,100,800,2,1,2015,0.00125938,1,4,1,7657549,28852535,365495,28207
svm,5,coro-no-prefetch,2,10,100,800,2,1,5580,0.0034875,0,4,1,21529690,82766726,364203,32728
svm,6,coro-prefetch,2,10,100,800,2,1,6807,0.00425438,1,4,1,26299339,100366726,363230,32405
svm,0,control,1,10,100,800,2,1,2005,0.00125312,1,4,1,7650860,28852534,364622,28123
svm,5,coro-no-prefetch,2,10,100,800,2,1,5578,0.00348625,0,4,1,21511114,82766727,364043,32519
svm,6,coro-prefetch,2,10,100,800,2,1,6805,0.00425312,1,4,1,26284411,100366726,363566,32836
svm,0,control,1,10,100,800,2,1,2006,0.00125375,1,4,1,7649293,28852534,364468,27879
svm,5,coro-no-prefetch,2,10,100,800,2,1,5584,0.00349,0,4,1,21536185,82766727,364890,33679
svm,6,coro-prefetch,2,10,100,800,2,1,6812,0.0042575,1,4,1,26313798,100366727,363076,32538
svm,0,control,1,10,100,800,2,1,2005,0.00125312,1,4,1,7653920,28852534,364901,27856
svm,5,coro-no-prefetch,2,10,100,800,2,1,5594,0.00349625,0,4,1,21576892,82766726,364103,32513
svm,6,coro-prefetch,2,10,100,800,2,1,6838,0.00427375,1,4,1,26422488,100366727,364089,33633
