model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,400,1,1,13284,0.03321,1,4,1,3030329,12144034,94438,10073
svm,5,coro-no-prefetch,2,10,100,400,1,1,2729,0.0068225,0,4,1,10165057,39258937,105796,12729
svm,6,coro-prefetch,2,10,100,400,1,1,3089,0.0077225,1,4,1,11566515,48058226,103948,12415
svm,0,control,1,10,100,400,1,1,840,0.0021,1,4,1,3042727,12144035,96186,9398
svm,5,coro-no-prefetch,2,10,100,400,1,1,2709,0.0067725,0,4,1,10121506,39258226,106009,12360
svm,6,coro-prefetch,2,10,100,400,1,1,3089,0.0077225,1,4,1,11572829,48058226,103209,12384
svm,0,control,1,10,100,400,1,1,832,0.00208,1,4,1,3031442,12144034,93823,9418
svm,5,coro-no-prefetch,2,10,100,400,1,1,2701,0.0067525,0,4,1,10121945,39258225,103237,12328
svm,6,coro-prefetch,2,10,100,400,1,1,3134,0.007835,1,4,1,11592472,48058226,102316,12431
svm,0,control,1,10,100,400,1,1,832,0.00208,1,4,1,3035611,12144034,93735,9265
svm,5,coro-no-prefetch,2,10,100,400,1,1,2700,0.00675,0,4,1,10115146,39258225,103771,12379
svm,6,coro-prefetch,2,10,100,400,1,1,3085,0.0077125,1,4,1,11577062,48058225,101501,12509
svm,0,control,1,10,100,400,1,1,832,0.00208,1,4,1,3032915,12144034,90491,8747
svm,5,coro-no-prefetch,2,10,100,400,1,1,2706,0.006765,0,4,1,10136419,39258225,100819,11428
svm,6,coro-prefetch,2,10,100,400,1,1,3083,0.0077075,1,4,1,11563879,48058225,98203,11546
svm,0,control,1,10,100,400,1,1,844,0.00211,1,4,1,3081636,12144034,88835,8559
svm,5,coro-no-prefetch,2,10,100,400,1,1,2716,0.00679,0,4,1,10186250,39258225,99356,11142
svm,6,coro-prefetch,2,10,100,400,1,1,3091,0.0077275,1,4,1,11592932,48058225,97264,11223
svm,0,control,1,10,100,400,1,1,843,0.0021075,1,4,1,3081206,12144034,89322,8584
svm,5,coro-no-prefetch,2,10,100,400,1,1,2722,0.006805,0,4,1,10184204,39258226,102423,11270
svm,6,coro-prefetch,2,10,100,400,1,1,3096,0.00774,1,4,1,11592208,48058226,96898,11174
svm,0,control,1,10,100,400,1,1,844,0.00211,1,4,1,3075432,12144034,89714,8493
svm,5,coro-no-prefetch,2,10,100,400,1,1,2742,0.006855,0,4,1,10254959,39258226,102954,10964
svm,6,coro-prefetch,2,10,100,400,1,1,3094,0.007735,1,4,1,11588756,48058226,98070,11136
svm,0,control,1,10,100,400,1,1,848,0.00212,1,4,1,3075533,12144035,90620,8648
