model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
svm,0,control,1,10,100,80,1,1,17779,0.222238,1,8,1,1155156,1768500,406209,15822
svm,5,coro-no-prefetch,2,10,100,80,1,1,2675,0.0334375,0,8,1,3583975,7432536,3510171,22721
svm,6,coro-prefetch,2,10,100,80,1,1,2623,0.0327875,1,8,1,3588638,7991980,3426434,13100
svm,0,control,1,10,100,80,1,1,957,0.0119625,1,8,1,1147226,1768500,406203,15756
svm,5,coro-no-prefetch,2,10,100,80,1,1,2592,0.0324,0,8,1,3602618,7431980,3509754,22670
svm,6,coro-prefetch,2,10,100,80,1,1,2577,0.0322125,1,8,1,3583912,7991980,3425957,12956
svm,0,control,1,10,100,80,1,1,957,0.0119625,1,8,1,1154545,1768500,406202,15806
svm,5,coro-no-prefetch,2,10,100,80,1,1,2582,0.032275,0,8,1,3592445,7431980,3509583,22644
svm,6,coro-prefetch,2,10,100,80,1,1,2675,0.0334375,1,8,1,3590508,7991980,3426068,12993
svm,0,control,1,10,100,80,1,1,958,0.011975,1,8,1,1153627,1768500,406207,15859
svm,5,coro-no-prefetch,2,10,100,80,1,1,2582,0.032275,0,8,1,3590971,7431980,3509646,22485
svm,6,coro-prefetch,2,10,100,80,1,1,2578,0.032225,1,8,1,3582526,7991980,3425911,12955
svm,0,control,1,10,100,80,1,1,956,0.01195,1,8,1,1155290,1768500,406203,15824
svm,5,coro-no-prefetch,2,10,100,80,1,1,2688,0.0336,0,8,1,3589128,7431980,3509645,22624
svm,6,coro-prefetch,2,10,100,80,1,1,2678,0.033475,1,8,1,3587766,7991980,3426040,12927
svm,0,control,1,10,100,80,1,1,1057,0.0132125,1,8,1,1149876,1768500,406210,15830
svm,5,coro-no-prefetch,2,10,100,80,1,1,2577,0.0322125,0,8,1,3590413,7431980,3509797,22504
svm,6,coro-prefetch,2,10,100,80,1,1,2571,0.0321375,1,8,1,3574491,7991980,3425889,12920
svm,0,control,1,10,100,80,1,1,949,0.0118625,1,8,1,1150606,1768500,406203,15813
svm,5,coro-no-prefetch,2,10,100,80,1,1,2653,0.0331625,0,8,1,3591070,7431980,3509667,22635
svm,6,coro-prefetch,2,10,100,80,1,1,2662,0.033275,1,8,1,3583393,7991980,3425802,13016
svm,0,control,1,10,100,80,1,1,956,0.01195,1,8,1,1149208,1768500,406202,15898
svm,5,coro-no-prefetch,2,10,100,80,1,1,2588,0.03235,0,8,1,3591854,7431980,3509520,22595
