model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,200,1,2,15976,0.07988,1,2,1,2118468,4677896,3263,2873
norm,5,coro-no-prefetch,4,10,100,200,1,2,1557,0.007785,0,2,1,5750071,18707682,8552,6029
norm,6,coro-prefetch,4,10,100,200,1,2,1720,0.0086,1,2,1,6389712,23306235,7422,5260
norm,0,control,1,10,100,200,1,2,594,0.00297,1,2,1,2121870,4677896,3300,2786
norm,5,coro-no-prefetch,4,10,100,200,1,2,1558,0.00779,0,2,1,5765887,18706236,8908,5437
norm,6,coro-prefetch,4,10,100,200,1,2,1726,0.00863,1,2,1,6385547,23306236,8836,5210
norm,0,control,1,10,100,200,1,2,584,0.00292,1,2,1,2091220,4677896,3180,2770
norm,5,coro-no-prefetch,4,10,100,200,1,2,1547,0.007735,0,2,1,5737943,18706235,8291,5347
norm,6,coro-prefetch,4,10,100,200,1,2,1715,0.008575,1,2,1,6377094,23306235,8434,5138
norm,0,control,1,10,100,200,1,2,585,0.002925,1,2,1,2090585,4677896,3197,2736
norm,5,coro-no-prefetch,4,10,100,200,1,2,1591,0.007955,0,2,1,5745083,18706236,8986,5334
norm,6,coro-prefetch,4,10,100,200,1,2,1721,0.008605,1,2,1,6370182,23306236,8637,5130
norm,0,control,1,10,100,200,1,2,585,0.002925,1,2,1,2091995,4677896,3291,2764
norm,5,coro-no-prefetch,4,10,100,200,1,2,1543,0.007715,0,2,1,5727743,18706235,7877,5022
norm,6,coro-prefetch,4,10,100,200,1,2,1714,0.00857,1,2,1,6372204,23306235,8467,4896
norm,0,control,1,10,100,200,1,2,586,0.00293,1,2,1,2090693,4677896,3361,2730
norm,5,coro-no-prefetch,4,10,100,200,1,2,1545,0.007725,0,2,1,5729746,18706235,8009,5232
norm,6,coro-prefetch,4,10,100,200,1,2,1712,0.00856,1,2,1,6363756,23306235,8435,4929
norm,0,control,1,10,100,200,1,2,584,0.00292,1,2,1,2089508,4677896,3199,2674
norm,5,coro-no-prefetch,4,10,100,200,1,2,1553,0.007765,0,2,1,5736454,18706236,8244,5112
norm,6,coro-prefetch,4,10,100,200,1,2,1718,0.00859,1,2,1,6361135,23306236,8762,4917
norm,0,control,1,10,100,200,1,2,583,0.002915,1,2,1,2090005,4677896,3267,2735
norm,5,coro-no-prefetch,4,10,100,200,1,2,1544,0.00772,0,2,1,5728134,18706235,7501,5058
norm,6,coro-prefetch,4,10,100,200,1,2,1711,0.008555,1,2,1,6362077,23306235,7791,4904
norm,0,control,1,10,100,200,1,2,585,0.002925,1,2,1,2090754,4677896,3390,2661
norm,5,coro-no-prefetch,4,10,100,200,1,2,1550,0.00775,0,2,1,5731183,18706236,9051,5070
