model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,80,1,2,17295,0.216188,1,2,1,6346396,6782143,429213,4614
norm,5,coro-no-prefetch,2,10,100,80,1,2,6609,0.0826125,0,2,1,9401804,12690087,3941819,6453
norm,6,coro-prefetch,2,10,100,80,1,2,6671,0.0833875,1,2,1,9548367,13249710,4020949,4241
norm,0,control,1,10,100,80,1,2,4508,0.05635,1,2,1,6353441,6782143,429215,4628
norm,5,coro-no-prefetch,2,10,100,80,1,2,6568,0.0821,0,2,1,9388554,12689710,3941017,6464
norm,6,coro-prefetch,2,10,100,80,1,2,6579,0.0822375,1,2,1,9534201,13249710,4020568,4097
norm,0,control,1,10,100,80,1,2,4450,0.055625,1,2,1,6340549,6782143,429226,4614
norm,5,coro-no-prefetch,2,10,100,80,1,2,6487,0.0810875,0,2,1,9399391,12689710,3941124,6325
norm,6,coro-prefetch,2,10,100,80,1,2,6577,0.0822125,1,2,1,9540621,13249710,4020402,4104
norm,0,control,1,10,100,80,1,2,4535,0.0566875,1,2,1,6346646,6782143,429224,4658
norm,5,coro-no-prefetch,2,10,100,80,1,2,6475,0.0809375,0,2,1,9393918,12689710,3941095,6057
norm,6,coro-prefetch,2,10,100,80,1,2,6666,0.083325,1,2,1,9539684,13249710,4020424,4223
norm,0,control,1,10,100,80,1,2,4502,0.056275,1,2,1,6342776,6782143,429218,4667
norm,5,coro-no-prefetch,2,10,100,80,1,2,6563,0.0820375,0,2,1,9394250,12689710,3941204,6315
norm,6,coro-prefetch,2,10,100,80,1,2,6584,0.0823,1,2,1,9543406,13249710,4020423,4156
norm,0,control,1,10,100,80,1,2,4521,0.0565125,1,2,1,6354964,6782143,429203,4707
norm,5,coro-no-prefetch,2,10,100,80,1,2,6587,0.0823375,0,2,1,9401021,12689710,3940920,6402
norm,6,coro-prefetch,2,10,100,80,1,2,6612,0.08265,1,2,1,9545502,13249710,4020375,4137
norm,0,control,1,10,100,80,1,2,4509,0.0563625,1,2,1,6356834,6782143,429223,4722
norm,5,coro-no-prefetch,2,10,100,80,1,2,6550,0.081875,0,2,1,9395993,12689710,3941107,6192
norm,6,coro-prefetch,2,10,100,80,1,2,6664,0.0833,1,2,1,9551417,13249710,4020380,4647
norm,0,control,1,10,100,80,1,2,4508,0.05635,1,2,1,6354956,6782143,429215,4627
norm,5,coro-no-prefetch,2,10,100,80,1,2,6470,0.080875,0,2,1,9382428,12689710,3940792,5885
norm,6,coro-prefetch,2,10,100,80,1,2,6570,0.082125,1,2,1,9536763,13249710,4020342,4021
norm,0,control,1,10,100,80,1,2,4483,0.0560375,1,2,1,6350631,6782143,429212,4701
norm,5,coro-no-prefetch,2,10,100,80,1,2,6487,0.0810875,0,2,1,9394663,12689710,3940694,6111
norm,6,coro-prefetch,2,10,100,80,1,2,6609,0.0826125,1,2,1,9537875,13249710,4020296,4146
