model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,200,1,2,14400,0.072,1,4,1,6438516,5496146,11950,4878
norm,5,coro-no-prefetch,4,10,100,200,1,2,3148,0.01574,0,4,1,11745022,19727306,19743,7450
norm,6,coro-prefetch,4,10,100,200,1,2,3444,0.01722,1,4,1,12889110,24525486,19478,7570
norm,0,control,1,10,100,200,1,2,1741,0.008705,1,4,1,6420774,5496146,11035,4754
norm,5,coro-no-prefetch,4,10,100,200,1,2,3146,0.01573,0,4,1,11741864,19725486,21735,7715
norm,6,coro-prefetch,4,10,100,200,1,2,3359,0.016795,1,4,1,12894672,24525486,19806,7504
norm,0,control,1,10,100,200,1,2,1741,0.008705,1,4,1,6427271,5496147,12246,4813
norm,5,coro-no-prefetch,4,10,100,200,1,2,3142,0.01571,0,4,1,11735605,19725486,21409,7509
norm,6,coro-prefetch,4,10,100,200,1,2,3445,0.017225,1,4,1,12882584,24525486,19990,7497
norm,0,control,1,10,100,200,1,2,1732,0.00866,1,4,1,6416354,5496146,11664,4752
norm,5,coro-no-prefetch,4,10,100,200,1,2,3133,0.015665,0,4,1,11729388,19725485,18053,7367
norm,6,coro-prefetch,4,10,100,200,1,2,3442,0.01721,1,4,1,12879637,24525486,20138,7429
norm,0,control,1,10,100,200,1,2,1744,0.00872,1,4,1,6425774,5496147,13168,4890
norm,5,coro-no-prefetch,4,10,100,200,1,2,3143,0.015715,0,4,1,11731505,19725487,21085,7451
norm,6,coro-prefetch,4,10,100,200,1,2,3438,0.01719,1,4,1,12876571,24525485,17899,7569
norm,0,control,1,10,100,200,1,2,1733,0.008665,1,4,1,6415907,5496146,11343,4800
norm,5,coro-no-prefetch,4,10,100,200,1,2,3133,0.015665,0,4,1,11730222,19725485,17071,7387
norm,6,coro-prefetch,4,10,100,200,1,2,3455,0.017275,1,4,1,12912658,24525486,21550,7492
norm,0,control,1,10,100,200,1,2,1741,0.008705,1,4,1,6422183,5496147,13391,4993
norm,5,coro-no-prefetch,4,10,100,200,1,2,3140,0.0157,0,4,1,11727416,19725486,20867,7434
norm,6,coro-prefetch,4,10,100,200,1,2,3354,0.01677,1,4,1,12875382,24525486,20407,7520
norm,0,control,1,10,100,200,1,2,1732,0.00866,1,4,1,6415254,5496146,11319,4799
norm,5,coro-no-prefetch,4,10,100,200,1,2,3132,0.01566,0,4,1,11727761,19725485,18913,7277
norm,6,coro-prefetch,4,10,100,200,1,2,3358,0.01679,1,4,1,12891986,24525486,21405,7498
norm,0,control,1,10,100,200,1,2,1737,0.008685,1,4,1,6419745,5496147,12675,4911
norm,5,coro-no-prefetch,4,10,100,200,1,2,3066,0.01533,0,4,1,11750884,19725486,21005,7356
norm,6,coro-prefetch,4,10,100,200,1,2,3446,0.01723,1,4,1,12889119,24525486,20645,7430
norm,0,control,1,10,100,200,1,2,1733,0.008665,1,4,1,6416889,5496146,11513,4846
norm,5,coro-no-prefetch,4,10,100,200,1,2,3143,0.015715,0,4,1,11740022,19725486,19181,7625
norm,6,coro-prefetch,4,10,100,200,1,2,3444,0.01722,1,4,1,12878428,24525486,19505,7578
norm,0,control,1,10,100,200,2,2,3408,0.00852,1,4,1,12775353,9139896,91551,9168
norm,5,coro-no-prefetch,4,10,100,200,2,2,4715,0.0117875,0,4,1,17662287,24370217,111817,12341
norm,6,coro-prefetch,4,10,100,200,2,2,4966,0.012415,1,4,1,18642706,29168236,107747,11993
norm,0,control,1,10,100,200,2,2,3373,0.0084325,1,4,1,12628605,9139896,91409,9085
norm,5,coro-no-prefetch,4,10,100,200,2,2,4581,0.0114525,0,4,1,17651194,24368236,110243,12114
norm,6,coro-prefetch,4,10,100,200,2,2,4957,0.0123925,1,4,1,18602068,29168236,107436,12259
norm,0,control,1,10,100,200,2,2,3418,0.008545,1,4,1,12802286,9139896,91553,9431
norm,5,coro-no-prefetch,4,10,100,200,2,2,4704,0.01176,0,4,1,17651427,24368236,107661,11847
norm,6,coro-prefetch,4,10,100,200,2,2,4961,0.0124025,1,4,1,18620070,29168236,103785,11784
norm,0,control,1,10,100,200,2,2,3419,0.0085475,1,4,1,12780435,9139897,98907,9599
norm,5,coro-no-prefetch,4,10,100,200,2,2,4709,0.0117725,0,4,1,17659266,24368236,106678,11696
norm,6,coro-prefetch,4,10,100,200,2,2,4910,0.012275,1,4,1,18602878,29168236,102699,12028
norm,0,control,1,10,100,200,2,2,3410,0.008525,1,4,1,12795189,9139897,94506,9204
norm,5,coro-no-prefetch,4,10,100,200,2,2,4682,0.011705,0,4,1,17663254,24368236,106331,11913
norm,6,coro-prefetch,4,10,100,200,2,2,4930,0.012325,1,4,1,18638627,29168237,109950,12505
norm,0,control,1,10,100,200,2,2,3412,0.00853,1,4,1,12793016,9139897,93913,9329
norm,5,coro-no-prefetch,4,10,100,200,2,2,4679,0.0116975,0,4,1,17678855,24368237,108487,12124
norm,6,coro-prefetch,4,10,100,200,2,2,4911,0.0122775,1,4,1,18628990,29168236,104550,12063
norm,0,control,1,10,100,200,2,2,3391,0.0084775,1,4,1,12798455,9139897,94676,9197
norm,5,coro-no-prefetch,4,10,100,200,2,2,4663,0.0116575,0,4,1,17662326,24368236,106791,11998
norm,6,coro-prefetch,4,10,100,200,2,2,4826,0.012065,1,4,1,18600025,29168236,103994,11848
norm,0,control,1,10,100,200,2,2,3370,0.008425,1,4,1,12799150,9139897,97279,9418
norm,5,coro-no-prefetch,4,10,100,200,2,2,4662,0.011655,0,4,1,17645005,24368236,110311,12005
norm,6,coro-prefetch,4,10,100,200,2,2,4950,0.012375,1,4,1,18795493,29168236,106550,12181
norm,0,control,1,10,100,200,2,2,3419,0.0085475,1,4,1,12826054,9139897,99484,9602
norm,5,coro-no-prefetch,4,10,100,200,2,2,4658,0.011645,0,4,1,17660831,24368236,111028,12084
norm,6,coro-prefetch,4,10,100,200,2,2,4914,0.012285,1,4,1,18603283,29168237,109257,12433
norm,0,control,1,10,100,200,2,2,3414,0.008535,1,4,1,12801455,9139897,98408,9615
norm,5,coro-no-prefetch,4,10,100,200,2,2,4670,0.011675,0,4,1,17644238,24368237,109984,12209
norm,6,coro-prefetch,4,10,100,200,2,2,4937,0.0123425,1,4,1,18730704,29168236,106673,12149
norm,0,control,1,10,100,200,3,2,4788,0.00798,1,4,1,18018133,11448397,165176,11830
norm,5,coro-no-prefetch,4,10,100,200,3,2,6305,0.0105083,0,4,1,24026271,26879717,167000,14565
norm,6,coro-prefetch,4,10,100,200,3,2,6552,0.01092,1,4,1,25007054,31677736,161835,14366
norm,0,control,1,10,100,200,3,2,4734,0.00789,1,4,1,18019208,11448397,163873,11768
norm,5,coro-no-prefetch,4,10,100,200,3,2,6314,0.0105233,0,4,1,24083055,26877737,167938,15327
norm,6,coro-prefetch,4,10,100,200,3,2,6539,0.0108983,1,4,1,25010945,31677737,162092,14577
norm,0,control,1,10,100,200,3,2,4728,0.00788,1,4,1,18022860,11448397,164257,11756
norm,5,coro-no-prefetch,4,10,100,200,3,2,6367,0.0106117,0,4,1,24290701,26877737,172657,15991
norm,6,coro-prefetch,4,10,100,200,3,2,6601,0.0110017,1,4,1,25019171,31677737,164312,15434
norm,0,control,1,10,100,200,3,2,4742,0.00790333,1,4,1,18015735,11448398,163793,12330
norm,5,coro-no-prefetch,4,10,100,200,3,2,6228,0.01038,0,4,1,24034506,26877737,167874,14467
norm,6,coro-prefetch,4,10,100,200,3,2,6540,0.0109,1,4,1,25012971,31677737,163455,14384
norm,0,control,1,10,100,200,3,2,4731,0.007885,1,4,1,18019695,11448397,164691,11711
norm,5,coro-no-prefetch,4,10,100,200,3,2,6327,0.010545,0,4,1,24044503,26877736,166054,14382
norm,6,coro-prefetch,4,10,100,200,3,2,6561,0.010935,1,4,1,25026463,31677737,162643,14326
norm,0,control,1,10,100,200,3,2,4750,0.00791667,1,4,1,18017668,11448397,163608,11697
norm,5,coro-no-prefetch,4,10,100,200,3,2,6277,0.0104617,0,4,1,24041738,26877736,167113,14517
norm,6,coro-prefetch,4,10,100,200,3,2,6556,0.0109267,1,4,1,25036475,31677736,162426,14345
norm,0,control,1,10,100,200,3,2,4737,0.007895,1,4,1,18018234,11448397,164245,11767
norm,5,coro-no-prefetch,4,10,100,200,3,2,6304,0.0105067,0,4,1,24061476,26877736,166755,14870
norm,6,coro-prefetch,4,10,100,200,3,2,6533,0.0108883,1,4,1,24995159,31677736,161687,14336
norm,0,control,1,10,100,200,3,2,4680,0.0078,1,4,1,18015357,11448397,164157,11793
norm,5,coro-no-prefetch,4,10,100,200,3,2,6311,0.0105183,0,4,1,24073567,26877737,167926,15137
norm,6,coro-prefetch,4,10,100,200,3,2,6474,0.01079,1,4,1,24995160,31677737,161399,14533
norm,0,control,1,10,100,200,3,2,4677,0.007795,1,4,1,18012337,11448397,163318,11682
norm,5,coro-no-prefetch,4,10,100,200,3,2,6231,0.010385,0,4,1,24057630,26877737,167770,14247
norm,6,coro-prefetch,4,10,100,200,3,2,6477,0.010795,1,4,1,25004706,31677737,162550,14341
norm,0,control,1,10,100,200,3,2,4730,0.00788333,1,4,1,18021397,11448397,163478,11720
norm,5,coro-no-prefetch,4,10,100,200,3,2,6285,0.010475,0,4,1,24034944,26877736,166674,14370
norm,6,coro-prefetch,4,10,100,200,3,2,6556,0.0109267,1,4,1,25023740,31677737,163321,14345
norm,0,control,1,10,100,200,4,2,6369,0.00796125,1,4,1,24621909,14848397,235393,15658
norm,5,coro-no-prefetch,4,10,100,200,4,2,7945,0.00993125,0,4,1,30323745,30078718,236908,19625
norm,6,coro-prefetch,4,10,100,200,4,2,8207,0.0102588,1,4,1,31171253,34876737,232919,19362
norm,0,control,1,10,100,200,4,2,6522,0.0081525,1,4,1,24634717,14848397,236071,15753
norm,5,coro-no-prefetch,4,10,100,200,4,2,7963,0.00995375,0,4,1,30297895,30076737,236258,19247
norm,6,coro-prefetch,4,10,100,200,4,2,8074,0.0100925,1,4,1,31079139,34876737,231777,19868
norm,0,control,1,10,100,200,4,2,6528,0.00816,1,4,1,24603725,14848397,236055,15745
norm,5,coro-no-prefetch,4,10,100,200,4,2,7994,0.0099925,0,4,1,30317683,30076737,236476,19280
norm,6,coro-prefetch,4,10,100,200,4,2,8122,0.0101525,1,4,1,31126582,34876737,232253,20071
norm,0,control,1,10,100,200,4,2,6526,0.0081575,1,4,1,24640652,14848397,236108,15750
norm,5,coro-no-prefetch,4,10,100,200,4,2,7970,0.0099625,0,4,1,30303624,30076737,236035,19319
norm,6,coro-prefetch,4,10,100,200,4,2,8143,0.0101788,1,4,1,31102236,34876737,231701,19856
norm,0,control,1,10,100,200,4,2,6547,0.00818375,1,4,1,24647510,14848398,236499,15682
norm,5,coro-no-prefetch,4,10,100,200,4,2,7924,0.009905,0,4,1,30338612,30076737,236272,19316
norm,6,coro-prefetch,4,10,100,200,4,2,8099,0.0101238,1,4,1,31124837,34876737,231888,19331
norm,0,control,1,10,100,200,4,2,6454,0.0080675,1,4,1,24632802,14848398,236290,15780
norm,5,coro-no-prefetch,4,10,100,200,4,2,7861,0.00982625,0,4,1,30261608,30076737,236529,19836
norm,6,coro-prefetch,4,10,100,200,4,2,8109,0.0101362,1,4,1,31060605,34876737,232246,19491
norm,0,control,1,10,100,200,4,2,6483,0.00810375,1,4,1,24638914,14848398,236132,16622
norm,5,coro-no-prefetch,4,10,100,200,4,2,7892,0.009865,0,4,1,30325573,30076736,235998,19127
norm,6,coro-prefetch,4,10,100,200,4,2,8079,0.0100988,1,4,1,31104341,34876737,231791,19444
norm,0,control,1,10,100,200,4,2,6439,0.00804875,1,4,1,24624629,14848397,235771,15797
norm,5,coro-no-prefetch,4,10,100,200,4,2,7889,0.00986125,0,4,1,30306159,30076737,236432,19383
norm,6,coro-prefetch,4,10,100,200,4,2,8074,0.0100925,1,4,1,31004142,34876737,232058,20542
norm,0,control,1,10,100,200,4,2,6545,0.00818125,1,4,1,24660798,14848398,236311,16183
norm,5,coro-no-prefetch,4,10,100,200,4,2,7908,0.009885,0,4,1,30294990,30076737,236112,19321
norm,6,coro-prefetch,4,10,100,200,4,2,8092,0.010115,1,4,1,31104815,34876737,231409,19320
norm,0,control,1,10,100,200,4,2,6463,0.00807875,1,4,1,24655051,14848398,236745,16623
norm,5,coro-no-prefetch,4,10,100,200,4,2,7903,0.00987875,0,4,1,30337501,30076737,236811,19654
norm,6,coro-prefetch,4,10,100,200,4,2,8051,0.0100637,1,4,1,31132878,34876737,232963,19247
norm,0,control,1,10,100,200,5,2,7887,0.007887,1,4,1,30225787,17248398,320185,20201
norm,5,coro-no-prefetch,4,10,100,200,5,2,9517,0.009517,0,4,1,36477113,32679718,318403,24192
