model,test_num,test_name,tasks,epochs,batch,height,width,dims,total,unit,pf,unitsize,lines,cpu_cycles,instructions,d_cache_reads,d_cache_misses
norm,0,control,1,10,100,200,1,2,14587,0.072935,1,4,1,6437243,5496146,11854,5066
norm,5,coro-no-prefetch,4,10,100,200,1,2,3080,0.0154,0,4,1,11527123,19727305,17336,7843
norm,6,coro-prefetch,4,10,100,200,1,2,3203,0.016015,1,4,1,11989512,24525486,18472,8022
norm,0,control,1,10,100,200,1,2,1721,0.008605,1,4,1,6383097,5496147,11692,5005
norm,5,coro-no-prefetch,4,10,100,200,1,2,3081,0.015405,0,4,1,11519268,19725486,17117,7851
norm,6,coro-prefetch,4,10,100,200,1,2,3201,0.016005,1,4,1,11984055,24525486,17719,7734
norm,0,control,1,10,100,200,1,2,1724,0.00862,1,4,1,6383584,5496147,11668,5065
norm,5,coro-no-prefetch,4,10,100,200,1,2,3076,0.01538,0,4,1,11518839,19725486,17429,7947
norm,6,coro-prefetch,4,10,100,200,1,2,3194,0.01597,1,4,1,11983563,24525485,15709,7796
norm,0,control,1,10,100,200,1,2,1718,0.00859,1,4,1,6385580,5496146,10947,4961
norm,5,coro-no-prefetch,4,10,100,200,1,2,3046,0.01523,0,4,1,11409844,19725486,17340,7910
norm,6,coro-prefetch,4,10,100,200,1,2,3188,0.01594,1,4,1,11937351,24525486,17301,7949
norm,0,control,1,10,100,200,1,2,1720,0.0086,1,4,1,6382452,5496147,12296,5036
norm,5,coro-no-prefetch,4,10,100,200,1,2,3114,0.01557,0,4,1,11516941,19725486,17844,8111
norm,6,coro-prefetch,4,10,100,200,1,2,3189,0.015945,1,4,1,11935697,24525486,17299,7876
norm,0,control,1,10,100,200,1,2,1717,0.008585,1,4,1,6384115,5496146,10756,4921
norm,5,coro-no-prefetch,4,10,100,200,1,2,3041,0.015205,0,4,1,11405627,19725485,15826,7418
norm,6,coro-prefetch,4,10,100,200,1,2,3226,0.01613,1,4,1,11943065,24525486,18376,7506
norm,0,control,1,10,100,200,1,2,1717,0.008585,1,4,1,6383729,5496146,11314,4854
norm,5,coro-no-prefetch,4,10,100,200,1,2,3080,0.0154,0,4,1,11526879,19725486,17573,7476
norm,6,coro-prefetch,4,10,100,200,1,2,3200,0.016,1,4,1,11982613,24525486,18040,7563
norm,0,control,1,10,100,200,1,2,1763,0.008815,1,4,1,6388248,5496147,12506,5032
norm,5,coro-no-prefetch,4,10,100,200,1,2,3074,0.01537,0,4,1,11508179,19725486,17889,7567
norm,6,coro-prefetch,4,10,100,200,1,2,3191,0.015955,1,4,1,11974956,24525485,16051,7397
norm,0,control,1,10,100,200,1,2,1717,0.008585,1,4,1,6383534,5496146,11332,4990
norm,5,coro-no-prefetch,4,10,100,200,1,2,3069,0.015345,0,4,1,11503562,19725485,16166,7475
norm,6,coro-prefetch,4,10,100,200,1,2,3199,0.015995,1,4,1,11984711,24525486,17698,7733
norm,0,control,1,10,100,200,1,2,1722,0.00861,1,4,1,6384802,5496147,12475,5056
norm,5,coro-no-prefetch,4,10,100,200,1,2,3118,0.01559,0,4,1,11532221,19725486,17927,7351
norm,6,coro-prefetch,4,10,100,200,1,2,3202,0.01601,1,4,1,11992792,24525486,17004,7371
norm,0,control,1,10,100,200,2,2,3500,0.00875,1,4,1,13143144,9139897,110900,9843
norm,5,coro-no-prefetch,4,10,100,200,2,2,4681,0.0117025,0,4,1,17569178,24370217,120697,12977
norm,6,coro-prefetch,4,10,100,200,2,2,4734,0.011835,1,4,1,17794230,29168236,117475,12820
norm,0,control,1,10,100,200,2,2,3501,0.0087525,1,4,1,13144532,9139896,109826,9592
norm,5,coro-no-prefetch,4,10,100,200,2,2,4673,0.0116825,0,4,1,17567665,24368236,115885,11718
norm,6,coro-prefetch,4,10,100,200,2,2,4751,0.0118775,1,4,1,17730808,29168236,113907,12075
norm,0,control,1,10,100,200,2,2,3479,0.0086975,1,4,1,13036403,9139897,108372,9579
norm,5,coro-no-prefetch,4,10,100,200,2,2,4658,0.011645,0,4,1,17509125,24368236,117129,12064
norm,6,coro-prefetch,4,10,100,200,2,2,4714,0.011785,1,4,1,17722010,29168237,113673,11849
norm,0,control,1,10,100,200,2,2,3478,0.008695,1,4,1,13037643,9139897,107854,9283
norm,5,coro-no-prefetch,4,10,100,200,2,2,4668,0.01167,0,4,1,17546817,24368236,117608,11859
norm,6,coro-prefetch,4,10,100,200,2,2,4709,0.0117725,1,4,1,17709085,29168236,113540,11764
norm,0,control,1,10,100,200,2,2,3479,0.0086975,1,4,1,13045623,9139896,105953,9226
norm,5,coro-no-prefetch,4,10,100,200,2,2,4668,0.01167,0,4,1,17548253,24368236,117451,11793
norm,6,coro-prefetch,4,10,100,200,2,2,4796,0.01199,1,4,1,17743908,29168237,115049,12481
norm,0,control,1,10,100,200,2,2,3430,0.008575,1,4,1,12859151,9139897,108604,9192
norm,5,coro-no-prefetch,4,10,100,200,2,2,4671,0.0116775,0,4,1,17545424,24368236,117002,11668
norm,6,coro-prefetch,4,10,100,200,2,2,4714,0.011785,1,4,1,17720394,29168236,112039,11772
norm,0,control,1,10,100,200,2,2,3472,0.00868,1,4,1,13038345,9139896,106581,9148
norm,5,coro-no-prefetch,4,10,100,200,2,2,4663,0.0116575,0,4,1,17540489,24368236,117632,11868
norm,6,coro-prefetch,4,10,100,200,2,2,4707,0.0117675,1,4,1,17708798,29168236,112441,11637
norm,0,control,1,10,100,200,2,2,3476,0.00869,1,4,1,13045292,9139897,108098,9298
norm,5,coro-no-prefetch,4,10,100,200,2,2,4674,0.011685,0,4,1,17571603,24368237,118502,11867
norm,6,coro-prefetch,4,10,100,200,2,2,4714,0.011785,1,4,1,17725352,29168236,112739,11600
norm,0,control,1,10,100,200,2,2,3478,0.008695,1,4,1,13042368,9139897,107118,9135
norm,5,coro-no-prefetch,4,10,100,200,2,2,4667,0.0116675,0,4,1,17554236,24368236,116901,11656
norm,6,coro-prefetch,4,10,100,200,2,2,4717,0.0117925,1,4,1,17733402,29168236,112950,11505
norm,0,control,1,10,100,200,2,2,3512,0.00878,1,4,1,13044447,9139897,108882,9226
norm,5,coro-no-prefetch,4,10,100,200,2,2,4674,0.011685,0,4,1,17577790,24368236,117062,11577
norm,6,coro-prefetch,4,10,100,200,2,2,4717,0.0117925,1,4,1,17738114,29168236,112193,11500
norm,0,control,1,10,100,200,3,2,4870,0.00811667,1,4,1,18332545,11448397,163187,11459
norm,5,coro-no-prefetch,4,10,100,200,3,2,6453,0.010755,0,4,1,24149799,26879717,162883,14334
norm,6,coro-prefetch,4,10,100,200,3,2,6442,0.0107367,1,4,1,24269005,31677737,156884,14283
norm,0,control,1,10,100,200,3,2,4875,0.008125,1,4,1,18320561,11448397,163535,11532
norm,5,coro-no-prefetch,4,10,100,200,3,2,6403,0.0106717,0,4,1,24125014,26877737,162716,14331
norm,6,coro-prefetch,4,10,100,200,3,2,6442,0.0107367,1,4,1,24270432,31677737,157613,14332
norm,0,control,1,10,100,200,3,2,4868,0.00811333,1,4,1,18308551,11448398,164687,11643
norm,5,coro-no-prefetch,4,10,100,200,3,2,6393,0.010655,0,4,1,24092715,26877737,163491,14366
norm,6,coro-prefetch,4,10,100,200,3,2,6451,0.0107517,1,4,1,24289971,31677737,157362,14211
norm,0,control,1,10,100,200,3,2,4871,0.00811833,1,4,1,18326790,11448397,164148,11405
norm,5,coro-no-prefetch,4,10,100,200,3,2,6405,0.010675,0,4,1,24130387,26877737,163626,14264
norm,6,coro-prefetch,4,10,100,200,3,2,6472,0.0107867,1,4,1,24255090,31677736,158411,14015
norm,0,control,1,10,100,200,3,2,4870,0.00811667,1,4,1,18312616,11448397,164830,11364
norm,5,coro-no-prefetch,4,10,100,200,3,2,6401,0.0106683,0,4,1,24118095,26877736,162891,14114
norm,6,coro-prefetch,4,10,100,200,3,2,6434,0.0107233,1,4,1,24246456,31677737,157600,14184
norm,0,control,1,10,100,200,3,2,4872,0.00812,1,4,1,18327601,11448397,164102,11436
norm,5,coro-no-prefetch,4,10,100,200,3,2,6400,0.0106667,0,4,1,24117021,26877736,163295,14136
norm,6,coro-prefetch,4,10,100,200,3,2,6422,0.0107033,1,4,1,24193492,31677737,158145,14076
norm,0,control,1,10,100,200,3,2,4861,0.00810167,1,4,1,18282503,11448397,163400,11368
norm,5,coro-no-prefetch,4,10,100,200,3,2,6379,0.0106317,0,4,1,24037844,26877736,163056,13955
norm,6,coro-prefetch,4,10,100,200,3,2,6426,0.01071,1,4,1,24214874,31677736,158050,14039
norm,0,control,1,10,100,200,3,2,4854,0.00809,1,4,1,18267732,11448397,164415,11318
norm,5,coro-no-prefetch,4,10,100,200,3,2,6415,0.0106917,0,4,1,24031371,26877737,163562,14353
norm,6,coro-prefetch,4,10,100,200,3,2,6430,0.0107167,1,4,1,24220342,31677737,158903,14231
norm,0,control,1,10,100,200,3,2,4859,0.00809833,1,4,1,18269086,11448398,163993,11530
norm,5,coro-no-prefetch,4,10,100,200,3,2,6373,0.0106217,0,4,1,24014748,26877737,164198,13829
norm,6,coro-prefetch,4,10,100,200,3,2,6458,0.0107633,1,4,1,24199026,31677737,159728,14121
norm,0,control,1,10,100,200,3,2,4862,0.00810333,1,4,1,18292613,11448397,163997,11302
norm,5,coro-no-prefetch,4,10,100,200,3,2,6378,0.01063,0,4,1,24027590,26877736,164117,13948
norm,6,coro-prefetch,4,10,100,200,3,2,6413,0.0106883,1,4,1,24177476,31677736,159265,13968
norm,0,control,1,10,100,200,4,2,6852,0.008565,1,4,1,25615815,14848398,231779,16351
norm,5,coro-no-prefetch,4,10,100,200,4,2,8005,0.0100062,0,4,1,30032044,30078718,239243,19714
norm,6,coro-prefetch,4,10,100,200,4,2,8096,0.01012,1,4,1,30387473,34876737,233837,19329
norm,0,control,1,10,100,200,4,2,6791,0.00848875,1,4,1,25595101,14848397,232681,16409
norm,5,coro-no-prefetch,4,10,100,200,4,2,7970,0.0099625,0,4,1,30053397,30076737,239025,19222
norm,6,coro-prefetch,4,10,100,200,4,2,8044,0.010055,1,4,1,30343978,34876737,237622,18968
norm,0,control,1,10,100,200,4,2,6794,0.0084925,1,4,1,25601342,14848398,247397,14930
norm,5,coro-no-prefetch,4,10,100,200,4,2,7974,0.0099675,0,4,1,30073945,30076737,243519,19673
norm,6,coro-prefetch,4,10,100,200,4,2,8045,0.0100562,1,4,1,30340593,34876737,237751,18509
norm,0,control,1,10,100,200,4,2,6786,0.0084825,1,4,1,25579245,14848398,246207,14974
norm,5,coro-no-prefetch,4,10,100,200,4,2,7973,0.00996625,0,4,1,30076989,30076737,243017,18797
norm,6,coro-prefetch,4,10,100,200,4,2,8053,0.0100663,1,4,1,30371445,34876737,237581,19203
norm,0,control,1,10,100,200,4,2,6794,0.0084925,1,4,1,25601967,14848398,246901,14848
norm,5,coro-no-prefetch,4,10,100,200,4,2,7963,0.00995375,0,4,1,30037741,30076737,243752,19024
norm,6,coro-prefetch,4,10,100,200,4,2,8093,0.0101163,1,4,1,30380611,34876737,238046,18548
norm,0,control,1,10,100,200,4,2,6791,0.00848875,1,4,1,25593830,14848398,247212,15637
norm,5,coro-no-prefetch,4,10,100,200,4,2,7968,0.00996,0,4,1,30049577,30076737,243397,18671
norm,6,coro-prefetch,4,10,100,200,4,2,8048,0.01006,1,4,1,30353975,34876737,238456,18730
norm,0,control,1,10,100,200,4,2,6793,0.00849125,1,4,1,25604501,14848397,247079,14910
norm,5,coro-no-prefetch,4,10,100,200,4,2,8005,0.0100062,0,4,1,30074236,30076737,244741,18604
norm,6,coro-prefetch,4,10,100,200,4,2,8050,0.0100625,1,4,1,30359481,34876737,237638,18584
norm,0,control,1,10,100,200,4,2,6789,0.00848625,1,4,1,25579725,14848398,247894,15009
norm,5,coro-no-prefetch,4,10,100,200,4,2,7959,0.00994875,0,4,1,30022419,30076737,243481,18493
norm,6,coro-prefetch,4,10,100,200,4,2,8048,0.01006,1,4,1,30355774,34876737,237387,18632
norm,0,control,1,10,100,200,4,2,6798,0.0084975,1,4,1,25628570,14848397,248087,14851
norm,5,coro-no-prefetch,4,10,100,200,4,2,7966,0.0099575,0,4,1,30044593,30076737,243396,18579
norm,6,coro-prefetch,4,10,100,200,4,2,8121,0.0101513,1,4,1,30372028,34876738,237497,18770
norm,0,control,1,10,100,200,4,2,6791,0.00848875,1,4,1,25586348,14848398,248292,14888
norm,5,coro-no-prefetch,4,10,100,200,4,2,7966,0.0099575,0,4,1,30053685,30076737,243501,18657
norm,6,coro-prefetch,4,10,100,200,4,2,8045,0.0100562,1,4,1,30347266,34876737,238322,18593
norm,0,control,1,10,100,200,5,2,8135,0.008135,1,4,1,30707525,17248398,314845,18842
norm,5,coro-no-prefetch,4,10,100,200,5,2,9528,0.009528,0,4,1,35945659,32679718,311771,23301
norm,6,coro-prefetch,4,10,100,200,5,2,9683,0.009683,1,4,1,36431708,37477737,309784,23135
norm,0,control,1,10,100,200,5,2,8180,0.00818,1,4,1,30683404,17248398,316060,18803
norm,5,coro-no-prefetch,4,10,100,200,5,2,9533,0.009533,0,4,1,35980336,32677738,311427,23713
norm,6,coro-prefetch,4,10,100,200,5,2,9651,0.009651,1,4,1,36429918,37477738,309979,23486
norm,0,control,1,10,100,200,5,2,8133,0.008133,1,4,1,30679918,17248398,315488,19464
norm,5,coro-no-prefetch,4,10,100,200,5,2,9558,0.009558,0,4,1,35941067,32677737,310324,23090
norm,6,coro-prefetch,4,10,100,200,5,2,9685,0.009685,1,4,1,36433766,37477737,308981,23080
norm,0,control,1,10,100,200,5,2,8128,0.008128,1,4,1,30656889,17248398,315367,18852
norm,5,coro-no-prefetch,4,10,100,200,5,2,9690,0.00969,0,4,1,36171048,32677737,312721,23956
norm,6,coro-prefetch,4,10,100,200,5,2,9642,0.009642,1,4,1,36395954,37477737,312434,23370
norm,0,control,1,10,100,200,5,2,8122,0.008122,1,4,1,30624147,17248398,316964,19205
norm,5,coro-no-prefetch,4,10,100,200,5,2,9547,0.009547,0,4,1,35951096,32677737,313089,22904
norm,6,coro-prefetch,4,10,100,200,5,2,9639,0.009639,1,4,1,36389001,37477737,312530,22914
norm,0,control,1,10,100,200,5,2,8129,0.008129,1,4,1,30659176,17248398,317911,18678
norm,5,coro-no-prefetch,4,10,100,200,5,2,9522,0.009522,0,4,1,35946245,32677737,313893,23074
norm,6,coro-prefetch,4,10,100,200,5,2,9650,0.00965,1,4,1,36437709,37477737,312894,23021
norm,0,control,1,10,100,200,5,2,8125,0.008125,1,4,1,30658469,17248398,317923,18591
norm,5,coro-no-prefetch,4,10,100,200,5,2,9528,0.009528,0,4,1,35964484,32677737,313831,23082
norm,6,coro-prefetch,4,10,100,200,5,2,9638,0.009638,1,4,1,36385563,37477737,312732,23174
norm,0,control,1,10,100,200,5,2,8120,0.00812,1,4,1,30636579,17248398,317879,18746
norm,5,coro-no-prefetch,4,10,100,200,5,2,9523,0.009523,0,4,1,35947023,32677738,313516,23302
norm,6,coro-prefetch,4,10,100,200,5,2,9646,0.009646,1,4,1,36417067,37477737,311832,22974
norm,0,control,1,10,100,200,5,2,8167,0.008167,1,4,1,30690780,17248398,318768,18536
norm,5,coro-no-prefetch,4,10,100,200,5,2,9564,0.009564,0,4,1,35970785,32677738,314720,23965
norm,6,coro-prefetch,4,10,100,200,5,2,9670,0.00967,1,4,1,36384038,37477738,312315,23180
norm,0,control,1,10,100,200,5,2,8120,0.00812,1,4,1,30638581,17248398,317898,18592
norm,5,coro-no-prefetch,4,10,100,200,5,2,9516,0.009516,0,4,1,35918945,32677738,313216,22860
norm,6,coro-prefetch,4,10,100,200,5,2,9685,0.009685,1,4,1,36422502,37477738,312678,23769
norm,0,control,1,10,100,200,6,2,9960,0.0083,1,4,1,37627823,20648398,351936,26132
norm,5,coro-no-prefetch,4,10,100,200,6,2,11104,0.00925333,0,4,1,41921060,35878718,359144,29280
norm,6,coro-prefetch,4,10,100,200,6,2,11210,0.00934167,1,4,1,42331862,40676738,357014,29139
norm,0,control,1,10,100,200,6,2,9936,0.00828,1,4,1,37481588,20648399,351995,26603
norm,5,coro-no-prefetch,4,10,100,200,6,2,11074,0.00922833,0,4,1,41823075,35876738,358960,29473
norm,6,coro-prefetch,4,10,100,200,6,2,11242,0.00936833,1,4,1,42325887,40676737,356883,29004
norm,0,control,1,10,100,200,6,2,9936,0.00828,1,4,1,37515491,20648398,351693,25866
norm,5,coro-no-prefetch,4,10,100,200,6,2,11115,0.0092625,0,4,1,41834004,35876738,358282,28860
norm,6,coro-prefetch,4,10,100,200,6,2,11208,0.00934,1,4,1,42339434,40676738,357860,29595
norm,0,control,1,10,100,200,6,2,9951,0.0082925,1,4,1,37562217,20648399,351852,26055
norm,5,coro-no-prefetch,4,10,100,200,6,2,11069,0.00922417,0,4,1,41809019,35876738,359151,29397
norm,6,coro-prefetch,4,10,100,200,6,2,11205,0.0093375,1,4,1,42332029,40676737,357570,29113
norm,0,control,1,10,100,200,6,2,9945,0.0082875,1,4,1,37550577,20648398,385399,22617
norm,5,coro-no-prefetch,4,10,100,200,6,2,11080,0.00923333,0,4,1,41858523,35876738,381429,27193
norm,6,coro-prefetch,4,10,100,200,6,2,11205,0.0093375,1,4,1,42320356,40676738,379581,27780
norm,0,control,1,10,100,200,6,2,9971,0.00830917,1,4,1,37502629,20648399,385137,23112
norm,5,coro-no-prefetch,4,10,100,200,6,2,11077,0.00923083,0,4,1,41833246,35876738,381334,27711
norm,6,coro-prefetch,4,10,100,200,6,2,11256,0.00938,1,4,1,42340864,40676737,380027,27246
norm,0,control,1,10,100,200,6,2,9941,0.00828417,1,4,1,37529540,20648398,385559,22635
norm,5,coro-no-prefetch,4,10,100,200,6,2,11118,0.009265,0,4,1,41838897,35876738,381481,27225
norm,6,coro-prefetch,4,10,100,200,6,2,11319,0.0094325,1,4,1,42330611,40676738,380898,27346
norm,0,control,1,10,100,200,6,2,9932,0.00827667,1,4,1,37487901,20648399,385525,23154
norm,5,coro-no-prefetch,4,10,100,200,6,2,11080,0.00923333,0,4,1,41846239,35876738,381386,27631
norm,6,coro-prefetch,4,10,100,200,6,2,11234,0.00936167,1,4,1,42298107,40676737,379598,27009
norm,0,control,1,10,100,200,6,2,9948,0.00829,1,4,1,37556057,20648398,386645,22721
norm,5,coro-no-prefetch,4,10,100,200,6,2,11078,0.00923167,0,4,1,41849186,35876738,380935,27016
norm,6,coro-prefetch,4,10,100,200,6,2,11200,0.00933333,1,4,1,42303232,40676738,381149,27060
norm,0,control,1,10,100,200,6,2,9955,0.00829583,1,4,1,37572046,20648399,388592,23513
norm,5,coro-no-prefetch,4,10,100,200,6,2,11067,0.0092225,0,4,1,41786945,35876738,382253,27896
norm,6,coro-prefetch,4,10,100,200,6,2,11206,0.00933833,1,4,1,42320667,40676738,380651,27069
norm,0,control,1,10,100,200,7,2,11445,0.008175,1,4,1,43247365,23048399,414542,31183
norm,5,coro-no-prefetch,4,10,100,200,7,2,12790,0.00913571,0,4,1,48164389,38479719,423708,34610
norm,6,coro-prefetch,4,10,100,200,7,2,12807,0.00914786,1,4,1,48388571,43277738,421694,34403
norm,0,control,1,10,100,200,7,2,11446,0.00817571,1,4,1,43230576,23048398,414491,31236
norm,5,coro-no-prefetch,4,10,100,200,7,2,12738,0.00909857,0,4,1,48124314,38477738,423500,34832
norm,6,coro-prefetch,4,10,100,200,7,2,12817,0.009155,1,4,1,48430555,43277738,421168,34397
norm,0,control,1,10,100,200,7,2,11441,0.00817214,1,4,1,43216498,23048398,414332,31269
norm,5,coro-no-prefetch,4,10,100,200,7,2,12735,0.00909643,0,4,1,48122319,38477738,423442,35121
norm,6,coro-prefetch,4,10,100,200,7,2,12816,0.00915429,1,4,1,48417906,43277738,422607,34104
norm,0,control,1,10,100,200,7,2,11497,0.00821214,1,4,1,43297633,23048399,457174,27337
norm,5,coro-no-prefetch,4,10,100,200,7,2,12733,0.009095,0,4,1,48111183,38477738,454296,32021
norm,6,coro-prefetch,4,10,100,200,7,2,12807,0.00914786,1,4,1,48395465,43277738,452710,31605
norm,0,control,1,10,100,200,7,2,11459,0.008185,1,4,1,43281523,23048399,458945,27735
norm,5,coro-no-prefetch,4,10,100,200,7,2,12729,0.00909214,0,4,1,48084301,38477739,453587,31804
norm,6,coro-prefetch,4,10,100,200,7,2,12813,0.00915214,1,4,1,48411227,43277738,452016,32640
norm,0,control,1,10,100,200,7,2,11455,0.00818214,1,4,1,43266622,23048399,458473,26859
norm,5,coro-no-prefetch,4,10,100,200,7,2,12721,0.00908643,0,4,1,48061274,38477738,453560,32143
norm,6,coro-prefetch,4,10,100,200,7,2,12843,0.00917357,1,4,1,48405711,43277738,452266,31178
norm,0,control,1,10,100,200,7,2,11450,0.00817857,1,4,1,43238715,23048399,458780,27915
norm,5,coro-no-prefetch,4,10,100,200,7,2,12770,0.00912143,0,4,1,48103765,38477738,454501,31777
norm,6,coro-prefetch,4,10,100,200,7,2,12807,0.00914786,1,4,1,48396765,43277738,452512,32981
norm,0,control,1,10,100,200,7,2,11473,0.008195,1,4,1,43213304,23048399,458340,26738
norm,5,coro-no-prefetch,4,10,100,200,7,2,12713,0.00908071,0,4,1,48041873,38477738,453123,32193
norm,6,coro-prefetch,4,10,100,200,7,2,12838,0.00917,1,4,1,48368338,43277738,451912,31856
norm,0,control,1,10,100,200,7,2,11449,0.00817786,1,4,1,43186681,23048399,458808,27872
norm,5,coro-no-prefetch,4,10,100,200,7,2,12776,0.00912571,0,4,1,48136919,38477738,456294,31909
norm,6,coro-prefetch,4,10,100,200,7,2,12834,0.00916714,1,4,1,48403048,43277738,455325,32108
norm,0,control,1,10,100,200,7,2,11478,0.00819857,1,4,1,43233939,23048399,461746,26820
norm,5,coro-no-prefetch,4,10,100,200,7,2,12728,0.00909143,0,4,1,48090388,38477738,455694,32600
norm,6,coro-prefetch,4,10,100,200,7,2,12853,0.00918071,1,4,1,48414936,43277738,454426,31397
norm,0,control,1,10,100,200,8,2,13164,0.0082275,1,4,1,49767283,26448399,494187,36848
norm,5,coro-no-prefetch,4,10,100,200,8,2,14418,0.00901125,0,4,1,54474876,41678719,502655,39892
norm,6,coro-prefetch,4,10,100,200,8,2,14469,0.00904313,1,4,1,54675969,46476739,501037,41438
norm,0,control,1,10,100,200,8,2,13195,0.00824688,1,4,1,49845688,26448400,546981,32006
norm,5,coro-no-prefetch,4,10,100,200,8,2,14424,0.009015,0,4,1,54503586,41676739,543177,37005
norm,6,coro-prefetch,4,10,100,200,8,2,14459,0.00903687,1,4,1,54647511,46476738,541983,36814
norm,0,control,1,10,100,200,8,2,13187,0.00824187,1,4,1,49822057,26448399,546500,32387
norm,5,coro-no-prefetch,4,10,100,200,8,2,14344,0.008965,0,4,1,54060822,41676738,542556,36260
norm,6,coro-prefetch,4,10,100,200,8,2,14451,0.00903187,1,4,1,54610935,46476739,541482,36488
norm,0,control,1,10,100,200,8,2,13166,0.00822875,1,4,1,49754880,26448399,546420,31890
norm,5,coro-no-prefetch,4,10,100,200,8,2,14344,0.008965,0,4,1,54082987,41676738,542389,36279
norm,6,coro-prefetch,4,10,100,200,8,2,14446,0.00902875,1,4,1,54594360,46476739,542015,36604
norm,0,control,1,10,100,200,8,2,13169,0.00823063,1,4,1,49760884,26448399,547520,31887
norm,5,coro-no-prefetch,4,10,100,200,8,2,14297,0.00893563,0,4,1,54050927,41676738,542999,35809
norm,6,coro-prefetch,4,10,100,200,8,2,14446,0.00902875,1,4,1,54602498,46476738,542236,36427
norm,0,control,1,10,100,200,8,2,13160,0.008225,1,4,1,49721678,26448399,547726,31924
norm,5,coro-no-prefetch,4,10,100,200,8,2,14308,0.0089425,0,4,1,54079952,41676738,543347,36307
norm,6,coro-prefetch,4,10,100,200,8,2,14452,0.0090325,1,4,1,54623239,46476738,542169,36557
norm,0,control,1,10,100,200,8,2,13217,0.00826063,1,4,1,49748354,26448399,547564,31872
norm,5,coro-no-prefetch,4,10,100,200,8,2,14308,0.0089425,0,4,1,54081790,41676738,543079,35731
norm,6,coro-prefetch,4,10,100,200,8,2,14489,0.00905562,1,4,1,54628062,46476738,542328,36268
norm,0,control,1,10,100,200,8,2,13157,0.00822312,1,4,1,49715489,26448399,547473,31982
norm,5,coro-no-prefetch,4,10,100,200,8,2,14360,0.008975,0,4,1,54110493,41676738,544583,36379
norm,6,coro-prefetch,4,10,100,200,8,2,14450,0.00903125,1,4,1,54611757,46476738,543543,36614
norm,0,control,1,10,100,200,8,2,13168,0.00823,1,4,1,49761572,26448399,548684,31590
norm,5,coro-no-prefetch,4,10,100,200,8,2,14297,0.00893563,0,4,1,54033177,41676738,544052,35701
norm,6,coro-prefetch,4,10,100,200,8,2,14447,0.00902937,1,4,1,54604122,46476738,542748,36170
norm,0,control,1,10,100,200,8,2,13158,0.00822375,1,4,1,49716954,26448399,548900,31710
norm,5,coro-no-prefetch,4,10,100,200,8,2,14298,0.00893625,0,4,1,54048083,41676738,543399,36409
norm,6,coro-prefetch,4,10,100,200,8,2,14444,0.0090275,1,4,1,54589150,46476738,543288,36389
norm,0,control,1,10,100,200,9,2,30817,0.0171206,1,4,1,55676612,28848399,537214,36542
norm,5,coro-no-prefetch,4,10,100,200,9,2,15925,0.00884722,0,4,1,60167509,44279720,545078,44881
norm,6,coro-prefetch,4,10,100,200,9,2,16055,0.00891944,1,4,1,60678204,49077739,542658,45178
